Geneset,TDP69Th_Vs_TDPsmTh.All_Pvalue,TDP69Th_Vs_TDPsmTh.Down_Pvalue,TDP69Th_Vs_TDPsmTh.Up_Pvalue,TDP69Th_Vs_TDPsmTh.All_Odds,TDP69Th_Vs_TDPsmTh.Down_Odds,TDP69Th_Vs_TDPsmTh.Up_Odds,T4int8ThVs_TDP69Th.All_Pvalue,T4int8ThVs_TDP69Th.Down_Pvalue,T4int8ThVs_TDP69Th.Up_Pvalue,T4int8ThVs_TDP69Th.All_Odds,T4int8ThVs_TDP69Th.Down_Odds,T4int8ThVs_TDP69Th.Up_Odds,T4SP69vsT4int8Th.All_Pvalue,T4SP69vsT4int8Th.Down_Pvalue,T4SP69vsT4int8Th.Up_Pvalue,T4SP69vsT4int8Th.All_Odds,T4SP69vsT4int8Th.Down_Odds,T4SP69vsT4int8Th.Up_Odds,T8SP69vsT4int8Th.All_Pvalue,T8SP69vsT4int8Th.Down_Pvalue,T8SP69vsT4int8Th.Up_Pvalue,T8SP69vsT4int8Th.All_Odds,T8SP69vsT4int8Th.Down_Odds,T8SP69vsT4int8Th.Up_Odds,T4int8Th_Vs_TDPsmTh.All_Pvalue,T4int8Th_Vs_TDPsmTh.Down_Pvalue,T4int8Th_Vs_TDPsmTh.Up_Pvalue,T4int8Th_Vs_TDPsmTh.All_Odds,T4int8Th_Vs_TDPsmTh.Down_Odds,T4int8Th_Vs_TDPsmTh.Up_Odds,T4SP69_Vs_TDPsmTh.All_Pvalue,T4SP69_Vs_TDPsmTh.Down_Pvalue,T4SP69_Vs_TDPsmTh.Up_Pvalue,T4SP69_Vs_TDPsmTh.All_Odds,T4SP69_Vs_TDPsmTh.Down_Odds,T4SP69_Vs_TDPsmTh.Up_Odds,T8SP69_Vs_TDPsmTh.All_Pvalue,T8SP69_Vs_TDPsmTh.Down_Pvalue,T8SP69_Vs_TDPsmTh.Up_Pvalue,T8SP69_Vs_TDPsmTh.All_Odds,T8SP69_Vs_TDPsmTh.Down_Odds,T8SP69_Vs_TDPsmTh.Up_Odds,T4SP69_Vs_TDP69Th.All_Pvalue,T4SP69_Vs_TDP69Th.Down_Pvalue,T4SP69_Vs_TDP69Th.Up_Pvalue,T4SP69_Vs_TDP69Th.All_Odds,T4SP69_Vs_TDP69Th.Down_Odds,T4SP69_Vs_TDP69Th.Up_Odds,T8SP69_Vs_TDP69Th.All_Pvalue,T8SP69_Vs_TDP69Th.Down_Pvalue,T8SP69_Vs_TDP69Th.Up_Pvalue,T8SP69_Vs_TDP69Th.All_Odds,T8SP69_Vs_TDP69Th.Down_Odds,T8SP69_Vs_TDP69Th.Up_Odds
mmu-let-7a-1-3p,0.150107845017045,0.302101776021938,0.119110989715816,1.33019683658949,1.11348843100279,1.50539775284146,0.160282638260724,0.279062758001476,0.151347962697569,1.32681762007725,1.12838033826649,1.38526312548439,0.145125455865579,0.15489469725045,0.201966060228233,1.40157396903512,1.46917283627873,1.30383409476023,0.262297924651969,0.421704338007735,0.11204023057292,1.16287705471308,0.690707439473792,1.74301589804918,0.0985950345869241,0.249237122993034,0.0999580900929271,1.4422670184845,1.19734156664602,1.52008300288148,0.567963720894807,0.234337472087063,0.709420427081332,0.87553547434398,1.22537783952876,0.688771377507947,0.445858831026513,0.182694779598797,0.66831600673363,0.98110413027209,1.31219089170412,0.723517682558941,0.936529939479347,0.426433118988937,0.935503101368375,0.320271501381499,0.683991152871583,0.216823591820047,0.550747380452571,0.0935535554283517,0.840730285977643,0.846185688626439,1.71348996818218,0.418769535707506
mmu-let-7a-2-3p,0.0850800192034818,0.0167911577248653,0.610180458688169,1.48350848869895,2.0626343662144,0.698856986383495,0.00867312362200833,0.279062758001476,0.00474075433215409,2.08452569027599,1.12838033826649,2.42594434929589,0.263598428559322,0.348107382489404,0.201966060228233,1.1710611382465,0.954964683692384,1.30383409476023,0.11701525169832,0.0539412481422438,0.328805868597249,1.59004624487201,2.1852412053803,0.847989193130281,0.395334126363378,0.128359509608967,0.673309203137107,1.01923325354355,1.47355467584305,0.687220481660886,0.567963720894807,0.234337472087063,0.709420427081332,0.87553547434398,1.22537783952876,0.688771377507947,0.445858831026513,0.0441041975540446,0.914319093038645,0.98110413027209,1.77848529589693,0.413848466671376,0.110086326634695,0.174876965353414,0.129936757511222,1.48502899083287,1.40439209526405,1.46836675878711,0.389092452189177,0.223652506902696,0.472431466865895,1.01243462554089,1.25291187035472,0.878470254834145
mmu-let-7a-5p,0.475756119313163,0.448509957575388,0.388507444083922,0.942818589921638,0.926787724182886,0.97697536271639,0.682425909449796,0.492546086631033,0.600759098591563,0.734997872586277,0.750372340316619,0.751669650667374,0.132801067714547,0.613380190940437,0.0313920661195311,1.43683519992107,0.475960286034793,2.10880757893305,1,1,1,1,1,1,0.506825729306395,0.404852474950095,0.47303494126581,0.916692187254524,0.956367214082231,0.901276016453273,0.67190351295641,0.591859329623997,0.526066405240283,0.787510995161501,0.716133505793583,0.867978923272933,0.789183842607822,0.462024182103629,0.797469925844586,0.695714231252461,0.912600867461786,0.578233761054851,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992,0.690407018907714,0.427443657885865,0.654171033137144,0.704474807792019,0.832975372448665,0.657892758677861
mmu-let-7b-3p,0.0850800192034818,0.302101776021938,0.052872366885173,1.48350848869895,1.11348843100279,1.80231850143442,0.160282638260724,0.279062758001476,0.151347962697569,1.32681762007725,1.12838033826649,1.38526312548439,0.145125455865579,0.15489469725045,0.201966060228233,1.40157396903512,1.46917283627873,1.30383409476023,0.487598345094758,0.421704338007735,0.328805868597249,0.756336162999771,0.690707439473792,0.847989193130281,0.0527182718847744,0.249237122993034,0.047006114162242,1.60026193121881,1.19734156664602,1.75632875326271,0.431662081187083,0.234337472087063,0.549639070464478,0.989892053016625,1.22537783952876,0.847161760702151,0.445858831026513,0.182694779598797,0.66831600673363,0.98110413027209,1.31219089170412,0.723517682558941,0.936529939479347,0.426433118988937,0.935503101368375,0.320271501381499,0.683991152871583,0.216823591820047,0.550747380452571,0.0935535554283517,0.840730285977643,0.846185688626439,1.71348996818218,0.418769535707506
mmu-let-7b-5p,0.475756119313163,0.448509957575388,0.388507444083922,0.942818589921638,0.926787724182886,0.97697536271639,0.528365157129288,0.266451928462177,0.600759098591563,0.879821398815891,1.15419489115557,0.751669650667374,0.132801067714547,0.613380190940437,0.0313920661195311,1.43683519992107,0.475960286034793,2.10880757893305,1,1,1,1,1,1,0.366553086004655,0.234127421320026,0.47303494126581,1.04696778894336,1.2260361889625,0.901276016453273,0.67190351295641,0.591859329623997,0.526066405240283,0.787510995161501,0.716133505793583,0.867978923272933,0.789183842607822,0.462024182103629,0.797469925844586,0.695714231252461,0.912600867461786,0.578233761054851,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992,0.52717270341416,0.212810927613167,0.654171033137144,0.866979001578509,1.28157415423615,0.657892758677861
mmu-let-7c-1-3p,0.416649135349195,0.592565712485794,0.192809090673204,0.995570976603733,0.758714218777301,1.31551550817105,0.324914085827741,0.0375583970889226,0.744730563351358,1.08851301571637,2.12788354179457,0.576534347563585,0.0204706920113039,0.0445611948928401,0.0704566558946233,2.05920103814972,2.15817336470401,1.79767235116519,0.0333613489593247,0.149773001477495,0.0236089988332484,2.19322210842787,1.51783036412371,2.88159668928463,0.446778612332847,0.573787035184404,0.266808036860219,0.967944276057659,0.733344328409618,1.1666778458433,0.848443232433387,1,0.318730495311238,0.611785345969729,1,1.09418446212026,0.476530244757334,0.6051880924457,0.277616825099516,0.952111337695812,0.747114127286351,1.1494174093055,0.63419084707679,0.0455106076940324,0.918993703123355,0.720909883984389,2.31931016220954,0.231715020816261,0.478719326106643,0.0752770041669476,0.807018695163125,0.911698800108072,1.83958537352833,0.448195016941303
mmu-let-7c-2-3p,0.150107845017045,0.302101776021938,0.119110989715816,1.33019683658949,1.11348843100279,1.50539775284146,0.160282638260724,0.279062758001476,0.151347962697569,1.32681762007725,1.12838033826649,1.38526312548439,0.145125455865579,0.15489469725045,0.201966060228233,1.40157396903512,1.46917283627873,1.30383409476023,0.262297924651969,0.421704338007735,0.11204023057292,1.16287705471308,0.690707439473792,1.74301589804918,0.0985950345869241,0.249237122993034,0.0999580900929271,1.4422670184845,1.19734156664602,1.52008300288148,0.567963720894807,0.234337472087063,0.709420427081332,0.87553547434398,1.22537783952876,0.688771377507947,0.445858831026513,0.182694779598797,0.66831600673363,0.98110413027209,1.31219089170412,0.723517682558941,0.936529939479347,0.426433118988937,0.935503101368375,0.320271501381499,0.683991152871583,0.216823591820047,0.550747380452571,0.0935535554283517,0.840730285977643,0.846185688626439,1.71348996818218,0.418769535707506
mmu-let-7c-5p,0.475756119313163,0.448509957575388,0.388507444083922,0.942818589921638,0.926787724182886,0.97697536271639,0.682425909449796,0.492546086631033,0.600759098591563,0.734997872586277,0.750372340316619,0.751669650667374,0.132801067714547,0.613380190940437,0.0313920661195311,1.43683519992107,0.475960286034793,2.10880757893305,1,1,1,1,1,1,0.506825729306395,0.404852474950095,0.47303494126581,0.916692187254524,0.956367214082231,0.901276016453273,0.67190351295641,0.591859329623997,0.526066405240283,0.787510995161501,0.716133505793583,0.867978923272933,0.789183842607822,0.462024182103629,0.797469925844586,0.695714231252461,0.912600867461786,0.578233761054851,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992,0.690407018907714,0.427443657885865,0.654171033137144,0.704474807792019,0.832975372448665,0.657892758677861
mmu-let-7d-5p,0.475756119313163,0.448509957575388,0.388507444083922,0.942818589921638,0.926787724182886,0.97697536271639,0.528365157129288,0.266451928462177,0.600759098591563,0.879821398815891,1.15419489115557,0.751669650667374,0.246321120041484,0.613380190940437,0.0834321690762393,1.19981285679738,0.475960286034793,1.71156284489023,1,1,1,1,1,1,0.366553086004655,0.234127421320026,0.47303494126581,1.04696778894336,1.2260361889625,0.901276016453273,0.790201303824254,0.591859329623997,0.689447757504226,0.681533864465359,0.716133505793583,0.705286065862657,0.789183842607822,0.462024182103629,0.797469925844586,0.695714231252461,0.912600867461786,0.578233761054851,0.0465902416623138,0.0520415429507622,0.119585858545124,1.76121193069402,2.21330894087999,1.50440771087018,0.52717270341416,0.212810927613167,0.654171033137144,0.866979001578509,1.28157415423615,0.657892758677861
mmu-let-7e-5p,0.475756119313163,0.448509957575388,0.388507444083922,0.942818589921638,0.926787724182886,0.97697536271639,0.682425909449796,0.492546086631033,0.600759098591563,0.734997872586277,0.750372340316619,0.751669650667374,0.132801067714547,0.613380190940437,0.0313920661195311,1.43683519992107,0.475960286034793,2.10880757893305,1,1,1,1,1,1,0.506825729306395,0.404852474950095,0.47303494126581,0.916692187254524,0.956367214082231,0.901276016453273,0.67190351295641,0.591859329623997,0.526066405240283,0.787510995161501,0.716133505793583,0.867978923272933,0.789183842607822,0.462024182103629,0.797469925844586,0.695714231252461,0.912600867461786,0.578233761054851,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992,0.690407018907714,0.427443657885865,0.654171033137144,0.704474807792019,0.832975372448665,0.657892758677861
