Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
mmu-miR-7056-5p,842,11,5,0.000759185620345504,6.19690911328847,Acvrl1;Phf21a;Cers4;Ube2r2;Kpna3
mmu-miR-693-3p,842,23,8,0.000793733453865311,3.97464143607026,Fry;Plekha1;Zbtb20;Polr1a;Tnpo1;Dpysl2;Agfg1;Ncf2
mmu-miR-501-5p,842,9,4,0.0019686939293902,5.94297392809015,Sephs1;Utp3;Lpin1;Kif1c
mmu-miR-410-3p,842,46,12,0.00207715740110177,2.63549496203244,Cldn10;Smad7;Tec;Sfmbt2;Mxd1;Etv6;Mylip;Rnf103;Sypl;Ccdc175;Trappc3;Iars
mmu-miR-344d-3p,842,46,12,0.00207715740110177,2.63549496203244,Cldn10;Smad7;Tec;Sfmbt2;Mxd1;Etv6;Mylip;Rnf103;Sypl;Ccdc175;Trappc3;Iars
mmu-miR-7017-3p,842,13,5,0.00228375176985804,4.64682740088019,Slc7a11;Ifngr2;Pou2f1;Phf21a;Desi2
mmu-miR-365-3p,842,50,12,0.00461798411925597,2.35667317032006,Rapgef4;Oxr1;Lancl2;E2f2;Arrb2;Rqcd1;Ncf2;Tfdp1;Mylip;Sgk3;Tcp11l2;Fam3c
mmu-miR-367-3p,842,47,11,0.00746167268428769,2.27813845496102,Klf2;Fry;Sfmbt2;Dnajc4;Man2c1;Rnf141;Mylip;Sgk3;Cd69;Rnf103;Bcat2
mmu-miR-92b-3p,842,47,11,0.00746167268428769,2.27813845496102,Klf2;Myo10;Fry;Sfmbt2;Dnajc4;Man2c1;Rnf141;Mylip;Sgk3;Rnf103;Bcat2
mmu-miR-25-3p,842,47,11,0.00746167268428769,2.27813845496102,Klf2;Myo10;Fry;Sfmbt2;Tgif1;Dnajc4;Man2c1;Rnf141;Mylip;Sgk3;Bcat2
mmu-miR-6964-3p,842,16,5,0.00778452903756751,3.37782450209628,Lpp;Fam49a;Commd8;Emc7;Mocs2
mmu-miR-802-5p,842,49,11,0.0105477459785781,2.15768352535376,Rapgef4;Dock4;Slc2a3;Nek4;Fos;Agfg1;Ugdh;Gnpnat1;Cap2;Psmd2;Eif4a2
mmu-miR-33-3p,842,18,5,0.0146584474145478,2.85758284425833,S1pr1;Tspan31;Bcl6;Fbxl17;Mtif2
mmu-miR-767,842,9,3,0.0153340737463728,3.70988897639268,Klf2;Tet1;Adamts3
mmu-miR-7052-3p,842,9,3,0.0153340737463728,3.70988897639268,Tgif1;Ptdss1;Mrpl54
mmu-miR-339-5p,842,46,10,0.0167856985726877,2.06871840115432,S1pr1;Egln3;Map2k6;Cers5;Cyth1;Slc43a3;Cers4;Stard7;Cd74;Nck2
mmu-miR-344e-3p,842,46,10,0.0167856985726877,2.06871840115432,Cldn10;Tec;Sfmbt2;Mxd1;Mylip;Rnf103;Sypl;Ccdc175;Trappc3;Iars
mmu-miR-3065-3p,842,14,4,0.0188051196837608,2.9697468627175,Rnasel;Tspan14;Mllt11;Pacs2
mmu-let-7e-5p,842,47,10,0.0196347064830321,2.01251610148898,Ccr7;Cd200r1;Mxd1;Slc35d2;Myo1f;Sec16b;Arsi;Rrm2;Pbx2;St6gal1
mmu-let-7a-5p,842,47,10,0.0196347064830321,2.01251610148898,Ccr7;Cd200r1;Mxd1;Slc35d2;Myo1f;Sec16b;Arsi;Rrm2;Pbx2;St6gal1
mmu-let-7b-5p,842,47,10,0.0196347064830321,2.01251610148898,Ccr7;Cd200r1;Mxd1;Slc35d2;Myo1f;Sec16b;Arsi;Rrm2;Pbx2;St6gal1
mmu-let-7c-5p,842,47,10,0.0196347064830321,2.01251610148898,Ccr7;Cd200r1;Mxd1;Slc35d2;Myo1f;Sec16b;Arsi;Rrm2;Pbx2;St6gal1
mmu-let-7k,842,47,10,0.0196347064830321,2.01251610148898,Ccr7;Cd200r1;Mxd1;Slc35d2;Myo1f;Sec16b;Arsi;Rrm2;Pbx2;St6gal1
mmu-let-7f-5p,842,47,10,0.0196347064830321,2.01251610148898,Ccr7;Cd200r1;Mxd1;Slc35d2;Myo1f;Sec16b;Arsi;Rrm2;Pbx2;St6gal1
mmu-let-7i-5p,842,47,10,0.0196347064830321,2.01251610148898,Ccr7;Cd200r1;Mxd1;Slc35d2;Myo1f;Sec16b;Arsi;Rrm2;Pbx2;St6gal1
mmu-let-7g-5p,842,47,10,0.0196347064830321,2.01251610148898,Ccr7;Cd200r1;Mxd1;Slc35d2;Myo1f;Sec16b;Arsi;Rrm2;Pbx2;St6gal1
mmu-miR-455-5p,842,47,10,0.0196347064830321,2.01251610148898,Add3;Eed;4930523C07Rik;Obfc1;3830406C13Rik;Ptp4a2;Gabarap;Mylip;Ankrd27;Nck2
