Geneset,All_Pvalue,Down_Pvalue,Up_Pvalue,All_Odds,Down_Odds,Up_Odds
mmu-miR-6387,0.000542708590636435,0.00255514675793463,0.0381026604057141,3.6510335462225,3.73943395471109,2.10137616411923
mmu-miR-3084-3p,0.000786945078338282,4.55642057041536e-05,0.310551320574276,2.95531103671985,4.8437899696051,1.09981510562063
mmu-miR-126a-3p.2,0.00124838173639303,0.000337254814899732,0.190968923221487,2.58919155924952,3.67092462361287,1.30056878061795
mmu-miR-302a-5p,0.00161284573432752,0.0537828465021598,0.00657422304275629,3.76017589828166,2.2606794387619,3.25043745480378
mmu-miR-802-5p,0.00163973726522813,0.0232787450858529,0.0186530952934034,2.31221000694863,2.06685460478742,1.93617222455236
mmu-miR-6335,0.00225018547645437,0.0116804377536306,0.0381026604057141,3.06567610112927,2.93790145155432,2.10137616411923
mmu-miR-376b-5p,0.00288294971988953,0.000486870668256681,0.25512504787788,3.34200479776508,5.30111247416491,1.18775971750137
mmu-miR-376c-5p,0.00288294971988953,0.000486870668256681,0.25512504787788,3.34200479776508,5.30111247416491,1.18775971750137
mmu-miR-540-3p,0.0046859076735623,0.0633910617230741,0.0133901473398961,4.00546419466132,2.342275626925,3.40073534448121
mmu-miR-28a-3p,0.00585789513967176,0.108746215802067,0.0131426012679698,2.07850421771063,1.54512423792705,2.0473957096932
mmu-miR-34c-5p,0.00624665939560649,0.178355615546891,0.00732665175326725,2.10790144447796,1.35187180713242,2.24036900845113
mmu-miR-101a-5p,0.00800326545095827,0.0693164762875387,0.0256462253866717,2.45130196096082,1.91906908899006,2.1949407718683
mmu-miR-221-5p,0.00800326545095827,0.00545343094551642,0.161586061810211,2.45130196096082,3.17730016061847,1.41535333672856
mmu-miR-1306-5p,0.0106375100915991,0.099569730882415,0.0264980843428033,1.9618846684358,1.58399004390528,1.87486178706791
mmu-miR-34a-5p,0.0114822280337374,0.316141261050938,0.00592513366174125,1.9827493550182,1.07980346633942,2.31300423940056
mmu-miR-449a-5p,0.0114822280337374,0.316141261050938,0.00592513366174125,1.9827493550182,1.07980346633942,2.31300423940056
mmu-miR-122-5p,0.0136041676479678,0.387145005461575,0.00505897899524096,1.89596338625347,0.978729272660111,2.28579510786418
mmu-miR-34b-5p,0.0147786971762642,0.33380608739761,0.00732665175326725,1.91140770810843,1.05263227078695,2.24036900845113
mmu-miR-449b,0.0147786971762642,0.33380608739761,0.00732665175326725,1.91140770810843,1.05263227078695,2.24036900845113
mmu-miR-7031-5p,0.0165950498905352,0.0600888056267054,0.0578637840094066,2.22714874379797,2.01068438563468,1.87952227796323
mmu-miR-340-5p,0.0171832365280104,0.234337472087063,0.0157148809905217,1.83451684193536,1.22537783952876,1.99023441986208
mmu-miR-137-3p,0.0187675206176371,0.351554326094547,0.00897773614412344,1.84521210108744,1.02679046457015,2.17213927323684
mmu-miR-592-5p,0.0187675206176371,0.0136742986068115,0.191681441247426,1.84521210108744,2.29163559408064,1.28570901501979
mmu-miR-322-3p,0.0201241947966856,0.00495426244006786,0.310551320574276,2.0051589294412,2.96786944648287,1.09981510562063
mmu-miR-411-5p,0.0214505758784223,0.0232787450858529,0.159184157496264,1.77690871731956,2.06685460478742,1.33858680639326
mmu-miR-7056-5p,0.0234853585298078,1,0.00213439882311884,2.77967847335032,1,4.96472198329456
mmu-miR-291a-3p,0.0235333888570386,0.0157348326520522,0.209970721860879,1.78343075219182,2.23091772976012,1.25166320745605
mmu-miR-295-3p,0.0235333888570386,0.0157348326520522,0.209970721860879,1.78343075219182,2.23091772976012,1.25166320745605
mmu-miR-339-5p,0.0235333888570386,0.0421763843501934,0.116492176503229,1.78343075219182,1.8988251718578,1.44782093632852
mmu-miR-7220-3p,0.0235333888570386,0.369346592098387,0.0109067057457257,1.78343075219182,1.00218552085793,2.10792897101467
mmu-miR-21a-3p,0.0241219951265596,0.13332815274472,0.0381026604057141,2.14671452797656,1.58112193558634,2.10137616411923
mmu-miR-693-3p,0.0241219951265596,0.13332815274472,0.0381026604057141,2.14671452797656,1.58112193558634,2.10137616411923
mmu-miR-484,0.0255620014737738,0.178512492072407,0.0265312952098515,2.33630769751083,1.40427096761472,2.48027480117647
mmu-miR-449c-5p,0.0258090333552757,0.316141261050938,0.0157023908240536,1.79094105138064,1.07980346633942,2.05171241065865
mmu-miR-100-5p,0.0264820170807455,0.0642156437988619,0.0962209708288337,1.72275354384825,1.72106685254703,1.48876097759117
mmu-miR-365-3p,0.0264820170807455,0.264158889228192,0.0219865458845021,1.72275354384825,1.17056072537962,1.8847473950287
mmu-miR-99a-5p,0.0264820170807455,0.0642156437988619,0.0962209708288337,1.72275354384825,1.72106685254703,1.48876097759117
mmu-miR-99b-5p,0.0264820170807455,0.0642156437988619,0.0962209708288337,1.72275354384825,1.72106685254703,1.48876097759117
mmu-miR-1298-5p,0.0291599475421788,0.387145005461575,0.0131426012679698,1.7255931919032,0.978729272660111,2.0473957096932
mmu-miR-148a-3p,0.0291599475421788,0.0471326741986865,0.129937447431751,1.7255931919032,1.85092697577816,1.40949343133026
mmu-miR-148b-3p,0.0291599475421788,0.0471326741986865,0.129937447431751,1.7255931919032,1.85092697577816,1.40949343133026
mmu-miR-152-3p,0.0291599475421788,0.0471326741986865,0.129937447431751,1.7255931919032,1.85092697577816,1.40949343133026
mmu-miR-185-5p,0.0291599475421788,0.591859329623997,0.00505897899524096,1.7255931919032,0.716133505793583,2.28579510786418
mmu-miR-294-3p,0.0291599475421788,0.0180144713387891,0.228925971067778,1.7255931919032,2.17355510185897,1.21936889848351
mmu-miR-184-3p,0.0330062046513526,0.149672847681549,0.0473291706714443,2.00330478204172,1.50561286502638,1.98438141793192
mmu-miR-188-3p,0.0330062046513526,0.0516046780605737,0.120583173280884,2.00330478204172,2.11150259667661,1.56482607110576
mmu-miR-202-3p,0.0351153464914864,0.0072869105361816,0.358952344700349,2.05413492700196,3.30626137756094,0.989348901975952
mmu-miR-3089-5p,0.0351153464914864,0.272877535977153,0.0233761158693603,2.05413492700196,1.10797795236953,2.38221419986969
mmu-miR-1291,0.0354675298691225,0.180387845179137,0.0296201390496192,2.66752171441058,1.31580615277313,2.97329822260779
mmu-miR-3103-5p,0.0354675298691225,0.180387845179137,0.0296201390496192,2.66752171441058,1.31580615277313,2.97329822260779
mmu-miR-501-5p,0.0354675298691225,0.0367429453513615,0.128494304344317,2.66752171441058,3.01253033634951,1.69728884855855
mmu-miR-6965-5p,0.0354675298691225,0.180387845179137,0.0296201390496192,2.66752171441058,1.31580615277313,2.97329822260779
mmu-miR-7047-5p,0.0354675298691225,0.180387845179137,0.0296201390496192,2.66752171441058,1.31580615277313,2.97329822260779
mmu-miR-7052-3p,0.0354675298691225,0.180387845179137,0.0296201390496192,2.66752171441058,1.31580615277313,2.97329822260779
mmu-miR-7235-5p,0.0354675298691225,0.180387845179137,0.0296201390496192,2.66752171441058,1.31580615277313,2.97329822260779
mmu-miR-7651-5p,0.0354675298691225,0.180387845179137,0.0296201390496192,2.66752171441058,1.31580615277313,2.97329822260779
mmu-miR-96-5p,0.0357278213241421,0.234337472087063,0.036197849151583,1.67136837972767,1.22537783952876,1.77299967456905
mmu-miR-301a-5p,0.0369109290764547,0.0645804964658069,0.10551721908811,2.12360253399171,2.10968361133969,1.69866154580618
mmu-miR-301b-5p,0.0369109290764547,0.0645804964658069,0.10551721908811,2.12360253399171,2.10968361133969,1.69866154580618
mmu-miR-6952-3p,0.0369109290764547,0.0645804964658069,0.10551721908811,2.12360253399171,2.10968361133969,1.69866154580618
mmu-miR-6388,0.0379522066122753,0.0792529891306593,0.0817483452487784,2.3823625100577,2.10787057905136,1.98148095207663
mmu-miR-129-5p,0.0394745995564461,0.0136742986068115,0.318730495311238,1.6709536997322,2.29163559408064,1.09418446212026
mmu-miR-873a-5p.1,0.0394745995564461,0.351554326094547,0.022430768187044,1.6709536997322,1.02679046457015,1.93048077939023
mmu-miR-133a-3p.1,0.0433126079671807,0.249120550696161,0.0418880395920736,1.62043128201826,1.19734643421498,1.72606301669879
mmu-miR-384-3p,0.0433126079671807,0.00263821662575179,0.572695608903284,1.62043128201826,2.72567134865728,0.827322470288053
mmu-miR-204-3p,0.0436357880872081,0.50083601118141,0.0129738539415478,1.67053953165581,0.808514294059498,2.11821167407402
mmu-miR-7684-5p,0.0436357880872081,0.50083601118141,0.0129738539415478,1.67053953165581,0.808514294059498,2.11821167407402
mmu-miR-24-3p,0.0479765785961301,0.099569730882415,0.116492176503229,1.6167637409214,1.58399004390528,1.44782093632852
mmu-miR-324-5p,0.0479765785961301,0.0421763843501934,0.209970721860879,1.6167637409214,1.8988251718578,1.25166320745605
mmu-miR-291b-3p,0.0512029726255143,0.0201910927644682,0.289276704151802,1.94637544074496,2.81723594803728,1.11340503905414
mmu-miR-149-5p,0.053185835265029,0.0294178264985702,0.273957398971813,1.61264799452883,2.05788977229615,1.15529117543435
mmu-miR-26a-5p,0.053185835265029,0.519779062476843,0.0157023908240536,1.61264799452883,0.788177340719337,2.05171241065865
mmu-miR-26b-5p,0.053185835265029,0.519779062476843,0.0157023908240536,1.61264799452883,0.788177340719337,2.05171241065865
mmu-miR-6964-3p,0.0545220980136779,0.410384471597028,0.0194876226802885,2.001457479801,0.701092107793685,2.70633999925245
mmu-miR-6930-3p,0.0570361214185803,0.0966406978607298,0.105139777661081,2.08429101095042,1.9160700542113,1.7830056990142
mmu-miR-124-3p.1,0.057688388172363,0.108746215802067,0.129937447431751,1.56595909718923,1.54512423792705,1.40949343133026
mmu-miR-194-5p,0.057688388172363,0.108746215802067,0.129937447431751,1.56595909718923,1.54512423792705,1.40949343133026
mmu-miR-22-5p,0.057688388172363,0.219839919847605,0.0667446740676949,1.56595909718923,1.25474391864796,1.61024759203205
mmu-miR-302a-3p,0.057688388172363,0.0471326741986865,0.228925971067778,1.56595909718923,1.85092697577816,1.21936889848351
mmu-miR-302d-3p,0.057688388172363,0.0471326741986865,0.228925971067778,1.56595909718923,1.85092697577816,1.21936889848351
mmu-miR-3475-3p,0.0577039471300255,0.213188729112355,0.0438509664066398,2.22263336618876,1.16944773995553,2.54819067672359
mmu-miR-6715-3p,0.0577039471300255,0.0491843094462665,0.164770020603322,2.22263336618876,2.63548955649426,1.48491988586694
mmu-miR-6972-5p,0.0577039471300255,0.213188729112355,0.0438509664066398,2.22263336618876,1.16944773995553,2.54819067672359
mmu-miR-16-1-3p,0.0591272813999691,0.00605414693473485,0.527135997823187,1.66930008947921,2.85346724994851,0.818104961066166
mmu-miR-292b-5p,0.0640860521605136,0.538376359984766,0.0188432929755985,1.55861428851374,0.768832271875544,1.98925406028752
mmu-miR-294-5p,0.0640860521605136,0.538376359984766,0.0188432929755985,1.55861428851374,0.768832271875544,1.98925406028752
mmu-miR-147-3p,0.068617349668179,0.0892591008431314,0.150414598355484,1.79623531140786,1.86089053392383,1.48587448833492
mmu-miR-142a-5p,0.0686686715964735,0.234337472087063,0.0758261625562686,1.51823320872872,1.22537783952876,1.567622359017
mmu-miR-144-5p,0.0747941655916108,0.441300735533644,0.0265312952098515,1.81909447194996,0.657172343385121,2.48027480117647
mmu-miR-145a-3p,0.0747941655916108,0.178512492072407,0.0859502824896171,1.81909447194996,1.40427096761472,1.82960663757569
mmu-miR-3065-5p,0.0747941655916108,0.178512492072407,0.0859502824896171,1.81909447194996,1.40427096761472,1.82960663757569
mmu-miR-191-3p,0.0808984463574611,0.346218092157868,0.0400548228061475,1.85229604160109,0.809140567418526,2.37947597000065
mmu-miR-217-5p,0.0809625206288581,0.128392075388525,0.159184157496264,1.47331443229713,1.4728137298389,1.33858680639326
mmu-miR-299a-3p,0.0809625206288581,0.249120550696161,0.0856503560459042,1.47331443229713,1.19734643421498,1.52718069510014
mmu-miR-299b-3p,0.0809625206288581,0.249120550696161,0.0856503560459042,1.47331443229713,1.19734643421498,1.52718069510014
mmu-miR-758-3p,0.0809625206288581,0.249120550696161,0.0856503560459042,1.47331443229713,1.19734643421498,1.52718069510014
mmu-miR-31-3p,0.086219437630207,0.0112996367081128,0.485404869590868,1.9047051155033,3.95877417976414,0.593266135963446
mmu-miR-7090-5p,0.086219437630207,0.246477099643306,0.0612571487304933,1.9047051155033,1.0523749763893,2.2293936153656
mmu-miR-873b,0.086219437630207,1,0.0133901473398961,1.9047051155033,1,3.40073534448121
mmu-miR-16-5p,0.0901410687204916,0.099569730882415,0.209970721860879,1.46067717619525,1.58399004390528,1.25166320745605
mmu-miR-302b-3p,0.0901410687204916,0.0421763843501934,0.34162728972184,1.46067717619525,1.8988251718578,1.06594388494488
mmu-miR-369-3p,0.0901410687204916,0.205657744863068,0.116492176503229,1.46067717619525,1.28554232311728,1.44782093632852
mmu-miR-505-3p.2,0.0901410687204916,0.0421763843501934,0.34162728972184,1.46067717619525,1.8988251718578,1.06594388494488
mmu-miR-33-3p,0.0989016797376192,0.471300966076134,0.0350762473335356,1.66724450293715,0.618419845964172,2.28915269431788
mmu-miR-142a-3p.1,0.105353262727427,0.0180144713387891,0.526066405240283,1.41615983496789,2.17355510185897,0.867978923272933
mmu-miR-146a-5p,0.105353262727427,0.00610969153027428,0.689447757504226,1.41615983496789,2.51396863861958,0.705286065862657
