Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
mmu-miR-6905-5p,308,16,4,0.000444593993465067,7.40171229710543,Luc7l3;Ncor1;Srrm1;Tcf12
mmu-miR-1231-5p,308,16,4,0.000444593993465067,7.40171229710543,Luc7l3;Ncor1;Srrm1;Tcf12
mmu-miR-6972-5p,308,10,3,0.000600499914476051,9.49078660207219,Cd226;Ccne1;Grap2
mmu-miR-3475-3p,308,10,3,0.000600499914476051,9.49078660207219,Cd226;Ccne1;Grap2
mmu-miR-7219-5p,308,10,3,0.000600499914476051,9.49078660207219,Sept7;Plxdc2;Slmap
mmu-miR-16-1-3p,308,33,5,0.00265271382254735,3.97032315200651,Eif5b;Ktn1;Klf3;Polr3g;Ttc14
mmu-miR-592-5p,308,45,6,0.00301885574604534,3.42633382598956,Sass6;Mctp2;Rock1;Nemf;Angptl2;Tcf12
mmu-miR-21c,308,49,6,0.00492670479732578,3.10586880122898,Peli1;Suz12;Gramd3;Klf3;Pbrm1;Tanc1
mmu-miR-133a-3p.1,308,49,6,0.00492670479732578,3.10586880122898,Tagln2;Zfp280c;Appl2;Smek1;Slbp;Cacng4
mmu-miR-106a-3p,308,49,6,0.00492670479732578,3.10586880122898,Ikzf2;Prrc2c;Map4;Smek1;Fkbp5;Angptl2
mmu-miR-17-3p,308,49,6,0.00492670479732578,3.10586880122898,Ikzf2;Prrc2c;Map4;Smek1;Fkbp5;Angptl2
mmu-miR-20b-3p,308,49,6,0.00492670479732578,3.10586880122898,Ikzf2;Prrc2c;Map4;Smek1;Fkbp5;Angptl2
mmu-miR-3544-5p,308,18,3,0.00663875806188927,4.42568654130874,Eif3a;Polq;Mgat4a
mmu-miR-138-2-3p,308,10,2,0.00780354140498567,5.51835303607345,Cep57l1;Uba6
mmu-miR-450a-5p,308,11,2,0.0103880722158055,4.90525571104558,Slc43a1;Creb1
mmu-miR-540-3p,308,11,2,0.0103880722158055,4.90525571104558,Cdk8;Nfam1
mmu-miR-27b-5p,308,11,2,0.0103880722158055,4.90525571104558,Cd160;Agl
mmu-miR-7038-3p,308,11,2,0.0103880722158055,4.90525571104558,Xrn1;Tcf12
mmu-miR-202-3p,308,21,3,0.0117176633903342,3.68654176776508,Rcn1;Gramd3;Zbtb25
mmu-miR-184-5p,308,21,3,0.0117176633903342,3.68654176776508,Setd2;Phf20l1;Thoc1
mmu-miR-497a-5p,308,45,5,0.0126113940492604,2.77451411041109,Kif23;Suz12;Ccne1;Rbm6;Hif1a
mmu-miR-1224-5p,308,45,5,0.0126113940492604,2.77451411041109,Prpf40a;Cdk6;Klf3;Prpf4b;Ttc14
mmu-miR-6999-5p,308,12,2,0.0134105536750612,4.41449301455152,Parpbp;Smc3
mmu-miR-7054-5p,308,12,2,0.0134105536750612,4.41449301455152,Parpbp;Smc3
mmu-miR-1199-5p,308,12,2,0.0134105536750612,4.41449301455152,Dgke;Gpr171
mmu-miR-195b,308,46,5,0.0139884622790761,2.70646948022773,Kif23;Suz12;Ccne1;Rbm6;Hif1a
mmu-miR-15a-5p,308,46,5,0.0139884622790761,2.70646948022773,Kif23;Suz12;Ccne1;Rbm6;Hif1a
mmu-miR-15b-5p,308,46,5,0.0139884622790761,2.70646948022773,Kif23;Suz12;Ccne1;Rbm6;Hif1a
mmu-miR-16-5p,308,46,5,0.0139884622790761,2.70646948022773,Kif23;Suz12;Ccne1;Rbm6;Hif1a
mmu-miR-322-5p,308,46,5,0.0139884622790761,2.70646948022773,Kif23;Suz12;Ccne1;Rbm6;Hif1a
