Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
mmu-miR-1a-3p,462,50,10,0.000297411987862169,3.63435316838131,Cited2;Nck2;Srsf9;Lpar5;Phax;Ppib;Pgrmc1;Mxd1;Ndrg3;Smim14
mmu-miR-206-3p,462,50,10,0.000297411987862169,3.63435316838131,Cited2;Nck2;Srsf9;Lpar5;Phax;Ppib;Pgrmc1;Mxd1;Ndrg3;Smim14
mmu-miR-452-5p,462,47,8,0.00292847647987789,2.96955783240316,Myo10;Tes;Pde4d;Sumo3;Ssr4;Tmem147;Edc3;Mxd1
mmu-miR-143-3p,462,48,8,0.00340119321282528,2.8949064352492,Dynll2;Lmo4;Etv6;Gns;Itm2b;Ube2e3;Slc35a4;Atp10a
mmu-miR-34a-5p,462,43,7,0.00593637429260875,2.81014949872784,Snx15;Ppp1r11;Shkbp1;Sfmbt2;Ptms;Slc27a4;Limd2
mmu-miR-449b,462,44,7,0.00685254514969961,2.73353664532926,Snx15;Ppp1r11;Shkbp1;Sfmbt2;Ptms;Slc27a4;Limd2
mmu-miR-34b-5p,462,44,7,0.00685254514969961,2.73353664532926,Snx15;Ppp1r11;Shkbp1;Sfmbt2;Ptms;Slc27a4;Limd2
mmu-miR-34c-5p,462,44,7,0.00685254514969961,2.73353664532926,Snx15;Ppp1r11;Shkbp1;Sfmbt2;Ptms;Slc27a4;Limd2
mmu-miR-140-3p.1,462,45,7,0.00787169529170318,2.66131163675141,Polg;Arf5;Zfp706;Fam98b;Maf1;Slc27a4;Gm7120
mmu-miR-374b-5p,462,45,7,0.00787169529170318,2.66131163675141,Fkbp1a;Gadd45a;Etv6;Map2k6;Bola3;Edc3;Gng10
mmu-miR-137-3p,462,45,7,0.00787169529170318,2.66131163675141,Serp1;Ybx3;Fam220a;Ncoa3;Fam132a;Slc35a4;Mxd1
mmu-miR-410-3p,462,46,7,0.00900064232330347,2.59274032593277,Sypl;Trappc3;Mylip;Sfmbt2;Etv6;BC031181;Mxd1
mmu-miR-344d-3p,462,46,7,0.00900064232330347,2.59274032593277,Sypl;Trappc3;Mylip;Sfmbt2;Etv6;BC031181;Mxd1
mmu-miR-152-3p,462,47,7,0.0102462148040061,2.52757360015519,Gadd45a;Dynll2;Tmem9b;Psmb6;Edc3;Eogt;Zfp110
mmu-miR-142a-5p,462,48,7,0.0116152191222423,2.46551678318862,H1f0;Nck2;Herpud1;AI467606;Edc3;Med28;Rnh1
