Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
mmu-miR-126a-3p.2,1173,39,15,0.000245851109559511,3.17178142103999,Chdh;Smurf2;Chst2;Slc7a11;Lpp;Rfc1;Tax1bp1;Psd3;Smek1;Ankrd44;Ppm1b;Pik3r1;Abr;Cpeb4;Tead1
mmu-miR-6922-3p,1173,11,6,0.000601657487803484,6.0614395512342,Por;Klf4;Ddx6;Ubr5;Elavl4;Rc3h2
mmu-miR-135b-3p,1173,12,6,0.00123777125873646,5.050685496356,Tex9;Zfp458;Zfp953;Ebf3;Hnrnpr;Zfp738
mmu-miR-217-5p,1173,49,16,0.00154783954553988,2.45897668589089,Chn2;Suz12;Stag2;Bach2;Supt20;Atp1b1;Atp11c;Tbc1d15;Rab37;Usp15;Zc3h15;Stau2;Pds5b;Iars;Esco1;Pkp4
mmu-miR-544-3p,1173,45,15,0.00157203022480286,2.53484123488344,Spry1;Clspn;Cops2;Stag2;Kdm2b;Gucy2c;Cul4b;Guf1;Ttc14;Klf3;Echdc1;Naa15;Dis3;Gpbp1;Epha6
mmu-miR-693-3p,1173,23,9,0.00215684575675353,3.25108898109388,Plekha1;Agfg1;Nav2;Zbtb20;Fry;Arid4a;Ncf2;Polr1a;Tnpo1
mmu-miR-7017-3p,1173,13,6,0.00229997228016976,4.32852634116226,Slc7a11;Phf21a;Pou2f1;Rbm15;Sertad4;Ifngr2
mmu-miR-302b-5p,1173,17,7,0.00331259020127413,3.53633307170338,Dyrk2;Stag2;Mtdh;Guf1;Coq2;Gm9979;Ccdc171
mmu-miR-302c-5p,1173,17,7,0.00331259020127413,3.53633307170338,Dyrk2;Stag2;Mtdh;Guf1;Coq2;Gm9979;Ccdc171
mmu-miR-302d-5p,1173,17,7,0.00331259020127413,3.53633307170338,Dyrk2;Stag2;Mtdh;Guf1;Coq2;Gm9979;Ccdc171
mmu-miR-132-3p,1173,48,15,0.00335529281810049,2.3033905901276,Rras2;Tmem194b;Timm9;Kcna2;Ccdc71l;Ddx6;Fkbp2;Anp32a;Sgk3;Pacrg;Hmgxb4;Ssh2;Zscan21;Trim37;Dynll2
mmu-miR-212-3p,1173,48,15,0.00335529281810049,2.3033905901276,Rras2;Tmem194b;Timm9;Kcna2;Ccdc71l;Ddx6;Fkbp2;Anp32a;Sgk3;Pacrg;Hmgxb4;Ssh2;Zscan21;Trim37;Dynll2
mmu-miR-3084-3p,1173,32,11,0.00358835931484424,2.65054949606669,Smarca2;Cops2;Prpf4b;Fam208a;Irak1;Pgbd5;Naa15;Hook3;Dsc2;Dars2;Bptf
mmu-miR-301a-3p,1173,49,15,0.00423163379873593,2.23528203301628,Pmepa1;Agfg1;Slc12a7;Tax1bp1;Casd1;Hprt;Ddx6;Rbbp8;Lonrf1;Cdc73;Trim37;Syncrip;Sh3d19;Ccdc126;Snx2
