Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
mmu-miR-30c-2-3p,395,9,3,0.000963217346469002,8.5074747305925,Kdm2b;Ssr2;Dyrk1b
mmu-miR-6958-5p,395,9,3,0.000963217346469002,8.5074747305925,Kdm2b;Ssr2;Dyrk1b
mmu-miR-30c-1-3p,395,9,3,0.000963217346469002,8.5074747305925,Kdm2b;Ssr2;Dyrk1b
mmu-miR-503-5p,395,49,8,0.00134596238829602,3.34632812008878,Fam122a;Zfp423;Vstm2a;Cdca4;Ptk7;5031414D18Rik;Lurap1l;Aqp11
mmu-miR-378b,395,10,3,0.00153500346567813,7.28946581622881,Dnajc12;Bhlhe41;Uhrf1bp1l
mmu-miR-450a-5p,395,11,3,0.00230663435428426,6.37884916248578,Dusp10;Zfp385a;Vgll4
mmu-miR-6922-3p,395,11,3,0.00230663435428426,6.37884916248578,Por;Klf4;Elavl4
mmu-miR-497a-3p,395,13,3,0.00457127451725066,5.10211790172427,Hspa4l;Scrib;Wnt5a
mmu-miR-7052-3p,395,9,2,0.0112699538728253,4.84915303343248,Tgif1;Mrpl54
mmu-miR-144-3p,395,45,6,0.0115490361320024,2.62580557032062,Chn2;Gpr183;Pde4d;Smoc1;Pdcl;Efna2
mmu-miR-409-3p,395,45,6,0.0115490361320024,2.62580557032062,Cited2;Lmo4;Trp53inp2;Nxph1;Lamp1;Gm6658
mmu-miR-322-5p,395,46,6,0.012988245436731,2.55985470504354,Six6;Cox6b2;Sypl;5031414D18Rik;Lurap1l;Aqp11
mmu-miR-505-3p.2,395,46,6,0.012988245436731,2.55985470504354,Cited2;Arntl;Fam122a;Mxi1;Snx12;Rnf11
mmu-miR-744-5p,395,47,6,0.0145519753188774,2.49708677595831,Phldb3;Junb;Nrgn;Zfp385a;Akt1;Hoxc10
mmu-miR-28c,395,10,2,0.0154420754758883,4.24272259858464,Map1lc3b;Esrrg
mmu-miR-28b,395,10,2,0.0154420754758883,4.24272259858464,Map1lc3b;Esrrg
mmu-miR-383-5p.1,395,48,6,0.0162455800692845,2.43729225298581,Nxph1;Cd274;Hnrnph2;Tuba1a;Pygo1;Gmfg
mmu-miR-547-3p,395,28,4,0.0179275709355696,2.83649953585135,Hecw2;Klf4;Dyrk1b;St8sia4
mmu-miR-214-5p,395,49,6,0.018074255901353,2.38044042545688,Ccnjl;Sox4;Six6;Taf10;Spg21;Psmd8
mmu-miR-202-5p,395,49,6,0.018074255901353,2.38044042545688,Bag3;Fmnl2;Adrb3;Sypl;Hes5;Rnf11
mmu-miR-126a-3p.2,395,39,5,0.0198723620108583,2.50552677593737,Chdh;Chst2;Slc7a11;Psd3;Tead1
mmu-miR-5620-3p,395,11,2,0.0203678658964898,3.7705924133619,Lmo4;Sema6d
