Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
mmu-miR-217-5p,778,49,14,0.000157256879089408,3.27737856937559,Suz12;Stag2;Bach2;Supt20;Atp1b1;Atp11c;Tbc1d15;Rab37;Usp15;Zc3h15;Pds5b;Iars;Esco1;Pkp4
mmu-miR-101a-5p,778,26,9,0.000249555030268274,4.32224656728576,Ripk1;Ipo7;Rora;Crim1;Cir1;Mllt3;Wnk1;Hist1h2bh;Sp3
mmu-miR-7056-5p,778,11,5,0.000492264314550054,6.77967907194293,Phf21a;Stag2;Kpna3;Nlk;Acvrl1
mmu-miR-135b-3p,778,12,5,0.000893343419058059,5.80965353830596,Tex9;Zfp458;Zfp953;Hnrnpr;Zfp738
mmu-miR-302b-5p,778,17,6,0.00136423605471581,4.44005197185132,Dyrk2;Stag2;Mtdh;Guf1;Coq2;Ccdc171
mmu-miR-302c-5p,778,17,6,0.00136423605471581,4.44005197185132,Dyrk2;Stag2;Mtdh;Guf1;Coq2;Ccdc171
mmu-miR-302d-5p,778,17,6,0.00136423605471581,4.44005197185132,Dyrk2;Stag2;Mtdh;Guf1;Coq2;Ccdc171
mmu-miR-3084-3p,778,32,9,0.00164181626842115,3.19153829761423,Smarca2;Cops2;Prpf4b;Fam208a;Irak1;Naa15;Hook3;Dars2;Bptf
mmu-miR-301a-3p,778,49,12,0.00188678749523315,2.64996320124369,Pmepa1;Agfg1;Slc12a7;Tax1bp1;Casd1;Hprt;Ddx6;Rbbp8;Cdc73;Trim37;Syncrip;Snx2
mmu-miR-301b-3p,778,49,12,0.00188678749523315,2.64996320124369,Pmepa1;Agfg1;Slc12a7;Tax1bp1;Casd1;Hprt;Ddx6;Rbbp8;Cdc73;Trim37;Syncrip;Snx2
mmu-miR-693-3p,778,23,7,0.00223559130783077,3.56311316651603,Plekha1;Agfg1;Zbtb20;Fry;Arid4a;Polr1a;Tnpo1
mmu-miR-126a-3p.2,778,39,10,0.0024515467921561,2.81370216358157,Smurf2;Lpp;Rfc1;Tax1bp1;Smek1;Ankrd44;Ppm1b;Pik3r1;Abr;Cpeb4
mmu-miR-6972-5p,778,10,4,0.00249148068118153,5.4163458822338,Ccne1;Cd226;Treml2;Grap2
mmu-miR-3475-3p,778,10,4,0.00249148068118153,5.4163458822338,Ccne1;Cd226;Treml2;Grap2
mmu-miR-187-5p,778,10,4,0.00249148068118153,5.4163458822338,Hipk2;Xpo4;Nr2c2;Ssbp3
mmu-miR-544-3p,778,45,11,0.0026637334571761,2.64128889627503,Clspn;Cops2;Stag2;Cul4b;Guf1;Ttc14;Klf3;Echdc1;Naa15;Dis3;Gpbp1
mmu-miR-302c-3p,778,46,11,0.0032515744354764,2.56543326976919,Asf1b;Suz12;Tax1bp1;Acsl5;Arid4b;Bach2;Cxxc5;Kpnb1;Tubg1;Xiap;Zfp654
