Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
mmu-miR-376c-5p,627,18,6,0.000553627164754058,5.17974002649293,Adam12;Clic4;Eif4e3;Myo18a;Pde10a;Ift88
mmu-miR-376b-5p,627,18,6,0.000553627164754058,5.17974002649293,Adam12;Clic4;Eif4e3;Myo18a;Pde10a;Ift88
mmu-miR-152-3p,627,47,11,0.000607362012052865,3.1797352634806,Txnip;Gadd45a;Mgat5;Ypel3;D1Ertd622e;Edc3;Ppp1r9b;Dock6;Mtmr12;Stam;Ppp1r10
mmu-miR-148a-3p,627,47,11,0.000607362012052865,3.1797352634806,Txnip;Gadd45a;Mgat5;Ypel3;D1Ertd622e;Edc3;Ppp1r9b;Dock6;Mtmr12;Stam;Ppp1r10
mmu-miR-148b-3p,627,47,11,0.000607362012052865,3.1797352634806,Txnip;Gadd45a;Mgat5;Ypel3;D1Ertd622e;Edc3;Ppp1r9b;Dock6;Mtmr12;Stam;Ppp1r10
mmu-miR-338-5p,627,30,8,0.000830213951653762,3.77365008197049,Paip2;Bahcc1;Cramp1l;Cdk17;Kdm4b;Golga2;Sp2;Eid1
mmu-miR-221-5p,627,26,7,0.00134391453530039,3.81884287137371,Tapt1;Usp3;Rragd;Trp53i11;Ralgps2;Atg13;Anks1
mmu-miR-450a-5p,627,11,4,0.00158030505768321,5.90557306645993,Slc43a1;Dusp10;Khdrbs1;Zfp385a
mmu-miR-126a-3p.2,627,39,9,0.00165428645233347,3.11475162488289,Slc7a11;Chdh;Lrrc1;Tead1;Tom1l1;Pik3r1;Psd3;Strbp;Tax1bp1
mmu-miR-183-5p,627,47,10,0.0021877328083797,2.80760589804308,Idh2;Dusp10;Ypel5;Ick;Lck;Ern1;Arfgap2;Plag1;Pex19;Ppp2cb
mmu-miR-301a-5p,627,18,5,0.00346992864501949,3.9773248591133,Ptprf;Slc38a9;Emc3;Snrnp27;Spcs2
mmu-miR-6952-3p,627,18,5,0.00346992864501949,3.9773248591133,Ptprf;Slc38a9;Emc3;Snrnp27;Spcs2
mmu-miR-301b-5p,627,18,5,0.00346992864501949,3.9773248591133,Ptprf;Slc38a9;Emc3;Snrnp27;Spcs2
mmu-miR-582-5p,627,45,9,0.0051155263472035,2.59334425048646,Cd24a;Pdcl;Rasl11b;Cd81;Pptc7;Rnf103;Zc3h12b;Pef1;Pex5
mmu-miR-204-5p,627,46,9,0.00603154511247723,2.52287795477976,Slc43a1;Myo10;Ephb6;Ick;Ezr;Rnf103;Spop;Plag1;Baz2a
mmu-miR-302b-3p,627,46,9,0.00603154511247723,2.52287795477976,Ostm1;Txnip;Mgat5;Wdr45;Rnf103;Plag1;Suv420h1;Fbxl3;Tax1bp1
mmu-miR-1982-5p,627,20,5,0.0062167991186174,3.44649744857451,Vamp1;Arid2;Coro2b;Ctdsp2;Klf13
mmu-miR-302a-3p,627,47,9,0.00707041330277386,2.45612075827986,Ostm1;Txnip;Mgat5;Wdr45;Rnf103;Plag1;Suv420h1;Fbxl3;Tax1bp1
mmu-miR-302d-3p,627,47,9,0.00707041330277386,2.45612075827986,Ostm1;Txnip;Mgat5;Wdr45;Rnf103;Plag1;Suv420h1;Fbxl3;Tax1bp1
mmu-miR-382-5p,627,47,9,0.00707041330277386,2.45612075827986,Ick;Ddx3x;Paip2;Akirin1;Gmcl1;Fbxo28;Nkap;Spcs2;Gmfb
mmu-miR-320-3p,627,48,9,0.0082425242817737,2.39288571504474,Ctsl;Myo10;Btg2;Smarcd2;Edc3;Rnf103;Suv420h1;Fkbp1a;Tax1bp1
mmu-miR-135a-5p,627,48,9,0.0082425242817737,2.39288571504474,Txnip;Pdcl;Camk1g;Ick;1600012H06Rik;Mtmr12;4921507P07Rik;Anxa7;Fkbp1a
mmu-miR-135b-5p,627,48,9,0.0082425242817737,2.39288571504474,Txnip;Pdcl;Camk1g;Ick;1600012H06Rik;Mtmr12;4921507P07Rik;Anxa7;Fkbp1a
mmu-miR-134-5p,627,48,9,0.0082425242817737,2.39288571504474,Trp53i11;Lin7c;Rnf103;1600012H06Rik;Zc3h12b;Patz1;Ttc33;Vezf1;Fam192a
mmu-miR-27b-5p,627,11,3,0.0121574304386465,3.86865210974211,Cnot6;Cyb5d1;Gmcl1
mmu-miR-7038-3p,627,11,3,0.0121574304386465,3.86865210974211,Tcf12;Mef2a;Xrn1
mmu-miR-150-3p,627,11,3,0.0121574304386465,3.86865210974211,Dyrk1b;Arhgap24;Emc3
mmu-miR-31-3p,627,11,3,0.0121574304386465,3.86865210974211,Esrp2;Nfia;Klf6
mmu-miR-6387,627,23,5,0.0128853227003524,2.87081920738265,Mtss1;Nfatc3;Ppp2r5a;Ddx3x;Slc38a2
mmu-miR-210-3p,627,30,6,0.0138918079287191,2.58564693132711,Mef2a;Dennd6a;Pptc7;Adcy9;Tmem151b;Ccdc97
mmu-miR-211-5p,627,45,8,0.015535610359945,2.23888121797403,Slc43a1;Myo10;Ephb6;Ick;Ezr;Rnf103;Spop;Baz2a
mmu-miR-1224-5p,627,45,8,0.015535610359945,2.23888121797403,Dirc2;Klf3;Chp1;Ppp1r9b;Sestd1;Gabarapl2;Gtdc1;Med20
mmu-miR-1199-5p,627,12,3,0.0169795754399761,3.43865661335324,Dgke;Cdk17;Entpd5
mmu-miR-148a-5p,627,18,4,0.0173971977474101,2.94981882089148,Bcl6;Usp3;Nbr1;Suv420h1
mmu-miR-148b-5p,627,18,4,0.0173971977474101,2.94981882089148,Bcl6;Usp3;Nbr1;Suv420h1
