Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
mmu-miR-101a-5p,825,26,9,0.000404893029429021,4.04308959510938,Crim1;Rora;Ipo7;Mllt3;Rap1a;Wnk1;Tmem126a;Ripk1;Hist1h2bh
mmu-miR-7220-3p,825,46,13,0.000510928442082578,3.01548722865761,S1pr1;Bin1;Ssh2;Tusc3;Pgk1;Dnajb5;Kcna2;Cyld;Foxk2;Matr3;Thumpd1;Pja1;Slc25a3
mmu-miR-6387,825,23,7,0.00325309230887162,3.33310001745568,Stk39;Eml4;Zfp36l2;Pdia4;Hspe1;Ss18;Mmd
mmu-miR-873a-5p.1,825,45,11,0.00434460124805665,2.47005329532979,S1pr1;Ssh2;Tusc3;Pgk1;Dnajb5;Kcna2;Cyld;Matr3;Thumpd1;Pja1;Slc25a3
mmu-miR-543-3p,825,46,11,0.00526962803986318,2.39918871530114,Bach2;Sh2d3c;Cblb;Fkbp4;Chn2;Syncrip;Dnajb5;Tnfsf11;Srsf2;Gid4;Metap1
mmu-miR-873b,825,11,4,0.00538092585599611,4.3440692095617,Tspan14;Nup153;Mettl4;Arhgef2
mmu-miR-1258-5p,825,20,6,0.0056335141049104,3.26223286155091,Ptpn6;Mrrf;Traf3;Tgfb1;Fam173b;Arhgef2
mmu-miR-3084-3p,825,32,8,0.0089290531973106,2.53983284949142,Id2;Odc1;Irak1;9130401M01Rik;Smarca2;Dars2;Naa15;Cops2
mmu-miR-802-5p,825,49,11,0.00901002014125149,2.20877475433227,Rapgef4;Gnpnat1;Agfg1;Slc2a3;Traf3;Dock4;Nmt2;Cse1l;Cap2;Arpc2;Matr3
mmu-miR-144-3p,825,45,10,0.0123334689954766,2.17847397560764,Bach2;Gpr183;Chn2;Uchl3;Atp5g2;Ssb;Dnajc2;Syncrip;Tomm70a;Rap1a
mmu-miR-654-3p,825,18,5,0.013315373816466,2.9247818074574,Pacsin1;Cenpi;Mcmbp;Klf12;Ccdc14
mmu-miR-7651-5p,825,9,3,0.0142784378815213,3.79691938958815,Cdca7l;Pdk3;Slc39a10
mmu-miR-7052-3p,825,9,3,0.0142784378815213,3.79691938958815,Cd72;Agpat3;Cox5a
mmu-miR-7047-5p,825,9,3,0.0142784378815213,3.79691938958815,Atp5g1;Ankrd52;Rpp40
mmu-miR-3103-5p,825,9,3,0.0142784378815213,3.79691938958815,Atp5g1;Ankrd52;Rpp40
mmu-miR-7235-5p,825,9,3,0.0142784378815213,3.79691938958815,Atp5g1;Ankrd52;Rpp40
mmu-miR-6965-5p,825,9,3,0.0142784378815213,3.79691938958815,Atp5g1;Ankrd52;Rpp40
mmu-miR-24-3p,825,46,10,0.0145535332958123,2.11763950769862,Gpr174;Appl2;Dnmt3a;Cct3;Rap1a;Kcna2;Per1;Matr3;Rap1b;2010107E04Rik
mmu-miR-107-3p,825,47,10,0.0170617697401578,2.06009992716243,Bach2;Agfg1;9130401M01Rik;Actr2;Snrk;Mcm7;Kcna2;Micall1;Znrf2;Fubp1
mmu-miR-103-3p,825,47,10,0.0170617697401578,2.06009992716243,Bach2;Agfg1;9130401M01Rik;Actr2;Snrk;Mcm7;Kcna2;Micall1;Znrf2;Fubp1
mmu-miR-183-5p,825,47,10,0.0170617697401578,2.06009992716243,Bach2;Tmsb4x;Pkp4;Npc2;Dap;Hn1;Tsen54;Srsf2;Tmpo;Morc3
mmu-miR-122-5p,825,47,10,0.0170617697401578,2.06009992716243,Bach2;Ms4a6c;Slc2a3;Aldoa;Gm614;Pkm;Aldh18a1;Obfc1;P4ha1;G6pc3
mmu-miR-28a-3p,825,47,10,0.0170617697401578,2.06009992716243,Vim;Parp8;Pea15a;Dtl;Fignl1;Traf3;Rbms1;Tcf20;Per1;Matr3
mmu-miR-145a-5p,825,48,10,0.0198788816764383,2.0055977993917,Bach2;Add3;Ssh2;Fkbp3;Ndufa4;Naa25;Tmem9b;Abracl;Mtx3;Ddc
