Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
mmu-miR-376c-5p,358,18,4,0.00159906739941117,5.40726604610459,Adam12;Cox10;Eif4e3;Clic4
mmu-miR-376b-5p,358,18,4,0.00159906739941117,5.40726604610459,Adam12;Cox10;Eif4e3;Clic4
mmu-miR-1199-5p,358,12,3,0.00230739708132033,6.29471165199302,Rtn4rl1;Optc;Cdk17
mmu-miR-409-5p,358,48,7,0.00253153464656744,3.24636984979846,Lrp8;Gng12;Mtss1;Ptpn7;Marcks;Gpm6a;Khdrbs1
mmu-miR-432,358,29,5,0.00283675432144414,3.94893455947035,Sdpr;Arl5b;Il7;Sertad4;Sfpq
mmu-miR-7035-5p,358,13,3,0.00320121455251236,5.6648791104857,Nr4a3;Nav2;Pip4k2a
mmu-miR-6715-5p,358,31,5,0.00403727708719297,3.64390116672931,Jarid2;Trps1;Tead1;Gm12689;Spred2
mmu-miR-6516-5p,358,33,5,0.00557737124734251,3.38271740857994,Chdh;Ets2;Sdpr;Grid1;Camk1d
mmu-miR-344d-3p,358,46,6,0.00777577669660706,2.84462983593035,Cldn10;Rbl2;Nppc;Sypl;Prkd1;Rap1a
mmu-miR-344e-3p,358,46,6,0.00777577669660706,2.84462983593035,Cldn10;Rbl2;Nppc;Sypl;Prkd1;Rap1a
mmu-miR-493-5p,358,46,6,0.00777577669660706,2.84462983593035,Nav2;Basp1;Ltbp3;Purb;Rasl11b;Csnk1a1
mmu-miR-30c-2-3p,358,9,2,0.00858878916123362,5.38250872542363,Kdm2b;Dyrk1b
mmu-miR-6958-5p,358,9,2,0.00858878916123362,5.38250872542363,Kdm2b;Dyrk1b
mmu-miR-30c-1-3p,358,9,2,0.00858878916123362,5.38250872542363,Kdm2b;Dyrk1b
mmu-miR-374c-5p,358,47,6,0.00875073250881442,2.7748611662705,Chn2;Ern1;Ncoa3;Slc5a7;Prkd1;Gpr162
mmu-miR-383-5p.1,358,48,6,0.00981254677797853,2.70842431258862,Cd274;Slc22a3;Slc22a6;Slc2a6;Nxph1;Tuba1a
mmu-miR-300-5p,358,18,3,0.0112116884216045,3.77416377574022,Rtn4rl1;Hpd;Trim71
mmu-miR-3101-5p,358,18,3,0.0112116884216045,3.77416377574022,Zbtb10;Hpd;Nf1
mmu-miR-206-3p,358,50,6,0.0122135578347385,2.58447395198184,Cited2;Nck2;Anxa2;Ip6k2;Purb;Ncf2
mmu-miR-99b-5p,358,50,6,0.0122135578347385,2.58447395198184,Trib1;Kdm6b;Hs3st3b1;Igf1r;Raver2;Trim71
mmu-miR-100-5p,358,50,6,0.0122135578347385,2.58447395198184,Trib1;Kdm6b;Hs3st3b1;Igf1r;Raver2;Trim71
mmu-miR-99a-5p,358,50,6,0.0122135578347385,2.58447395198184,Trib1;Kdm6b;Hs3st3b1;Igf1r;Raver2;Trim71
mmu-miR-126a-3p.2,358,39,5,0.0127396733909354,2.78347528250321,Chdh;Psd3;Chst2;Slc7a11;Tead1
