Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
mmu-miR-6972-5p,663,10,5,0.000100041372157343,9.73048799751477,Ccne1;Treml2;Cd226;Grap2;Immt
mmu-miR-3475-3p,663,10,5,0.000100041372157343,9.73048799751477,Ccne1;Treml2;Cd226;Grap2;Immt
mmu-miR-133a-3p.1,663,49,12,0.000416624130078665,3.175178975776,Appl2;Tagln2;Slbp;Eif4b;Fkbp2;Rqcd1;Slc50a1;Aqp3;Sec11c;Rcl1;Prex1;Gm7120
mmu-miR-501-5p,663,9,4,0.000651054644143173,7.7739408639647,Dnajc15;Sephs1;Kif1c;Lpin1
mmu-miR-202-3p,663,21,6,0.00221466060824907,3.89309163943469,Gramd3;Rcn1;Zbtb25;Il6ra;Limd1;Slc25a4
mmu-miR-9-3p,663,49,10,0.00478687528735843,2.50199106044892,Ccnd2;Agfg1;Gid4;Elovl6;Cops2;Tbc1d15;Nxt2;Srpk2;Stag2;Tcea1
mmu-miR-544-3p,663,45,9,0.00756516122333218,2.43688599500722,Clspn;Cops2;Slc39a10;Stag2;Dis3;Immt;Ndufb9;Echdc1;Guf1
mmu-miR-881-3p,663,20,5,0.00815820319027335,3.23977862655988,4930523C07Rik;Gins2;Elf4;Rgs3;Slc43a2
mmu-miR-380-5p,663,10,3,0.0101306011321462,4.15804356490039,S1pr1;Ccr7;Prc1
mmu-miR-203-3p.2,663,47,9,0.0103591163068354,2.30790897501874,Tmem194b;Sptssa;D6Wsu163e;Stag2;Dis3;Hspe1;Cse1l;Gm7120;Xrn2
mmu-miR-200a-5p,663,35,7,0.0137043603002925,2.43253031937252,Atad2;Nampt;Chd7;Ipcef1;Wdr12;Armc1;Ube3a
mmu-miR-200b-5p,663,35,7,0.0137043603002925,2.43253031937252,Atad2;Nampt;Chd7;Ipcef1;Wdr12;Armc1;Ube3a
mmu-miR-21a-5p,663,49,9,0.013875292332486,2.19193388042926,Gramd3;Smad7;Gid4;Peli1;Tanc1;Rqcd1;Spg20;Stag2;Pdcd4
mmu-miR-21c,663,49,9,0.013875292332486,2.19193388042926,Gramd3;Smad7;Gid4;Peli1;Tanc1;Rqcd1;Spg20;Stag2;Pdcd4
mmu-miR-130b-3p,663,49,9,0.013875292332486,2.19193388042926,Pmepa1;Agfg1;Hprt;Casd1;Ulk2;Spg20;Fam57a;Trim37;Snx2
mmu-miR-301a-3p,663,49,9,0.013875292332486,2.19193388042926,Pmepa1;Agfg1;Hprt;Slc12a7;Casd1;Spg20;Fam57a;Trim37;Snx2
