Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
mmu-miR-1291,1794,9,6,0.0014606227606088,5.90199711560663,Adpgk;Ndufb9;Anp32a;Ubn1;Rictor;Efnb2
mmu-miR-22-3p,1794,48,21,0.00161918337090185,2.3045208736064,Vasp;Cyth3;Prcp;Clic4;Ddit4;Mgat5;4930523C07Rik;Purb;2410015M20Rik;Dnajb5;Snrk;Lgals1;Rgs2;Edc3;Fam49b;Lin7c;Tmem183a;Pdss1;Arpc5;Slc4a5;Csnk1a1
mmu-miR-7220-3p,1794,46,20,0.002181003423802,2.27835367104885,S1pr1;Bin1;Tusc3;Pgk1;Thumpd1;Map2k6;Slc25a3;Dnajb5;Tanc1;Pja1;Ssh2;Mybl2;Actr6;Bcl7a;Foxk2;Tom1l1;Map4k3;Ccdc117;Zswim5;Cyld
mmu-miR-324-5p,1794,46,20,0.002181003423802,2.27835367104885,Timeless;Ran;Ccne1;Rab37;Mafb;Suox;Klf7;Nipbl;Purb;Wdfy2;Htt;Luc7l3;Slco3a1;Psme3;Tollip;Znrf2;Rnf214;Tmcc1;Fbxo11;Zfx
mmu-miR-802-5p,1794,49,21,0.00224538009767804,2.22182111083405,Rapgef4;Gnpnat1;Slc2a3;Agfg1;Khdrbs1;Traf3;Rbm6;Nmt2;Cse1l;Sdc4;Ccdc71l;Fos;Tmed9;Arpc2;Atp6ap2;Glul;Eif4a2;Supt20;Psmd2;Zbtb42;D1Ertd622e
mmu-miR-145a-3p,1794,17,9,0.00343353302016141,3.32262791780431,Carm1;Inpp5k;Cers4;Mef2d;Plekhm3;Anapc15;Gprc5b;Nmt1;Tmem206
mmu-miR-6345,1794,17,9,0.00343353302016141,3.32262791780431,Taf1d;Phf20l1;Tmtc2;Nfia;Itgb1;Kpnb1;Yy1;Spopl;Zfp148
mmu-miR-6357,1794,17,9,0.00343353302016141,3.32262791780431,Taf1d;Phf20l1;Tmtc2;Nfia;Itgb1;Kpnb1;Yy1;Spopl;Zfp148
mmu-miR-873a-5p.1,1794,45,19,0.00404923389510312,2.16325783558951,S1pr1;Tusc3;Pgk1;Thumpd1;Map2k6;Slc25a3;Dnajb5;Tanc1;Pja1;Ssh2;Mybl2;Actr6;Ddx5;Bcl7a;Tom1l1;Map4k3;Ccdc117;Zswim5;Cyld
mmu-miR-499-5p,1794,48,20,0.00410101326320657,2.11486954270595,Nav2;Fyn;Zfp266;Kpna3;Purb;Myef2;Rqcd1;Tanc1;Snrk;Eef1a1;Osbpl1a;Bcl7a;Wtap;Mtmr12;Eif4a2;Tmbim6;Rragb;Sos2;Ralyl;Gnai3
mmu-miR-299a-5p,1794,48,20,0.00410101326320657,2.11486954270595,Tspan2;Nfkb1;Tdgf1;Slc14a1;Tiparp;Fam3c;Scfd2;Rpa2;Cep55;Naa25;Purb;Ppp2r5a;Denr;Lrrc29;Mat2a;Gnptg;Bcap31;Stx16;Far1;Cd83
mmu-miR-376c-5p,1794,18,9,0.00598532676062327,2.95286921408933,Adam12;Eif4e3;Clic4;Wee1;Rce1;Secisbp2l;Pde10a;Myo18a;Ift88
mmu-miR-376b-5p,1794,18,9,0.00598532676062327,2.95286921408933,Adam12;Eif4e3;Clic4;Wee1;Rce1;Secisbp2l;Pde10a;Myo18a;Ift88
mmu-miR-3084-3p,1794,32,14,0.00674794697472772,2.29939223382111,Id2;9130401M01Rik;Odc1;Irak1;Klf7;Dars2;Bptf;Nedd4l;Il2ra;Sdc4;Fam208a;Nfat5;Senp2;D1Ertd622e
mmu-miR-302a-3p,1794,47,19,0.00731679468158256,2.00804512277176,Tgfbr2;Parp8;Ostm1;Txnip;Hn1;Suv420h1;Mgat5;Tax1bp1;Purb;Wdr45;Chn2;Rnf103;Mknk2;Eif4b;Wdr1;Crk;Fbxl3;Prdm8;Ncoa7
mmu-miR-302d-3p,1794,47,19,0.00731679468158256,2.00804512277176,Tgfbr2;Parp8;Ostm1;Txnip;Hn1;Suv420h1;Mgat5;Tax1bp1;Purb;Wdr45;Chn2;Rnf103;Mknk2;Eif4b;Wdr1;Crk;Fbxl3;Prdm8;Ncoa7
mmu-miR-338-5p,1794,30,13,0.00919055870271766,2.2599199168671,Klf2;Hspa5;Cdk17;Sp2;Cramp1l;Cav2;Ppp6r3;Bahcc1;Abtb2;Hcn1;Paip2;Amotl1;Golga2
mmu-miR-7047-5p,1794,9,5,0.0107108724239604,3.68624519522869,Magi3;Atp5g1;Rpp40;Ankrd52;Rho
mmu-miR-3103-5p,1794,9,5,0.0107108724239604,3.68624519522869,Magi3;Atp5g1;Rpp40;Ankrd52;Rho
mmu-miR-7235-5p,1794,9,5,0.0107108724239604,3.68624519522869,Magi3;Atp5g1;Rpp40;Ankrd52;Rho
mmu-miR-6965-5p,1794,9,5,0.0107108724239604,3.68624519522869,Magi3;Atp5g1;Rpp40;Ankrd52;Rho
mmu-miR-543-3p,1794,46,18,0.0127349575364453,1.90112670339249,Bach2;Sh2d3c;Nck2;Cblb;Fkbp4;Fam117a;Ick;Gid4;Purb;Usp45;Dnajb5;Chn2;Epc1;Tanc1;Tnfsf11;Metap1;Eif4a2;Scn4a
mmu-miR-505-3p.2,1794,46,18,0.0127349575364453,1.90112670339249,Chd7;Arntl;Agfg1;Mxi1;Cited2;Aftph;Elovl5;Tax1bp1;Slc25a3;Snx12;Prss41;Pmp22;Ino80c;Tomm70a;Bcl7a;Ola1;Arpc5;Gnai3
mmu-miR-291a-3p,1794,46,18,0.0127349575364453,1.90112670339249,Tgfbr2;Parp8;Ostm1;Txnip;Hn1;Suv420h1;Mgat5;Tax1bp1;Purb;Wdr45;Chn2;Mknk2;Eif4b;Wdr1;Crk;Fbxl3;Prdm8;Ncoa7
mmu-miR-295-3p,1794,46,18,0.0127349575364453,1.90112670339249,Tgfbr2;Parp8;Ostm1;Txnip;Hn1;Suv420h1;Mgat5;Tax1bp1;Purb;Wdr45;Chn2;Mknk2;Eif4b;Wdr1;Crk;Fbxl3;Prdm8;Ncoa7
mmu-miR-302b-3p,1794,46,18,0.0127349575364453,1.90112670339249,Tgfbr2;Parp8;Ostm1;Txnip;Hn1;Suv420h1;Mgat5;Tax1bp1;Purb;Wdr45;Chn2;Rnf103;Mknk2;Eif4b;Crk;Fbxl3;Prdm8;Ncoa7
mmu-miR-3473g,1794,43,17,0.0129596464777607,1.93347714756636,Nabp1;Crim1;Map3k3;Rbmx;Kpna3;Nudcd2;Ppp6r3;Sox4;Vezf1;Arhgap12;Pbrm1;Rbms1;Tmcc1;Spopl;4930402H24Rik;D930015E06Rik;Ssx2ip
mmu-miR-147-3p,1794,20,9,0.0152123029099615,2.41523969993127,B4galt5;Ndufa4;Mef2a;Arsi;Hipk2;Agpat3;Bola2;Pptc7;AI593442
mmu-miR-6335,1794,23,10,0.0163789447823884,2.27119030434211,Bach2;Trps1;Zcchc24;Satb1;Zfp644;Yaf2;Ythdc1;Sptbn1;Tshz1;Ago2
mmu-miR-107-3p,1794,47,18,0.0164115680451022,1.83526986060438,Bach2;Agfg1;9130401M01Rik;Spats2l;Slamf1;Mcm7;Baz2a;Purb;Snrk;Ppp6r2;Rbm24;Micall1;Scaf8;Znrf2;Eva1a;Eif4b;Armc1;Csnk1a1
mmu-miR-103-3p,1794,47,18,0.0164115680451022,1.83526986060438,Bach2;Agfg1;9130401M01Rik;Spats2l;Slamf1;Mcm7;Baz2a;Purb;Snrk;Ppp6r2;Rbm24;Micall1;Scaf8;Znrf2;Eva1a;Eif4b;Armc1;Csnk1a1
mmu-miR-294-3p,1794,47,18,0.0164115680451022,1.83526986060438,Tgfbr2;Parp8;Ostm1;Txnip;Hn1;Suv420h1;Mgat5;Tax1bp1;Purb;Wdr45;Chn2;Mknk2;Eif4b;Wdr1;Crk;Fbxl3;Prdm8;Ncoa7
mmu-miR-183-5p,1794,47,18,0.0164115680451022,1.83526986060438,Bach2;Tmsb4x;Npc2;Pkp4;Dap;Hn1;Ick;Dusp10;Ypel5;Tsen54;Prr13;Lck;Idh2;Ern1;Foxn2;Crk;Rcn2;Mapk8ip1
mmu-miR-148a-3p,1794,47,18,0.0164115680451022,1.83526986060438,Bach2;Agfg1;Tmem9b;Txnip;Gadd45a;Npepl1;Mgat5;Psmb6;Ppp1r9b;Ypel3;Ddx6;Edc3;Tomm70a;Stam;Bcl7a;Ppp1r10;Mtmr12;D1Ertd622e
mmu-miR-148b-3p,1794,47,18,0.0164115680451022,1.83526986060438,Bach2;Agfg1;Tmem9b;Txnip;Gadd45a;Npepl1;Mgat5;Psmb6;Ppp1r9b;Ypel3;Ddx6;Edc3;Tomm70a;Stam;Bcl7a;Ppp1r10;Mtmr12;D1Ertd622e
mmu-miR-96-5p,1794,48,18,0.0208652903239318,1.77380363000043,Bach2;Tes;Cpm;Evi5l;Arpc5l;Ppp1r9b;Usp45;Rqcd1;Brwd1;Kpnb1;Sh3kbp1;Chst10;Mtmr12;Nkap;Klhl8;Slc39a1;Rab27a;Gnai3
mmu-miR-654-3p,1794,18,8,0.0210616386860635,2.36070818523537,Mr1;Pacsin1;Ccdc93;Cenpi;Mcmbp;Rnf145;Ccdc14;Slfn3
mmu-miR-211-5p,1794,45,17,0.0215921973943304,1.79457724618597,Slc43a1;Myo10;Ephb6;Ssrp1;Cox5a;Baz2a;Ick;Eef1e1;St7;Ezr;Fry;Chn2;Ddx6;Rnf103;Spryd7;Tomm70a;Spop
mmu-miR-128-3p,1794,45,17,0.0215921973943304,1.79457724618597,Tmsb10;Nav2;Mdn1;Sh2d3c;Gusb;Gltp;Traf3;Cited2;Gm7120;Ypel3;Rnf103;Clpp;Lbh;Mtmr12;Paip2;Rab27a;Slc5a3
