Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
mmu-miR-6345,816,17,7,0.000282976113996918,5.40484119963133,Taf1d;Phf20l1;Nfia;Itgb1;Yy1;Spopl;Zfp148
mmu-miR-6357,816,17,7,0.000282976113996918,5.40484119963133,Taf1d;Phf20l1;Nfia;Itgb1;Yy1;Spopl;Zfp148
mmu-miR-376c-5p,816,18,7,0.000458241908517269,4.91294490601008,Adam12;Eif4e3;Clic4;Secisbp2l;Pde10a;Myo18a;Ift88
mmu-miR-376b-5p,816,18,7,0.000458241908517269,4.91294490601008,Adam12;Eif4e3;Clic4;Secisbp2l;Pde10a;Myo18a;Ift88
mmu-miR-18a-3p,816,27,9,0.000527725164037087,3.86526973303293,Cited2;Zfp644;Cyb5d1;Vezf1;Dhx8;Rnf103;Brd8;Crp;Prrc2b
mmu-miR-7069-3p,816,27,9,0.000527725164037087,3.86526973303293,Cited2;Zfp644;Cyb5d1;Vezf1;Dhx8;Rnf103;Brd8;Crp;Prrc2b
mmu-miR-383-3p,816,48,13,0.000736295654944858,2.8782994060579,Runx1;Arsi;Osbpl11;Gata3;Kctd1;Suv420h1;Fbxw7;Zfp644;Patz1;Atad2b;Rab14;Ino80d;Celf2
mmu-miR-3473g,816,43,12,0.000777254338085036,2.99789041329905,Nabp1;Rbmx;Ppp6r3;Sox4;Vezf1;Arhgap12;Pbrm1;Tmcc1;Spopl;4930402H24Rik;D930015E06Rik;Ssx2ip
mmu-miR-6905-5p,816,16,6,0.00118243512492155,4.62741335254854,Tcf12;Nrp1;Pten;Luc7l3;Ncor1;Srrm1
mmu-miR-1231-5p,816,16,6,0.00118243512492155,4.62741335254854,Tcf12;Nrp1;Pten;Luc7l3;Ncor1;Srrm1
mmu-miR-324-5p,816,46,12,0.00155801164376239,2.73210605224869,Mafb;Klf7;Nipbl;Purb;Wdfy2;Luc7l3;Slco3a1;Tollip;Rnf214;Tmcc1;Fbxo11;Zfx
mmu-miR-148a-3p,816,47,12,0.00193112871789016,2.65363933513835,Txnip;Gadd45a;Mgat5;Ppp1r9b;Ypel3;Ddx6;Edc3;Stam;Bcl7a;Ppp1r10;Mtmr12;D1Ertd622e
mmu-miR-148b-3p,816,47,12,0.00193112871789016,2.65363933513835,Txnip;Gadd45a;Mgat5;Ppp1r9b;Ypel3;Ddx6;Edc3;Stam;Bcl7a;Ppp1r10;Mtmr12;D1Ertd622e
mmu-miR-3084-3p,816,32,9,0.0023598907112672,3.02308517390089,Klf7;Bptf;Nedd4l;Il2ra;Sdc4;Fam208a;Nfat5;Senp2;D1Ertd622e
mmu-miR-466m-3p,816,49,12,0.00289903199783146,2.50960455524243,Bcl6;Runx1;Cnot2;Setd7;Cbll1;Ppp1r9b;Senp7;Slco3a1;Ccnt2;Rgl1;Crem;D1Ertd622e
mmu-miR-466o-3p,816,49,12,0.00289903199783146,2.50960455524243,Bcl6;Runx1;Cnot2;Setd7;Cbll1;Ppp1r9b;Senp7;Slco3a1;Ccnt2;Rgl1;Crem;D1Ertd622e
mmu-miR-6387,816,23,7,0.00303416449394651,3.37493870226576,Mtss1;Nfatc3;Slc38a2;Ppp2r5a;Tnrc6b;Ddx3x;Nfat5
mmu-miR-126a-3p.2,816,39,10,0.00357891124628096,2.6648307346762,Slc7a11;Chdh;Pik3r1;Tax1bp1;Lrrc1;Psd3;Strbp;Tead1;Adamts9;Tom1l1
mmu-miR-493-5p,816,46,11,0.00482000158660339,2.42948727123457,Nav2;Cnot2;Baz2a;Tax1bp1;Rasl11b;Purb;Rab5a;Abtb2;Bcl7a;Psd2;Csnk1a1
mmu-miR-302b-3p,816,46,11,0.00482000158660339,2.42948727123457,Ostm1;Txnip;Suv420h1;Mgat5;Tax1bp1;Purb;Wdr45;Rnf103;Crk;Fbxl3;Prdm8
mmu-miR-450a-5p,816,11,4,0.00512844217867764,4.39849587626231,Slc43a1;Khdrbs1;Dusp10;Gna13
mmu-miR-7038-3p,816,11,4,0.00512844217867764,4.39849587626231,Tcf12;Mef2a;Xrn1;Lyrm5
mmu-miR-146a-5p,816,47,11,0.00581047228444793,2.36168028696881,Tdrkh;Slamf1;Usp3;Gm10521;Tmem120b;Rnf103;B3gnt5;Vasn;Edc3;Eif4g2;Ccdc117
mmu-miR-302a-3p,816,47,11,0.00581047228444793,2.36168028696881,Ostm1;Txnip;Suv420h1;Mgat5;Tax1bp1;Purb;Wdr45;Rnf103;Crk;Fbxl3;Prdm8
