Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
mmu-miR-7220-3p,978,46,14,0.00089504691479905,2.75198176067876,S1pr1;Bin1;Tusc3;Pgk1;Thumpd1;Slc25a3;Dnajb5;Tanc1;Pja1;Ssh2;Mybl2;Actr6;Foxk2;Cyld
mmu-miR-299a-5p,978,48,14,0.00146262679464391,2.58917910935441,Nfkb1;Tdgf1;Slc14a1;Fam3c;Scfd2;Rpa2;Cep55;Naa25;Denr;Mat2a;Gnptg;Bcap31;Far1;Cd83
mmu-miR-22-3p,978,48,13,0.00424187434655326,2.33302441907559,Vasp;Cyth3;Prcp;Ddit4;4930523C07Rik;2410015M20Rik;Dnajb5;Snrk;Lgals1;Fam49b;Tmem183a;Pdss1;Arpc5
mmu-miR-145a-3p,978,17,6,0.00518493958565272,3.41442562519574,Carm1;Cers4;Anapc15;Gprc5b;Nmt1;Tmem206
mmu-miR-29b-3p,978,49,13,0.00520106477815859,2.26773298242495,Bach2;Ifi30;Rpl5;Adamts10;Ppic;Kif18b;Dnmt3a;Cse1l;Foxn2;Mybl2;Tmem183a;Erp29;Arf5
mmu-miR-29c-3p,978,49,13,0.00520106477815859,2.26773298242495,Bach2;Ifi30;Rpl5;Adamts10;Ppic;Kif18b;Dnmt3a;Cse1l;Foxn2;Mybl2;Tmem183a;Erp29;Arf5
mmu-miR-29a-3p,978,49,13,0.00520106477815859,2.26773298242495,Bach2;Ifi30;Rpl5;Adamts10;Ppic;Kif18b;Dnmt3a;Cse1l;Foxn2;Mybl2;Tmem183a;Erp29;Arf5
mmu-miR-137-3p,978,45,12,0.00630295960725839,2.28235271436603,Appl2;Traf3;Fam220a;Nt5dc2;Ybx3;Snrk;Slc35a4;Cse1l;Kpnb1;Raver2;Ybx1;Slc25a5
mmu-miR-873a-5p.1,978,45,12,0.00630295960725839,2.28235271436603,S1pr1;Tusc3;Pgk1;Thumpd1;Slc25a3;Dnajb5;Tanc1;Pja1;Ssh2;Mybl2;Actr6;Cyld
mmu-miR-504-3p,978,14,5,0.00766184626169977,3.47521829991891,Map3k3;Xylt2;Prr13;Acsf3;Fam46a
mmu-miR-6387,978,23,7,0.00929691991456977,2.73935234736051,Pdia4;Stk39;Zfp36l2;Eml4;Hspe1;Mmd;Ss18
mmu-miR-802-5p,978,49,12,0.0134024466844102,2.03436275106116,Rapgef4;Gnpnat1;Slc2a3;Agfg1;Traf3;Nmt2;Cse1l;Fos;Tmed9;Arpc2;Eif4a2;Psmd2
mmu-miR-294-5p,978,44,11,0.0137691493841091,2.09005609345507,Tspan31;Xpo1;Srpk1;Rrm1;Ndfip1;Ebna1bp2;Eef1a1;Csk;Surf4;Dock9;Cyld
mmu-miR-292b-5p,978,44,11,0.0137691493841091,2.09005609345507,Tspan31;Xpo1;Srpk1;Rrm1;Ndfip1;Ebna1bp2;Eef1a1;Csk;Surf4;Dock9;Cyld
mmu-miR-128-3p,978,45,11,0.0164841274847821,2.0282859067037,Tmsb10;Mdn1;Sh2d3c;Gusb;Gltp;Traf3;Gm7120;Clpp;Lbh;Rab27a;Slc5a3
mmu-miR-543-3p,978,46,11,0.0195837142311281,1.97005593455544,Bach2;Sh2d3c;Cblb;Fkbp4;Gid4;Dnajb5;Chn2;Tanc1;Tnfsf11;Metap1;Eif4a2
mmu-miR-7651-5p,978,9,3,0.02569063591448,3.12287065381502,Cdca7l;Slc39a10;Pdk3
mmu-miR-7052-3p,978,9,3,0.02569063591448,3.12287065381502,Cd72;Agpat3;Cox5a
mmu-miR-7047-5p,978,9,3,0.02569063591448,3.12287065381502,Atp5g1;Rpp40;Ankrd52
mmu-miR-3103-5p,978,9,3,0.02569063591448,3.12287065381502,Atp5g1;Rpp40;Ankrd52
mmu-miR-7235-5p,978,9,3,0.02569063591448,3.12287065381502,Atp5g1;Rpp40;Ankrd52
mmu-miR-6965-5p,978,9,3,0.02569063591448,3.12287065381502,Atp5g1;Rpp40;Ankrd52
mmu-miR-1291,978,9,3,0.02569063591448,3.12287065381502,Adpgk;Ndufb9;Anp32a
mmu-miR-6902-5p,978,9,3,0.02569063591448,3.12287065381502,Sesn3;Gars;Dusp1
mmu-miR-145a-5p,978,48,11,0.0270546097075919,1.86285757988674,Bach2;Add3;Ndufa4;Tmem9b;Ddc;Fkbp3;Naa25;Abracl;Ssh2;Eif4b;Gphn
mmu-miR-145b,978,48,11,0.0270546097075919,1.86285757988674,Bach2;Add3;Ndufa4;Tmem9b;Ddc;Fkbp3;Naa25;Abracl;Ssh2;Eif4b;Gphn
mmu-miR-26a-5p,978,43,10,0.0285744836854264,1.89802198644107,Mdn1;Sfmbt2;Mtx2;Cks2;Dnmt3a;Ssh2;Faim;Mknk2;Fam136a;Rcn2
mmu-miR-26b-5p,978,43,10,0.0285744836854264,1.89802198644107,Mdn1;Sfmbt2;Mtx2;Cks2;Dnmt3a;Ssh2;Faim;Mknk2;Fam136a;Rcn2
mmu-miR-654-3p,978,18,5,0.0291173303925919,2.40448123116035,Pacsin1;Cenpi;Mcmbp;Ccdc14;Slfn3
mmu-miR-133a-3p.1,978,49,11,0.0314823382556509,1.81358646077985,Tagln2;Appl2;Slbp;Rcl1;Rce1;Gm7120;Rqcd1;Dusp1;Aqp3;Eif4b;Slc50a1
mmu-miR-7211-3p,978,14,4,0.0340622428016175,2.49933887022369,Ifrd2;Tmem126a;Sgsh;Foxk2
mmu-miR-151-5p,978,19,5,0.0377251525427226,2.23245495425614,Ecm1;Fam160a2;N4bp1;Aph1a;Lrrc14
mmu-miR-295-5p,978,19,5,0.0377251525427226,2.23245495425614,Slc7a1;Yaf2;Trim25;Zc3hav1l;Thnsl1
mmu-miR-6972-5p,978,10,3,0.0382247780779786,2.67656155593218,Cd226;Ccne1;Treml2
mmu-miR-3475-3p,978,10,3,0.0382247780779786,2.67656155593218,Cd226;Ccne1;Treml2
mmu-miR-380-5p,978,10,3,0.0382247780779786,2.67656155593218,Ccr7;S1pr1;Prc1
mmu-miR-188-3p,978,24,6,0.0387800821986487,2.08445158484714,S1pr1;Set;Krtcap2;Ddx27;Thnsl1;Gpx4
