Geneset,All_Pvalue,Down_Pvalue,Up_Pvalue,All_Odds,Down_Odds,Up_Odds
mmu-miR-1190,9.21925055669342e-05,0.000140210407868435,0.023514238967367,11.7168732281177,14.1093019834588,4.4507975258628
mmu-miR-1231-5p,0.00121799341909006,7.51409148571674e-05,1,5.85560923615232,11.0212180002024,1
mmu-miR-6905-5p,0.00121799341909006,7.51409148571674e-05,1,5.85560923615232,11.0212180002024,1
mmu-miR-1912-3p,0.001356167585405,3.38767767783807e-05,1,4.06767902729215,7.69291003822444,1
mmu-miR-3084-3p,0.001356167585405,0.000310211419461501,0.183730206966722,4.06767902729215,6.14232850080266,1.28858029123415
mmu-miR-324-5p,0.00296608448949665,0.00226609943731161,0.101776788204739,3.16609548086351,4.03766342767625,1.82266665085901
mmu-miR-181a-5p,0.00328268710055382,0.0235265336551273,0.0121598416836543,3.40909697745818,2.8965856757832,3.56339464834307
mmu-miR-181b-5p,0.00328268710055382,0.0235265336551273,0.0121598416836543,3.40909697745818,2.8965856757832,3.56339464834307
mmu-miR-181c-5p,0.00328268710055382,0.0235265336551273,0.0121598416836543,3.40909697745818,2.8965856757832,3.56339464834307
mmu-miR-181d-5p,0.00328268710055382,0.0235265336551273,0.0121598416836543,3.40909697745818,2.8965856757832,3.56339464834307
mmu-miR-19b-1-5p,0.00334055550766139,0.000142477901412277,1,3.82299733959418,7.21299563364939,1
mmu-miR-19b-2-5p,0.00334055550766139,0.000142477901412277,1,3.82299733959418,7.21299563364939,1
mmu-miR-148a-3p,0.00340933498935741,0.050579426850174,0.00551572206944379,3.08650807746335,2.23526979986007,3.77428374877878
mmu-miR-148b-3p,0.00340933498935741,0.050579426850174,0.00551572206944379,3.08650807746335,2.23526979986007,3.77428374877878
mmu-miR-152-3p,0.00340933498935741,0.050579426850174,0.00551572206944379,3.08650807746335,2.23526979986007,3.77428374877878
mmu-miR-6335,0.00685487836521057,0.000488082046879467,1,3.69506034979049,6.95636124200796,1
mmu-miR-1a-1-5p,0.00722980574854425,0.000810232551246112,1,4.3808120017621,8.22936685930073,1
