Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
mmu-miR-383-3p,1420,48,19,0.000501361123800696,2.6304898518815,Chd7;Tox;Osbpl11;Sesn3;Arsi;Gata3;Zfp644;Kctd1;Zbtb10;Fbxw7;Celf2;Runx1;Patz1;Rab14;Suv420h1;Fndc3a;Dyrk1a;Tardbp;Tbl1x
mmu-miR-3084-3p,1420,32,14,0.000565893070564154,3.11752082924694,Id2;Odc1;Klf7;Nedd4l;Prpf4b;H6pd;9130401M01Rik;Fam208a;D1Ertd622e;Senp2;Hook3;Il2ra;Bptf;Nfat5
mmu-miR-384-3p,1420,49,18,0.00192434077511209,2.32886850346024,Dck;Fam134b;Sytl2;Nav2;Msh6;Mospd1;Auh;Chmp5;Hs3st3b1;Usp15;Vps26a;Scaf8;Nhej1;Emb;Cpm;Anp32e;Fam78b;Otub2
mmu-miR-1912-3p,1420,32,13,0.00197456362908647,2.74004658090061,Chd7;Luc7l3;Pptc7;Emc6;Kdm6a;Snx2;Atrx;Kmt2c;Bnip3;Zswim6;Birc6;Mon2;Zfx
mmu-miR-324-5p,1420,46,17,0.0022278344883327,2.35032946006047,Ran;Nipbl;Luc7l3;Klf7;Htt;Wdfy2;Rab37;Psme3;Rnf214;Rap1a;Timeless;Tmcc1;Suox;Fam175b;Slco3a1;Fbxo11;Zfx
mmu-miR-26a-5p,1420,43,16,0.00257414951950939,2.37507742475087,Mdn1;Zfp266;Phf21a;Mtx2;Dnmt3a;Usp15;Rap1a;Scaf8;Ezh2;Ssh2;Sfmbt2;Kifap3;Rprd2;Trappc4;Atpaf1;Mknk2
mmu-miR-26b-5p,1420,43,16,0.00257414951950939,2.37507742475087,Mdn1;Zfp266;Phf21a;Mtx2;Dnmt3a;Usp15;Rap1a;Scaf8;Ezh2;Ssh2;Sfmbt2;Kifap3;Rprd2;Trappc4;Atpaf1;Mknk2
mmu-miR-147-3p,1420,20,9,0.00262947914014693,3.27172542025189,Mef2a;Arsi;Ndufa4;Pptc7;Agpat3;B4galt5;Hipk2;Bola2;Asxl3
mmu-miR-539-3p,1420,48,17,0.00384523676036826,2.1979620127348,Id2;Rsrp1;Tusc3;Slamf1;Cnot2;Ddx6;Srsf5;Usp15;Tbc1d15;Smek2;Scaf8;Snrk;Fam117a;Ssh2;Naa25;Fam107b;Rnf13
mmu-miR-202-3p,1420,21,9,0.00412735457909027,2.99881339236954,Gramd3;Zfp644;Rcn1;Zbtb25;Crtap;Mob4;Hk2;Senp2;Slc25a4
mmu-miR-362-5p,1420,46,16,0.00582262707501555,2.1365099176918,Lcp1;Chsy1;Traf3;Strn3;Zfp644;Luc7l3;Dennd6a;Olig3;Usp15;Cpeb4;Mrps18c;Aldh6a1;Rbm27;Prkca;Npepps;Dpp8
mmu-miR-322-3p,1420,32,12,0.00613307420169201,2.40091013354966,Chd7;Marcks;Lmo4;Pik3ca;Zfand4;Fbxw7;Sp3;Tnrc6b;Rc3h2;Paip2;Clasp1;Ube2v2
mmu-miR-3066-3p,1420,13,6,0.00709521564032639,3.42314092841399,Arl6ip6;Mtx2;Yaf2;Ppp6r3;March7;Ubr5
mmu-miR-3108-5p,1420,13,6,0.00709521564032639,3.42314092841399,Sass6;Jarid2;Galnt7;Nfia;Ubn2;Rpgrip1l
mmu-miR-183-5p,1420,47,16,0.00745307783887724,2.06725911264747,Bach2;Dap;Tmsb4x;Idh2;Tsen54;Ypel5;Pdcd4;Hn1;Lck;Slain1;Ick;Pkp4;Pde4d;Pex19;Npc2;Arfgap2
mmu-miR-34c-5p,1420,44,15,0.00878097013671189,2.07097409030137,Ptms;Ldha;Cbfa2t3;Thumpd1;Eno3;Ddx17;Limd2;Pkp4;Shkbp1;Sfmbt2;Smox;Golph3l;Ppp1r11;Fut8;Evi5l
mmu-miR-130b-5p,1420,37,13,0.00940072053762407,2.16756172723436,Smoc1;Mmp14;Prpf4b;Zbtb20;Zbtb10;Grap2;Ttc14;Cass4;Atp1a3;Ctdspl2;Acot13;Nfat5;Fbxo11
mmu-miR-142a-5p,1420,48,16,0.00943157133354348,2.00234234216276,Ranbp1;AI467606;Baz2a;Nck2;Ddx6;Rap1a;Rnf146;Ssh2;Cul4a;Etfdh;H1f0;Gmcl1;Med28;Mea1;Vmp1;Mbip
mmu-miR-126a-5p,1420,48,16,0.00943157133354348,2.00234234216276,Cdca7;Mboat1;Traf3;Nmrk1;Med11;Usp15;Ick;Gpbp1;Ctage5;Cask;Rtn4rl1;Rbm38;Ergic2;Polk;Tceanc2;Chd1l
mmu-miR-381-3p,1420,48,16,0.00943157133354348,2.00234234216276,Id2;Rsrp1;Tusc3;Slamf1;Cnot2;Ddx6;Srsf5;Usp15;Tbc1d15;Smek2;Scaf8;Snrk;Fam117a;Ssh2;Fam107b;Rnf13
mmu-miR-1258-5p,1420,20,8,0.0101188563348636,2.6635526816957,Traf3;Idh2;Ptpn6;Tgfb1;Mrrf;Pank2;Pex19;Arhgef2
mmu-miR-411-5p.2,1420,45,15,0.0111461306142128,2.00162961210152,Idh2;Mbnl2;Rnf149;Pfn1;Adpgk;Hadh;Zc3h12b;Prex1;Usp25;Yaf2;Zdhhc3;Ube2d1;Kifap3;Stx12;Tbr1
mmu-miR-802-5p,1420,49,16,0.011806777128478,1.94113529695636,Cap2;Gnpnat1;Traf3;Slc2a3;Rapgef4;Fos;Atp6ap2;Arpc2;Supt20;Srek1;D1Ertd622e;Rbm6;Khdrbs1;Pafah1b1;Glul;Dock4
mmu-miR-133a-3p.1,1420,49,16,0.011806777128478,1.94113529695636,Dusp1;Ppp1r9b;Rce1;Prex1;Akap9;Rcl1;Smek2;Zfp280c;Fkbp2;Tagln2;Stx5a;Vat1;Smek1;Zfp113;Ccdc117;Otub2
mmu-miR-466m-3p,1420,49,16,0.011806777128478,1.94113529695636,Abi2;Ppp1r9b;Cnot2;Senp7;Setd7;Bcl6;D1Ertd622e;Mkln1;Runx1;Stag2;Ccnt2;Rbm26;Cask;Cbll1;Dyrk2;Slco3a1
mmu-miR-466o-3p,1420,49,16,0.011806777128478,1.94113529695636,Abi2;Ppp1r9b;Cnot2;Senp7;Setd7;Bcl6;D1Ertd622e;Mkln1;Runx1;Stag2;Ccnt2;Rbm26;Cask;Cbll1;Dyrk2;Slco3a1
mmu-miR-369-3p,1420,46,15,0.0139853325017848,1.93653615732084,Desi1;Nck2;Dnajb5;9130401M01Rik;Setd2;Zc3h12b;Rap1a;Ick;Pde4d;Ncoa3;Uchl3;Trappc8;Rap1b;Rnf13;Ttc33
