Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
mmu-miR-3084-3p,805,32,11,0.00011231259544408,4.12161406450191,Klf7;Nedd4l;Prpf4b;H6pd;Fam208a;D1Ertd622e;Senp2;Hook3;Il2ra;Bptf;Nfat5
mmu-miR-142a-3p.1,805,47,13,0.000506593385654236,3.00981910701419,Dirc2;Marcks;AW549877;Strn3;Arntl;Asrgl1;Stam;Mob4;Rab14;Hgs;Tardbp;Stx12;Tmem59
mmu-miR-1912-3p,805,32,10,0.000521504569419684,3.57132305606773,Luc7l3;Pptc7;Kdm6a;Snx2;Atrx;Kmt2c;Bnip3;Birc6;Mon2;Zfx
mmu-miR-322-3p,805,32,10,0.000521504569419684,3.57132305606773,Marcks;Pik3ca;Zfand4;Fbxw7;Sp3;Tnrc6b;Rc3h2;Paip2;Clasp1;Ube2v2
mmu-miR-130b-5p,805,37,11,0.000537816057102661,3.32591019771986,Smoc1;Prpf4b;Zbtb20;Grap2;Ttc14;Cass4;Atp1a3;Ctdspl2;Acot13;Nfat5;Fbxo11
mmu-miR-383-3p,805,48,13,0.000641704428058611,2.9234247805789,Osbpl11;Arsi;Zfp644;Kctd1;Fbxw7;Celf2;Runx1;Patz1;Rab14;Suv420h1;Fndc3a;Dyrk1a;Tardbp
mmu-miR-6951-5p,805,43,12,0.000682273244750931,3.04476233737196,Esrp2;Vamp1;Kctd1;Usp15;Zbtb20;Fancl;Atg13;Ap5m1;Ttc14;Rufy2;Lnpep;Appl1
mmu-miR-384-3p,805,49,13,0.000806141672567817,2.84177835482622,Dck;Nav2;Msh6;Mospd1;Auh;Chmp5;Usp15;Vps26a;Scaf8;Nhej1;Emb;Anp32e;Fam78b
mmu-miR-6905-5p,805,16,6,0.00108937991869056,4.69931360142695,Tcf12;Nrp1;Luc7l3;Phf21a;Pten;Ncor1
mmu-miR-1231-5p,805,16,6,0.00108937991869056,4.69931360142695,Tcf12;Nrp1;Luc7l3;Phf21a;Pten;Ncor1
mmu-miR-3108-5p,805,13,5,0.00180342149756098,4.89043287583229,Sass6;Galnt7;Nfia;Ubn2;Rpgrip1l
mmu-miR-539-3p,805,48,12,0.00210066972751089,2.61992458058401,Rsrp1;Slamf1;Cnot2;Ddx6;Srsf5;Usp15;Tbc1d15;Smek2;Scaf8;Fam117a;Fam107b;Rnf13
mmu-miR-381-3p,805,48,12,0.00210066972751089,2.61992458058401,Rsrp1;Slamf1;Cnot2;Ddx6;Srsf5;Usp15;Tbc1d15;Smek2;Scaf8;Fam117a;Fam107b;Rnf13
mmu-miR-6969-5p,805,14,5,0.0028550499519771,4.34674427616602,Slc7a11;Fmr1;Brwd3;Ap5m1;Dyrk2
mmu-miR-362-5p,805,46,11,0.00431334259028402,2.46741686363125,Strn3;Zfp644;Luc7l3;Dennd6a;Olig3;Usp15;Cpeb4;Aldh6a1;Rbm27;Npepps;Dpp8
mmu-miR-200a-5p,805,35,9,0.00441942237498721,2.71475938176426,Wdr12;Klf7;Nfia;Sp3;Ube3a;Shprh;Papolg;Acot13;Brpf3
mmu-miR-200b-5p,805,35,9,0.00441942237498721,2.71475938176426,Wdr12;Klf7;Nfia;Sp3;Ube3a;Shprh;Papolg;Acot13;Brpf3
mmu-miR-382-5p,805,47,11,0.00520744863532681,2.39860061957009,Ddx3x;Nkap;Slain1;Ick;Fbxo28;Stag2;Gmfb;Mcm9;Gmcl1;Akirin1;Paip2
mmu-miR-320-3p,805,48,11,0.00624304160459877,2.33353603747347,Ctsl;Myo10;Tax1bp1;Btg2;Smarcd2;Rnf103;Usp15;Tbc1d15;Stag2;Suv420h1;Zfp113
mmu-miR-150-5p,805,49,11,0.00743490217091321,2.27163646242313,Tax1bp1;Myb;Tbc1d15;Krcc1;Mgat5;Pafah1b1;Them4;Stx5a;Gmcl1;Gdi1;Gdpd1
mmu-miR-135b-3p,805,12,4,0.00751619083993529,3.90728157282112,Zfp458;Zfp738;Zfp953;Tex9
