Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
mmu-miR-147-3p,615,20,6,0.00102677910062009,4.53463235212499,Ndufa4;Agpat3;B4galt5;Hipk2;Bola2;Asxl3
mmu-miR-7b-5p,615,47,10,0.0018736462153423,2.86857819914108,Slc5a3;Psme3;Pole4;0610007P14Rik;Lrrc59;Pde4d;Ddit4;Parp1;Ksr1;Mknk2
mmu-miR-7a-5p,615,47,10,0.0018736462153423,2.86857819914108,Slc5a3;Psme3;Pole4;0610007P14Rik;Lrrc59;Pde4d;Ddit4;Parp1;Ksr1;Mknk2
mmu-miR-6387,615,23,6,0.00257915696485721,3.73272650202099,Stk39;Zfp36l2;Pdia4;Eml4;Mmd;Hspe1
mmu-miR-204-3p,615,42,9,0.00260564128107204,2.89164729104678,Raver2;Arf3;Prpf19;Ubald1;Dusp4;Slc5a3;Ggt7;Cops6;Rtn4rl1
mmu-miR-7684-5p,615,42,9,0.00260564128107204,2.89164729104678,Raver2;Arf3;Prpf19;Ubald1;Dusp4;Slc5a3;Ggt7;Cops6;Rtn4rl1
mmu-miR-449a-5p,615,43,9,0.00313708751297868,2.80625805263706,Ldha;Thumpd1;Eno3;Limd2;Pkp4;Shkbp1;Sfmbt2;Smox;Ppp1r11
mmu-miR-34a-5p,615,43,9,0.00313708751297868,2.80625805263706,Ldha;Thumpd1;Eno3;Limd2;Pkp4;Shkbp1;Sfmbt2;Smox;Ppp1r11
mmu-miR-449c-5p,615,43,9,0.00313708751297868,2.80625805263706,Ldha;Thumpd1;Eno3;Limd2;Pkp4;Shkbp1;Sfmbt2;Smox;Ppp1r11
mmu-miR-449b,615,44,9,0.00375138439151693,2.72571044419119,Ldha;Thumpd1;Eno3;Limd2;Pkp4;Shkbp1;Sfmbt2;Smox;Ppp1r11
mmu-miR-34b-5p,615,44,9,0.00375138439151693,2.72571044419119,Ldha;Thumpd1;Eno3;Limd2;Pkp4;Shkbp1;Sfmbt2;Smox;Ppp1r11
mmu-miR-34c-5p,615,44,9,0.00375138439151693,2.72571044419119,Ldha;Thumpd1;Eno3;Limd2;Pkp4;Shkbp1;Sfmbt2;Smox;Ppp1r11
mmu-miR-128-3p,615,45,9,0.00445719237097695,2.64961909497938,Tmsb10;Mdn1;Sh2d3c;Traf3;Gusb;Gltp;Slc5a3;Ikzf1;Clpp
mmu-miR-7052-3p,615,9,3,0.00499477680871127,5.27055839570677,Agpat3;Mrpl54;Cox5a
mmu-miR-664-5p,615,14,4,0.00503188767899578,4.22139007681981,Galnt6;Runx3;Tmem248;Mrfap1
mmu-miR-7220-3p,615,46,9,0.00526352527781028,2.57763683600507,Bin1;Tusc3;Dnajb5;Thumpd1;Pgk1;Pja1;Ssh2;Otub2;Actr6
mmu-miR-1258-5p,615,20,5,0.00565365968133952,3.52082406992344,Traf3;Ptpn6;Tgfb1;Mrrf;Arhgef2
mmu-miR-299a-5p,615,48,9,0.00721533472686211,2.4447225778309,Nfkb1;Fam3c;Slc14a1;Naa25;Tdgf1;Mat2a;Cep55;Tceal8;Scfd2
mmu-miR-7222-5p,615,21,5,0.00734465172801945,3.30033134527414,Nr4a3;Bach2;Spred1;Aven;Hoxd8
mmu-miR-216b-5p,615,42,8,0.0087733992827213,2.49047700082654,Htt;Dnajb5;Rce1;Spcs3;Wdr1;Pkp4;Sorbs1;Zfp423
mmu-miR-20a-5p,615,50,9,0.00968431006125625,2.32470683232704,Cd274;Gnl1;Per1;Hn1;Nanos1;Ncoa3;Ssh2;1500011K16Rik;Mknk2
mmu-miR-26a-5p,615,43,8,0.0102653641629473,2.41896287766172,Mdn1;Mtx2;Dnmt3a;Rap1a;Ssh2;Sfmbt2;Trappc4;Mknk2
mmu-miR-26b-5p,615,43,8,0.0102653641629473,2.41896287766172,Mdn1;Mtx2;Dnmt3a;Rap1a;Ssh2;Sfmbt2;Trappc4;Mknk2
mmu-miR-873b,615,11,3,0.0113641362283295,3.95170595031165,Tspan14;Otulin;Arhgef2
mmu-miR-873a-5p.1,615,45,8,0.0138111863231853,2.28750908922177,Tusc3;Dnajb5;Thumpd1;Pgk1;Pja1;Ssh2;Otub2;Actr6
mmu-miR-505-5p,615,38,7,0.0146576980347171,2.38735567987265,Paqr7;Rbm19;B4galt5;Hipk2;Rnf144a;Smox;Sdc3
mmu-miR-495-3p,615,46,8,0.0158903471180063,2.22693134532378,Hspa5;Dnmt3a;Spsb1;Snrpb;Pde4d;Hspa4;Ddit4;Ppfibp1
mmu-miR-708-5p,615,47,8,0.0181902351387482,2.16957579783468,Ptpn6;Kit;Dnmt3a;Ssh2;Gmppb;Rap1b;Pmf1;Ssrp1
mmu-miR-28a-5p,615,47,8,0.0181902351387482,2.16957579783468,Ptpn6;Kit;Dnmt3a;Ssh2;Gmppb;Rap1b;Pmf1;Ssrp1
mmu-miR-155-5p,615,47,8,0.0181902351387482,2.16957579783468,Cd274;Ndfip1;Traf3;Tle4;Raver2;Jarid2;Lrrc59;Ssh2
mmu-miR-183-5p,615,47,8,0.0181902351387482,2.16957579783468,Bach2;Dap;Tmsb4x;Tsen54;Hn1;Pkp4;Pde4d;Npc2
mmu-miR-295-5p,615,19,4,0.0203216296272334,2.81219428723865,Slc7a1;Yaf2;Bloc1s5;Zc3hav1l
mmu-miR-218-5p,615,48,8,0.0207229044645681,2.11501968917354,Dusp5;Fam65b;Arpc1b;Slc5a3;Plgrkt;1810032O08Rik;Ikzf1;Pkp4
mmu-miR-125b-2-3p,615,48,8,0.0207229044645681,2.11501968917354,Chsy1;St6galnac4;B2m;Cd28;Set;Tmem248;Fam49b;Phf6
mmu-miR-504-5p,615,41,7,0.0227673439790968,2.17574168698099,Bora;0610007P14Rik;Yaf2;Crtam;Nlrc3;Ppargc1b;Ap2m1
mmu-miR-802-5p,615,49,8,0.0235000104399925,2.0631296924293,Cap2;Gnpnat1;Traf3;Slc2a3;Rapgef4;Fos;Arpc2;Dock4
mmu-miR-17-5p,615,50,8,0.026532725157276,2.01371718301121,Cd274;Gnl1;Hn1;Nanos1;Ncoa3;Ssh2;1500011K16Rik;Mknk2
mmu-miR-93-5p,615,50,8,0.026532725157276,2.01371718301121,Cd274;Gnl1;Hn1;Nanos1;Ncoa3;Ssh2;1500011K16Rik;Mknk2
mmu-miR-106a-5p,615,50,8,0.026532725157276,2.01371718301121,Cd274;Gnl1;Hn1;Nanos1;Ncoa3;Ssh2;1500011K16Rik;Mknk2
mmu-miR-20b-5p,615,50,8,0.026532725157276,2.01371718301121,Cd274;Gnl1;Hn1;Nanos1;Ncoa3;Ssh2;1500011K16Rik;Mknk2
