Geneset,TDP69Th_Vs_TDPsmTh.All_Pvalue,TDP69Th_Vs_TDPsmTh.Down_Pvalue,TDP69Th_Vs_TDPsmTh.Up_Pvalue,TDP69Th_Vs_TDPsmTh.All_Odds,TDP69Th_Vs_TDPsmTh.Down_Odds,TDP69Th_Vs_TDPsmTh.Up_Odds,T4int8ThVs_TDP69Th.All_Pvalue,T4int8ThVs_TDP69Th.Down_Pvalue,T4int8ThVs_TDP69Th.Up_Pvalue,T4int8ThVs_TDP69Th.All_Odds,T4int8ThVs_TDP69Th.Down_Odds,T4int8ThVs_TDP69Th.Up_Odds,T4SP69vsT4int8Th.All_Pvalue,T4SP69vsT4int8Th.Down_Pvalue,T4SP69vsT4int8Th.Up_Pvalue,T4SP69vsT4int8Th.All_Odds,T4SP69vsT4int8Th.Down_Odds,T4SP69vsT4int8Th.Up_Odds,T8SP69vsT4int8Th.All_Pvalue,T8SP69vsT4int8Th.Down_Pvalue,T8SP69vsT4int8Th.Up_Pvalue,T8SP69vsT4int8Th.All_Odds,T8SP69vsT4int8Th.Down_Odds,T8SP69vsT4int8Th.Up_Odds,T4int8Th_Vs_TDPsmTh.All_Pvalue,T4int8Th_Vs_TDPsmTh.Down_Pvalue,T4int8Th_Vs_TDPsmTh.Up_Pvalue,T4int8Th_Vs_TDPsmTh.All_Odds,T4int8Th_Vs_TDPsmTh.Down_Odds,T4int8Th_Vs_TDPsmTh.Up_Odds,T4SP69_Vs_TDPsmTh.All_Pvalue,T4SP69_Vs_TDPsmTh.Down_Pvalue,T4SP69_Vs_TDPsmTh.Up_Pvalue,T4SP69_Vs_TDPsmTh.All_Odds,T4SP69_Vs_TDPsmTh.Down_Odds,T4SP69_Vs_TDPsmTh.Up_Odds,T8SP69_Vs_TDPsmTh.All_Pvalue,T8SP69_Vs_TDPsmTh.Down_Pvalue,T8SP69_Vs_TDPsmTh.Up_Pvalue,T8SP69_Vs_TDPsmTh.All_Odds,T8SP69_Vs_TDPsmTh.Down_Odds,T8SP69_Vs_TDPsmTh.Up_Odds,T4SP69_Vs_TDP69Th.All_Pvalue,T4SP69_Vs_TDP69Th.Down_Pvalue,T4SP69_Vs_TDP69Th.Up_Pvalue,T4SP69_Vs_TDP69Th.All_Odds,T4SP69_Vs_TDP69Th.Down_Odds,T4SP69_Vs_TDP69Th.Up_Odds,T8SP69_Vs_TDP69Th.All_Pvalue,T8SP69_Vs_TDP69Th.Down_Pvalue,T8SP69_Vs_TDP69Th.Up_Pvalue,T8SP69_Vs_TDP69Th.All_Odds,T8SP69_Vs_TDP69Th.Down_Odds,T8SP69_Vs_TDP69Th.Up_Odds
let-7/98/4458/4500,0.115680425272593,0.0915791453480652,0.424528955644172,1.09364237809717,1.12572834147286,1.01357186118457,0.450371496092533,0.334887275320839,0.564779479281721,1.00642623741658,1.04025548403955,0.978835200357803,0.676975463075996,0.925363392464764,0.240828107160612,0.954248261424102,0.80949076013536,1.07339335888634,0.230605645913976,0.0678072212356174,0.704025354546542,1.07218641228159,1.20159579976601,0.907448450908376,0.727803283044024,0.379535631698976,0.843160765230297,0.950192530068517,1.02522108459073,0.898272070578277,0.098401364312643,0.0238669629606778,0.58038830569573,1.09950919798445,1.20834262026171,0.976493624365154,0.315216525194261,0.0131297062527982,0.954252251634331,1.03364109104519,1.21394846234684,0.842525705280013,0.113293038698534,0.0587009671155145,0.386171385844349,1.10194795033943,1.2082115905501,1.02301585022776,0.634308129325979,0.0184108608667615,0.991912530075548,0.968112649896585,1.2428664281418,0.762423053223978
miR-101/101ab,0.00239977898050273,0.000134756432450998,0.609239160147329,1.29327321466594,1.47031060268659,0.954181140985908,3.94376351895766e-05,0.113721204712109,9.07334717642905e-05,1.43861978281614,1.15794613238433,1.49601753260409,0.475656218341881,0.11815704767265,0.811569827583743,0.999571993076566,1.18271889631485,0.871511107926402,0.0811310781547621,5.84849602450895e-07,0.99998483040606,1.1768934913247,1.9608636000067,0.352763698520076,0.389566292208783,0.0682755939991464,0.854377439432481,1.02189123738911,1.18425227329333,0.869908024389502,0.00677511400856736,0.000147385910833966,0.63199109506318,1.24758115822844,1.50312882812968,0.955289686535348,0.110025889331489,0.000586886672533817,0.968597503440592,1.11282459571584,1.40116767285152,0.790926747390417,0.483377969904181,0.497238815667021,0.451791338036085,0.998179736748007,0.984934538167303,1.00592372454978,0.297486201226337,0.0243348285940955,0.873597087683144,1.04858918833167,1.27786498237691,0.852000332724994
miR-103a/107/107ab,0.469458778205306,0.0760862097430574,0.930711247268458,1.0017694277331,1.18760698592835,0.781552414471941,0.0121076286880656,0.954822346229924,2.0924296995399e-05,1.265531142883,0.745871281824403,1.63589703642939,0.327557885053987,0.0159583158479295,0.902037714316672,1.04758363961706,1.40828570530606,0.794534295794555,1.49751703148141e-06,4.43216791423775e-11,0.814897715877718,1.8055141241806,2.60559117514744,0.795275138166215,0.270713601696277,0.875733160876167,0.0278204371706104,1.06104613590049,0.83415617838988,1.26984652166771,0.29508399631227,0.209787005902415,0.501763450837545,1.0519911971288,1.10520959164782,0.989789819847667,0.286103373194412,0.0541613048077618,0.815222943295526,1.0541361498163,1.20798244674917,0.876033680768301,0.209470977650407,0.666152368216161,0.0913567324298802,1.08958167345345,0.902103399049192,1.18036008574873,0.70725809138139,0.816028536475483,0.409044091513623,0.931746634661889,0.851101324732071,1.02069252646224
miR-10abc/10a-5p,0.563187058439946,0.295988009151752,0.757932350004032,0.96189857985659,1.0821727335901,0.829511808980452,0.182743059559262,0.837593994667238,0.022765925991979,1.13655318354646,0.766427267827903,1.40710653565396,0.872106206580911,0.336544073064975,0.953952442316711,0.788288783716231,1.06921812451284,0.626562828731032,0.180047971519907,0.00215831595437051,0.983782524400443,1.17308329072151,1.86614204956095,0.394029066170956,0.867196667239989,0.879869396630828,0.558820837915674,0.82443177751532,0.753732288041784,0.947743089038628,0.839623098591747,0.748235350528847,0.682262656944945,0.845120423847155,0.844272306409392,0.895265075663274,0.375189396415188,0.268619919452302,0.545850598931102,1.03617958422604,1.09650446322182,0.956573902217729,0.0755969439733469,0.41653728759301,0.0519264562478626,1.24533136777938,1.0116631792582,1.32598293922388,0.627162092594296,0.622964217947848,0.492647912297569,0.932112260083964,0.900274284667943,0.977313755149987
miR-122/122a/1352,0.544103801993118,0.359022622131979,0.648790205877779,0.954499783907334,1.05365058738437,0.849618609948287,0.0873336257986167,0.53026912459922,0.033831108954657,1.28558085794034,0.926996460352297,1.48242688723731,0.230677668442637,0.215871434660371,0.335332480698779,1.14847762687966,1.20863638022053,1.07355288095141,0.22031938562391,0.0966363188872377,0.553197232887907,1.17403128393228,1.42299017616949,0.849829870166161,0.0450720028810356,0.243858079200017,0.0556703335998401,1.36824417336263,1.1478910438703,1.41430147655021,0.196134507193362,0.103570451423644,0.492792644124676,1.15876654836885,1.32024628059983,0.9695856177807,0.208681435322692,0.118791982051863,0.521522992507249,1.14707646775566,1.27130341006899,0.949471633800418,0.721265518485424,0.309929291436422,0.818118695931296,0.848731214592772,1.09991659572357,0.742371567137215,0.474516924809422,0.113164957599282,0.825259687130095,0.986855272603771,1.32929422877849,0.720176232616191
miR-124/124ab/506,8.36473653491694e-06,0.00021396875408399,0.0276853253536773,1.31234754899699,1.30147916276006,1.17489599316247,0.084911255022349,0.632174571948074,0.0230565948860457,1.09174816518965,0.964480033988125,1.16546652118976,0.0655180908157087,0.448742654731987,0.0349032747343091,1.11520211231931,1.00696408968346,1.17406005648631,0.214332718931156,0.317166441944311,0.246668354828224,1.06583118941984,1.04667687674631,1.07809972261476,4.10485446578863e-07,0.000249896792477397,0.00231555187198794,1.36451705906518,1.31947270080583,1.2469128904956,2.75285488674875e-05,0.00993175324324918,0.00279877864720666,1.28419242511281,1.20642194331899,1.22537116460882,7.0722652921884e-07,0.00094427970166571,0.00188228810043911,1.34266475771384,1.25541443209643,1.24444576796523,0.00154223666259868,0.243315768566113,0.00149209454698286,1.22252776183306,1.07097504082267,1.26099634635344,0.347548086545204,0.925901044558229,0.0324298007952266,1.02453131545086,0.865974642805199,1.16360829512269
miR-125a-3p/1554,0.244430414563484,0.0866187723966609,0.67487341722644,1.12684163432856,1.338993817045,0.825361071496353,0.783262568588914,0.960760363651989,0.255794448741169,0.818582487502078,0.496383222672228,1.13570993378176,0.657906776890711,0.166539533545816,0.889601140776943,0.869801169545319,1.28513628239226,0.609842677758957,0.100997304007465,0.0174612627005124,0.655589382238509,1.34020391644333,1.81014215315011,0.741979406954136,0.924253607855163,0.89601865227489,0.665576649123521,0.709161076227311,0.646606629546463,0.849292770973257,0.708481259948055,0.414822093940284,0.758540789818854,0.870453815375432,1.0131534358298,0.800653111913986,0.471583806633165,0.297045316203135,0.617942100682568,0.992271832662053,1.09871328045685,0.88663327118367,0.691325227264409,0.648662979873361,0.548793627345464,0.862023460296473,0.789984659711366,0.92532212023779,0.949200881076269,0.826110547900674,0.843485033476057,0.654239687581632,0.683869012677488,0.694448080256593
miR-125a-5p/125b-5p/351/670/4319,0.183936707092722,0.371640608342759,0.175516373614373,1.07989378848948,1.02920453344379,1.11021571957254,0.0442867807820444,0.429584954481673,0.0248372482740124,1.16262136258126,1.01283329603471,1.22858138434022,0.35116848119263,0.781092161701076,0.115925816468269,1.03426098841703,0.870382011547651,1.1530684615623,0.992922809040556,0.795477633512103,0.994638201245257,0.718013345141899,0.859184844341495,0.583440074188058,0.0364119498796333,0.0652187539003221,0.197727070665024,1.16929963363218,1.17944255353564,1.09232673060645,0.0163828795180583,0.165699377277752,0.0403491955550815,1.20097207031864,1.11057251052741,1.19196187480353,0.141384308669352,0.160831326498379,0.343945453893301,1.0934473532547,1.10297330744443,1.03774185538949,0.117147485348474,0.909057870335068,0.00857049675819205,1.11631320587373,0.790731161149369,1.28978193419546,0.124844678791062,0.0919821473464156,0.38870136162062,1.10972423490612,1.17128056717498,1.0256343404489
miR-126-3p,0.101168638400042,0.106552423775864,0.237888136308709,1.61562057847313,1.6494032271091,1.22835827189796,0.49321528476893,0.418896262643899,0.401889790375488,0.867985451968216,0.8394527574008,0.924627022207038,0.538959243211119,1,0.172856132271857,0.756181100082439,1,1.42323239999303,0.764341071822286,0.439037254401704,1,0.342985317376391,0.661414489868887,1,0.373229127265332,0.144078771814668,0.609751319859421,1.0237122312031,1.51312939302796,0.613452440792725,0.0709438506483547,0.306182012567437,0.053700380607823,1.76186060298312,1.08045903314484,1.96465500998924,0.228680187937639,0.289599472874938,0.230233002463525,1.2589745998632,1.13098865952396,1.25409870568359,0.150353676362626,0.46414571232176,0.0689979786491131,1.45678514308065,0.628145699376218,1.88426735055873,0.571206432070081,0.674247348939865,0.275827484170397,0.762003934314309,0.414811973464066,1.14107334733034
miR-127/127-3p,0.377912109753238,0.416124997594844,0.242630759900902,0.986250244416166,0.838504027866993,1.1908900419235,0.92814158440653,1,0.670346872328124,0.202289024557692,1,0.410649833596208,0.493285429744545,0.289923515295602,0.457656300923663,0.733370492926023,0.93141165598606,0.63169315947949,0.558257766925895,1,0.189847425336829,0.514878557941276,1,1.26585562638748,0.378261381927021,0.307818460662231,0.349351970453864,0.985723289468274,1.03071953265771,0.94878629671377,0.691529698823063,0.593615825716896,0.463010001810939,0.5861472892226,0.479746671556575,0.772368040549441,0.761414479046644,0.741024663919729,0.405612688188893,0.518668264387023,0.352970612561062,0.854465584648096,0.0682589919402603,0.285360501215338,0.0432278600794728,1.97329402577542,0.942844934867562,2.34476267903435,0.694491433657723,1,0.274651240816339,0.519396451862707,1,1.1064019625324
