Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
miR-875-5p,2108,66,29,0.000111590927840649,2.49204120751593,Ppm1e;2700081O15Rik;Casd1;Prkce;Zmiz1;Zfp652;Insig2;Mylip;Nufip2;Gnpnat1;Rnf139;Cd247;Asb7;Surf4;Styx;Fgd6;Rreb1;Ptpn12;Vamp1;Stag2;Ebf3;Metap2;Zswim6;Usp25;Ncoa2;Ccny;Usp31;Rev1;St18
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666,2108,606,182,0.000209667287913482,1.38707941518732,S1pr1;Myb;Zbtb7b;Abca1;Itpr1;Hecw2;Bcl2l11;Ugcg;Rapgef4;Myo10;Smurf2;Mlec;Arap2;Dennd4c;2700081O15Rik;Irf1;Rnf216;Zfp367;Bach2;Itpk1;Zadh2;Cyld;Cep170;Dcp2;Zbtb18;Casd1;Psd3;Txnip;Ikzf4;Tgfbr2;E2f2;Tmem50b;Zbtb44;Pitpnm2;Nrp1;Daam1;Lrig1;Adam12;Vps37b;Lypd6b;Runx3;Smoc1;Lclat1;Aak1;Tnpo1;Dpysl2;Sub1;Atg14;Tmem9b;Tnf;Enpp5;Taf4b;Zkscan8;Pea15a;Agfg1;Bbx;Ralgps2;Spg20;Etnk1;Scml4;Fam178a;Camta1;Ahr;Grb10;Sgcb;Mbnl1;Cmpk1;Asxl3;Mpped2;Rnf145;Tmem63b;Cd69;Gnpnat1;Hoxa3;Hivep2;Ccnd3;Lsm11;Usp32;Tmem55b;Rbm33;Rab5b;Tesk2;Ptgfrn;Psap;Dcun1d3;Phf3;Prr14l;Fam53b;Pxk;Prkaa1;Rab34;Fam222a;Whsc1l1;Ptpn14;Abcb7;B4galt5;Arhgef12;Tmcc1;Mafb;Ipcef1;Pvrl3;Ankib1;Ston2;Lin28a;Piga;Hbp1;Arx;Mllt6;Ulk2;Dnajc3;Rprd2;Npat;Naa50;Neurog1;Mybl1;Rbsn;Eif4e3;Zeb2;N4bp1;Snx2;Dip2a;Stxbp5;Lonrf1;Slc39a10;Sfmbt1;Slc12a7;Jmy;Kcnj10;Impdh1;Maf;Usp48;Acsl1;Csf1;Cdv3;Limd2;Atrn;Smoc2;Tbc1d12;Chic1;AU040320;Sowahb;Ldlrad4;Wnt1;Gda;Acvr1c;Ccny;Tardbp;Zfp275;Nhsl2;G3bp2;D230025D16Rik;Hprt;Arfgef1;Hadhb;Tgfbr1;Akap7;Igf2bp1;Usp47;Tmem170b;Mbnl3;Ubl3;Sh3bp5;Znrf3;Btg1;Ppp2r1b;Cnr1;Cblb;Tnrc6a;Ar;Slc25a44;Adcy7;2310035C23Rik;Inhbb;Cfl2;Ankrd10;St18;Tmem110;Tsc1;Gja1;Tbx20;Zfp704;Ppp2r5e
miR-124/124ab/506,2108,1296,354,0.00154223666259868,1.22252776183306,Zbtb7b;Bcl6;Abca1;Vim;Ikzf2;Sgms1;Chsy1;Ccnd2;B4galt1;Bcl2l11;Ugcg;Spry1;Rbl1;Myo10;Eaf1;Smurf2;Mlec;Sumf1;Inpp4b;Dennd4c;Lpp;Stk39;Slc9a6;Irf1;Rnf216;Parp9;Scd2;Pqlc3;Magt1;Slc29a1;Mllt3;Sept11;Egr1;Gch1;Slc9a9;Map3k3;Hivep3;Hadh;Bach2;Gng2;Nfatc1;Pgm2;Elovl5;St8sia1;Itgae;Tmod1;Bmf;Capn2;Pik3ip1;Galnt10;Flnb;Inpp4a;Fbxo30;Pgrmc2;Nr4a1;Rassf5;Tor3a;Sft2d2;Lysmd3;Fmnl2;Zfp706;Tacc2;Ipo8;Tet1;Sgpp1;Irf2bpl;Diaph2;Adam19;Ptbp3;Ampd3;Qsox1;Nrp1;Gm17296;Frmd4b;Lrig1;Rassf3;E2f3;Kif1b;Mitf;Sfxn1;Rbm24;Vps37b;Pml;Mcur1;Tmem184b;Agl;Rbms1;Galc;Ubr7;Lclat1;Aak1;Ankfy1;Ldlrap1;Myo1c;Suclg2;St3gal1;Aes;Rps6ka1;Eya2;Chd1;Zkscan8;Mboat2;Poglut1;Pea15a;Slc50a1;Marveld1;Man2a1;Slc27a1;Tmem109;Rnf114;Ralgps2;Prkaa2;Casc4;Gpam;Phf6;Lmbr1;Adipor2;Sgpl1;Atl3;Mfsd14b;Etnk1;Ptprj;Usp1;Fam178a;Camta1;Ahr;Ctdsp2;Cmpk1;Shc1;Gucd1;Alg2;Mylip;Nufip2;Slc30a7;Desi2;Zfp287;Sestd1;Yme1l1;Slc10a7;Trp53inp2;Stt3a;Arhgef4;Sypl;Hivep2;Ttc7;Tbc1d1;Fbxo27;Adamts3;Cnih4;Stard7;Rbm33;Tox;Slc39a9;Shisa7;Entpd5;Zbtb11;Cotl1;Ctns;Tfeb;Poc1b;Scn4b;Prr14l;Fam53b;Rufy1;Egr2;Rab34;Frmd8;Lpin1;Itpr3;Ski;Ptpn14;Vat1;Gria4;Nfatc2;Ncoa7;Kctd5;Spata13;Ankrd27;Arhgef1;Ipcef1;Sh3rf1;Lamc1;Gtf2a1;Lrrfip2;Pik3c2a;Tmem168;Pecr;Sppl2a;Zmpste24;Ankib1;Pan3;Ston2;Susd6;Dmrta1;Kpna3;Surf4;Ptpn9;Raph1;Styx;Ssr1;Hbp1;Cc2d1b;Grsf1;Tacc1;Ulk2;Stk38;Galnt12;Zdhhc17;Usp45;Lmo4;Dip2b;Nat8l;Slc35g1;Npat;Ccdc177;Anxa5;Cnn3;Sox8;Ube4a;Fam199x;Rreb1;Tmem260;Hmgxb4;Prr3;Ypel5;Ctdspl;Pter;Pus3;Neurl1b;Ankle2;Sntb2;Zfp740;Frs2;N4bp1;Ptpn12;Iqgap2;Zfp608;Gtf2e1;Dennd1b;Abca2;Cldnd1;Cebpg;Stag2;Ak3;Crebrf;Rap2b;Lonrf1;Rps6ka4;Enpp4;Ebf3;Vangl1;Shc4;Kif16b;Reep1;Metap2;Pim1;Fam81a;Acadsb;Myo1e;Usp48;Acsl1;Bckdha;Fzd5;Rab3d;Ndst1;Ginm1;Tom1l1;Limd2;Ap1g1;1190002N15Rik;Ptpn4;Chic1;Gria3;Rab27a;Nfasc;Dusp15;Cask;Sertad3;Ube2i;Ncoa2;Tmem134;Ccny;Pkn2;Mtx3;Ranbp10;Sertad4;Gk5;Zfp275;Nhsl2;Fam76a;Sema6d;G3bp2;Zfp831;Nav1;Serp1;Tgfbr1;Rfx5;Nme4;Atp1a1;Etv3;Igf2bp1;Cav1;Extl3;Nr2c2;Rpia;Zdhhc3;Fam117a;Cacna1e;Mtr;Znrf3;2900026A02Rik;Eci2;Kif26b;Snx6;Htr2c;Unc119b;Zfp503;Ar;Mdk;Slc35a4;Zcchc24;Rapgef1;Slc15a4;Ovol2;Abr;2310035C23Rik;Peak1;AI846148;Cand2;Phf19;Prdx6;Adcy6;D16Ertd472e;Sc5d;Cd164;Tcf3;Ankrd10;Dhrs1;Fam76b;Tmcc3;Nrcam;Pdcd6;Sptlc2;Tmem110;Tmem117;Limch1;Pus10;Tsku;Sp3;Zkscan3;Paxbp1;Cntn3;Tor1aip2;Tead1
miR-26ab/1297/4465,2108,672,193,0.00169774404583245,1.29793835145567,Als2;Abca1;Tmem64;Enc1;Chsy1;Ccnd2;Itpr1;B4galt1;Rcbtb1;Nampt;Eaf1;Mlec;Lpp;Gpr146;Slc7a11;Gltscr1l;Stk39;Dock4;Tspan14;Ttc28;Arl4c;Mllt3;Arpp21;Sfmbt2;Ap1s3;St8sia1;Zbtb18;Galnt10;Ctsl;Psd3;Pgrmc2;Dlg4;Arl6ip6;Xkrx;Tet1;Adam19;Fbxl17;Frmd4b;Rassf3;Mitf;Pxylp1;Adam12;Rbm24;Tmem184b;Slc25a16;Phf21a;Hipk2;Aak1;Esam;Ube2j1;Zfp516;Tbc1d4;Chd1;Ttc13;Man2a1;Impad1;Bbx;Galnt7;Fnip1;Phf6;Atl3;Etnk1;Scml4;Adrbk1;Ranbp9;Fam178a;Pdcd10;Grb10;Ctdsp2;Sgcb;Cd200;Ubac1;Nab1;Mkrn3;Gnpnat1;Trp53inp2;Crebzf;Lsm11;Pck1;Tcp11l2;Adam10;Dennd4a;Tesk2;Trib2;Phf3;Cd2ap;Hapln1;Celf2;Clasp2;Grhl3;Arhgef12;Tmcc1;Tbc1d32;Sh3rf1;Synpo2;Pik3c2a;Ankib1;Stradb;Styx;Derl2;Ppp1r15b;Grsf1;Chac1;Mtmr1;Cks2;Ttc9c;Ulk2;Cops2;Rprd2;Klhl42;Ube2h;Rbsn;Tmem260;Nlk;Ccnjl;Tet2;Rps6ka6;Pter;C77370;Frat2;Zfp608;Depdc1b;Dennd1b;Cldnd1;Zdhhc18;Cebpg;Crebrf;Stxbp5;Whsc1;Nup153;Shc4;Rnf170;Pim1;Arhgap26;Usp48;Col5a1;Fam118a;Zswim6;Nup50;Skp2;Usp25;Map9;Chic1;AU040320;Klf4;Gpsm1;Mapk6;Slc35e2;Plod2;Zdhhc7;Atpaf1;Acvr1c;Ranbp10;Zfp275;Senp5;Bhlhe40;Sema6d;G3bp2;Tram1;Suv420h2;Serp1;Arfgef1;Wnt5a;Akap7;Etv3;Pygo2;Klhl18;Nek6;Kifap3;Znrf3;Mmp16;Btg1;Usp37;Pgr;Zfp882;Cblb;Tnrc6a;Kpna6;Zcchc24;Abr;Rspry1;2310035C23Rik;Inhbb;Gatsl2;Adat1;Dusp18;Rtf1;Spock2;Zdhhc6;Foxp2;Ube3a;Hgf;Ctnnbip1
miR-182,2108,803,225,0.00298869514499479,1.25483682486905,Myb;Sgms1;Ccnd2;Skil;Esyt1;Hecw2;Zdhhc15;Ppm1e;Smad7;Foxo1;Nampt;Rapgef4;Lpp;Tex2;Arhgap29;Dock4;Atp8a1;Tspan14;Arl4c;Bach2;Zadh2;Wdr76;L1cam;Ostf1;Rab19;Add3;Cyld;Ap1s3;Camsap2;F13a1;Gpr155;Tmem50b;Mctp2;Tiam1;Dock9;Zbtb44;Irf2bpl;Adam19;Mtch2;Slc35a1;Daam1;Gm17296;Mitf;Kdelr1;Phf21a;Cbarp;Prkce;Gid4;Myo1c;Bcl2;Taf4b;Snap23;Pdia4;Egln1;Csnk1e;Ralgps2;Insig2;Abcd1;Adgrl2;Fam178a;Atat1;Camta1;Grb10;Cnnm3;Ocrl;Asxl3;Mcmbp;Nufip2;Sgk3;Fam167a;Rundc3b;Trp53inp2;Sypl;Chl1;Rnf139;Chst11;Cnih4;Tox;Adam10;Wdr82;Slc39a9;Topbp1;Hes1;Dusp22;Bcat2;Dcun1d3;Fat3;Gcnt4;Cd2ap;Med14;Celf1;Zer1;Rab34;Hspa13;Celf2;Pbx2;Whsc1l1;Aldh6a1;Vat1;Arhgef12;Sort1;Spata13;Ankrd27;Ipo9;Tes;Sppl2a;Lonrf2;Ube2r2;Zmpste24;Coro1c;Kpna3;Fzd3;Sept7;Foxo3;Kif19a;Grm5;Ppp1r15b;Tacc1;Tbr1;Ikzf1;Nat8l;Tnk2;Slc35g1;Ube2h;Naa50;Rgs2;Rprd1b;Bend4;Yipf4;Pik3r1;Ctdspl;Igsf3;Slc39a1;AW549877;C77370;Frs2;N4bp1;Yaf2;Dennd1b;Abca2;Esrrg;Clvs1;Stxbp5;Whsc1;Lmtk3;Tns1;Fam168a;Ebf3;Morf4l2;Shc4;Exoc4;Adam22;Reep1;Usp5;Usp48;Col5a1;Fam118a;Nup50;Cdv3;Fam91a1;Xpr1;Zbtb37;Fbxw7;Kcnj14;Mycbp2;Sh3bp4;1190002N15Rik;Rabgap1;Brms1l;Chic1;Sowahb;Gria3;Bod1l;Nfasc;Plod2;Arhgap31;Acvr1c;Ccny;Pkn2;Glipr2;Podxl;B4galnt1;Bcl2l12;Abhd13;Slmo2;D230025D16Rik;Mgat4c;Arhgef3;Fbxw11;Amph;Etv3;Pygo2;Phospho2;Igf2bp1;Igsf10;Tmem170b;Klhl18;Zc3h15;Nap1l1;Edem3;Ezr;Foxn2;Pnpla8;Tnrc6a;Rev1;Dab1;Ajuba;Tmem115;Adcy6;Zfp280b;Sc5d;Tmem198;Cd164;Casp2;D17Wsu92e;Nrcam;Pdcd6;Limch1;Fyco1;Elavl4;Zfp704;Sp3;Fam134b;Foxp2;Tead1
miR-192/215,2108,95,34,0.0035052471875373,1.77008486201896,Enc1;Zbtb34;1700025G04Rik;Rrm1;Zbtb18;Cdon;Cdc6;Fbxl17;Frmd4b;Msn;Nab1;Emc7;Crb2;Higd1a;Alcam;Klhl42;Arfip2;Zeb2;Ctcf;Arhgap36;Col5a1;Adgrg6;Rabgap1;Runx1;Arfgef1;Sh2d2a;Dcc;Galntl6;Sh3rf3;Cbl;Fam229b;Kpna6;Igdcc3;Ctnnbip1
miR-143/1721/4770,2108,220,69,0.00502571505096548,1.45595280662926,Ppm1e;Vipr1;Mapkapk3;Dennd4c;Mllt3;Slc38a9;Nfatc1;Add3;Psd3;Zbtb44;Ptbp3;Rbm24;Prkce;Etv6;Bcl2;Mboat2;Egln1;Asap3;Tmx4;Phf6;Dtnb;Cnnm3;Slc30a7;Ttpa;Taok2;Hdac7;Igfbp5;A1cf;Gigyf2;Kmt2d;Tcf20;Itm2b;Ptpn14;Dock2;Dgkb;Exoc6b;Dnajc3;Usp45;Lmo4;Dip2b;Gns;C77370;Ccdc58;Tsc22d3;Dennd1b;Esrrg;Il1rap;Whsc1;Fscn1;Fam168a;Jmy;Aff1;Maf;Arhgap26;Fam91a1;Cachd1;Fgf1;Ranbp10;Zfp275;Sidt1;Msl1;Fam117a;Cacna1e;Phactr4;Htr2c;Slc35a4;Fam196a;Kcnc1;Pus10
miR-181abcd/4262,2108,780,215,0.00811473690955871,1.22280779931081,Samhd1;S1pr1;Cd4;Tgfbr3;Fam102a;Mboat1;Smad7;B4galt1;Bcl2l11;Lpp;Tmem71;Slc9a6;Dock4;Atp8a1;Zbtb34;Sept11;Egr1;Bach2;Gng2;Wdr76;L1cam;Ndrg2;Ap1s3;Camsap2;Dcp2;Syt11;Cdon;Slc2a3;Fkbp1a;Lmbrd2;Fmnl2;Ipo8;Sgpp1;Ptbp3;Mturn;Mapre2;Usp12;Arl5a;Heca;Kif1b;Fos;Ipo5;Etohi1;Stk10;Atp8b2;Foxk1;Elp4;Prkce;Lclat1;Aak1;Tnpo1;Ankfy1;Etv6;1810011O10Rik;Dpysl2;Gid4;Eed;Tbc1d4;Bcl2;Phc3;Foxp1;Tmem9b;Cbx4;Xiap;Tnf;Chd1;Tmem165;Mboat2;Agfg1;Man2a1;Lrba;Ppm1b;Etnk1;Adrbk1;Fam178a;Grb10;Mbnl1;Sipa1l1;Dusp10;Pknox2;Zfp820;Nufip2;Nab1;Rnf145;Cd69;Plekha3;D430041D05Rik;Sypl;Tox;Wdr82;Srpk2;Dennd4a;Psap;Dcun1d3;Phf3;Cd2ap;Gabra1;Prkaa1;Zfp867;Fam3c;Zfp607;Gnaq;Atp2b1;Tmcc1;Eif4a2;Pacs2;Lonrf2;Dek;Hyou1;Lin28a;Ptpn9;Ppp1cb;Derl2;Grm5;Taf9b;Slc7a6os;Sema4g;Shoc2;Sacm1l;Dip2b;Cops2;Klhl42;Ttbk1;Ube2h;Naa50;Hsp90b1;Sec24c;Mybl1;Slc16a12;Nlk;Bend4;Dmtn;Zeb2;Ctdspl;Bcl9;Rps6ka6;Grm1;Tspan13;C77370;Col16a1;Ano1;Ttc39b;Crebrf;Tns1;Igf2bp2;Sfmbt1;Mlf1;Aff1;Fbxl3;Afg3l2;Acsl1;Col5a1;Dopey1;Acap2;Tom1l1;Mycbp2;Ap1g1;Camk2g;Runx1;Chic1;Gm5113;Gpsm1;Spice1;Zdhhc7;Hmgb2;Ncoa2;Acvr1c;Pkn2;Cst6;Mtx3;Podxl;Tardbp;Cep41;Abi3bp;Bhlhe40;G3bp2;Mblac2;Mink1;Il7;Entpd6;Tgfbr1;Adgrl4;Adamtsl1;Kif3b;Cbx5;Nr2c2;Zfand6;Tnik;Zdhhc3;2610305D13Rik;Ankrd50;Baiap2;Cnr1;Cblb;Nnt;Rassf10;Apba1;Adamts5;Inpp5e;Pdap1;Peak1;Card11;D16Ertd472e;Rabgef1;Limch1;Cpne2;Igdcc3;Wnt9a;Hcn2;Kpna1;Crim1;Elavl4;Zfp704;Adarb1;Tead1
miR-141/200a,2108,504,143,0.00954401362692577,1.26735559706935,Ikzf2;Dmwd;Ppm1e;Nampt;Rag1;Card6;Dusp7;Lpp;Arntl;Zbtb34;Zfp281;Sept11;Map3k3;1700025G04Rik;Camsap2;Dcp2;Cdon;Pgrmc2;Lysmd3;Tgfbr2;Tet1;Tiam1;Irf2bpl;Mapre2;Nrp1;E2f3;Kif1b;Timeless;Rbms1;Phf21a;Gbp7;Prkce;Asxl1;Ankfy1;Zfp516;Phc3;Foxp1;Dr1;Glrx;3830406C13Rik;Csnk1e;Ralgps2;Arhgef18;Casc4;Lmbr1;Adipor2;Etnk1;Kcnj15;Mbnl1;Asxl3;Nufip2;Mpped2;Nab1;Rnf145;Pappa;Slc10a7;4930452B06Rik;Slc25a3;Rbm33;Wdr82;Slc39a9;Dcun1d3;Fat3;Ntn1;Pxk;Foxj1;Clasp2;Nfatc2;Kif1c;Ccne2;Dek;Gab1;Zmpste24;Kpna3;Bmp1;Sept7;Anp32e;Srp72;Ppp1r15b;Ulk2;Dip2b;Nipal3;Sp4;Mybl1;Tmem135;Sorbs2;Cfap97;Bend4;Ypel5;Zeb2;Sdc2;Yaf2;Chd2;Lpin2;Esrrg;Crebrf;Stxbp5;Maml2;St3gal5;Whsc1;Tns1;Fam168a;Fbxl20;Cdv3;Fam91a1;Rabgap1;Runx1;Map2k4;Pdcd4;Ldlrad4;Wwtr1;Nfasc;Six1;Lrrc8a;Ncoa2;Pkn2;Dstyk;Bhlhe40;March5;Tram1;Msl1;Cul4b;Tgfbr1;Cbx5;Tmem170b;Nr2c2;Mbnl3;Klhl18;Tnik;Ankrd50;Arhgap24;Ppp2r1b;Foxn2;Zcchc24;Peak1;Hoxc13;D16Ertd472e;Steap2;Tmem110;Tsc1;H13;Foxp2;Fam188a
miR-503,2108,263,79,0.0101207544729931,1.3677658571906,Il7r;Myb;Ccnd2;Smad7;Smurf2;Nebl;Lpp;Chek1;Arhgap20;Mov10;Ccnyl1;Zfp367;1700025G04Rik;Slc2a3;Usp12;E2f3;Wee1;Tmem55a;Rasgef1b;Bcl2;Cbx4;Zfp423;Cmpk1;Ocrl;Nufip2;Sgk3;Pappa;Ccnd3;Lsm11;Nol4l;Adamts3;Tmem55b;Cxcl10;Cd2ap;Zer1;Ski;Kif1c;Tmcc1;Cdk17;Pik3c2a;Kpna3;Styx;Cldn12;Cc2d1b;Fam122a;Pvrl1;Syde2;Dnajc16;Rreb1;Zfp385c;Pik3r1;Ctdspl;Bcl9;Prkar2a;Ptk7;Neurl1b;N4bp1;Dennd1b;Smurf1;Crebrf;Omg;Rnf138;Plpp1;Fbxw7;Limd2;Usp25;Sowahb;Nav1;Usp31;Rfx5;Cbx5;Extl3;Pnpla6;Slit2;Pdap1;Fam196a;Foxp2;Mfn2;Eif4e
