Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666,1397,606,129,0.000133889823100213,1.46772581457121,S1pr1;Zbtb7b;Abca1;Itpr1;Ugcg;Rapgef4;Myo10;Smurf2;Mlec;Irf1;Zfp367;Bach2;Itpk1;Zadh2;Cyld;Dcp2;Zbtb18;Casd1;Txnip;Ikzf4;Tgfbr2;E2f2;Tmem50b;Zbtb44;Nrp1;Daam1;Lrig1;Vps37b;Lypd6b;Lclat1;Aak1;Tnpo1;Dpysl2;Atg14;Tmem9b;Tnf;Enpp5;Taf4b;Zkscan8;Pea15a;Agfg1;Bbx;Ralgps2;Spg20;Scml4;Fam178a;Ahr;Sgcb;Mbnl1;Cmpk1;Rnf145;Tmem63b;Gnpnat1;Ccnd3;Lsm11;Usp32;Tmem55b;Rbm33;Rab5b;Tesk2;Ptgfrn;Psap;Dcun1d3;Phf3;Prr14l;Fam53b;Pxk;Prkaa1;Whsc1l1;Abcb7;B4galt5;Arhgef12;Tmcc1;Ipcef1;Ankib1;Piga;Hbp1;Mllt6;Ulk2;Rprd2;Npat;Naa50;Mybl1;Rbsn;N4bp1;Snx2;Stxbp5;Slc39a10;Sfmbt1;Slc12a7;Jmy;Kcnj10;Impdh1;Usp48;Acsl1;Limd2;Atrn;Tbc1d12;Chic1;AU040320;Acvr1c;Ccny;Tardbp;Zfp275;G3bp2;D230025D16Rik;Hprt;Arfgef1;Hadhb;Tgfbr1;Akap7;Usp47;Tmem170b;Mbnl3;Ubl3;Sh3bp5;Znrf3;Btg1;Ppp2r1b;Cblb;Tnrc6a;Slc25a44;Adcy7;2310035C23Rik;Cfl2;Ankrd10;Tmem110;Tsc1;Ppp2r5e
miR-26ab/1297/4465,1397,672,141,0.000137108044530212,1.44347004197746,Abca1;Tmem64;Enc1;Ccnd2;Itpr1;B4galt1;Rcbtb1;Nampt;Mlec;Lpp;Gpr146;Gltscr1l;Stk39;Dock4;Tspan14;Ttc28;Arl4c;Mllt3;Sfmbt2;Ap1s3;St8sia1;Zbtb18;Galnt10;Pgrmc2;Dlg4;Arl6ip6;Tet1;Adam19;Fbxl17;Rassf3;Pxylp1;Tmem184b;Slc25a16;Phf21a;Hipk2;Aak1;Ube2j1;Tbc1d4;Ttc13;Man2a1;Impad1;Bbx;Galnt7;Fnip1;Atl3;Scml4;Adrbk1;Ranbp9;Fam178a;Pdcd10;Ctdsp2;Sgcb;Cd200;Ubac1;Nab1;Gnpnat1;Crebzf;Lsm11;Tcp11l2;Adam10;Tesk2;Trib2;Phf3;Cd2ap;Clasp2;Arhgef12;Tmcc1;Tbc1d32;Pik3c2a;Ankib1;Stradb;Styx;Derl2;Grsf1;Mtmr1;Cks2;Ttc9c;Ulk2;Cops2;Rprd2;Klhl42;Ube2h;Rbsn;Tmem260;Nlk;Tet2;Pter;Zfp608;Depdc1b;Dennd1b;Cldnd1;Zdhhc18;Cebpg;Crebrf;Stxbp5;Whsc1;Nup153;Rnf170;Usp48;Fam118a;Nup50;Skp2;Usp25;Chic1;AU040320;Slc35e2;Zdhhc7;Atpaf1;Acvr1c;Ranbp10;Zfp275;Senp5;Bhlhe40;G3bp2;Tram1;Suv420h2;Serp1;Arfgef1;Akap7;Etv3;Pygo2;Klhl18;Kifap3;Znrf3;Btg1;Usp37;Pgr;Zfp882;Cblb;Tnrc6a;Kpna6;Zcchc24;Abr;Rspry1;2310035C23Rik;Gatsl2;Adat1;Rtf1;Spock2;Zdhhc6;Ube3a
miR-875-5p,1397,66,21,0.000369036132443105,2.48015663807881,Casd1;Prkce;Zmiz1;Zfp652;Insig2;Mylip;Nufip2;Gnpnat1;Rnf139;Cd247;Asb7;Surf4;Styx;Rreb1;Ptpn12;Stag2;Usp25;Ncoa2;Ccny;Usp31;Rev1
miR-296-3p,1397,29,11,0.000946079481691277,3.23616525672813,Cd40lg;Zbtb20;Tnpo1;Kctd21;Chl1;Slc39a9;Itm2a;Epm2aip1;Kcnj10;Fam46c;Znrf3
miR-181abcd/4262,1397,780,154,0.00132215140036805,1.3325030431905,Samhd1;S1pr1;Cd4;Tgfbr3;Fam102a;Mboat1;Smad7;B4galt1;Lpp;Tmem71;Slc9a6;Dock4;Atp8a1;Zbtb34;Bach2;Gng2;Wdr76;L1cam;Ndrg2;Ap1s3;Camsap2;Dcp2;Syt11;Cdon;Slc2a3;Fkbp1a;Lmbrd2;Ipo8;Sgpp1;Ptbp3;Mturn;Usp12;Arl5a;Heca;Kif1b;Ipo5;Etohi1;Stk10;Atp8b2;Foxk1;Elp4;Prkce;Lclat1;Aak1;Tnpo1;Ankfy1;Etv6;Dpysl2;Gid4;Eed;Tbc1d4;Bcl2;Phc3;Foxp1;Tmem9b;Cbx4;Xiap;Tnf;Tmem165;Agfg1;Man2a1;Lrba;Ppm1b;Adrbk1;Fam178a;Mbnl1;Sipa1l1;Dusp10;Nufip2;Nab1;Rnf145;Plekha3;Sypl;Wdr82;Srpk2;Psap;Dcun1d3;Phf3;Cd2ap;Prkaa1;Zfp867;Fam3c;Zfp607;Gnaq;Tmcc1;Eif4a2;Pacs2;Dek;Hyou1;Ptpn9;Ppp1cb;Derl2;Taf9b;Shoc2;Sacm1l;Dip2b;Cops2;Klhl42;Ube2h;Naa50;Hsp90b1;Sec24c;Mybl1;Nlk;Ctdspl;Bcl9;Tspan13;Ttc39b;Crebrf;Sfmbt1;Aff1;Fbxl3;Afg3l2;Acsl1;Dopey1;Acap2;Mycbp2;Ap1g1;Camk2g;Runx1;Chic1;Gm5113;Spice1;Zdhhc7;Hmgb2;Ncoa2;Acvr1c;Pkn2;Mtx3;Tardbp;Cep41;Bhlhe40;G3bp2;Mblac2;Mink1;Entpd6;Tgfbr1;Adamtsl1;Kif3b;Cbx5;Nr2c2;Zfand6;Tnik;Zdhhc3;Ankrd50;Cblb;Nnt;Inpp5e;Pdap1;Card11;Rabgef1;Cpne2;Kpna1;Crim1
miR-124/124ab/506,1397,1296,243,0.00149209454698286,1.26099634635344,Zbtb7b;Abca1;Vim;Sgms1;Ccnd2;B4galt1;Ugcg;Rbl1;Myo10;Smurf2;Mlec;Sumf1;Inpp4b;Lpp;Stk39;Slc9a6;Irf1;Parp9;Scd2;Pqlc3;Magt1;Mllt3;Map3k3;Hadh;Bach2;Gng2;Pgm2;Elovl5;St8sia1;Capn2;Pik3ip1;Galnt10;Flnb;Inpp4a;Pgrmc2;Rassf5;Tor3a;Sft2d2;Lysmd3;Zfp706;Ipo8;Tet1;Sgpp1;Irf2bpl;Diaph2;Adam19;Ptbp3;Ampd3;Qsox1;Nrp1;Gm17296;Lrig1;Rassf3;E2f3;Kif1b;Sfxn1;Vps37b;Pml;Mcur1;Tmem184b;Rbms1;Galc;Ubr7;Lclat1;Aak1;Ankfy1;Ldlrap1;Suclg2;St3gal1;Aes;Rps6ka1;Zkscan8;Poglut1;Pea15a;Slc50a1;Marveld1;Man2a1;Slc27a1;Tmem109;Rnf114;Ralgps2;Gpam;Lmbr1;Adipor2;Sgpl1;Atl3;Mfsd14b;Usp1;Fam178a;Ahr;Ctdsp2;Cmpk1;Shc1;Gucd1;Alg2;Mylip;Nufip2;Slc30a7;Desi2;Zfp287;Sestd1;Yme1l1;Slc10a7;Stt3a;Arhgef4;Sypl;Ttc7;Tbc1d1;Adamts3;Cnih4;Stard7;Rbm33;Slc39a9;Entpd5;Zbtb11;Cotl1;Ctns;Tfeb;Poc1b;Prr14l;Fam53b;Rufy1;Frmd8;Lpin1;Itpr3;Ski;Nfatc2;Ncoa7;Spata13;Ankrd27;Arhgef1;Ipcef1;Gtf2a1;Lrrfip2;Pik3c2a;Tmem168;Sppl2a;Zmpste24;Ankib1;Pan3;Susd6;Kpna3;Surf4;Ptpn9;Styx;Ssr1;Hbp1;Grsf1;Ulk2;Stk38;Zdhhc17;Usp45;Dip2b;Slc35g1;Npat;Anxa5;Ube4a;Fam199x;Rreb1;Tmem260;Hmgxb4;Ypel5;Ctdspl;Pter;Pus3;Neurl1b;Ankle2;Sntb2;Zfp740;N4bp1;Ptpn12;Iqgap2;Zfp608;Gtf2e1;Dennd1b;Abca2;Cldnd1;Cebpg;Stag2;Crebrf;Rap2b;Rps6ka4;Enpp4;Kif16b;Acadsb;Usp48;Acsl1;Bckdha;Rab3d;Ndst1;Ginm1;Limd2;Ap1g1;Ptpn4;Chic1;Rab27a;Cask;Sertad3;Ncoa2;Tmem134;Ccny;Pkn2;Mtx3;Ranbp10;Zfp275;Fam76a;G3bp2;Zfp831;Serp1;Tgfbr1;Rfx5;Atp1a1;Etv3;Extl3;Nr2c2;Rpia;Zdhhc3;Mtr;Znrf3;Eci2;Snx6;Unc119b;Slc35a4;Zcchc24;Slc15a4;Abr;2310035C23Rik;Cand2;Prdx6;Adcy6;Sc5d;Cd164;Ankrd10;Dhrs1;Fam76b;Tmcc3;Pdcd6;Sptlc2;Tmem110;Pus10;Sp3;Zkscan3;Paxbp1
miR-503,1397,263,58,0.00326076702181131,1.51153544125184,Il7r;Ccnd2;Smad7;Smurf2;Lpp;Chek1;Arhgap20;Mov10;Ccnyl1;Zfp367;1700025G04Rik;Slc2a3;Usp12;E2f3;Wee1;Tmem55a;Bcl2;Cbx4;Cmpk1;Ocrl;Nufip2;Sgk3;Ccnd3;Lsm11;Nol4l;Adamts3;Tmem55b;Cd2ap;Zer1;Ski;Kif1c;Tmcc1;Pik3c2a;Kpna3;Styx;Cldn12;Dnajc16;Rreb1;Pik3r1;Ctdspl;Bcl9;Prkar2a;Neurl1b;N4bp1;Dennd1b;Smurf1;Crebrf;Rnf138;Limd2;Usp25;Usp31;Rfx5;Cbx5;Extl3;Pnpla6;Pdap1;Mfn2;Eif4e
miR-141/200a,1397,504,101,0.00500347810599786,1.34509974045457,Nampt;Card6;Dusp7;Lpp;Zbtb34;Zfp281;Map3k3;1700025G04Rik;Camsap2;Dcp2;Cdon;Pgrmc2;Lysmd3;Tgfbr2;Tet1;Tiam1;Irf2bpl;Nrp1;E2f3;Kif1b;Timeless;Rbms1;Phf21a;Gbp7;Prkce;Asxl1;Ankfy1;Phc3;Foxp1;Dr1;Glrx;3830406C13Rik;Ralgps2;Arhgef18;Lmbr1;Adipor2;Mbnl1;Nufip2;Nab1;Rnf145;Slc10a7;4930452B06Rik;Slc25a3;Rbm33;Wdr82;Slc39a9;Dcun1d3;Pxk;Clasp2;Nfatc2;Kif1c;Ccne2;Dek;Zmpste24;Kpna3;Srp72;Ulk2;Dip2b;Nipal3;Sp4;Mybl1;Tmem135;Cfap97;Ypel5;Yaf2;Chd2;Crebrf;Stxbp5;Maml2;St3gal5;Whsc1;Fam168a;Fbxl20;Rabgap1;Runx1;Map2k4;Pdcd4;Lrrc8a;Ncoa2;Pkn2;Dstyk;Bhlhe40;March5;Tram1;Msl1;Cul4b;Tgfbr1;Cbx5;Tmem170b;Nr2c2;Mbnl3;Klhl18;Tnik;Ankrd50;Ppp2r1b;Foxn2;Zcchc24;Tmem110;Tsc1;H13;Fam188a
miR-125a-5p/125b-5p/351/670/4319,1397,604,117,0.00857049675819205,1.28978193419546,Il7r;Itgb3;Lfng;Il6ra;Irf4;Esyt1;Dusp7;Lpp;Tspan14;Zbtb34;Zfp281;Slc38a9;Vsir;Fam65b;Cpm;Ikzf4;Nrm;E2f2;Elovl7;Daam1;Usp12;Rassf3;E2f3;Sema4f;Vps37b;6030458C11Rik;Gbp7;Ubr7;Cln6;Cyth1;Lclat1;Ube2j1;Etv6;Pip4k2b;Kctd21;Mfn1;Lactb;Atp13a3;Rps6ka1;Dnajc10;Golga5;Zfp518a;Tmem123;Galnt7;Ralgps2;Tmem194;Nup210;Sgpl1;Dpy19l1;Ctdsp2;Tmem161b;Dusp6;Ttc7;Naa40;Tbc1d1;Fam134a;Slc39a9;Tmem229b;Gtpbp2;Trib2;Alg6;Lbh;Dis3l2;Arhgef1;Pacs2;Tmem168;St6gal1;Ube2r2;Susd6;Traf6;Taf9b;Grsf1;Usp45;Tmem135;Rreb1;Mfsd9;Tet2;Abhd6;Smurf1;Wars;Ppat;Sfmbt1;Jmy;Fam118a;Zbtb37;Rab3d;Khnyn;Dnajc14;Limd2;Chic1;AU040320;Elovl1;Sertad3;Zdhhc7;Acvr1c;Rab8b;Suv420h2;Rfx5;Rit1;Etv3;Tmem170b;Mbnl3;Ankrd50;Znrf3;Gopc;Usp37;Slc35a4;Kpna6;Fam234b;Abr;Ajuba;Adcy6;Pcgf6;Casp2;Sema4d;Taf5l;Asb13
miR-15abc/16/16abc/195/322/424/497/1907,1397,884,165,0.00984602476521525,1.23680484521631,Tgfbr3;Ccnd2;Smad7;B4galt1;Smurf2;Lpp;Chek1;Cdca7l;Slc9a6;Plekha1;Zbtb34;Ccne1;Map3k3;Arhgap20;Mov10;Ccnyl1;Vsir;Zfp367;Bach2;Akt3;1700025G04Rik;Map2k1;Eif4b;Ahcyl2;Dcp2;Cdon;Slc2a3;Fkbp1a;Rassf5;Zbtb44;Irf2bpl;Usp12;Lrig1;E2f3;Kif1b;Wee1;Tpt1;Phf21a;Dpy19l4;Glud1;Ube2j1;Tmem55a;Atg14;Mapk3;Bcl2;Phc3;Litaf;Cbx4;Atp13a3;Tmem154;Man2a1;Nup210;Rnf43;Adrbk1;Rassf2;Fam126a;Cmpk1;C1ql3;Ocrl;Smad3;Nufip2;Sgk3;Sypl;Ccnd3;Lsm11;Nol4l;Fam134a;Adamts3;Tmem55b;Cyb561a3;Isoc1;Cd2ap;Zer1;Kmt2d;Ski;Nfatc2;Kif1c;Tmcc1;Lrrfip2;Pik3c2a;Ankib1;Stradb;Kpna3;Shcbp1;Styx;Dhdds;Higd1a;Cldn12;Sumo3;Mllt6;Shoc2;Cops2;Slc35g1;Dnajc16;Tmem135;Rreb1;Lats2;Pik3r1;Egln2;Ctdspl;Bcl9;Nf2;Prkar2a;Agk;AW549877;Neurl1b;Sesn1;Sil1;N4bp1;Chd2;Dennd1b;Zfp592;Smurf1;Crebrf;Slc39a10;Fbxl20;Rnf138;Atxn7l3b;Acsl1;Nup50;Pi4kb;Xpr1;Rab3d;Pdia6;Limd2;Piezo1;Usp25;Pdcd4;Ptpn4;Chic1;Cask;Ncbp3;Zfp275;Sidt1;Kcnn4;Tram1;Mink1;Usp31;Rfx5;Srprb;Etv3;Cbx5;Extl3;Arl2;Nr2c2;Klhl18;Pnpla6;Def8;Ppp2r1b;Zfp882;Rsbn1;Dcaf5;Unc119b;Pdap1;Zfp46;Cd164;Rtf1;Tsc1;Ppp6c;Kpna1;Crim1;Ube2q1;Mfn2;Eif4e;Amigo3
