Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
miR-1ab/206/613,2963,546,223,0.000176810030747261,1.37828664414345,Ccnd2;Fam102a;Bach2;Cxcr4;Dgkg;Dgke;Anxa2;Stk39;Dnajc6;Tmem243;Gnpnat1;Nfatc3;Cbl;Zfp36l1;Nampt;Pea15a;Tgfbr3;Coro1c;Hacd3;Tns3;Arhgef3;Bri3bp;Pde7a;Ppib;Spats2l;Nck2;Zfp36l2;Pgam1;Ypel2;Tpm4;Crim1;Stx6;Mgat4a;Tmsb4x;Smarca4;Lasp1;Zfp827;Fam69a;Adar;Pola1;Adpgk;Fbxw7;Mtss1;Mapk3;Pmepa1;Xpo6;Eaf1;Ptpn14;Arf3;Hs3st3b1;Nfatc2;Ppp1r3b;Ip6k2;Arid2;Hspd1;Slc39a10;Prkce;Frmd8;Smarcb1;Kctd10;Dlg4;Ipo8;Ptpra;Sec61a1;Smg1;Helz2;Nucks1;Lin7c;Elf1;Utrn;Wbp2;Rap1b;Fbxl20;Cnn3;Hspe1;Eml4;Nrp1;Plekho2;Dcp2;Tfe3;Wdr1;Ptbp1;Tpm3;Tspan9;Hmgn1;Sri;Hsp90b1;Nedd4l;Gch1;Bpnt1;Ptprj;Ddx3x;Dnmt3a;Papd7;Serp1;Ncoa3;Sptbn1;Nol4l;Klf13;Slc38a2;Lrrc8a;Ppp2r5a;Usp33;Ktn1;Fam91a1;Cyb5b;Slc25a25;Atp6ap2;Srsf9;Ptpn1;Tnrc6b;Tgif2;Notch3;Glis2;Tspyl4;Baiap2;Avl9;Xkr8;Rap1a;AW549877;Zbtb6;Rsbn1l;Sec62;Slc37a3;Sp2;Tcf20;Zbtb4;Etv3;Hipk3;Rictor;Tmem135;Foxp1;Gnaq;Zmynd8;Peak1;Ap1s1;Daam1;Fam126a;Mrpl35;Actb;Arhgef18;Map4k3;Pxylp1;Nr4a2;Pgrmc1;Slc25a22;Elof1;Tomm70a;Fam101b;Hmgcr;Ddx17;Smyd4;Cap1;Cdc42se1;Ankib1;Lmbr1;Pi4ka;Ash1l;Cpsf7;Thoc2;Trps1;Gdi1;Trappc3;Eml3;Pdrg1;Rabgap1l;Ajuba;Mxd1;Syncrip;Sh3bgrl3;Pdcd4;1700066M21Rik;Gdf6;Atf2;Akap13;Ddx5;Rnf138;Ubn1;Ccz1;Frs2;Mmd;Hecw2;Ift80;Zfp148;Pim1;Mfsd14a;Pak3;Sptlc1;G6pdx;Efnb2;Fam168a;Fubp1;Zfp326;Rnf150;6330403A02Rik;Cttnbp2nl;Pax3;Prex1;Otud5;Metrnl;Azin1;C77080;Pank3;Rsbn1;Fbxo33;Sod1;Nup50;Atg13;Jarid2;Nfat5;Zmynd11;Zfp580;Letm1;Taok3;Luzp1;Kif2a;Kctd13;Ngfr;Spred1;Rapgef2;Wiz;Alx1;Nadk
miR-433,2963,201,89,0.000732846383114464,1.57071995259378,Tdrd5;Chl1;Dennd4c;Mier1;Ssbp2;Cep170;Cep97;Slc16a1;E2f3;Prkcb;Slc17a5;Pccb;Adpgk;Fbxw7;Hs3st3b1;Lamc1;Zmiz1;Ddx19a;Mn1;Usp14;Nucks1;Nab1;Cdk17;Crebrf;Mxi1;Poglut1;Ints2;Gata3;Tlk2;Phf20l1;Chd9;Epc2;Stk40;Ywhag;Myh9;Med13;Magt1;Fam91a1;Stam;Tmem50a;Fbxl17;Tnrc6b;3830406C13Rik;Ankrd52;Ric1;Cycs;Tet1;Nsl1;Bptf;Fam208a;Med14;Pbrm1;Ubn2;Tia1;Arid1b;Wtap;Actr3;Sorbs1;Syncrip;Cox8a;Ypel5;Snx11;Arl13b;Ccar1;Zcchc6;Mmd;Hecw2;Aak1;Fbxo22;Rhobtb2;Cep135;Mbnl1;Strbp;Foxp2;Scoc;Top1;Wac;Azin1;Hnrnpr;Zdhhc7;Tnrc6c;Tmem216;Cox6b1;Tmx3;Rsbn1;Zc3h6;Stxbp3;Gabpa;Tet3
miR-15abc/16/16abc/195/322/424/497/1907,2963,884,339,0.00134218457644794,1.24397848174522,Arpp21;Ccnd2;Nebl;Aqp11;Myb;Bach2;Bcl2;Arhgap20;Btla;Plekha1;Cacna1e;Desi1;Colq;Slc2a3;Smad7;Gpr174;Nfatc3;Slc7a1;Tgfbr3;Ccnd3;Scn4b;Mllt6;Smyd5;Mov10;Carm1;Slc9a6;Irf2bpl;Slc25a37;Map3k3;Ahcyl2;Vamp1;Cdca7l;Gse1;Txlng;Traf3;Tle4;Crim1;Kcnn4;E2f3;Mgat4a;Usp12;Cluh;Sept11;Smurf2;Vsir;1700025G04Rik;Btg2;B4galt1;Map2k1;Slc35g1;Fbxw7;Tuba1a;Mapk3;Usp7;Atf6;Rassf5;Cdon;Limd2;Ccne1;Dyrk1b;Chek1;Myo1c;Extl3;Arf3;Hs3st3b1;Pdia6;Tlk1;Higd1a;Sypl;Nfatc2;Helz;Sik1;Slc12a2;Slc39a10;Zfp629;Ccnyl1;Atp5g1;Ski;Tmem87a;Pnisr;Insr;Fbxo27;Usp14;Nucks1;Mfn2;Litaf;Ogt;Sil1;Ppm1e;Adrb2;Ppp2r1b;Zbtb44;Sumo3;Cd164;Srprb;Dcaf7;Cdk17;Slc4a7;Ly6e;Tpt1;Cdc25a;Fchsd2;Fbxl20;Crebrf;Nup210;Rftn1;Syne1;Smad3;Rbm6;Lrrc1;Ywhaq;Pik3r1;Bcl9;Adamts3;Tspan5;Tnfaip1;Dcp2;Cd28;Lrrc32;Wapl;Chd9;Cbfa2t3;Fkbp5;Pmm1;Cops7a;Nedd4l;Glud1;Slc4a8;Rnf43;Hspa4l;Ptprj;Ddx3x;Kif1b;Ube2j1;N4bp1;Nol4l;Baz2a;Mob4;Vav2;Kpna3;Ythdc1;Cbx4;Rab3d;Tmem87b;Cdc37l1;Akt3;Adap1;Sesn1;Camkv;Map3k4;Nfe2l1;Zfp592;Fam160b1;Mink1;Dennd6a;Atp13a3;Fam91a1;Phf19;Swap70;Vamp8;Rtf1;Dhdds;Eif4b;Dcaf5;Lpp;Gga3;Tnrc6b;Lrig1;Tgif2;Hspg2;Psme3;Syde2;Ccnt2;Avl9;Gpn1;Lypla2;Prkar2a;AW549877;Zfp367;Irak2;Tmem206;Rreb1;Dennd1b;Csrnp1;Etv3;Hipk3;Ankrd13b;Stx1a;Pdzd8;Prrc2c;Rictor;Zfx;Tmem135;Tmem183a;Snrk;Zer1;Vps33b;Eif2s1;Pisd;Ctdspl;Capns1;Tead1;Dnaja2;Adgrl1;Arl3;Bptf;Pcm1;Kif23;Fam126a;Nfrkb;Trim36;Actr2;Pdcd6ip;Atg4b;Ddx19b;Mapk9;Dnajb2;Slc25a22;Rap2c;Ubn2;Pbx3;Wasl;Map3k2;Kpna1;Cab39;Cdv3;Smurf1;Diaph1;Fat3;Def8;Ankib1;Klhl18;Ash1l;Rassf2;Hdgf;G2e3;Tspyl2;Zfp275;Zbtb34;1810013L24Rik;Wee1;Amigo3;Ttc14;Rbbp6;Snx33;Phc3;Gskip;Dcun1d4;Fkbp1a;Pdcd4;Fam134a;Col4a3bp;Zmym2;Rnf138;Seh1l;Snx11;Ccnjl;Tcta;Mmd;Arhgef9;Nat8l;Pim1;Ccdc28a;Cpeb2;Zfp385c;Wdtc1;Cdc25b;Tmem154;Sptlc1;Man2a1;Kmt2c;Prr11;Clasrp;Atxn7l3b;Gpr153;Ankrd33b;Fam78b;Ubfd1;Zfp326;Zcchc2;Strbp;Foxp2;Rfx5;Shcbp1;Scoc;Ccdc6;Cx3cl1;Fam60a;Son;Furin;Plxna2;Sh3pxd2a;Cxcl10;Cpd;Usp31;Atxn2;Txnl4a;Isoc1;Ints3;Tasp1;Tacc1;Dolpp1;Sowahb;Sec16a;Rsbn1;Fbxo33;Nup50;Jarid2;Crk;Nrp2;Pagr1a;Neurl1b;Pdap1;Stxbp3;Amotl2;Mknk1;Bag5;Mob3b;Cadm1;Evi5;Mphosph9;Ezh1;Sos2;Krtap11-1;Luzp1;Suz12;Nkd1;Ppp6c;Rapgef2;Sowahc;Golga1;Atp7a;Bcl2l2;Crtc3;Tet3;Col24a1;Tmem55a;Phka1;Ptpn4
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac,2963,548,216,0.00206900948767313,1.29331068349399,Ccnd2;Fam102a;Itgb3;Cxcr4;Dgke;Tmem64;Bcl6;Cdca7;Irf9;Rps6ka1;St3gal1;Gpr146;Tapt1;Tgfbr2;Chn2;E2f2;Agfg2;Pou6f1;Nfatc3;Parp8;Cers6;Kremen1;Mef2a;Mllt6;Trp53inp1;Arhgap29;Tiparp;Pan3;Ostm1;Bcl2l11;Ano6;Clic4;Rnf216;Tle4;Rragd;Ypel2;Asap1;Crim1;Asf1b;Rora;Dirc2;Celf2;Zfp827;Rgmb;Rbl1;Cdk19;Arhgap24;Ssr1;Zbtb18;Sass6;P2rx4;Tiam1;Fam117a;Sik1;Slc25a27;2700081O15Rik;Kat2b;Dusp2;Mbnl2;Tox;Mfn2;Tceb3;Zbtb44;Dcaf7;Crebrf;Mxi1;Atxn1;Iqsec1;Nfia;Snx5;Tnfaip1;Dcp2;Txnip;Wdr1;Kpna2;Zdhhc8;Rb1cc1;Tns1;Psd3;Ube2j1;Nol4l;Hn1;Qser1;Klf13;Tfap4;Lclat1;Oxr1;Phactr4;Tet2;Mknk2;Acbd5;Nelfe;Tor1b;Mink1;Zcchc24;Eif4b;Tnrc6b;Arid4a;Pip4k2a;Zfp422;Zfp367;Ankrd52;Zbtb6;Plag1;Rsbn1l;Tbcel;Ccdc88a;Tcf20;Camta2;Ak2;Zbtb4;Hipk3;Ankrd13b;Rictor;Zfx;Irf2bp2;Smarcc2;Snrk;Tet1;Ube2w;Dnaja2;Peak1;Wdr45;Trim36;Trip11;Arhgef17;Arhgef18;Pxylp1;Rapgefl1;Polk;Mapk9;Cecr2;Ubn2;Pbx3;Ect2;Map3k2;Itgb8;Ube2r2;Tusc2;Plxna1;Klhl18;Ash1l;Crtc2;Uevld;Tox3;Trps1;Rassf2;Wdr37;Ikzf2;1810013L24Rik;Metap1;BC037034;Wee1;Ulk1;Tslp;Phc3;Hs2st1;Dctn4;Rell1;Wfs1;Ssx2ip;Scn5a;Fbxl3;Zfp148;Lefty1;Ifnlr1;Aak1;Tmem123;Usp46;Arhgef10;Cpeb2;Znfx1;Pak3;Dpp8;Aebp2;Kmt2c;Plagl2;Arid4b;Fam168a;Ubfd1;Atg7;Rab11fip5;Mbnl1;Rnf150;Acvr1c;Bambi;Zfp957;Cnot6l;Bahd1;Atad2;Mrps25;Pank3;Tnrc6c;Tnrc18;Rsbn1;Unk;Ddhd1;Crk;Atf6b;Zmynd11;Zbtb11;Sipa1l3;Ednrb;Snx30;Ezh1;Akap6;Suv420h1;Spop;6030458C11Rik;Ncoa7;Ppp6c;Golga1;Fam219b;Tet3;Camta1;Fbxo11
miR-141/200a,2963,504,198,0.00363492325464007,1.28398028122765,Rag1;Srm;Card6;Tgfbr2;Tcf12;Agfg2;Arntl;Ldlrad4;Abi2;Cers6;C1galt1;Nampt;Maml2;Trp53inp1;Irf2bpl;Casc4;Map3k3;Tns3;Tfrc;Timeless;Csnk1e;Txlng;Zfp281;Zeb1;Osbpl11;E2f3;Sept11;1700025G04Rik;Slc35d1;Adpgk;Dusp7;Mtss1;Mbtd1;Arhgap24;Yaf2;Cdon;Anp32e;Ankrd50;Nfatc2;Tiam1;Kctd2;Sik1;Gbp7;Prkce;Zfp629;Slc14a1;Fgfr1op;Tnik;Pten;Pgrmc2;Nab1;Ogt;Ppm1e;Mapre2;Ppp2r1b;Ankrd44;Slc25a3;Olig3;Luc7l3;Cdc25a;Fbxl20;Crebrf;Atxn1;Mdm1;Rpgr;Hipk1;Iqsec1;Nfia;Nrp1;Ppt2;Dcp2;Glrx;Abhd18;Fkbp5;Tns1;Spag9;Kif1b;Gfod1;Ywhag;Cep120;Atp2a2;Zfp644;Kpna3;Qser1;Ralgps2;Lrrc8a;Slc5a3;Camsap2;Rbms1;Leng8;Dip2b;Pcf11;Ulk2;Fam91a1;Zcchc24;Lpp;Tnrc6b;3830406C13Rik;Tm9sf4;B230219D22Rik;Stx16;Dnajc13;Plag1;Hipk3;Tmem135;Foxp1;Sec11a;Tet1;Peak1;Trim36;Wdr82;Arhgef18;Bhlhe40;Steap2;Map3k2;Cdv3;Dusp3;Tmed9;Fat3;Rc3h2;St3gal5;Klf6;D16Ertd472e;Hcn1;Nudcd1;Lmbr1;Klhl18;Cpsf7;Thoc2;Gls;G2e3;Serf2;Zbtb34;Ntn1;Ikzf2;Proser2;Brd3;Pag1;Ampd2;Syncrip;Phc3;Hs2st1;Pdcd4;Asxl1;Ddx5;Sfpq;Ypel5;Dstyk;Zeb2;Ncoa2;Tmtc1;Zfp148;Mecp2;Ankfy1;Clasp2;Jmjd1c;Tmem110;B3gnt2;Sptan1;Kmt2c;Plagl2;Fam168a;Exoc5;Prickle1;Gphn;Gab1;Mbnl1;Foxp2;Ccdc6;Lifr;Son;Prtg;Cpd;Whsc1;Bahd1;Apold1;Dolpp1;Ube2z;Pxk;Csnk2a1;Sdc2;Ino80d;Tada1;Slc30a1;Rgs7bp;Naa60;Mob3b;Mphosph9;Rdx;Ppp2ca;Akap6;Arpc5;Rapgef2;Vps26b;Klf12;Foxn2;Usp9x;Tet3
miR-204/204b/211,2963,376,151,0.00375770159791443,1.32876382633728,Lfng;Slc43a1;Bcl2;Tmem64;Il6ra;Zdhhc14;Zdhhc15;Smoc1;Klf3;Angpt1;Tgfbr2;Chn2;Tcf12;Edem1;Nfatc3;Zfp36l1;Ap2a2;Trp53inp1;Coro1c;Arhgap29;Cap2;Inpp4a;Ypel2;Zeb1;Cluh;Sept11;Mllt3;Fbxw7;Ap1s3;Atf6;Znrf1;Angptl2;Myo1c;Sla2;Zadh2;Slc43a2;Slc38a9;Zfp629;Ski;Ipo8;Tnik;Cmtm6;Sec24d;Dtx1;Mapre2;P4hb;Ezr;Itpr1;Nfia;Nbr1;Fam107b;Rps6ka5;Tpm3;Nedd4l;Ptprj;Khdrbs1;Baz2a;Slc16a6;Shc1;Eef1e1;Igf2bp3;Yif1a;Ktn1;Pip4k2b;Akip1;Pcgf3;Hook3;Tcf4;Zcchc24;Snx13;Dynll1;Dcaf5;Tnrc6b;Ppm1k;Tmtc2;Ccnt2;Gabpb2;Dnajc13;Sec61a2;Plag1;Slc37a3;Rreb1;Tcf20;Taok1;Ppic;Rictor;Irf2bp2;Gnaq;Gucd1;Agap2;Ap1s1;Fam126a;Mrpl35;Igf2r;Pdcd6ip;Ddx19b;Nr4a2;Kdm1b;Tanc2;Rap2c;Tomm70a;Chp1;Ubn2;Map1lc3b;Ube2r2;Tox3;Brpf3;Zbtb34;1810013L24Rik;Metap1;Syncrip;Hs2st1;Atf2;Fam160a2;Sf3b1;Mmgt1;Szrd1;Frs2;Hecw2;Mecp2;Ankfy1;Cdc25b;Foxk2;Atp2b1;Mrpl15;Abcb10;Mbnl1;Strbp;Prmt6;Plxna2;Sh3pxd2a;Cpd;Robo1;C330018D20Rik;Ikzf5;Naa40;Vdac1;Lgr4;Mtmr6;Crat;Fam117b;Jarid2;Nfat5;Dnajc14;Arrb1;Fam175b;Kcnj1;Ncoa7;Klf12;Rab14;Sin3a
miR-431,2963,99,45,0.00594933997757787,1.63891599687514,Fam65b;Stt3b;Zeb1;Osbpl11;Celf2;Smg1;Ube2d1;Klhl24;Ptpn2;Ptprf;Susd6;N4bp1;Kdm5a;Nol4l;Zfp644;Rbm39;Stx5a;Pcgf3;Prpf39;Zbed5;Eif4b;Lpp;Zfp280c;Tnrc6b;Selt;Glis2;Tmtc2;Chst2;Ccdc88a;Zbtb4;Hipk3;Taok1;Irf2bp2;Daam1;Epb41l1;Tanc2;Pgm3;Zfp365;Hcn1;Lamc2;Ank;Fam73a;Plxna2;Gfpt1;Camta1
miR-101/101ab,2963,549,212,0.00677511400856736,1.24758115822844,Bach2;Anxa2;Fmnl2;Smoc1;Hvcn1;Mef2a;Tap1;Tgfbr3;Trp53inp1;Mlec;Dusp1;Lonrf1;Rbbp7;Arhgef3;Bcl2l11;Ndfip1;Gse1;Etv5;Zfp36l2;Cblb;Zeb1;Smarca4;Ap3s1;Zfp827;Rrm1;Fbxw7;Ppp1r13b;Trib1;Zbtb18;Mgrn1;Slc12a2;Baz2b;Arid2;Slc39a10;Prkce;Ipo8;Cmtm6;Atp8a1;Pnisr;Mbnl2;Fam222b;Cdc42ep3;Srf;Rap2b;Ddit4;Ogt;Ube2d1;Sumo3;Dusp16;Dcaf7;Fam222a;Rap1b;Crebrf;Agfg1;Atxn1;Iffo2;Nr1d2;Iqsec1;Zfp704;Rps6ka5;Tspan5;Tlk2;Phf20l1;Emp1;Rab5a;Fam78a;Psd3;Scamp1;Ptprj;Ddx3x;Kif1b;Dnmt3a;N4bp1;Rbm25;Ptpn9;Kdm5a;Nol4l;Baz2a;Mob4;Kpna3;Pptc7;Cbx4;Rbl2;Tfap4;Akt3;Tet2;Kif5b;Map3k4;Med13;Dip2b;Sltm;Zfp207;Myo1e;Strn3;Ctcf;Brd8;Tcf4;Uhmk1;Tgif1;Ezh2;Phf3;Prpf4b;Emc7;Tnrc6b;Usp38;Tgif2;Map3k13;Mpzl2;Pik3c2b;Baiap2;Sub1;Ankrd52;Pde4d;Begain;Hipk3;Fam179b;Ric1;Prrc2c;Zfx;Tet1;Zdhhc21;Adamts10;Epb41l1;Nacc1;Tanc2;Med14;Rap2c;Kdm7a;Papolg;Bcas3;Ubn2;Pbx3;Nlk;Get4;Tia1;Fmr1;Rc3h2;Klf6;Prkaa1;Tnpo1;Parn;Ash1l;Zbtb34;Pip5k1c;Ikzf2;1810013L24Rik;Metap1;Rabgap1l;Rbbp6;Mxd1;Syncrip;Eed;Slco3a1;Terf2;Zfp804a;Adamts17;Gsk3b;Dstyk;Ssx2ip;Zeb2;Frs2;Tspan12;Zfp148;Atad2b;Cpeb2;Dgcr2;Slc19a2;Lrba;Ajap1;Aebp2;Ick;Fam168a;Foxm1;Zcchc2;Mbnl1;1190002N15Rik;Megf9;Fam60a;Acvr1c;Antxr2;Lifr;Top1;Plxna2;Sh3pxd2a;Mllt4;Mtx3;Zfand3;Slc30a7;Ing3;Afap1;Tnrc18;Ino80d;Cacnb2;Cbfa2t2;Ube2a;Ppp1r16b;Eif4g2;Proser1;Mex3b;Zfp746;Cadm1;Cav3;Purg;Unc5d;Spop;Rev3l;Klf12;Fam76b;Tet3;Camta1;Nkiras1;Socs5
miR-290-5p/292-5p/371-5p/293,2963,185,78,0.00691852032753574,1.43670575028233,Cerk;Ssbp2;Xpo1;Smad7;Slc7a1;Kremen1;Tgfbr3;Marcks;Gse1;Smc6;Zfp36l2;Ypel2;Mgat4a;Xxylt1;Celf2;Gramd4;Tkt;Rpl5;Dlg4;Slc30a4;Pten;Fam222b;Nab1;Pcmtd1;Cdc25a;Cyld;Syne1;Mios;Fam107b;Kidins220;Zc3h12d;Phf20l1;Sptbn1;Pptc7;Cbx4;Plekhf2;Usp33;Pip4k2b;Prune;Hook3;1110032F04Rik;Snx13;Fbxl17;Prpf4b;Lpp;Diaph2;Nfix;Glis2;Pik3c2b;Btf3l4;Impad1;Wdr82;Acvr1b;Maea;Strip2;Rc3h2;Mycbp2;Trps1;Zbtb34;Ltn1;Pknox2;Cdc42se2;Srrm1;1700066M21Rik;Surf4;Enoph1;Orc4;Ubfd1;Rnf150;Prex1;Bahd1;Naa40;Pdap1;Mfsd4a;Rpap1;Suv420h1;Usp2;Pnp
miR-539/539-5p,2963,390,154,0.00730053091386134,1.29083665402928,Bach2;Btla;Irf4;Adam12;Slc2a3;Abi2;Mapkapk2;Mlec;Slc25a37;Tmem164;Phf2;Chst15;Cdca7l;Traf3;Bach1;Cblb;Brox;Cluh;Sept11;Celf2;Gk;Slc35g1;Prkca;Cdk19;Xpo6;Angptl2;Cyth3;Phb2;Dyrk1b;Hlcs;Gbp7;Ccnyl1;Galc;Atp8a1;Cltb;Dpy19l1;Nab1;Ppm1e;Mapre2;Slc11a2;Olig3;B3galt6;Leprotl1;Smc2;Dnajb5;Nrp1;Dcp2;Emp1;Atxn10;Spag9;Mgea5;Kdm5a;Baz2a;Zfp644;Kpna3;Klf13;Rce1;Akt3;Camsap2;Gpr155;Bahcc1;Zfp207;Chml;Tbc1d22b;Etv6;Hook3;Aph1a;Pcnx;Ccdc117;Ahr;Fbxl17;Myo5a;Phf3;Eif4b;Ubxn7;Tnrc6b;Rprd1a;Ybx1;Dnmt3b;Rap1a;Ccdc88a;Ide;Hipk3;Taok1;Homer1;Zfx;Pisd;Tead1;Fnbp4;Pigc;Fam114a1;Pdcd6ip;Nr4a2;Tanc2;Med14;Ago2;Igdcc3;Map3k2;Tnfsf15;Tia1;Iws1;Hcn1;Prkaa1;Thoc2;Rassf2;Smek1;Prrc2b;Ikzf2;Cdnf;Ttc14;Pknox2;Nnt;Fkbp1a;Gpbp1;Ddx5;Sf3b1;Hspa13;Tmtc1;Frs2;Zfp148;Heatr5a;Aak1;Polr1d;Clasp2;Mfsd14a;Pak3;Ankrd55;Tmem241;Aebp2;2810474O19Rik;Fam168a;Gphn;Strbp;Scmh1;Lifr;Sec16b;Usp31;Diras1;Mtx3;Lpgat1;Ing3;Csnk2a1;Me3;Mapk8ip3;Ddhd1;Ino80d;Slc30a1;Fbxl22;Lep;Krtap11-1;Wiz;Fam118b;Prkcz;Rgs4
