Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
miR-328a/328b-3p,1020,116,25,0.000690298508646247,2.11060040760642,Cited2;Gm2a;Usb1;Shkbp1;Pef1;Man1c1;Etv6;Slc27a4;Foxo4;Gtdc1;Igf1r;Hap1;Ptpn9;Tomm40l;Zhx2;Ip6k1;Ube2z;Epb41l1;Pim1;Ptprf;Rwdd2b;Tesk2;Susd6;Ranbp10;Tcf7l2
miR-31,1020,240,38,0.0189762107688553,1.44319184749194,Cd28;Atp8a1;Sgms1;Sh2d1a;Kctd21;B3gnt2;Tspan31;Raph1;Lman2;Dusp7;Lats2;Rab6b;Prlr;Map4k5;Zbtb34;Slc39a9;Map3k1;Ndrg3;Rab19;Vav3;Lbh;Trp53inp2;Zfp574;Akap7;Ccnj;Tmem168;Prkce;Tesk2;Dhcr24;Fam53b;Pex5;Heatr5a;Fam104a;Sh3bgrl2;Camk2d;Stk40;Vps26b;Sertad2
miR-124/124ab/506,1020,1296,170,0.0349032747343091,1.17406005648631,Zbtb7b;Myo10;Itm2c;Anxa5;Shc1;Dapk1;Sypl;Inpp4a;Stk39;Sgms1;Cmtr2;Lysmd3;Nrp1;Pde4d;Sgpl1;Sft2d2;Scd2;Mylip;Lmbrd1;Adamts3;Gsn;Serp1;Tmcc3;Hadh;Rpia;Lmo4;Extl3;Ptpre;Pgrmc2;Slc27a1;Mlec;Myo1e;Lrig1;Rap2b;Rap2a;Shkbp1;Ppm1f;Emc10;Adcy9;Ampd3;Galnt10;Ipo8;Adipor2;Nav2;Itgb1;Zfp706;Raph1;Zfp608;Arf2;Slc9a6;Rassf5;Cycs;Trps1;Ctdsp2;Gpam;Hbp1;Pttg1ip;Cand2;Aes;Fam222b;Lemd2;Ptbp1;Unc119b;Rnf114;Dhrs1;Vamp3;St8sia4;Sumf1;Eci2;Twsg1;Ctdspl;Gstk1;Prlr;Ube2o;Poglut1;Plekhm3;Galc;Gys1;3110043O21Rik;Smco4;Slc35a4;Slc39a9;Rnpepl1;Limd2;Map3k1;Gpr153;Gng10;Capn2;Qsox1;Rcbtb2;Acadsb;Ypel5;Rhog;Xkr8;Slc15a4;Tsc22d4;B930041F14Rik;Etv3;Crat;Poc1b;Tox;Mapk7;Ets1;Trp53inp2;Slc25a39;Surf4;Ptpn9;Slc4a8;Cd151;Map3k3;Mpc1;Ankfy1;Btg2;Atmin;Kcna1;Flnb;Rufy1;Sestd1;Mllt3;Ccdc71l;Ache;Bckdha;Trp53inp1;Ern1;Pim1;Aldh9a1;Lipe;Bcl11b;Gdap2;Tmem168;Cpt1a;Aldh4a1;Sptlc1;Pea15a;Rassf3;Dhcr24;Plekhf2;Slc22a15;Slc25a1;Fam53b;Pip4k2a;Tmem109;Gm17296;Vim;Susd6;Homer2;Zfp287;Irf2bpl;Fam104a;Smox;Zcchc24;Ranbp10;Lnx2;Slc9a9;Zfand3;Ctns;Lrrfip2;Ptpn12;Gucd1;Slc31a1;Jade1;Lrrc75a;Bcl2l11;Sertad2;Mfsd14b;Oaf;Marveld1;Efhd1;Osbpl3;Plagl2
miR-296-3p,1020,29,6,0.0447545835964582,1.98416029075417,Cd40lg;Chl1;Itm2a;Kctd21;Slc39a9;Fam46c
miR-99ab/100,1020,36,7,0.0514095753457777,1.83626566559712,Trib1;Ctdspl;Hs3st3b1;Igf1r;Etv3;Icmt;Trib2
miR-24/24ab/24-3p,1020,405,57,0.0537612271112253,1.25656108582488,Chl1;Sp6;Cd28;Spcs3;Tor2a;Mpi;Adamts3;Tmem50b;Tsc22d3;Ptgfrn;Mlec;Kctd21;Rnf11;Nav2;Rap2c;Nrp2;Tmem173;Atp13a2;G6pdx;Acvr1b;Abcb9;Tbc1d22b;Pcyt1a;Fmnl3;Stradb;Mxi1;Tgif2;Cdkn1b;B4gat1;Mapk7;Ubtf;Rer1;Slc25a39;Zer1;Cmtm4;Lhpp;Smu1;Trp53inp1;Pim1;S1pr1;Ptprf;Slc25a44;Mboat7;Bbc3;Pea15a;Sys1;Sirt2;Tbc1d30;Timm13;Gba2;Gatsl2;Rnf24;Ranbp10;9930012K11Rik;Mapkbp1;Gucd1;Bcl2l11
miR-150/5127,1020,162,25,0.0552599531443609,1.39358306475913,Sgms1;Lmo4;Adipor2;Trps1;Tmcc1;Fbxw11;Pdia6;Abcb9;Tbc1d22b;Gys1;Cbx4;Acvr1c;Commd8;Lbh;Srf;Map3k3;Ube2z;Eif4e;Trp53inp1;Ppp2cb;Pim1;Tesk2;Irak2;Tada1;Pi4k2a
miR-18ab/4735-3p,1020,167,24,0.111864027157081,1.27942643735285,Runx1;Sypl;Enc1;Atp8a1;Pde4d;Xylt2;Dock4;Ptgfrn;Etv6;Ctdspl;Map3k1;Atxn1;Ypel5;Ptp4a3;Triobp;Lsm14b;Kcna1;Ube2z;Nedd9;Epb41l1;Trib2;Kdm5b;Tmem248;Adck3
miR-125a-5p/125b-5p/351/670/4319,1020,604,79,0.115925816468269,1.1530684615623,Itgb3;Irf4;Dusp6;Il7r;Il6ra;Chtf8;St6gal1;Atf6;Rit1;Sgpl1;Tor2a;Kctd21;Jup;Zfp281;Ajuba;Ptpn7;Cln6;Mapre2;Etv6;Sema4f;Elovl7;Trps1;Ctdsp2;Pip4k2b;Abtb1;Dusp7;Slc27a4;Rab6b;St8sia4;Zdhhc7;Pik3c2b;Cpm;Plekhm3;Zbtb34;Slc35a4;Slc39a9;Ist1;Limd2;Acvr1c;D17H6S53E;Atxn1;Sav1;Man1b1;Khnyn;Bak1;Lbh;Srf;Etv3;Ets1;Daam1;Ubtd1;Ip6k1;Lfng;Kcna1;Arid3a;Galnt7;Ccdc71l;Nedd9;Trp53inp1;Trib2;Mlf2;Ccnj;Tmem168;Acer2;Plxna1;Rassf3;Slc25a35;Dnajc14;Ccnjl;Tmem180;Susd6;Itga8;Dcaf10;Dis3l2;Taf5l;Fam53c;Plagl2;Pi4k2a;Tjap1
miR-204/204b/211,1020,376,50,0.136194332322438,1.1716119378509,Tmem64;Myo10;Il6ra;Itpr1;Shc1;Inpp4a;Chn2;Atf6;Ddx19b;Ap2a2;Ephb6;Cap2;Lamp1;Cmtm6;Sec24d;Arhgap29;Robo1;Yif1a;Map1lc3b;Ipo8;Mapre2;Rap2c;Prmt6;Ap1s1;Pip4k2b;Pik3cb;Dynll1;3110043O21Rik;Zbtb34;Camk1d;Ndrg3;Crat;Rps6ka5;Lfng;Ankfy1;Mllt3;Arap2;Trp53inp1;Bcl11b;Slc25a35;Dnajc14;P4hb;Glis3;Gnaq;Zcchc24;Rnf24;Dcaf5;Cnnm4;Hs2st1;Gucd1
miR-488,1020,211,29,0.143116907935041,1.21455856208024,Pgrmc2;Mlec;Zfp281;Ier2;Btg1;Lrrc41;Arhgef11;Ctdspl;Tnfsf11;Pcyt1a;Rspry1;Rnf139;Acadsb;Ccdc71;Lrrc28;Srf;Trp53inp2;Pde8a;Arfip2;Arih2;Gfer;Tesk2;Vim;Dgcr2;Zfand3;Tada1;Emc4;Jade1;1700025G04Rik
