Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
miR-181abcd/4262,2552,780,272,0.000119204891113581,1.33762279111059,Cd4;S1pr1;Samhd1;Bcl2l11;Smad7;Dek;Wdr76;Mapre2;Sos1;B4galt1;Hmgb2;Cd69;Agfg1;Fam178a;Etohi1;Rbm25;Stk10;Egr1;Syt11;Phc3;Lpp;Hsp90b1;Mbnl1;Cd2ap;Tox;Tmem71;Bclaf1;Prrc2c;Otud4;Ap1s3;Cops2;Rbm26;Tgfbr3;Dcp2;Nol8;Larp4;Nucks1;Mycbp2;Fos;Camk2g;Dusp10;Gng2;Nufip2;Phf20l1;Phf3;Tcerg1;Tnik;Fmr1;Ptbp3;Scai;Lclat1;Srpk2;Taok1;Ipo5;Pnisr;Foxk1;Bcl2;Plekha3;Mybl1;Fam179b;Cep97;Bach2;Gid4;Foxp1;Kmt2c;Prkaa1;Runx1;Birc6;Crim1;Zfp951;Fndc3a;Zbtb41;Arl5a;Ankrd44;Atp1b1;Gdpd1;2810474O19Rik;Thoc2;Cbx5;Gls;2610305D13Rik;Ubp1;Rsf1;Dnajc13;Ppm1b;Lmbrd2;Sgpp1;Tgfbr1;Zmynd11;Carm1;Baz1a;Rps6kb1;Cblb;Cep41;Spice1;Kpnb1;Mospd1;Zfp704;Jarid2;Phip;Phlda1;Camsap2;Kmt2a;Kif1b;Igf2bp3;Fmnl2;Mga;Ythdc2;Zfand6;Picalm;Adrbk1;Naa15;Lrba;Sipa1l1;Fbxo11;Mtx3;Pkn2;Zzz3;Acap2;Nr2c2;Xiap;Wnk1;Sypl;Gabra1;Ccnj;Cdk8;Heca;Aak1;Ubn2;Nab1;Tardbp;Cdc42bpa;Fam102a;Tead1;Zfp607;Ogt;Pafah1b1;Lats1;Ube2h;Jade2;Nlk;Sfmbt1;Shoc2;Kcnma1;Ept1;Zbtb34;St8sia4;Elavl4;Cdon;Atxn1;Ccar1;Eed;Actr2;Tnpo1;Atp8b2;Sacm1l;Bptf;Cd163;Cbfa2t3;Kctd10;Pknox1;Lin28a;Dopey1;Klf15;Mlf1;Taf9b;Rab11fip2;Prickle2;Tab3;Usp12;Podxl;C77370;Slc9a6;Arrdc3;Zfp36l1;Chic1;Arf6;Zfp930;Rbbp7;Naa50;Nfat5;Man2a1;Tom1l1;Wdr37;Fryl;Tmem165;Dock7;Wnt9a;Zfp820;Chd1;Pacs2;Elp4;Tnrc6b;Elmsan1;Gm5113;Slc19a2;Cul3;Adarb1;G3bp2;Etnk1;Il7;Marcks;Csnk1g1;Lcorl;Zeb2;Sirt1;Cdkn2aip;Lbr;Fam126b;Tmem151b;Ahnak;Gpd2;Cdx2;Pknox2;Rps6ka6;Tmem87b;Mlxip;Senp2;Pwwp2b;Col16a1;Tmed5;Hexim1;Cpsf6;Npepps;Crebrf;Zfp800;Cbfa2t2;Golga1;Ncoa2;Afap1;Lonrf2;Pdcd6ip;Slc16a12;Inpp5e;Qk;Rasl2-9;Apba1;Btbd3;Cbx7;Megf9;Hcn2;Col5a1;Il1a;Tbc1d4;Ttc39b;Hipk3;Fbxl3;1810011O10Rik;Grm1;Unc5a;Baz2b;Cnr1;Kpna1;Klhl42;Pdap1;Baz2a;Rad21;Bhlhe40;Pitx2;Tnp1;Nfatc2ip;Fsd1l;Ythdf3;Luzp1;Cul5;Grb10;Psap;Zfp655;Igf2bp2;Pkdcc;Ttbk1;Creb1
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666,2552,606,216,0.000139893303005777,1.37840961275571,S1pr1;Bcl2l11;Kit;Arap2;Myb;Rapgef4;Zfp367;Abca1;Runx3;Smurf2;Hecw2;Pmepa1;Cd69;Agfg1;Fam178a;Ipcef1;E2f2;Taf4b;Mbnl1;Ugcg;Dennd4c;Slc12a7;Atrx;Rnf216;Adcy7;Piga;Dip2a;Adam12;Dcp2;Larp4;Irf1;Itpk1;Tnrc6a;Tnfrsf1b;Znrf3;Phf3;Lnpep;Lypd6b;Whsc1l1;Npat;Fmr1;Prr14l;B4galt5;Casd1;Smoc1;Lclat1;Taok1;Zadh2;Mbnl3;Mier1;Six6;Bbx;Mybl1;Ankrd12;Fam179b;Bach2;Kmt2c;Prkaa1;Ikzf4;Psd3;Birc6;Zbtb7b;Scml4;Mllt10;Zkscan8;Ulk2;Cyld;Fam196b;Trps1;Hprt;Slmap;Rbm33;Canx;Tgfbr1;2310035C23Rik;Baz1a;Ddx6;Cblb;Clock;Rbbp8;Dnm1l;Gpcpd1;Zfp704;Jarid2;Zbtb18;Abcb7;Vps37b;Kmt2a;Lonrf1;Rprd2;Trp53inp1;Rab34;Mafb;Sbno1;Asxl2;Mpped2;Mphosph9;Erbb2ip;Wnk1;Sh3bp5;Pxk;Fbxo48;Wdfy3;Stx6;Cdk19;Aak1;Ubn2;Zfc3h1;Pgm2l1;Prkd3;Tardbp;Pitpnm2;Mllt6;Arfgef1;Atp6v1b2;Ddhd2;Trim37;Tgfbr2;Pafah1b1;Syncrip;Sfmbt1;Ept1;Abcc4;Cmpk1;Fam73a;Atxn1;Sh3d19;Ccdc126;Snx2;Tnpo1;Dynll2;Sik1;Ppp2r5e;Frmd6;Rc3h2;Bptf;Lin28a;Mlec;Camta1;Hnrnpd;Impdh1;Arrdc3;Usp48;Chic1;Rnf38;Naa50;Tnrc6b;Garem;Pvrl3;Usp47;Zbtb44;Zfyve26;G3bp2;Etnk1;Csnk1g1;Lcorl;Zmat3;Cfl2;Atg14;Zeb2;Phf12;Acbd5;Hbs1l;Ahr;Acsl4;Ankrd10;Hoxb1;Tmem151b;Hivep2;Hectd1;Ralgps2;Gpd2;Cds1;Fubp1;Vps37a;Prnp;Stxbp5;Tnrc6c;Pou4f1;Lrp8;Gclc;Map4;Zfp800;Usp32;Rasd1;Fam222a;Enpp5;Eps15;Brwd1;Qk;Btbd3;Lonrf3;Cnih1;Maf;N4bp1;Mex3d;Lsm11;Hipk3;Lrch1;Tcf4;Igf2bp1;Cnr1;Baz2a;Jmy;2700081O15Rik;Prr5l;Fsd1l;Txnip;Appl1;Snip1;Grb10;Psap;Asxl3;Neurog1;Creb1;Alx4
miR-590-3p,2552,653,230,0.000199406645994044,1.35368851443881,Chek1;Cd28;Fam65b;Pde3b;Atm;Smc6;Stat1;Dpy19l1;Chst2;Nampt;Taf4b;Gria3;Mbnl1;Stx17;Styx;Pcgf6;Irf9;Dhx36;Smarca2;Prpf39;Piga;Huwe1;Nktr;Larp4;Golgb1;Smek2;Nrm;Tmem123;Mbd5;Tob1;Shank2;Phf21a;Cep55;Lypd6b;Macf1;Ptbp3;Scai;Stag2;Srpk2;Fam49a;Mier1;Ipo5;Sepn1;Strada;Rdx;Yme1l1;Gid4;Foxp1;Psd3;Fam208a;Zswim6;Kpna3;Arid4a;Smek1;Mllt10;Tspan2;Larp4b;Tet2;Hacd2;Gls;Ranbp2;Ebf3;Usp34;Dnajc13;Eif4b;Tmem185b;Scaf11;Zmynd11;Baz1a;Cep41;Cep76;Pabpc1;Ube2v2;Pias1;Zbtb18;Phip;Sgk3;Rbm24;Abcb7;Cdca4;Rprd2;Atxn2l;Fmnl2;Galnt3;Trp53inp1;Mllt3;Naa15;Rock2;Lrba;1700025G04Rik;Pdia3;Sipa1l1;Ergic2;Mpped2;Insr;Spcs2;Chmp1b;Wnk1;Sertad4;Dlx1;Sypl;Gtf2a1;Ptbp1;Rbm39;Snx13;Tes;Nln;Ubn2;Gatb;Nsd1;St8sia1;Taf2;Wipf1;Prkacb;Impad1;Strn3;Scfd2;Mpp7;Tead1;Pds5b;Fbxl17;Ankrd17;Fen1;Lats1;Syncrip;Npas2;Tcf20;Cdk12;Uhrf1bp1l;Tab2;Eif5;Lmbrd1;Zfand3;Nab2;Atxn7;Nme4;Actr2;Lsm6;Atp8b2;Sp3;Eif3e;Col4a4;Foxo6;Rc3h2;Ccdc6;Bptf;Pknox1;Rab11fip2;Prickle2;Gas2l3;Eif5a2;Glb1;Zfp36l1;Chic1;Sst;Eml5;Spry2;Elp4;Tnrc6b;Elmsan1;Zbtb44;Cul3;Fbxo43;Etnk1;Usp45;Ptp4a2;Meis2;Dnm3;Tshz3;Epb41l5;Sox11;Nup133;Apc;Cdkn2aip;Kctd5;Fam126b;Hsdl2;Abcb10;Snrnp70;Tmem151b;Ninl;1190002N15Rik;Thsd1;Rc3h1;Tango6;Nxt2;Zmpste24;Csde1;Msn;Asah2;Tmx4;Fubp1;Top1;Stxbp5;Ubxn2a;Pigm;Csgalnact1;Ncoa2;Fam222a;Fcgr2b;Pdcd6ip;N4bp2l2;Ablim1;Nrd1;Tmtc2;Ddx46;Cbx7;Col5a1;Ltn1;Pard3b;Serp1;Pi15;Axin2;Scp2;Jmjd1c;Hipk3;Aifm3;Ppm1k;Igf2bp1;Cnr1;Kat2b;Rad21;Xpr1;Lrrc4;Ythdf3;Fam120a;Snip1;Nxpe2;Creb1;Tmf1
miR-186,2552,478,173,0.00025583134868466,1.4064131501582,Dek;Arap2;Pde3b;Ccnd2;Smurf2;Hecw2;Zdhhc15;Ppm1e;Hmgb2;Zcchc11;Nck2;Syt11;Tpr;Phc3;Mitf;Ostf1;Gria3;Otud4;Tmod1;Rnf216;P2rx7;Suz12;Pde4d;Prpf39;Eif3a;Rbm26;Tax1bp1;Nucks1;Sh3rf1;Diaph2;Tob1;Ddx3y;Stag2;Srpk2;Prpf4b;Mier1;Ankrd12;Tmem35;Kif3c;Bach2;Gid4;Zfp280c;Psd3;Eif5b;Nasp;Itsn2;Fndc3a;Vprbp;Cyld;Cldn1;Trps1;Kcna1;Orc4;Rap2a;Ppm1b;Eif4b;Rps6kb1;Dusp7;Cblb;Cxxc5;Pabpc1;Gpcpd1;Pdcd10;Samd4;Naa16;Tgif1;Zfp385a;Uri1;Sbno1;Nr5a2;Mllt3;Naa15;Igfbpl1;Hook3;Cntnap1;Zzz3;Acap2;Xiap;Kif13a;Stk17b;Nol4l;Gtdc1;Nsd1;Igf1r;Wipf1;Tardbp;Cdc42bpa;Add1;Ttpa;Pnpla8;Fam63b;Cept1;Cbx3;Pds5b;Zfp831;Zfp644;Tgfbr2;Pan3;Syncrip;Jade2;Tcf20;Nup93;Ldlrad3;Zfand3;Elavl4;Rnf11;Atxn7;Armc8;Sacm1l;Sp3;Zfp651;Rc3h2;Pappa;Camta1;Zfp36l1;Usp48;Chic1;Lrrc71;Kctd3;Nfat5;Maml2;Invs;Tlx3;Mdn1;Dnm3;2700060E02Rik;Hnrnpu;Sox11;Irf4;Abcc1;Foxn2;Acsl4;Fam126b;Hivep2;Ncoa3;Cdk5r1;Reep3;Rc3h1;Sort1;Zmpste24;Frmd4b;Cdk14;Cdc42;Ddx42;Arf2;Ubac1;Shprh;Tmed5;Hexim1;Crebrf;Itga6;Map4;Rufy2;Ncoa2;Qk;Btbd3;Pard3b;Prdm1;Fam193b;Srf;Kpna1;Jmy;Cask;Papd7;Rhbdf2;Fam120a;Ube2r2;Bach1;Pter;Cul5;Asxl3;Pls1;Tmf1
miR-27abc/27a-3p,2552,888,303,0.000293191915018001,1.29406536852626,Gata3;Fosb;Cd28;Fam65b;Adam19;Ccnyl1;Ccna2;Pde3b;Nfkbid;Abca1;Sema7a;Ppm1e;Spry1;Foxo1;Sos1;Bcl3;Lox;Chst2;Slc7a11;Mitf;Gria3;Ugcg;Cd2ap;Tox;Arl4c;Atrx;Adamts10;Vsir;Whsc1;Atp13a3;Suz12;Atl3;Tgfbr3;Dcp2;Elf4;Larp4;Fam78a;Nfatc1;A230046K03Rik;Sh3rf1;Aff3;Xpo1;Nav2;Adgrl2;Mapkapk3;Ppig;Prr14l;Zbtb10;Usp25;Scai;Plxnd1;Tmub1;Rbbp6;Zadh2;Fam69a;Bbx;Sepn1;Pnisr;Ntn1;Srrm2;Hsp90aa1;Nabp1;Kmt2c;Runx1;Shb;Gcc2;Fam126a;Kpna3;Itsn2;Fndc3a;Srrd;Cfap97;Eif2s2;Atp11c;Fam76b;Ebf3;Dnajc13;Scaf11;Sgpp1;Tgfbr1;Rps6kb1;Cblb;Tet1;Kpnb1;Ncoa7;Zfp704;Fam133b;Zbtb18;Samd4;Ube2v1;Nav1;Lpar6;Kmt2a;Lonrf1;Suclg2;Galnt3;Zfp385a;Il10;Nr5a2;Sbf2;Txlng;Glipr2;Naa15;Rock2;1700025G04Rik;Pank1;Tspyl5;Cdc27;Insr;Pkn2;Zzz3;Nap1l5;Nr2c2;Tceanc2;Xiap;Wnk1;Brd8;Ephb2;Rbm12b2;Gtf2a1;Gab1;Ccnj;Rictor;Cdk8;Ubr5;Nln;Nsd1;Sgms1;Pgm2l1;Tardbp;Add1;Pitpnm2;Fam102a;Rit1;Snx12;Arhgef6;Ube4a;Tead1;Arfgef1;Pds5b;Pogk;Rreb1;Ankrd17;Ctcf;Lats1;Adcy6;Nlk;Ppp4c;Lpin1;Neurl1b;Cdc14b;Gys1;Eif5;Zbtb34;Sema6d;Efna2;Aqp11;Zfand3;2010300C02Rik;Armc8;Tnpo1;Hdx;Dynll2;Sik1;Efna4;Hic1;Frmd6;Usf3;Rc3h2;Cdk18;Cbfa2t3;Pappa;Hapln1;Suco;C1galt1;Rab11fip2;Fzd3;Prickle2;Tab3;Sec24a;C77370;Rps6ka5;Rnf38;Arf6;Ncoa5;Naa50;Gria4;Nfat5;Man2a1;Tlk2;Maml2;Wdr37;Fryl;Rsbn1l;Nfe2l2;Bmp2k;Spry2;Tnrc6b;Arid2;Mdn1;Cacna2d3;Usp45;Kif21b;Marcks;Man1a;Meis2;Csnk1g1;Zmat3;Sox11;Irf4;Apc;Cables2;Plcxd2;Golm1;Stx16;Enc1;Fam126b;Zfp827;Camk2d;Nfx1;Abl2;Hivep2;Adcy3;Cdk5r1;Pde3a;Rc3h1;Gpd2;Gtf2i;Pknox2;Nxt2;Bdp1;Tbkbp1;Bbc3;Cds1;Tmprss11f;Fubp1;Cdk14;Gfpt2;Trappc8;Tmed5;Prkcb;Med14;Npepps;Slc27a4;Crebrf;Ncbp3;Srgap3;Zfp800;Oaf;Mier2;Golga1;Prkaa2;Afap1;Fam222a;Fgf1;Insm2;Pde1a;Qk;Tmtc2;Gabra6;Stk40;Met;Vegfc;Lonrf3;Mospd3;Gng12;Serp1;Ccdc92;Flrt3;Fbxo46;Ccm2;N4bp1;Tbc1d4;Mapk8ip3;Dab2ip;Jmjd1c;Ttc39b;Hipk3;4932438A13Rik;Syn3;Ppm1k;1810011O10Rik;Fam193b;Baz2b;Cnr1;Zfp516;Acta2;Papd7;Slc35a3;Rhbdf2;Gmps;Crem;Mepce;Hmgcs1;Anks1;Pdpk1;Map2k4;Edem3;Csrnp1;Creb1;Mesdc1;Ncam1;Fbxo10
miR-290-5p/292-5p/371-5p/293,2552,185,75,0.000302036443027498,1.67732388531856,Smad7;Arap2;Smc6;Fam178a;Rpl5;Lpp;Cd2ap;Tgfbr3;Mycbp2;Camk2g;Xpo1;Diaph2;Mgat4a;Phf20l1;Mbnl3;Prpf4b;Krit1;Sike1;Naa40;Sptbn1;Zkscan8;Cyld;Trps1;Orc4;Pcmtd1;Ube2v2;Nav1;Rprd2;Mllt11;Kmt2d;Hook3;Trim33;Xiap;Dlx1;Snx13;Nab1;Cerk;Impad1;Tanc1;Tpbg;Bard1;Fbxl17;Trim37;Lats1;Zbtb34;Elavl4;Gria1;Plekhf2;Frmd6;Rc3h2;Map3k1;Mycn;Pnp;Marcks;Fgfrl1;Calcrl;Gramd4;Orc5;Reep3;Pknox2;Uty;Hnrnpa2b1;Eps15;Met;Ltn1;Enoph1;Tgs1;Axin2;Epn1;Pdap1;Prune;Dlg4;Prex1;Scn1a;Plekhg1
miR-223,2552,189,75,0.000646879833186418,1.6174159058317,Smurf2;Hsp90b1;Mbnl1;Styx;Cd2ap;Otud4;Pde4d;Prpf39;Adcy7;Cops2;Tgfbr3;Treml2;Dusp2;Pik3c2a;Rras2;Phf20l1;Smoc1;Srpk2;Srek1;Foxp1;Kmt2c;Eif5b;Crim1;Ulk2;Atp1b1;Cbx5;Trps1;Ebf3;Ctsl;Orc4;Rap2a;Rps6kb1;Mospd1;Zbtb18;Phip;Wdr62;Mafb;Mga;Pkn2;Igf1r;5031414D18Rik;Pds5b;Rabgap1;Ankrd17;Syncrip;Ept1;Aco1;Atxn1;Sp3;Pknox1;Rab8b;Fam46a;Naa50;Nfat5;Tnrc6b;Kif21b;Csnk1g1;Tshz3;E330021D16Rik;Sox11;Wwtr1;Ralgps2;Rc3h1;Itgb1;Srgap3;Map4;Ube2q2;Tmtc2;Tmem64;Gpr155;Scaf8;Jmy;Rbpj;Tmem229a;Scn1a
miR-148ab-3p/152,2552,463,165,0.000795164988573194,1.36992283337222,S1pr1;Gadd45a;Fosb;Bcl2l11;Ccna2;Abca1;Smurf2;Hecw2;Sos1;Agfg1;Fam178a;Slc7a11;Ccnf;Mitf;Taf4b;Styx;Ugcg;Arhgap20;Dennd4c;E2f3;Otud4;Whsc1;Slc16a6;Dnmt1;Rock1;Dcp2;Hivep3;Nsg2;Itpk1;Hspa4l;Cyth3;Tnrc6a;Dock6;Mgat4a;Tnfrsf1b;Phf3;Fmr1;B4galt5;Egr2;Adam10;Mier1;Pag1;Bach2;Prkaa1;Itsn2;Mllt10;Trps1;Kcna1;Klf4;Canx;Scaf11;Tgfbr1;2310035C23Rik;Ddx6;Cblb;Clock;Zcchc2;Gpcpd1;Zfp704;Jarid2;Zbtb18;Phip;Rbm24;Abcb7;Kmt2a;Ahdc1;Rab34;Mafb;Ythdc2;Sbno1;4930523C07Rik;Naa15;Pdia3;Mpped2;Fbxo11;Dyrk1b;Kdm6b;Cdk19;Cdk8;Nol4l;Denr;Nsd1;Sgms1;Pgm2l1;Esrrg;Mllt6;Tead1;Tanc1;Ap4e1;Syncrip;Nlk;Zdhhc17;Elavl4;Atxn1;Srsf11;Tnpo1;Dynll2;Sik1;Rc3h2;Lin28a;Pappa;Mlec;C1galt1;Prickle2;Arrdc3;Cxxc4;Usp48;Rnf38;Usf1;Nfat5;Lrrc41;Dgcr8;Invs;Rsbn1l;Zfp110;Chd1;Tnrc6b;Usp47;Zbtb44;Zfyve26;Etnk1;Sox11;Atg14;Lbr;Hbs1l;Abl2;Tomm70a;Cdk5r1;Gpd2;Chuk;Maf1;Cds1;Fubp1;Prnp;Stxbp5;Tnrc6c;Myo9a;Btbd11;Usp32;Eps15;Mtmr10;Qk;Cnn1;Btbd3;Met;Ism1;Maf;Hipk3;Prkcz;Lrch1;Tcf4;Arl6ip1;Baz2b;Cnr1;Cdc25b;Kpna1;Baz2a;Ing2;Prune;Jmy;Prr5l;Extl3;Txnip;Cul5;Ncam1
miR-503,2552,263,99,0.00103377585698839,1.48631069016552,Chek1;Smad7;Il7r;Myb;Ccnyl1;Zfp367;Ccnd2;Smurf2;Wee1;Nebl;Lpp;Kif23;Mov10;Styx;Cd2ap;Arhgap20;E2f3;Prr11;Pik3c2a;Nufip2;Mgat4a;Ddx3y;Ocrl;Usp25;Bcl2;Fam122a;Ppp3cb;Larp1;Kpna3;Zbtb41;Cbx5;G2e3;Cep350;Kcna1;Zfp423;Jarid2;Phip;Sgk3;Nav1;Kmt2a;Cdca4;Pik3r1;Naa15;1700025G04Rik;Insr;Ythdc1;Rictor;Cdk8;Plpp1;Nol4l;Ubn2;Igf1r;Fchsd2;Ptk7;Pdzd8;5031414D18Rik;Lurap1l;Rreb1;Neurl1b;Sptbn2;Midn;Cmpk1;Syde2;Actr2;Sik1;Bptf;Cbfa2t3;Pappa;Rfx3;Sec24a;Usp12;Cyp26b1;Epb41l4b;Smurf1;Dnajc16;Tnrc6b;Garem;Prkar2a;Emc6;Plcxd2;Pex13;Acsl4;Cdk5r1;Hectd1;Hs3st3b1;Nynrin;Pisd;Crebrf;Rnf138;Pth;Slit2;Ski;Lonrf3;N4bp1;Lsm11;Hipk3;Kif1c;Pdap1;Extl3
miR-433,2552,201,78,0.00113490153194701,1.55862249731426,Gata3;Chl1;Hecw2;Mbnl1;Styx;Tdrd5;Dennd4c;E2f3;Magt1;Nucks1;Phf20l1;Adgrl2;Prr14l;Chd2;Mier1;Zc3h6;Ankrd12;Cep97;Fam208a;Zswim6;Ddx19a;Baz1a;Nsl1;U2surp;Tet1;Rraga;Kmt2a;Pbrm1;Cenpj;Cdc27;Zzz3;Fbxo48;Mxi1;Aak1;Ubn2;Nsd1;Nab1;Scoc;Hnrnpr;Bard1;Fbxl17;Syncrip;Ube2h;Ccar1;Rsbn1;Foxo6;Bptf;Tlk2;Tnrc6b;Garem;Lamc1;Arl13b;Hdlbp;Fbxo22;Ccdc47;Cdk5r1;Hs3st3b1;Top1;Tmed5;Tnrc6c;Prkcb;Med14;Crebrf;Scn1b;Gclc;Qk;Stk40;Myh9;Mn1;Tmx3;Ccdc43;Lsm11;Scn3b;Ythdf3;Ttc13;Tmem50a;Cul5;Creb1
