Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
miR-505/505-3p,1476,135,39,0.000148188565950265,2.03082016642337,Kit;Eif3a;Sass6;Mef2d;Nucks1;Nsg2;Mgat4a;Znrf3;Fmr1;Chd2;Arid4b;Mier1;Bbx;Rbm27;Gid4;Crim1;Cyth1;Eif2s2;Cbx5;Pim2;Canx;Lrrfip1;Pcmtd1;Abcb7;Senp7;Fbxl17;Pafah1b1;Fam126b;Hsdl2;Abl2;Nhej1;Slc30a7;Crebrf;Fam117b;Usp32;Rnf138;Ski;Zfp292;Hif3a
miR-223,1476,189,50,0.000271377064326611,1.80118980369697,Smurf2;Hsp90b1;Mbnl1;Styx;Cd2ap;Otud4;Prpf39;Adcy7;Cops2;Tgfbr3;Treml2;Pik3c2a;Rras2;Phf20l1;Srpk2;Srek1;Foxp1;Kmt2c;Eif5b;Crim1;Ulk2;Atp1b1;Cbx5;Orc4;Rps6kb1;Mospd1;Zbtb18;Phip;Wdr62;Mga;Pkn2;Pds5b;Rabgap1;Ankrd17;Syncrip;Ept1;Sp3;Rab8b;Fam46a;Naa50;Nfat5;Tnrc6b;Kif21b;Csnk1g1;Ralgps2;Rc3h1;Map4;Gpr155;Scaf8;Jmy
miR-495/1192,1476,565,125,0.000330569592394514,1.43826082826569,Ccna2;Runx3;Smurf2;Foxo1;Fam178a;E2f2;Inpp4b;Phc3;Gria3;Mbnl1;E2f3;Bclaf1;Whsc1;Rev3l;Slc14a1;Nucks1;Rad18;Nsg2;A230046K03Rik;Camk2g;Luc7l3;Zfp518a;Tnrc6a;Nufip2;Nod1;Phf21a;Pde7a;Ddx3y;Arid4b;Stag2;Lclat1;Cdc6;Rbm27;Cep97;Hsp90aa1;Foxp1;Zfp280c;Mcmbp;Set;Supt16;Arid4a;Crim1;Fam76b;Cbx5;Ranbp9;Cep350;Cd164;Rbm33;Clock;U2surp;Ube2v2;Srsf10;Pdcd10;Zbtb18;Kmt2a;Pbrm1;Ythdc2;Sbno1;Kmt2d;Rock2;Mphosph9;Xiap;Wnk1;Cdk6;Gpr158;Rictor;Ubn2;Prkd3;Tardbp;Cept1;Mllt6;Ddhd2;Lnp;Ap4e1;Jade2;Atxn7;Ccar1;Armc8;Ppp2r5e;Notch1;Arrdc3;Smim15;Smurf1;Arhgap5;Nfat5;Thoc1;Slc37a1;Slc25a26;Hnrnpu;Apc;Orc3;Ireb2;Fam126b;Hsdl2;Med12;Gtpbp1;Slc30a7;Tmx4;Fubp1;Stxbp5;Myo9a;Prkcb;Cpsf6;Dirc2;Dcaf6;Btbd11;Efcab14;Usp32;Maml3;Eps15;P4ha1;Pibf1;Ski;Abca2;Slc16a5;Jmjd1c;Inpp5f;Ppm1k;Baz2b;Strn;Cask;Kat2b;Fam120a;Shmt2;Zfp281
miR-199ab-5p,1476,324,76,0.000737064597906471,1.53917396488659,Abca1;Wdr76;Atp1b3;Fam178a;Etohi1;Cdca7l;Rock1;Larp4;Magt1;Nufip2;Ddx3y;Taok1;Foxp1;Eif5b;Naa40;Crim1;Arhgap19;Arrb2;Ncor1;Rsf1;Hipk2;Ddx6;Clock;Kpnb1;Zcchc2;Zbtb18;Ccnl1;Kif1b;Ppp1r12a;Pbrm1;Naa15;Pkn2;Rassf2;Zfp512b;Gm2a;Ung;Ubn2;Brox;Parp12;Zfp654;Pan3;Nlk;Ralgapa1;Atxn7;Tnpo1;Araf;Usf3;Suco;Rfx3;Taf9b;Tab3;Rnf38;Arf6;Arid2;Zfp617;Hdlbp;Atg14;Vps26a;Abcc1;Sirt1;Orc3;Kpna4;Med12;Zfp874b;Hectd1;Gpd2;Zmpste24;Cpsf6;Crebrf;Map4;Ncoa2;Stk4;Myh9;Ccdc43;Jmy;Slc35a3
miR-17/17-5p/20ab/20b-5p/93/106ab/427/518a-3p/519d,1476,899,185,0.000889226286935091,1.31775076051695,S1pr1;Atad2;Smad7;Rapgef4;Mcm3;Zfp367;Pde3b;Ccnd2;Abca1;Sorl1;Skil;Wee1;Polq;Sos1;E2f2;Phc3;Kif23;E2f1;Styx;E2f3;Tspan9;Fanci;Arl4c;Slc12a7;Rbl1;Irf9;Rrm2;Fnbp4;Slc16a6;Atl3;Mastl;Nucks1;Irf1;Fyco1;Tmem123;Tnrc6a;Nufip2;Mbd5;Slc25a27;Npat;Prr14l;Ocrl;Arid4b;Srpk2;Taok1;Ptpn4;Bbx;Itga4;Plekha3;Fbxl5;Xrn1;Akt3;Sike1;Cep97;Gid4;Trip11;Kmt2c;Eif5b;Kpna3;Arid4a;Crim1;Fndc3a;Cfap97;Zbtb41;Arl5a;Cyld;Arhgef18;Tet2;St3gal1;Ldlrap1;Rsf1;Slc25a36;Clock;U2surp;Tet1;Sumf1;Zbtb18;Phip;Kmt2a;Stk38;Pik3r1;Uri1;Rock2;Hook3;Pkn2;Nr2c2;Rassf2;Xiap;Elovl6;Sh3bp5;Pxk;Zfp512b;Kpna2;Tiam1;Aak1;Ubr5;Ccnt2;Ubn2;Slc25a40;Fam102a;Sf3b1;Jak1;Mllt6;Tanc1;Usp24;Tbc1d8b;Emsy;Ddhd2;Trim37;Ankrd17;Tgfbr2;Pafah1b1;Sfmbt1;Shoc2;Neurl1b;Cmpk1;Armc8;Taok2;Lsm6;Rsbn1;Fxr1;Sik1;Zfp651;Ankrd33b;Suco;Rab8b;Brms1l;Chic1;Rnf38;Dmtf1;Gramd1a;Nfat5;Rabep1;Wdr37;Tnrc6b;Zbtb44;Zfyve26;Ptp4a2;Csnk1g1;Cfl2;Atg14;Vps26a;Cep57;Acbd5;Kpna4;Acsl4;Fam126b;Zfp827;Abl2;Ankrd10;Ahnak;BC037034;Slc30a7;Reep3;Rb1cc1;Polr3g;Ube2j1;Ctdspl2;Mgea5;Stxbp5;Tnrc6c;Myo9a;Dirc2;Mapk9;Crebrf;Zfp800;Mier2;Fam117b;Golga1;Usp32;Rufy2;Enpp5;Ski;Fbxl3;Uevld;Lrch1;Prrg1;Papola;Kat2b;Rad21;Ythdf3;Luzp1;Txnip;Prex1;Creb1
miR-19ab,1476,808,168,0.000927686096589761,1.33252099650928,S1pr1;Kit;Rapgef4;Zfp367;Ccnd2;Abca1;Runx3;Smurf2;Skil;Pmepa1;Dock10;Bcl3;Prc1;Cd72;Syt11;Lpp;Mbnl1;Elovl5;Atrx;Smarca2;E2f8;Suz12;Adcy7;Dcp2;Mastl;Mef2d;Pcgf5;Zfp518a;Tnrc6a;Nufip2;Znrf3;Lnpep;Grk6;Whsc1l1;Fmr1;B4galt5;Ddx3y;Chd2;Ocrl;Macf1;Lclat1;Taok1;Mbnl3;Mier1;Fam69a;Ankrd12;Cnot6;Foxp1;Zfp62;Prkaa1;Palb2;Kpna3;Rbms1;Fndc3a;Cyld;Cep350;Cd164;Slmap;Cast;2310035C23Rik;Zmynd11;Dusp7;Ddx6;Cblb;Clock;Rbbp8;Kdm6a;Gpcpd1;Bmf;Zbtb18;Ccnl1;Abcb7;Vps37b;Kif1b;Ppp1r12a;Stk38;Sbno1;Zfand6;Txlng;Asxl2;Abr;Sipa1l1;Mphosph9;Trim33;Wnk1;Gtf2a1;Fbxo48;Cdk19;Ubn2;Zdhhc18;Strn3;Fam102a;Mllt6;Arfgef1;Igf2r;Zfp654;Cnot4;Zfp831;Ddhd2;Tgfbr2;Syncrip;Stk35;Nlk;Sfmbt1;Actn1;Ivns1abp;Atxn7;Armc8;Ppp2r5e;Rc3h2;Bptf;Mlec;Rab8b;Tbk1;Tab3;Slc9a6;Fam46a;Hnrnpd;Impdh1;Arrdc3;Chic1;Rnf38;Adss;Smurf1;Dgcr8;Tnrc6b;Zfyve26;Socs3;G3bp2;Hdlbp;Csnk1g1;Lcorl;Atg14;Enc1;Phf12;Acbd5;Hbs1l;Kpna4;Ireb2;Acsl4;Zfp827;Ankrd10;Slc30a7;Reep3;Vps37a;Tnrc6c;Mark2;Crebrf;Itga6;Tnks;Zfp800;Enpp5;Eps15;Mtmr10;Ablim1;Yipf6;Cbx7;Lsm11;Hipk3;Prkcz;Lrch1;Cnot6l;Klhl42;Luzp1;Desi2;Appl1;Cul5;Psap
miR-204/204b/211,1476,376,85,0.00131353708128212,1.46754673554988,Arhgap11a;Lfng;Abca1;Zdhhc15;Sos1;Dtx1;Fam178a;Slc38a9;Mbnl1;Ap1s3;Slc16a6;Znrf3;Ktn1;Tnik;Srpk2;Taok1;Zadh2;Il6ra;Bcl2;Fnip1;Birc6;Fam126a;Naa40;Arl5a;Rab8a;Larp4b;Mfsd11;Gabpb2;Dnajc13;Ncoa7;Klf3;Fam160a2;Nfatc3;Kmt2d;Mllt3;Hook3;Elovl6;Wnk1;Sla2;Rictor;Snx13;Ccnt2;Ubn2;Sf3b1;Igf2r;Rreb1;Tgfbr2;Srp72;Lats1;Syncrip;Ube2h;Adcy6;Tcf20;Zdhhc17;Zbtb34;Ssbp3;Fam175b;Dmtf1;Nfat5;Tnrc6b;Elmsan1;Sec61a2;Slc43a2;Preb;Sirt1;Acsl4;Abl2;Tomm70a;Rc3h1;Mtmr6;Mlxip;Fam117b;Hnrnpa2b1;Pdcd6ip;Ski;Ppm1k;Arhgap29;Gins3;Cdc25b;Baz2a;Pum2;Ube2r2;Edem1;Appl1;Creb1
miR-18ab/4735-3p,1476,167,42,0.00217063075394322,1.67636562954313,Kit;Zfp367;Atm;Add3;Phc3;Lpp;Mbnl1;Tex2;Nktr;Nufip2;Bbx;Pnisr;Zfp62;Crim1;Asxl2;Elovl1;Gtf2a1;Cdk19;Fchsd2;Prkacb;Usp24;Rabgap1;Syncrip;Zfp651;Suco;Rab11fip2;Naa50;Nfat5;Fryl;Tnrc6b;Elmsan1;Zbtb44;2700060E02Rik;Enc1;Irf2;Fubp1;Coro2a;Gclc;Stk4;Zfp207;Slc22a8;Jmy
miR-421,1476,234,55,0.00314684645653418,1.53535956532616,Hmgb2;Acaca;Whsc1;Piga;Hmmr;Pcm1;Mef2d;Mgat4a;Znrf3;Chd2;Casd1;Ipo5;Rdx;Bach2;Crim1;Eif2s2;Larp4b;A830080D01Rik;Cul4b;Pcmtd1;Bmf;Srsf10;Ythdc2;Picalm;Xiap;Sephs1;Gtf2a1;Fchsd2;Strn3;Mllt6;Zfp654;Trim37;Ankrd17;Fam172a;Sfmbt1;Pde4b;Ivns1abp;Armc8;Sp3;Usp12;Ppp4r2;Arglu1;Ireb2;Fam126b;Snrnp70;Pank2;Tomm70a;Fubp1;Ctdspl2;Ncbp3;Mta1;Ski;Fgf13;Lrrc4;Fam120a
miR-192/215,1476,95,26,0.00324106130313673,1.87370442948992,Rrm1;Taok1;Cdc6;Ankrd44;Arhgap19;Zbtb18;1700025G04Rik;Wnk1;Rictor;Ccnt2;Nab1;Prkacb;Arfgef1;Rabgap1;Fbxl17;Ctcf;Zbtb34;Cdon;Sik1;Pkp4;Myo5a;Enc1;Msn;Myo9a;Higd1a;Klhl42
