Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
miR-27abc/27a-3p,1671,888,210,0.000151385008268911,1.35824335984706,Slc7a11;Aqp11;Plxnd1;Sema7a;Nav2;Nabp1;Ankrd6;Ypel2;Pgm2l1;Runx1;Marcks;Lpar6;Magi3;Btg2;Epb41;Lonrf1;Gse1;Zbtb18;Cers6;C1galt1;Bmp2k;Osbpl11;Arid2;Gata3;Mbtd1;Baz2b;Pla2g6;Fbxl20;Rmnd5a;Insr;Rps6ka5;Pik3ca;Nr1d2;Med13;Txlng;Zcchc24;Cd28;Ppm1k;Zfp704;Aff3;Fam193b;Pcnx;Pdpk1;Suv420h1;Rreb1;Tlk2;Ctcf;Ctdsp2;Cbfa2t3;Camk1d;Sbf2;Fam222a;Atp13a3;Galnt7;Fbxw7;Rps6kb1;Zfp329;Arid1b;Tnrc6b;Csrnp1;Patz1;Usp45;Ppm1e;Strbp;Xkrx;Tia1;Prkcb;Pnisr;Hivep2;Pde10a;Nfia;Epc1;Tead1;Crebrf;Ccdc28b;4932438A13Rik;Dpy19l3;1600012H06Rik;Stx5a;Sdpr;Arhgef6;Sfswap;Ntn1;Mmgt1;Brd8;Thrb;Atad2b;Dab2ip;Neto2;Rictor;Tbc1d4;Trove2;Ikzf5;Zfp395;Mob1b;Nr2c2;Fryl;Satb2;Efnb2;Stx16;Crem;Trim71;Tmcc1;Cdk5r1;Stmn2;Ncam1;Apaf1;Anks1;Rbbp6;Ccnk;Rbbp5;Aff4;Rsbn1l;AI846148;Tmem91;Nfat5;Brpf3;Adamtsl3;Zfp609;Dnajc13;Zfp148;Lats1;Nf1;Msi2;Ppara;Ino80d;Zbtb42;Edrf1;Ccdc92;Sub1;Kif3a;2010300C02Rik;AI593442;Usf3;Golga1;Rc3h1;Rpgrip1l;Zbtb34;Sipa1l3;Cdc27;A230046K03Rik;Fam91a1;Kmt2a;Amotl2;Cep135;Neo1;Myt1;Rc3h2;Pax9;Foxp2;Wdtc1;Ank1;Appbp2;Rnf38;Hbegf;Fbxl14;Nrp2;Unc80;Zfp143;Gng12;Pknox2;Tmub1;Nptx2;Mapk8ip3;Dyrk1a;Pak6;Zfp385a;Eva1c;Gys1;Map3k2;Abhd17c;Apc;Grm5;Wipi2;Tspyl5;Kif21b;Chrm1;Lhx8;Jmjd1c;Wdr37;Wisp1;Npepps;Nxf1;Arhgap1;Gpd1;Fam133b;Ccm2;Col27a1;Fam76b;Rnf111;Bbc3;Mdfi;B4galt3;Slc39a13;Adora2b;Cd2ap;Slc35f1;Kmt2c;Map2k7;Ece1;Tbp;Zfp462;Mdga1;Lifr;Flrt2;Trappc8;Hrk;Fbrsl1;Gata2;Fndc3a
miR-155,1671,246,69,0.000195882222855858,1.68087399643918,Myb;Sla;Trp53inp1;Myo10;Bach1;Cux1;Mef2a;E2f2;Zbtb18;Smarca4;Arid2;Mbtd1;Inadl;Trps1;Dirc2;Rps6ka5;Mxi1;Tcf4;Mafb;Zfp704;Rreb1;Hbp1;Tfdp2;Satb1;Gsk3b;Strn3;Zfp644;Usp45;Hivep2;Nfia;Mecp2;Carhsp1;Socs1;Kdm7a;Dhx40;Zmym2;Arid4a;Stx16;Rho;Fbxo11;Olfml3;Ppil2;Kdm2a;Cab39;Nfat5;Tab2;Kansl1;Rufy2;Fam91a1;Ets1;2510009E07Rik;Pard3b;Arl5b;Plekhm1;Fam212b;Gdf6;Rnf146;Mon1a;Myo1d;Prpf39;Eefsec;Sp3;Apc;Brd1;Trip12;Trim44;Msantd1;Phf21b;Pank2
miR-144,1671,573,142,0.000200185907056997,1.43372693193906,Slc7a11;Fmnl2;Nav2;Smoc1;Trp53inp1;Runx1;Marcks;Mef2a;Epb41;Cdc42ep3;Zbtb18;Atxn1;Smarca4;Ccng2;Arid2;Gata3;Baz2b;Zeb1;Cep170;Gltscr1l;Mbnl2;Pten;Med13;Tcf4;Cdk19;Rbl2;Zfp704;Fam193b;Ccdc88a;B230219D22Rik;Als2;Ube2d1;Ick;Gsk3b;Fam222a;Zfp207;Strn3;Phf3;Fbxw7;Trp53inp2;Senp7;Tnrc6b;Megf9;Ash1l;Phf20l1;Casc4;Mob4;Nfia;Slco3a1;Fgfr1op;Crebrf;Emp1;Nr3c1;Idh2;Pip5k1c;Hs2st1;Fubp3;Rnpc3;Kat6a;Adamts17;Atad2b;Ppp2r5e;Trove2;Ezh2;Dusp16;Abtb2;Eif4g2;Son;Rbm25;Phlda1;Prickle1;Kat6b;Trim71;Nkiras1;Atp1b2;Frs2;Anks1;Zfx;Rbbp6;Ccnk;Aff4;Ago3;Zfp362;Adamtsl3;Amotl1;Lrig2;Fbxl3;Zfp148;Pum2;Pptc7;Ppara;Ino80d;Cyb5b;Celf2;Zswim5;Top1;Kdm6b;Ssx2ip;Rpgrip1l;Zbtb34;Greb1l;Ubn2;Cep135;Ets1;Proser1;Myt1;Rc3h2;Gmfb;Appbp2;Rnf38;Fbxl14;Pafah1b1;Dyrk1a;Kbtbd2;Col10a1;Grm5;Wipi2;Rab1a;Cpeb1;Zeb2;Rgma;Trim44;Cdh20;Fam76b;Bbc3;Cbfa2t2;Vps4b;Dido1;Eda;Rnf44;Ece1;Mcf2l;Zfp746;Zfp462;Lifr;Pknox1;Flrt2;Arid1a;Gata2;Clk4;Fndc3a;Dlc1
miR-216a,1671,147,45,0.000243661655235567,1.89442426135754,Marcks;Npas2;Chmp1b;Zeb1;Gltscr1l;Pten;Med13;Myo1c;Pcnx;Aftph;B230219D22Rik;Lrp8;Lamc1;Olig3;Zfp207;Rp2;Phf20l1;Bahcc1;Nr3c1;Klf13;Mylip;Kdm7a;Dpy19l3;Ncoa1;Taok1;Wipf3;Aff4;Zfp148;Lats1;Celf2;Flrt1;Tcte1;Rc3h1;Sipa1l3;Neo1;Ranbp10;Gng12;Csmd3;Tmem35;L3mbtl4;Itch;Eps15;Rtp1;Arid1a;Hlf
miR-204/204b/211,1671,376,98,0.000269503140395634,1.52540218052261,Slc43a1;Smoc1;Itpr1;Zdhhc14;Ypel2;Trp53inp1;Tcf12;Myo10;Klf3;Angpt1;Nfatc3;Znrf1;Edem1;Zfp629;Ephb6;Slc38a9;Zeb1;Rps6ka5;Khdrbs1;Tcf4;Zcchc24;Ppm1k;Myo1c;Rreb1;Nbr1;Baz2a;Camk1d;Fbxw7;Pcgf3;Crat;Arap2;Tnrc6b;Strbp;Atf2;Ezr;Nfia;Mecp2;Angptl2;Nedd4l;Nr3c1;Hs2st1;1810013L24Rik;Fubp3;Lhfpl4;Mmgt1;Tox3;Ktn1;Map1lc3b;Rictor;Taok1;Arid3b;Ikzf5;Gabpb2;Slc43a2;Rab14;Satb2;Ccnt2;Glis3;Bcl7a;Brd4;Snx13;Frs2;Kdm2a;Nfat5;Brpf3;Bcl11b;Dnajc13;Pum2;Fam107b;Lats1;Sla2;Rab22a;Mon2;Zfp335;Chp1;Rc3h1;Zbtb34;Ube2h;Ubn2;Dlg1;Camk1;Cnnm4;Gpm6a;Slc31a2;Dyrk1a;Eva1c;Hnrnpa2b1;Rab1a;Pdzd2;Trip12;Trim44;Ndrg3;Kcnj1;Nhsl2;Kmt2d;Sf3b1;Hmga2;Plxna2
miR-139-5p,1671,223,63,0.000279881686134854,1.69559948865979,Atl2;Tcf12;Atxn1;Smarca4;Baz2b;Zeb1;Tcf4;Txlng;Baz2a;Hipk1;Tmcc3;Igf1r;Galnt7;Strbp;Tia1;Mgat4a;Ash1l;Nfia;Ddx3x;Hs2st1;Kat6a;Pmp22;Taok1;Trove2;Eif4g2;Tmcc1;Nkiras1;Anks1;Zfx;Rsbn1l;Nfat5;Zfp148;Cecr2;Top1;Kdm6b;Gnai3;Ssx2ip;Ctdspl2;Zbtb34;A230046K03Rik;Prpf4b;Ets1;Proser1;Rc3h2;Rock1;Foxp2;Ank1;Wdr26;Kbtbd2;Zeb2;Cdh20;Fbxl16;Akirin2;Kmt2d;Astn1;Fam76b;Bbc3;Eml5;D630045J12Rik;Rnf44;Ece1;Meioc;Ppp2ca
miR-132/212/212-3p,1671,262,71,0.00049404736053499,1.60158186614403,Cerk;Colq;Btg2;Zbtb18;Atxn1;Chd1;Arid2;Fbxl20;Gltscr1l;Mia3;Pten;Cdk19;Cramp1l;Kdm5a;Osbpl8;Fbxw7;Zfp644;Arid1b;Tnrc6b;Phf20l1;Pde10a;Rb1;Mecp2;Tead1;Dcaf8;Tmem151b;Ep300;Fubp3;Ccdc71l;Kdm5b;Bnip2;Etnk1;Pik3ip1;Zfp395;Klhdc10;Stx16;Crk;Hivep1;Gigyf1;Paip2;Nfat5;Zfc3h1;Zfp362;Klhl11;Myrf;Foxo3;Gtdc1;Ctdspl2;Zbtb34;Fam91a1;Ubn2;Foxp2;Gmfb;Kcnv1;Hbegf;Tjap1;Zfyve1;Arhgef11;Zeb2;Itch;Prkd1;Dusp9;Cbfa2t2;Gria2;Large;Hmga2;Ptbp2;Papola;Arid1a;Rgs7bp;Gata2
miR-199ab-5p,1671,324,85,0.000507140778867987,1.53507762986276,Ets2;Plxnd1;Desi1;Pan3;Slc25a37;Znrf1;Cbl;Mvb12b;Zbtb18;Npas2;Smarca4;Arid2;Brox;Csgalnact1;Ston2;Dennd6a;Myo1c;Zfp874b;Aftph;B230219D22Rik;Als2;Lamc1;Tmem63b;Zfp579;Gsk3b;Myef2;Rtn3;Tbc1d8;Atg12;Crebrf;Ddx3x;Ddx6;Ccnl1;Arhgap12;Zmym2;Pbrm1;Tox3;Adamts17;Rbm24;Pmp22;Ncor1;Taok1;Lin7c;Trim71;Akap13;Serpine1;Adamtsl3;Ncstn;Zfp148;Fam107b;Cecr2;Ino80d;Zbtb42;Myrf;Agpat5;Celf2;Sos2;Atg14;Usf3;Fsd1;Ubn2;Ets1;Snph;Rock1;Wdtc1;Appbp2;Rnf38;Ranbp10;Abhd17c;Tspan18;Arhgap21;Rgma;Kank2;Prtg;Phf21b;Large;Stk4;Acox1;Atxn7;Ece1;Wnt7b;Plxna2;Smarcd1;Hlf;Dlc1
miR-101/101ab,1671,549,134,0.000586886672533817,1.40116767285152,Anxa2;Fmnl2;Smoc1;Trp53inp1;Runx1;Mef2a;Lonrf1;Gse1;Cdc42ep3;Zbtb18;Atxn1;Smarca4;Arid2;Ap3s1;Baz2b;Zeb1;Rps6ka5;Mbnl2;Nr1d2;Med13;Tcf4;Rbl2;Zfp704;Tlk2;Ctcf;Ube2d1;Baz2a;Ick;Mpzl2;Ogt;Gsk3b;Fam222a;Zfp207;Kdm5a;Strn3;Phf3;Terf2;Fbxw7;Trp53inp2;Tnrc6b;Psd3;Megf9;Tia1;Pnisr;Ash1l;Phf20l1;Kif5b;Mob4;Slco3a1;Crebrf;Emp1;Rab5a;Pip5k1c;Ddx3x;Acp2;1810013L24Rik;Kdm7a;Brd8;Thrb;Adamts17;Atad2b;Sltm;Ppp2r5e;Ezh2;Dusp16;Abtb2;Eif4g2;Tead3;Rbm25;Fryl;Phlda1;Kat6b;Nkiras1;Atp1b2;Cdk5r1;Frs2;Anks1;Zfx;Rbbp6;Ago3;Papolg;Adamtsl3;Lrig2;Spop;Zfp148;Pum2;Prrc2c;Pptc7;Ino80d;Myrip;Ric1;Zswim5;Top1;Sub1;Kdm6b;Ssx2ip;Rc3h1;Zbtb34;Greb1l;Kmt2a;Prpf4b;Ubn2;Ets1;Proser1;Rc3h2;Pax9;Rnf38;Fbxl14;Pafah1b1;Dyrk1a;Kbtbd2;Abhd17c;Col10a1;Rab1a;Cpeb1;Zeb2;Rgma;Trim44;Bcas3;Fam76b;Cbfa2t2;Dido1;Stk4;Cadm1;Rnf44;Ece1;Zfp746;Lifr;Plxna2;Pknox1;Flrt2;Arid1a;Smarcd1;Dlc1
miR-194,1671,246,67,0.000587886053747864,1.61144853276864,Adam12;Cerk;Myzap;Nrp1;Chd1;Arid2;Trps1;Mia3;Chd9;Rnf169;Hmg20a;Epc2;Clasp1;Satb1;Kdm5a;Igf1r;Fbxw7;Trp53inp2;Prkcb;Mgat4a;Mecp2;Tead1;Fam160b1;Kdm7a;Stat5b;Fam63b;Arhgap12;Rai1;Sdc4;Sltm;Taok1;Arid4a;Slc12a6;Zfp395;Eif4g2;Stx16;Glis3;Crk;Gigyf1;Rsbn1l;Paip2;Nfat5;Fam107b;Lats1;Bckdha;Prrc2b;Myrf;Slc40a1;Mospd1;Slk;Ctdspl2;Greb1l;Hnf1b;Ubn2;Rell1;Hbegf;Pafah1b1;Tjap1;Arhgap21;Jmjd1c;Trip12;Prtg;Ralgapb;Dusp9;Slc30a10;Adck3;Kmt2c
