Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
miR-433,1295,201,49,0.000100593327452348,1.89074403371431,Tdrd5;Dennd4c;Mier1;Ssbp2;Cep170;Cep97;Slc16a1;Prkcb;Slc17a5;Fbxw7;Lamc1;Cdk17;Crebrf;Mxi1;Tlk2;Phf20l1;Chd9;Epc2;Med13;Fam91a1;Stam;Tnrc6b;Ric1;Bptf;Fam208a;Pbrm1;Ubn2;Tia1;Arid1b;Wtap;Ypel5;Arl13b;Ccar1;Zcchc6;Hecw2;Fbxo22;Cep135;Strbp;Foxp2;Scoc;Top1;Wac;Tnrc6c;Tmem216;Tmx3;Rsbn1;Zc3h6;Stxbp3;Gabpa
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac,1295,548,111,0.000136514518381262,1.50678245302757,Cxcr4;Dgke;Bcl6;Cdca7;Tapt1;E2f2;Agfg2;Pou6f1;Nfatc3;Cers6;Kremen1;Mef2a;Trp53inp1;Tiparp;Pan3;Ostm1;Ano6;Clic4;Rnf216;Rragd;Ypel2;Dirc2;Celf2;Cdk19;Arhgap24;Zbtb18;Sass6;Fam117a;Slc25a27;2700081O15Rik;Kat2b;Mbnl2;Tceb3;Zbtb44;Crebrf;Mxi1;Atxn1;Nfia;Txnip;Zdhhc8;Rb1cc1;Tns1;Psd3;Qser1;Klf13;Phactr4;Acbd5;Zcchc24;Tnrc6b;Arid4a;Pip4k2a;Zfp422;Zbtb6;Plag1;Rsbn1l;Tbcel;Ccdc88a;Rictor;Zfx;Smarcc2;Wdr45;Trip11;Rapgefl1;Polk;Mapk9;Cecr2;Ubn2;Pbx3;Ect2;Map3k2;Ash1l;Crtc2;Uevld;Tox3;Trps1;Wdr37;1810013L24Rik;Ulk1;Tslp;Phc3;Hs2st1;Dctn4;Rell1;Ssx2ip;Scn5a;Fbxl3;Zfp148;Lefty1;Ifnlr1;Pak3;Dpp8;Kmt2c;Arid4b;Rab11fip5;Rnf150;Bambi;Zfp957;Pank3;Tnrc6c;Rsbn1;Unk;Ddhd1;Crk;Zmynd11;Sipa1l3;Ednrb;Suv420h1;Spop;Golga1;Camta1;Fbxo11
miR-101/101ab,1295,549,111,0.000147385910833966,1.50312882812968,Anxa2;Fmnl2;Smoc1;Mef2a;Trp53inp1;Lonrf1;Gse1;Zeb1;Smarca4;Ap3s1;Fbxw7;Zbtb18;Baz2b;Arid2;Pnisr;Mbnl2;Cdc42ep3;Ogt;Ube2d1;Dusp16;Fam222a;Crebrf;Atxn1;Nr1d2;Zfp704;Rps6ka5;Tlk2;Phf20l1;Emp1;Rab5a;Fam78a;Psd3;Ptprj;Ddx3x;Rbm25;Kdm5a;Baz2a;Mob4;Pptc7;Rbl2;Kif5b;Med13;Sltm;Zfp207;Strn3;Ctcf;Brd8;Tcf4;Tgif1;Ezh2;Phf3;Prpf4b;Tnrc6b;Map3k13;Mpzl2;Sub1;Fam179b;Ric1;Prrc2c;Zfx;Kdm7a;Papolg;Bcas3;Ubn2;Pbx3;Tia1;Fmr1;Rc3h2;Klf6;Ash1l;Pip5k1c;1810013L24Rik;Rabgap1l;Rbbp6;Slco3a1;Terf2;Zfp804a;Adamts17;Gsk3b;Ssx2ip;Zeb2;Frs2;Tspan12;Zfp148;Atad2b;Slc19a2;Ajap1;Ick;1190002N15Rik;Megf9;Antxr2;Lifr;Top1;Plxna2;Ing3;Afap1;Ino80d;Cacnb2;Cbfa2t2;Eif4g2;Proser1;Zfp746;Cadm1;Cav3;Purg;Unc5d;Spop;Rev3l;Fam76b;Camta1;Nkiras1
miR-377,1295,323,70,0.000273944091578586,1.62789589370007,Atl2;Dnajc6;Mier1;Tapt1;Mprip;Bcl2l1;Epb41;Ankrd28;Mvb12b;Celf2;Galnt4;Cd24a;Fbxo30;Tbx19;Lamc1;Smg1;Atxn1;Ptpre;Zfp704;Cdkn1b;Ptprj;2610301B20Rik;Ccng2;Baz2a;Pcf11;Pde10a;Ctcf;Gga3;B230219D22Rik;Stx16;Ubp1;Sec61a2;Ireb2;C2cd2l;Zfx;Tead1;Fam208a;Ubn2;Pkig;D16Ertd472e;Arid1b;Ash1l;Gls;Wdr37;1810013L24Rik;Rabgap1l;Pag1;Hs2st1;Paip2;Zeb2;Zfp148;Arid4b;Rpgrip1l;Rnf150;Bambi;Whsc1;Rsbn1;Ep300;Usp45;Ino80d;H2afy;Lin7a;Eif4g2;Kat6a;Ednrb;Cd93;Snw1;Camta1;Lrp12;Capn5
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666,1295,606,119,0.00030948211055371,1.44901015791859,Myb;Dgke;Dennd4c;Mier1;Smoc1;Adam12;Pgm2l1;E2f2;Ldlrad4;Cep170;Ccnd3;Trp53inp1;Lonrf1;Gse1;Eif4e3;Rnf216;Lypd6b;Ankrd28;Zeb1;Stx6;Rmnd5a;Cdk19;Ptpn14;Znrf1;Zbtb18;Cnot2;Ston2;Smarcd2;Mafb;2700081O15Rik;Pten;Impdh1;Ube2d1;Zbtb44;Setd7;Dnajc3;Fam222a;Atxn1;Itpr1;Nfia;Zfp704;Nrp1;Txnip;Rab5a;Psd3;D1Ertd622e;Epc2;Hbs1l;Tbc1d8;Psap;Cep120;Baz2a;Mllt10;Qser1;Klf13;Ralgps2;Usp33;Acbd5;Ulk2;Zfp131;Tcf4;Zfc3h1;Ddx6;Stam;Pcnx;Phf3;Ubxn7;Gga3;Tnrc6b;Lrig1;Pak6;Hbp1;Sub1;B230219D22Rik;Fbxo28;Tbcel;Ccdc88a;Taok1;Fam179b;Arhgap12;Med15;Bptf;Kdm7a;Ubn2;Wasl;Cdv3;Fmr1;Slmap;Rc3h2;Trps1;Trove2;Ugt8a;Brwd1;Col4a3bp;St18;Mmgt1;Zeb2;Hecw2;Zfp148;Mecp2;Kmt2c;Efnb2;Fam73a;Spopl;Ikzf5;Pvrl3;Sowahb;Tnrc6c;Fam43a;Rbbp8;Cenpo;Tmem151b;Cnot7;Mphosph9;Suv420h1;Gap43;Kcnq2;Camta1;Lrp12
miR-183,1295,269,59,0.000538561727188359,1.64809322254019,Atl2;Cacna1e;Tcf12;Map4k5;Rnf157;Cep97;Gse1;Nck2;Zeb1;Celf2;Insr;Ppm1e;Bmp2k;Ezr;Idh2;Med13;Atp13a3;Tcf4;Snx13;Osbpl8;Insig1;Phf3;Tnrc6b;Map3k13;Gmfb;Slc30a9;Rreb1;Sp2;Taok1;Map3k2;1810013L24Rik;Ltn1;Ttc14;Pknox2;Rabgap1l;Fcho2;Pdcd4;Atf2;Ypel5;Zmym2;Zeb2;Zfp148;Mecp2;Pim1;Dpp8;Ajap1;Ick;Arid4b;Erich5;Fam78b;Cx3cl1;Ing3;Mtmr6;Crk;Ppp2ca;Arhgap6;4931406P16Rik;Srsf11;Ptpn4
miR-141/200a,1295,504,100,0.000604681770118994,1.46166875050853,Rag1;Tcf12;Agfg2;Arntl;Ldlrad4;Cers6;C1galt1;Trp53inp1;Casc4;Tns3;Csnk1e;Txlng;Zeb1;Osbpl11;Slc35d1;Mtss1;Mbtd1;Arhgap24;Anp32e;Ankrd50;Kctd2;Zfp629;Fgfr1op;Pten;Ogt;Ppm1e;Olig3;Luc7l3;Fbxl20;Crebrf;Atxn1;Mdm1;Rpgr;Hipk1;Nfia;Nrp1;Ppt2;Abhd18;Fkbp5;Tns1;Spag9;Cep120;Zfp644;Qser1;Ralgps2;Leng8;Pcf11;Ulk2;Fam91a1;Zcchc24;Tnrc6b;B230219D22Rik;Stx16;Dnajc13;Plag1;Steap2;Map3k2;Cdv3;Dusp3;Fat3;Rc3h2;Klf6;D16Ertd472e;Hcn1;Cpsf7;Thoc2;Gls;G2e3;Ntn1;Proser2;Brd3;Pag1;Phc3;Hs2st1;Pdcd4;Ddx5;Sfpq;Ypel5;Zeb2;Tmtc1;Zfp148;Mecp2;Jmjd1c;Kmt2c;Exoc5;Prickle1;Gab1;Foxp2;Ccdc6;Lifr;Son;Prtg;Whsc1;Apold1;Sdc2;Ino80d;Rgs7bp;Mphosph9;Rdx;Ppp2ca
miR-137/137ab,1295,850,157,0.000813729758801321,1.34731181192523,Dgkg;Fmnl2;Tspan2;Desi1;Ssbp2;Xrra1;Tcf12;Ldlrad4;Slc37a2;Cep170;Rnf157;Mef2a;Idh1;Mpp1;Bach1;Rragd;Nabp1;Ankrd28;Chd1;Rmnd5a;Dclk2;Ap3s1;Celf2;Rcor2;Fbxw7;Eaf1;Ptpn14;Angptl2;Zbtb18;Ppp1r14b;Myo1c;Mia3;Slc43a2;Slc30a4;Kat2b;Zak;Insr;Mbnl2;Ppm1e;Gramd3;Zbtb44;Setd7;Pik3ca;Slc4a7;Ccdc93;Atxn1;Nt5dc2;Nfia;Nrp1;Calcoco1;Chd9;Fam78a;Eml5;Epc2;Ddx3x;Baz2a;Ythdc1;Qser1;Git2;Pptc7;Tmem87b;Cdc37l1;Rbm24;Ulk2;Pde10a;Tcf4;Prkar2b;Ezh2;Insig1;Phf3;Tnrc6b;Dhx40;Glis2;Rreb1;Elmod2;Ric1;Rictor;Rbm41;Chst10;Tead1;Wwp2;Rbpj;Tmem218;Kdm7a;Ubn2;Fat3;D16Ertd472e;Tpcn1;Ash1l;Pigm;Tox3;Trps1;Smek1;Gls;Trove2;Chga;1810013L24Rik;Pag1;Rbbp6;Phc3;Trhr;Slc12a6;Gdf6;Rell1;Zfp804a;St18;Zmym2;Gsk3b;Ssx2ip;Zeb2;Ccz1;Zfp148;Tnxb;Nat8l;Lcp2;Pak3;Slc19a2;Necab3;Arid4b;Ankrd33b;Zfp326;Rpgrip1l;Sash3;Strbp;1190002N15Rik;Megf9;Rnf150;Dcaf8;Evx1;Top1;Furin;Prtg;Plxna2;Dmrt2;Cttnbp2nl;Dmrt3;Diras1;Swt1;Ikzf5;Yipf6;Panx2;Prdm1;Ing3;Trpc3;Rsbn1;Pde1b;Zmynd11;Zc3h6;Rbm27;Eif4g2;Rgs7bp;Sipa1l3;Secisbp2l;Dcdc2a;Fam76b;Lrp12;Ptpn4
miR-205/205ab,1295,279,60,0.000833668439590924,1.60645925233224,Slc7a11;Bcl6;Rnf157;Cep97;Epb41;Trp53inp1;Casc4;Magi3;Marcks;Camkk1;Zeb1;Dpp4;Usp7;Eaf1;Tlk1;Lamc1;Errfi1;Dhcr24;Elf1;Crebrf;Ccdc93;Ezr;Cbfa2t3;Rtn3;Psd3;Ptprj;Aff1;Med13;Acbd5;Ddx6;Senp2;Tnrc6b;Map3k13;Tbcel;Taok1;Hsd17b11;Tead1;Adamts9;Map3k2;Vasn;Trps1;Lin9;Ddx5;Cenpe;Tcp11l2;Wdtc1;Fbxo22;Tmem136;Slc19a2;Strbp;Scmh1;Bambi;Apold1;Tnrc6c;Ddhd1;Nfat5;Cadm1;Unc5d;Atp7a;Rbfox3
miR-148ab-3p/152,1295,463,92,0.000913880409969925,1.46141175440049,Slc7a11;Dennd4c;Mier1;Pgm2l1;Lipa;C1galt1;Chd1;Osbpl11;Mgat4a;Lbr;Rmnd5a;Usp7;Cdk19;Ptpn14;Znrf1;Zbtb18;Dyrk1b;Mafb;Baz2b;Slc30a4;Pten;Errfi1;Ube2d1;Zbtb44;Ppp1r9b;Atxn1;Zfp704;Nrp1;Txnip;Sh3kbp1;Chd9;Rtn3;D1Ertd622e;Hbs1l;Hspa4l;Baz2a;Mllt10;Mtmr14;Bahcc1;Rbm24;Usp33;Prune;Tcf4;Ddx6;Stam;Hhex;Phf3;Tnrc6b;B230219D22Rik;Gmfb;Fbxo28;Cplx3;Trak1;Rsbn1l;Chuk;Tead1;Kdm7a;Wasl;Fmr1;Rc3h2;Klf6;Rock1;Trps1;Pag1;Gdf6;St18;Dock6;Hecw2;Mecp2;Nat8l;Cdc25b;Efnb2;Ahdc1;Cttnbp2nl;Fam184a;Whsc1;Maf1;Ndp;Tnrc6c;Fam43a;Cdh20;Adamts15;Nfat5;H2afy;Cadm1;Gap43;Atp7a;Rab12;Crtc3;Srsf11;Prkcz;Fbxo11
