Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
miR-503,719,263,38,0.000197499647778846,1.9372383200025,Myb;Prr11;Syde2;Kif23;G2e3;Fbxw7;Chek1;Ccnyl1;Cc2d1b;Sik1;Cxcl10;Mgat4a;Zfp367;Rasgef1b;Fchsd2;Styx;Cdk8;Ddx3y;Wee1;Bptf;Cd2ap;Naa15;Ythdc1;Ppp3cb;Hectd1;Plagl1;Tnrc6b;Phip;Kmt2a;Ago3;Ubn2;Zbtb41;Pth;Pik3c2a;Rictor;Usp25;Kcnq5;Larp1
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666,719,606,72,0.000456297393940575,1.56348443849884,Runx3;Kit;Myb;Pmepa1;Cep170;Larp4;Fam179b;Baz1a;Rbbp8;2700081O15Rik;Gpcpd1;Atrx;Tnfrsf1b;Map4;Ar;Ipcef1;Ldlrad4;Taok1;Fbxo48;Wnk1;Canx;Sik1;Zfp367;Slc12a7;Kmt2c;Zfc3h1;Adcy7;Dnm1l;Fam178a;Sbno1;Ino80;Fam196b;Lnpep;Mphosph9;Pak6;Dgke;Agfg1;Fmr1;Cdk19;Bptf;Sub1;Slmap;Creb1;Mier1;Hectd1;Hnrnpd;Ddx6;Piga;Tnrc6a;Birc6;Tnrc6b;Mbnl1;Kmt2a;Znrf3;Vps37a;Ptpn14;Ago3;Gda;Ubn2;Ankrd12;Rc3h2;Ddhd2;Pten;Taf4b;Mllt10;Dnajc3;Fam73a;Clock;Mbnl3;Zeb1;Rapgef4;Abcc4
miR-141/200a,719,504,61,0.000719618646599207,1.58906376883981,Ikzf2;Dek;Casc4;Peli1;Luc7l3;Sept11;C1galt1;Rpgr;Tcerg1;Gls;G2e3;Cdk6;Sept7;Atp1b1;Dnajc13;Ldlrad4;Txlng;Tial1;Canx;Sik1;Tmed5;Slc14a1;Thoc2;Kmt2c;Timeless;Fkbp5;Pag1;Cdk8;Ogt;Whsc1;Mphosph9;Ccdc6;Pcf11;Uba6;Spag9;Gbp7;Tcf12;Ankrd44;Rdx;Fgfr1op;Hnrnpd;Tnrc6b;Elmsan1;Mbnl1;Kmt2a;Myo9a;Phc3;Rasa2;Tnik;Jmjd1c;Rc3h2;Pten;Tfrc;Tns1;Cpsf7;Mbnl3;Son;Fbrs;Zeb1;Siah1b;Arntl
miR-15abc/16/16abc/195/322/424/497/1907,719,884,97,0.000960468071308399,1.436558319132,Myb;Prr11;Syde2;Eif3a;Otud4;Kif23;Arpp21;Pcm1;Suz12;Prrc2c;Sept11;Tacc1;Cdc25b;Zyx;Bace1;Map4;G2e3;Pnisr;Fbxw7;Chek1;Ccnyl1;Shcbp1;Txlng;Ccne1;Rbbp6;Pdcd6ip;Ptprj;Cc2d1b;Rnf125;Sik1;Cxcl10;Arl3;Rock2;Mgat4a;Zfp367;Kmt2c;Rasgef1b;Fchsd2;Nucks1;Fkbp5;Styx;Cdk8;Ogt;Rbm6;Lnpep;Ppig;Supt16;Mphosph9;Phf19;Sidt1;Ccdc6;Ddx3y;Ccnt2;U2surp;Wee1;Bptf;Cd2ap;Ankrd33b;Dmtf1;Ttc14;Naa15;Colq;Epha1;Cab39;Ythdc1;Gatad2a;Cops2;Hectd1;Fryl;Plagl1;Tnrc6b;Phip;Furin;Kmt2a;Rsf1;Phc3;Ago3;Pias2;Ubn2;Carm1;Serbp1;Zbtb41;Gcc2;Usp7;Tmed8;Clock;Pth;Zfp326;Son;Pik3c2a;Rictor;Siah1b;Cx3cl1;Usp25;Islr;Kcnq5;Zcchc2
miR-129-5p/129ab-5p,719,317,41,0.00125291059762756,1.70031468442381,Pmepa1;Celf2;Hmgb2;Tacc1;Zfp280c;Prkcb;Hook3;Fbxw7;Dnajc13;Lrrc4;Slbp;A830080D01Rik;Tial1;Styx;Sbno1;Fam196b;Pak6;Gprin3;Fmr1;Smg1;Bptf;Trio;Tnrc6b;Mbnl1;Kmt2a;Rsf1;Celf5;Mef2a;Ago3;Camk4;Ubn2;Hdgfrp3;Rps6kb1;Ahdc1;Sh3kbp1;Gabpb2;Rpgrip1;Nr4a2;Rapgef6;Fkbp2;Larp1
miR-142-3p,719,233,32,0.00134450382989064,1.81570755919107,Crtam;Rarg;Foxm1;Mastl;Baz1a;Bclaf1;Eml4;Anln;Zfp827;Taok1;Utrn;Sik1;Rock2;Mgat4a;Rbm27;Nucks1;Ccdc6;Ccnt2;Fam208b;Smg1;Dmtf1;Irak1;Fyco1;Picalm;Hectd1;Kmt2a;Fndc3a;Jmjd1c;Zbtb41;Rictor;Zeb1;Arntl
miR-223,719,189,27,0.0015404597727355,1.89657433114003,Otud4;Celf2;Prpf39;Rras2;Map4;Atp1b1;Fbxw7;Eif5b;Phf20l1;Hsp90b1;Kmt2c;Adcy7;Styx;Srek1;Cd2ap;Wdr62;Cops2;Mga;Tnrc6b;Mbnl1;Phip;Orc4;Ago3;Rps6kb1;Pds5b;Rasa1;Pik3c2a
miR-23abc/23b-3p,719,724,80,0.00209253494663723,1.43715012718899,Sos1;Rbm25;Tmem120b;Rcn1;Set;Eif3a;Atp11b;Adam19;Celf2;Hmgb2;Rras2;Gls;Pde7a;G2e3;Setd2;Elf4;Fbxo30;Lrrc4;Klf3;Pbrm1;Taok1;Car2;Hsp90b1;Wnk1;Dtl;Sik1;Rock2;Tanc1;Sbno1;Whsc1;Prpf4b;Mphosph9;Phf19;Pak6;Ccdc6;Macf1;Fmr1;Slc38a1;U2surp;Uba6;Elovl6;Lbr;Naa15;Setx;Bora;Picalm;Pak2;Chuk;Plagl1;Cnn2;Entpd5;Tnrc6a;Tnrc6b;Fbxo11;Smek2;Ahi1;Znrf3;Ptpn14;Ago3;Nkap;Osbpl8;Ubn2;Rsbn1l;Hdgfrp3;Med12;Jmjd1c;Rc3h2;Tmpo;Pten;D930015E06Rik;Stx17;Dnajc3;Kcnip4;Zfp579;Zfp420;Thap2;Ogfrl1;Zeb1;Kcnq5;Zcchc2
miR-495/1192,719,565,64,0.00297641903079981,1.46966378262118,Runx3;Gria3;Set;Ccna2;Celf2;Luc7l3;Rev3l;Hsp90aa1;Pde7a;Zfp280c;Bclaf1;Cdk6;Prkcb;Sept7;Btbd11;Slc16a5;Pbrm1;Arid4a;Wnk1;Slc14a1;Rock2;Thoc1;Rbm27;Nucks1;Fam178a;Arid4b;Fkbp5;Sbno1;Hsdl2;Whsc1;Supt16;Mphosph9;Phf19;Ddx3y;Srsf10;U2surp;Srrm1;Rad18;Shmt2;Glis2;Cbl;Eif5a;Fgfr1op;Impact;Cep97;Tnrc6a;Mbnl1;Kmt2a;Camk2g;Myo9a;Rapgef1;Phc3;Ubn2;Ireb2;Med12;Rbm28;Jmjd1c;Ccar1;Ddhd2;Pten;A230046K03Rik;Usp7;Clock;Rictor
miR-181abcd/4262,719,780,84,0.00344995830052629,1.39518536395843,Dek;Sos1;Rbm25;Larp4;Otud4;Fam179b;Baz1a;Hmgb2;Prrc2c;Sept11;Tcerg1;Gls;Bclaf1;Rbm26;Pnisr;Nol8;Atp1b1;Dnajc13;Phf20l1;Taok1;Pdcd6ip;Hsp90b1;Wnk1;Tmed5;Zmynd11;Dennd4a;Sema4g;Ubp1;Thoc2;Kmt2c;Zfp951;Nucks1;Fam178a;Ino80;Cdk8;Ogt;Agfg1;Fmr1;Wdr76;Bptf;Cd2ap;Scai;Spag9;Lbr;Creb1;Ankrd44;Naa15;Zfp930;2810474O19Rik;Picalm;Cops2;Fryl;Mga;Cep97;Afap1;Senp2;Birc6;Mycbp2;Tnrc6b;Fbxo11;Elmsan1;Mbnl1;Phip;Kmt2a;Rsf1;Etohi1;Camk2g;Phc3;Nkap;Stk10;Osbpl8;Rasa2;Fndc3a;Ubn2;Carm1;Tnik;Rps6kb1;Ccar1;Zbtb41;Pten;Tmed8;Rad21;Tns1;Kcnq5
