Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
miR-18ab/4735-3p,1076,167,32,0.003590036956964,1.71293766731028,Tnfaip3;Pde4d;Ptp4a3;Runx1;Psd3;Kcna1;Zfp704;Nav1;Xylt2;Triobp;Sypl;Dusp16;Lsm14b;Atxn1;Map3k1;Lin28a;Pappa;Ubtd2;Wnt9a;Bmp2k;Tshz3;Fam166b;Alcam;Sim2;Olfml2b;Sorbs2;Adck3;Fgf1;Csrnp3;Kdm5b;Six3;Igf2bp2
miR-216b/216b-5p,1076,156,28,0.014173423197794,1.57622983482329,Smoc1;Exph5;Zfp423;Jun;Clec3a;Pxn;Triobp;Ptbp1;Ccnj;Npas2;Gria1;Col4a4;Cadm3;Podxl;Zbtb2;Cxxc4;Chd1;Lima1;Etnk1;Zmat3;Rce1;Tcte1;Tnfrsf11a;Lrp8;Sh2d2a;Zfp521;Tcf4;Fzd5
miR-29abcd,1076,788,114,0.0240353425522061,1.23176777720594,Mapre2;Ppm1e;Spry1;Rpl5;Lox;Nebl;Raph1;Trp53inp2;Adam12;Dusp2;Fos;Nav2;Snrpc;Zbtb10;Kif3c;Fam167a;Ppp1r15b;Frat2;Serinc5;Hmgn3;Cldn1;Bak1;Klf4;Ctnnbip1;Zfp704;Jarid2;Clec3a;Samd4;Nav1;Klhl9;Ostc;Trp53inp1;Mafb;Xpnpep1;Mllt11;Tmem65;Sbf2;Etv4;Insig1;Kdm6b;Ccnj;Mxi1;Prkra;Cdc42bpa;Pitpnm2;Car3;Lsm14b;Uhrf1bp1l;Ldlrad3;Crispld1;Elavl4;Atxn1;Plekhf2;Col4a4;Gpx7;Hapln1;Mlf1;Prickle2;Mmp2;Slc35b2;Mycn;Camta1;C77370;Epb41l4b;Zfp36l1;R3hdm4;Palm;Kctd3;Ubtd2;Lamc1;Edc3;Rab40c;Dnm3;Bdh1;Zc4h2;Nid2;Kctd5;Rab30;Tmem151b;Zbtb5;Ncoa3;Wwtr1;Csrnp2;Dtwd2;Hs3st3b1;Pknox2;Bbc3;Arf2;Otub2;Itgb1;Col4a2;Vcl;Cuedc1;9530068E07Rik;Qk;Col5a1;Ybx3;Gng12;Ppard;Pi15;Dab2ip;Syn3;Scn3b;Fzd5;Atp1b4;Kdm5b;Cnr1;Rab15;Vamp3;Entpd7;Ccdc117;Camk4;Asxl3;Abhd4
miR-27abc/27a-3p,1076,888,127,0.0254455997829002,1.21670629630011,Gata3;Fosb;Cd28;Nfkbid;Sema7a;Ppm1e;Spry1;Lox;Chst2;Slc7a11;Mitf;Tox;Nfatc1;Sh3rf1;Nav2;Adgrl2;Zbtb10;Plxnd1;Tmub1;Sepn1;Ntn1;Nabp1;Runx1;Shb;Srrd;Ebf3;Zfp704;Samd4;Ube2v1;Nav1;Lpar6;Lonrf1;Galnt3;Zfp385a;Il10;Nr5a2;Sbf2;Pank1;Tspyl5;Ephb2;Gab1;Ccnj;Nln;Pgm2l1;Pitpnm2;Rit1;Snx12;Arhgef6;Tead1;Pogk;Ppp4c;Gys1;Sema6d;Efna2;Aqp11;Zfand3;2010300C02Rik;Hdx;Dynll2;Efna4;Hic1;Frmd6;Cdk18;Pappa;Hapln1;Fzd3;Prickle2;C77370;Rps6ka5;Ncoa5;Gria4;Bmp2k;Spry2;Cacna2d3;Marcks;Meis2;Zmat3;Sox11;Irf4;Camk2d;Hivep2;Cdk5r1;Pde3a;Pknox2;Tbkbp1;Bbc3;Cds1;Tmprss11f;Cdk14;Gfpt2;Med14;Slc27a4;Srgap3;Oaf;Prkaa2;Fam222a;Fgf1;Insm2;Pde1a;Qk;Tmtc2;Gabra6;Stk40;Met;Lonrf3;Mospd3;Gng12;Serp1;Ccdc92;Flrt3;Fbxo46;Ccm2;Tbc1d4;Dab2ip;Syn3;1810011O10Rik;Cnr1;Zfp516;Acta2;Rhbdf2;Crem;Mepce;Anks1;Csrnp1;Mesdc1;Ncam1;Fbxo10
miR-136,1076,138,23,0.0485284859204232,1.43677436971576,Raph1;Exph5;Fam122a;Psd3;Tmem185b;Prlr;Nanos1;Mllt11;Esrrg;Hoxc10;Rpusd4;Gng3;Cxxc4;Ncoa5;Ubtd2;Naa11;Zbtb5;Igfbp5;Phex;Fzd5;Atmin;Extl3;Ncam1
miR-216a,1076,147,24,0.0561217906371878,1.4015855616118,Hsbp1;Myo1c;Exph5;Tmem35;Zfp423;Chmp1b;Gabra1;Ccnj;Npas2;Zbtb2;Cxxc4;Lamc1;Marcks;Htr2c;Cd93;Tcte1;Sorbs2;Tnfrsf11a;Lrp8;Kcnj14;Gng12;Zfp521;Fzd5;Pls1
miR-338/338-3p,1076,177,28,0.0633518081895961,1.35034768822188,Raph1;Zbtb10;Edaradd;Zbtb7b;Serinc5;Mafb;Spcs2;4921517D22Rik;Lrrc59;Dusp16;Zfand3;Sh3d19;Ccdc126;Pappa;Hapln1;Camta1;Chp1;Sh2d4a;Pln;Slc27a4;Xirp1;Srgap3;Ccdc32;Ybx3;Gng12;Pard3b;Maf;Vamp3
miR-143/1721/4770,1076,220,34,0.0639350162656741,1.31460812336119,Ppm1e;Lmo4;Dennd4c;Nfatc1;Ube2e3;Psd3;Trps1;Fscn1;Rbm24;Yif1b;Asap3;Igf1r;A1cf;Esrrg;Ttpa;St8sia4;Dynll2;Phf6;Tceal8;Ptgs2;C77370;Marcks;Gabarapl1;Htr2c;Igfbp5;Bbc3;Xirp1;Fgf1;Tmem180;Usp54;Qk;Maf;Unc5a;Tnp1
miR-221/222/222ab/1928,1076,264,40,0.0658505798573593,1.28512103976907,Cd4;Bcl2l11;Socs1;Tox;Chsy1;Fos;Fam167a;Trps1;Kcna1;Zfp704;Rbm24;Zfp385a;Trp53inp1;Nanos1;Gabra1;Tpbg;Midn;Atxn1;Tle3;Cdkn1c;Eif5a2;Bmp2k;Marcks;Cttn;Zeb2;Vezf1;Ets2;Bbc3;Qk;Clvs2;Megf9;Axin2;Syn3;Grm1;Tcf4;Cnr1;Igf2bp2;Pkdcc;Angptl2;Mesdc1
miR-99ab/100,1076,36,7,0.0667269339890908,1.72745323036029,Trib1;Igf1r;Cyp26b1;Camta1;Hs3st3b1;Epdr1;Fzd5
