Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
miR-382,2721,112,52,0.000212850159486197,1.94009545358778,Runx3;Ptgfrn;Bach1;Ccnyl1;Chdh;Tax1bp3;Gm2a;Baz1a;Ick;Atg12;Mbnl1;Ybx1;Ddx3x;Paip2;Syncrip;Tead1;Nol4l;Znrf3;Hnrnpd;Tmem131;Arid1b;Cep68;Nlk;Abcb10;Mtmr1;Limd2;Pde5a;Vezf1;Cct8;Fbxo28;Smurf1;Nkap;Spcs2;Arhgef12;Eef1a1;Hs3st3b1;Hmgn3;Snx13;Ncoa2;Epc2;Slain1;Neurl1b;Sbno1;Srsf12;Spag17;Foxn2;Ppp6r3;Rab6b;Tet3;Samd5;Ddx19b;Zmym2
miR-320abcd/4429,2721,464,178,0.000251708308491737,1.40698589212059,Ccnd2;Vim;Ets2;S1pr1;Ctsl;Fmnl2;Zdhhc15;Xpo1;Cacna1e;Mtss1;Ikzf2;Mier1;Smc2;Tgfbr2;Nrp1;Myo10;Chek1;Btg2;Csnk1e;Npas2;Hs6st1;Jup;Pan3;Cux1;Smurf2;Zfp36l1;Runx1;Mxi1;Agfg1;Tnik;Arid5b;Vps37b;Smarcd2;Taf4b;Pik3ca;E2f1;Ppp1r3b;Pole4;Exo1;Herc3;Tsc22d3;Plk3;Crebrf;Itgb1;Arhgap29;Cdk6;Tsc22d4;Cyth1;Hspa4;Cenpf;Igf1r;Med13;Edc3;Mat2a;Elovl6;Zcchc2;Adgrl1;Xkrx;Dhx40;Tfdp2;Pdzd8;Fam160b1;Nfia;Atp5g1;Cbarp;Mllt3;Ulk1;Tmcc1;Tmem64;Nsl1;Kdm5a;Pcgf3;Tomm70a;Zfp281;Serbp1;Rap1a;Pigk;Wnk1;N4bp1;Wls;Rab27a;Pik3r1;Abhd13;Tmem123;Wdr1;Clasp1;Usp37;Lrrfip1;Hipk3;Prps1;Bmi1;Foxk2;Lrrc4;Strbp;Klf13;Tmem151b;Pten;Ywhaq;Ckap5;Fam117b;Gspt1;Pcmtd1;Supt16;Yod1;Fbxo28;Suv420h1;Mtmr12;Gid4;Rreb1;B230219D22Rik;Tlk2;Spcs2;Zdhhc21;Zmiz1;Fam49b;Fbxl3;Myl12a;Atl3;Dnajc3;Arpc5;Qser1;Mecp2;Npc1;Zfp664;Cpd;Cops2;Zfp512;Smarce1;Mtdh;Bambi;Arf2;Kctd9;Akt3;Rassf2;Plxnc1;Epc1;Smarcc1;Armcx2;Zc3h7b;Pard3b;Shisa7;Klhdc10;Tcea1;Rit1;Tet1;Crk;Wtap;Phtf2;Cpeb1;Zbtb33;Pfkm;Acap2;Susd6;Mier3;Banp;Ppp1r3f;Cmtr2;Flrt3;Ank;Atrx;Fbxl17;Cnbp;Ccdc64b;Msantd4;Mmp19;Evx1;Bean1;Vkorc1l1;Igf2bp3;Pbx3;Wac;Chst11;Satb2;Samd4b;Sfmbt1;Tmem2;Tfap2b;Lrrc40
miR-200bc/429/548a,2721,756,273,0.000856822817663365,1.28181223538234,Bach2;Lfng;Bcl2;Atl2;Aim1;Arhgap20;Fmnl2;Myb;Desi1;Mprip;Pou6f1;Plcl1;Nck2;Myzap;Ikzf2;Cers6;Marcks;Acaca;Ccnyl1;Sik1;Slc14a1;Dpy19l1;E2f3;Cblb;Ypel2;Fyn;Pan3;Asap1;Smurf2;Gpr146;Rab37;Clic4;Ap3s1;Agfg1;Atxn1;Spats2l;Soat1;Lrig1;Ppp1r18;Osbpl11;Cited2;Tubb5;Cish;Coro1c;Fam3c;Pim2;Dek;Lca5;Hspa9;Rnf169;Cnn3;Trps1;Chd1;Ptpn12;Zfp704;Foxk1;Rab8b;Tob1;Pik3ca;Ier5;Zcchc24;Prkca;Msn;Klhl24;Ankrd28;Lamc1;BC037034;Dnmt3a;Sesn1;Ick;Sfxn1;Zeb1;Fam178a;Aff1;Arid2;Pcnx;Cep41;Nab1;Peak1;Nbr1;Aff3;Slc30a4;Mxd4;Hs2st1;Errfi1;Sephs1;Slc5a3;Dcaf7;Med13;Anln;Dcp2;Tcf4;Edc3;Baz2b;Eif5b;Ppp1r9b;Dock4;Arhgap19;Tex2;Atp2a2;Ppm1b;Ube2d1;Kdm3b;Lpin1;Nfia;Ddx3x;A830080D01Rik;Serinc1;Naa50;Fam107b;Rps6ka2;Txlng;Tmcc1;Eif2s1;Syncrip;Rprd1a;Cdon;Tead1;Git2;Nedd4l;Prdm1;Lrrc8a;Tmem164;Hs3st3a1;Zfp395;Wnk1;Nup153;Ptpn14;Arl2bp;Stx1a;Dnajb5;Hnrnpd;Ankrd52;Kcna2;Ago2;Rnf5;Rasa2;Prr11;Setd7;Kdm4a;Nfya;Clasp1;Hipk1;Ip6k1;Foxp1;Oxr1;Hipk3;Sec23a;Actr1a;Wapl;Prkar2a;Bmi1;Klf4;Cdk17;Cecr2;Syne1;Prkcb;Frs2;Fubp1;Klf13;Fam60a;Dact1;Pten;Iqsec1;Slc39a14;Tmem120b;Ddx26b;Pde5a;Vezf1;Mybl1;Klf12;Slc38a2;Psip1;Pcmtd1;Map3k13;Suv420h1;Matr3;Bcl11b;Rap1b;Crtap;Nr3c1;Gjc1;Plekhm3;Apaf1;Tpcn1;Mmd;Mecp2;Styx;Npc1;Dennd5a;Cpd;Ywhag;Cops2;Aebp2;Mknk1;Ncoa7;Ppp1r10;Gab1;Mmgt1;Cbx5;Fbxw7;Tbc1d2b;Rbfox3;Ric1;Map4k4;Cdkn2aip;Hnrnpu;Snx13;Akt3;Adipor2;Mob4;Fnbp4;Shc1;Mmgt2;Ncoa2;Avl9;Sgip1;Trim33;Hmgb3;Zeb2;Srf;Tceb1;Usp6nl;Smg8;Ulk2;Etf1;Scn5a;Mtss1l;Scn3b;Pard3b;Ubxn7;Map3k1;Snx30;Gdi2;Foxn2;Suz12;Ppp6r3;Crk;Rps6kb1;Atp11c;Phtf2;Slc35a2;Zbtb33;Pi4kb;Reep3;Actr3;Mapre1;Kctd10;Hcn1;Map4k3;Lats2;Lcorl;Fbxw11;Secisbp2l;Hecw2;Fscn1;Ddit4;1810013L24Rik;Dennd1b;Ube2w;Cggbp1;Celf2;Fubp3;Stx12;Zmym4;Myt1;Uba6;Igsf3;Depdc1b;Adcy2;Egln1;Mgat2;Evi5
miR-142-3p,2721,233,93,0.00149730065995614,1.49003044921977,Bach2;Fmnl2;Crtam;Plxnd1;Xpo1;Foxo1;Zfp827;Dirc2;Bach1;Marcks;Tpm4;Arntl;Sik1;Foxm1;Eml4;Utrn;Nucks1;Rarg;Gfi1;Tiparp;Mastl;Fntb;Trps1;Traf3;Irak1;Zcchc24;Fam208b;Pgm2;Baz1a;Zeb1;Tceb3;Aff1;Lrrc1;Myh9;Anln;Slc39a10;Slc25a22;Rock2;Itpr3;Atp2a2;Foxo4;Pcgf3;Nol4l;Trp53inp2;Mgat4a;Cttn;Kat2b;Fam114a1;Ago2;Ptbp3;Il6st;Ss18;Inpp5a;Brwd3;Klf13;Anks1;Acsl4;Tnrc18;Rreb1;Nr3c1;Akirin2;Arhgef12;Mmd;Arap2;Stam;Ppp1r10;3110043O21Rik;Gab1;Mmgt1;Tbc1d2b;Lima1;Rab40c;Mob4;Zeb2;Usp6nl;Gas2l3;Strn3;Mark3;Slc37a3;Smg1;Tirap;Crk;Kif5b;Tet3;Nkiras1;Cisd2;Akt1s1;Sox11;Smug1;Acbd5;Stx12;Prlr;Bod1
miR-1ab/206/613,2721,546,200,0.00181971356067755,1.30442369663487,Ccnd2;Bach2;Dgkg;Anxa2;Fam102a;Dnajc6;Dgke;Cxcr4;Tmem243;Pmepa1;Pde7a;Pola1;Nck2;Mtss1;Stk39;Zfp827;Tagln2;Tspan9;Nrp1;Gnpnat1;Stx6;Crim1;Tns3;Tpm4;Bri3bp;Nfatc3;Ypel2;Nampt;Eml4;Utrn;Tmsb4x;Nucks1;Ptpra;Arhgef3;Zfp36l1;Zfp36l2;Hsp90b1;Spats2l;Ip6k2;Cbl;Cited2;Coro1c;Smarca4;Pea15a;Pgam1;Fam69a;Lasp1;Adpgk;Adar;Cnn3;Trps1;Helz2;Hacd3;Fbxl20;Hspd1;Usp33;Hspe1;Ppp1r3b;Arf3;Dnmt3a;Zbtb6;Nr4a2;Mapk3;Ppib;Arid2;Pim1;Peak1;Plekho2;Mxd4;Xpo6;Atp6ap2;Papd7;Lin7c;Slc39a10;Nfatc2;Dcp2;Wbp2;Elovl6;Slc25a22;Tpm3;Ppp2r5a;Sptbn1;Ddx3x;Smarcb1;Baiap2;Tmcc1;Syncrip;Larp4;Cyb5b;Nol4l;Tomm70a;Ncl;Nedd4l;Mgat4a;Rap1a;Lrrc8a;Sec22b;Ptpn14;Fam126a;Fam101b;Eml3;Frmd8;Atg13;Gpd2;Wdr1;Il6st;Foxp1;Ss18;Hipk3;Pik3c2a;Arhgef18;Ddx17;Ptpn1;Klf4;Camk1d;Luzp1;Prkce;Tgfbr3;Tcf20;Frs2;Cdc42se1;Kif2a;Fubp1;Klf13;Sec61a1;Tspyl4;Rngtt;Vezf1;Taok3;Slc38a2;Cap1;Dlg4;Lrch1;Matr3;Sp2;Bpnt1;Rap1b;E2f5;Slc38a3;Mmd;Hs3st3b1;Srsf3;Unc119b;Fbxw7;Ndrg3;Eaf1;Smyd4;Arhgap23;Hnrnpu;Sri;Smim14;Alx1;Syn3;Thrb;Crebl2;Avl9;1700066M21Rik;Pax7;Cplx2;Ap3d1;Epc1;Smarcc1;Cdk14;Zbtb4;Tfe3;Ubn1;Slc37a3;Zc3h7b;Smg1;Map3k1;Ankrd29;Ccz1;Rnf138;Pank3;Cpeb1;Kctd10;Acap2;Map4k3;Elf1;Atp6v1b2;0610030E20Rik;Trappc3;Poldip3;Zzz3;Zfp148;Fam91a1;Phax;Metrnl;Hecw2;Crem;Zfp800;Rnf150;Azin1;Mon2;G3bp2;Khsrp;Pi4ka;Fubp3;Prlr;Chst11
miR-503,2721,263,102,0.0028643185713719,1.42089075120109,Ccnd2;Il7r;Nebl;Bcl2;Arhgap20;Myb;Smad7;Ccnd3;Gpr174;Chek1;Mov10;Ccnyl1;Sik1;E2f3;Slc25a37;Tle4;Smurf2;Kif23;Fchsd2;Slc2a3;Zfp367;Zfp629;Cxcl10;Wee1;Slc12a2;Usp12;Larp1;Kpna3;Crebrf;Tlk1;Ski;Igf1r;Dcaf7;1700025G04Rik;Phactr2;Adgrl1;Pdzd8;Actr2;Ddx3x;Tmcc1;Tspyl2;Snrk;Nol4l;Mgat4a;N4bp1;Insr;Pik3r1;Prr11;Chpf;Znrf2;Ankrd13b;Hipk3;Pik3c2a;Wipi2;Prkar2a;Cdk17;Limd2;Lpp;Iffo2;Acsl4;Naa15;Rasgef1b;Cdk5r1;Plagl1;Bcl11b;Mfn2;Smurf1;Usp2;Rreb1;Bcl9;Styx;Cyp26b1;Mknk1;Hspg2;Hs3st3b1;Cbx5;Fbxw7;Nfe2l1;Phip;Mob4;Kcnq5;Chd9;Cc2d1b;Neurl1b;Ocrl;Ap3d1;Cbfa2t3;Pex13;Rnf138;Crk;Tmem55a;Sptbn2;Cdk8;Kcna1;Ube4b;Pdap1;Dennd1b;Zmym2;Fam160b2;Fam122a;Fosl2;Atxn2
miR-433,2721,201,80,0.00317460468943531,1.48047132970616,Tdrd5;Ssbp2;Dennd4c;Mier1;E2f3;Nucks1;Slc17a5;Mxi1;Cep97;Slc16a1;Adpgk;Usp14;Chl1;Ypel5;Baz1a;Lamc1;Gata3;Cep170;Crebrf;Ints2;Nab1;Mbnl1;Myh9;Med13;Tmed5;Sft2d2;Syncrip;Nsl1;Serbp1;Ankrd52;Med14;Rraga;Fbxo48;Cenpj;Arid1b;Cdk17;Strbp;Prkcb;Cdk5r1;Tlk2;Hnrnpr;Nr3c1;Zmiz1;Magt1;Ankrd12;Mmd;Styx;Ywhag;Stam;Hs3st3b1;Srsf3;Fbxw7;Ric1;Adgrl2;Chd9;Epc2;Mark3;Scn3b;Ttc13;Paip1;Sorbs1;Tet1;Wtap;Pccb;Tet3;Foxo6;Actr3;Snx11;Zzz3;Fam91a1;Bard1;Hecw2;Azin1;Fbxl17;Rhobtb2;Scaf1;Wac;Cox8a;Stk40;B4galt3
miR-128/128ab,2721,784,275,0.00530255502566406,1.22053148219684,Slc7a11;Arpp21;Tmsb10;Fam102a;Sema7a;Ldlrad3;Fam65b;Plxnd1;Mdn1;Map4k5;Ncapg2;Pde3b;Pgm2l1;Bcl3;Nav2;Ankrd6;Sh2d3c;Foxo1;Ikzf2;Nabp1;Stk39;Agfg2;Zfp827;Marcks;Gpr174;Lpar6;Gnpnat1;Lonrf1;Set;Btg2;Glipr2;Sik1;Ptpre;Mapkapk3;E2f3;Ypel2;Adam19;Slc25a37;Epb41;Ugcg;Zfp36l1;Zfp36l2;Clic4;Runx1;Mxi1;Adamts10;Cited2;Coro1c;Rps6ka5;Txnip;Adcy7;Limk1;Vsir;Gria3;Bmp2k;Hsp90aa1;Gltp;Sgms1;Zfp704;E2f6;Ostf1;Traf3;Pik3ca;Zcchc24;Sos1;Csrnp1;Fbxl20;Elovl1;Mbtd1;Man1a;Ypel3;Crebrf;Arid2;Pcnx;Nab1;Peak1;Ppm1e;Aff3;Zadh2;Ehd3;Sfmbt2;Papd7;Ak2;Slc5a3;Dcaf7;Med13;Dcp2;1700025G04Rik;Tcf4;Baz2b;Elovl6;Cdc6;Mgat1;Tmed5;Dock11;Xkrx;Car12;Nfia;Foxo4;Ccdc88a;Smarca2;Naa50;Txlng;Fam222a;Paip2;Ulk1;Tmcc1;Ttc28;Tmem64;Ctdsp2;Larp4;Tmem9b;Eif2s2;Ppp2r1b;Rpn1;Brpf3;1600012H06Rik;Slc39a11;Pak2;Wnk1;Stx1a;Rffl;N4bp1;Insr;Vav3;Nfatc1;Rab27a;Pik3r1;Hyou1;Ago2;Med14;Rasa2;Fam126a;Ikzf5;Setd7;Wdtc1;Neto2;Gpd2;Sv2a;Trove2;Itpkc;Lrrfip1;Ss18;Arfgap2;Hipk3;Rnf144a;Pik3c2a;Gatad2a;Itch;Gys1;Atp2b1;Ccdc92;Bmi1;Klf4;Arid1b;Dpy19l3;Camk1d;Efr3a;Tgfbr3;Ppig;Bmf;Gfod1;Adcy3;Fubp1;Prcp;Tmem151b;Sec61a1;Anks1;Gfpt1;Iffo2;Rngtt;Naa15;Zfp385a;Rxra;Rasgef1b;Mknk2;Gspt1;Pde10a;Mtmr12;Tnrc18;Sp2;Plagl1;Rpgrip1l;Rap1b;Rreb1;Tlk2;Elmo1;Ece1;Tbc1d9b;Galnt7;Zfp652;Slco3a1;Fam49b;Eid1;Apaf1;Tpcn1;Mmd;Atl3;Cpd;Gsk3b;Gria1;Ncoa7;Nfx1;Cbx5;Fbxw7;Mospd3;Arhgap12;Mtdh;Arhgap23;Zc3h12d;Stk35;Ntrk3;Tmem248;Tmub1;Lbh;Clpp;Ece2;Irf4;Ccnk;Rab11fip1;Fam193b;Syn3;Usp42;Thrb;Mcf2l;Nln;Ube2v1;Ncam1;Neurl1b;Cbfa2t3;Tmbim6;Pom121;Mtss1l;2410004B18Rik;Smg1;Ikzf1;Ubxn7;Gcc1;Suz12;Tet1;Rps6kb1;Chka;Kif5b;Edrf1;Nus1;Mier3;Lcorl;Zzz3;Fam91a1;Kcna1;Flrt3;Sox11;Oaf;Gmps;Fbxl17;Plekhh1;Trim12c;Dennd1b;Ube2w;Cdk18;Fubp3;Rara;Armc8;Myt1;Tacc1;Igsf3;Mepce;Stk40;Chst1;Satb2;Gfpt2;Mtmr4;Evi5;Csdc2;Snx12
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666,2721,606,216,0.00556094475562765,1.24801802017667,Runx3;Bach2;Tnfrsf1b;S1pr1;Myb;Rapgef4;Dgke;Kit;Irf1;Dennd4c;Smoc1;Pmepa1;Pgm2l1;Adam12;Itpr1;Trp53inp1;Ccnd3;Tnf;Mier1;Ptgfrn;Tgfbr2;Nrp1;Gnpnat1;Lonrf1;Myo10;Stx6;E2f2;Mllt6;Sik1;Cblb;Ipcef1;B4galt5;Smurf2;Hprt;Ugcg;Gse1;Agfg1;Atxn1;Scml4;Lrig1;Zbtb18;Ldlrad4;Timp2;Vps37b;Txnip;Adcy7;Pea15a;Eif4e3;Zbtb44;Rnf216;Cluh;Smarcd2;Hbp1;Lypd6b;Znrf1;Cnot2;Cd69;Zfp367;Taf4b;Slc12a7;Trps1;Mafb;Zfp704;Bcl2l11;Ikzf4;Usp33;Ankrd28;Baz1a;Ar;Rmnd5a;Canx;Psap;Zeb1;Fam178a;Ralgps2;Cep170;Itpk1;Pcnx;Impdh1;Mlec;Mbnl1;D1Ertd622e;Zadh2;Slc39a10;Dcp2;Tcf4;Tbc1d8;Phactr2;Ston2;Dpysl2;Dip2a;Ube2d1;Nfia;Lclat1;Abcc4;Ccdc88a;Cep120;Naa50;Fam222a;Tmcc1;Tbcel;Syncrip;Larp4;Npepl1;Tmem9b;Tspyl2;Ppp2r1b;Snx5;Prkaa1;Wnk1;Ptpn14;Rnf145;N4bp1;Znrf3;Hnrnpd;Ago2;Cyld;Ikzf5;Psd3;Setd7;Lrp8;Gpd2;Med15;Il6st;Trove2;Endod1;Fbxo48;Hipk3;Gpcpd1;Cdk19;Tmem63b;Rab5a;Srsf2;Gfod1;Fubp1;Klf13;Tmem151b;Limd2;Pten;Acsl4;Baz2a;Lrp12;Mybl1;Memo1;Casd1;Fbxo28;Lrch1;Suv420h1;Mtmr12;Dnm1l;B230219D22Rik;Jakmip1;Map4;Slc25a32;Akirin2;Arhgef12;Ankrd12;Fam43a;Dnajc3;Qser1;Mecp2;Sh3d19;Arap2;Stam;Mmgt1;Rpa2;Arhgap12;Gga3;Snip1;Map4k4;Ahr;Cbfb;Epc2;Slain1;Zeb2;Rab5b;Sbno1;Ulk2;Epc1;Zbtb4;Mark3;Spg20;Ubxn7;Pxk;Clock;Trmt12;Tet3;Cpeb1;Mapre1;Nus1;Mier3;Atp6v1b2;Lcorl;Rbbp8;Sh3bp5;Zfp148;Hbs1l;Hecw2;Mat2b;Zfp800;Hoxb1;Piga;Atrx;Mon2;G3bp2;Cnih1;Acbd5;D230025D16Rik;Myt1;Fosl2;Zfand5;Chst1;Sfmbt1;Zbtb7b;Jade1;Prkd3
miR-148ab-3p/152,2721,463,168,0.00600460320584243,1.28032097010127,Slc7a11;Bach2;Tnfrsf1b;Tmsb10;S1pr1;Arhgap20;Dennd4c;Pgm2l1;Lipa;Mier1;Tfrc;Nrp1;Gnpnat1;Ccna2;Mllt6;Sik1;Dnmt1;E2f3;Cblb;B4galt5;Dyrk1b;Tmsb4x;Nsg2;Smurf2;Slc16a6;Ugcg;Agfg1;Atxn1;Zbtb18;Ccnf;Osbpl11;Txnip;Pea15a;Zbtb44;Cluh;Znrf1;Taf4b;Gadd45a;Cyth3;Trps1;Sgms1;Chd1;Mafb;Zfp704;Bcl2l11;Egr2;Sos1;Maf1;Usp33;C1galt1;Rmnd5a;Canx;Fam178a;Itpk1;Ssr1;Pdia3;Mlec;Slc30a4;D1Ertd622e;Errfi1;Dcp2;Tcf4;Baz2b;Ppp1r9b;Otud4;Phactr2;Zcchc2;4930523C07Rik;Denr;Atp2a2;Ube2d1;Lbr;Mtmr14;Syncrip;Usp7;Tead1;Npepl1;Tmem9b;Bahcc1;Nol4l;Tomm70a;Rtn3;Prkaa1;Mgat4a;Hivep3;Ptpn14;Ankrd52;Ago2;Klf6;Gpd2;Stt3a;Nfya;Il6st;Hipk3;Gpcpd1;Dock6;Cdk19;Ptpn1;Klf4;Foxk2;Tmem63b;Nlk;Fubp1;Limd2;Pten;Rbm24;Naa15;Baz2a;Cdk5r1;Trak1;Fbxo28;Lrch1;Mtmr12;Stradb;Mitf;Kpna1;B230219D22Rik;Elmo1;Cs;Arhgef12;Slc2a1;Fam43a;Serpine1;Mmd;Mecp2;Styx;Chchd4;Cpd;Stam;Ppp1r10;Prkag2;Gmfb;Eml2;Invs;Camk2a;Phip;Kcnq5;Rcc2;Chd9;Hspa4l;Ncam1;Sbno1;Mtss1l;Clock;Tigd5;Ythdc2;Sun2;Gpi1;Cdk8;Kcna1;Hbs1l;Hecw2;Rab12;Bcl7b;Sox11;Ube4b;Sh3kbp1;Plekhh1;Cplx3;Atp7a;Ube2w;Prune;Itsn2;Tanc1;Crtc3;Epha8;Cyb5r4;Pik3r3
