Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
miR-124/124ab/506,1313,1296,236,0.000249896792477397,1.31947270080583,Fmnl2;Dgke;Bcl6;Xrcc6;Rcbtb2;Dennd4c;Dapk1;Cacna1e;Nav2;Trp53inp1;Lipa;Myzap;Nrp1;Lonrf1;Myo10;Btg2;Scn4b;Ptpre;Slc25a37;Slc17a5;Cyb5a;Pan3;Eci2;Edem1;Lrig1;Osbpl11;Dhcr24;Slc9a9;Slc16a1;Rnf216;Hbp1;Cnot2;Myo1c;Rragd;Tbx19;Cnn3;Trps1;Chd1;Plekhf2;Anxa5;Pik3ca;Zcchc24;Pip4k2a;Pik3ip1;C1galt1;Ypel5;Klhl24;Ppp1r3b;Calcoco1;Lamc1;Zbtb6;Ralgps2;Fam117a;Crebrf;Itgb1;Ccdc93;Pim1;Lrrc1;Glt8d1;Crat;Acss1;Tsc22d4;Chp1;Tcf4;Baz2b;Emc3;Agpat5;Ston2;Sft2d2;Tfdp2;Ak3;Scn2b;Nfia;Ddx3x;Tmcc3;Dennd6a;Lman2l;Poc1b;Plekhf1;Wdr81;Tead1;Ccdc71l;Ctdsp2;Git2;Kdm5a;Tom1l1;Ern1;Trp53inp2;Lysmd3;Rtn3;Bckdha;Mgat4a;Sestd1;Fbxo27;Mylip;Dctn4;Ptpn14;Slc4a7;Klf6;Pi4k2b;Trove2;Hipk1;Wipi2;Gys1;Eya2;Lrrc57;Cd164;Lmbrd1;Dpy19l3;Adcy9;Gmcl1;Neurog3;Syne1;Brwd3;Bmf;Frs2;Klf13;Dact1;Rbm24;Flot1;Rb1cc1;Lims1;Pde5a;Vezf1;Hadh;Tmem87b;Sdc4;Ttc26;Yod1;Fbxo28;Mtmr12;Zfp219;Sp2;Ppfibp2;Mitf;Bcl11b;Usp2;Rreb1;Jakmip1;Nkap;Ece1;Tbc1d9b;Anxa7;Nr3c1;Acp2;Ctxn1;Antxr2;Rnpepl1;Plekhm3;Entpd5;Parp16;Kif3a;Casc4;Fgfr1op;Qser1;Mecp2;Gdap2;Dhrs1;Cd151;Gsk3b;Gmfb;3110043O21Rik;Unc119b;Eaf1;Snip1;Samd4;Dmrta1;Abtb2;Arf2;Sos2;Adipor2;Rab11fip5;Aes;Fbxo30;Shc1;Thrb;Flot2;Avl9;Barx2;1700066M21Rik;Chmp2b;Ulk2;Strn3;Epc1;Sertad4;Ubn1;Metap2;Zfp687;C530008M17Rik;Acan;Mpc1;Shisa7;1190002N15Rik;Map3k1;Pank3;Zscan20;Sh3bp5l;Tigd5;Lrrfip2;Wtap;Rps6kb1;Usp45;Cpeb1;Edrf1;Wipf3;Diaph1;Pcdh1;Ovol2;Zfp148;Spata13;Kcna1;Cmtr2;Fstl1;Pdzd2;Hoxb1;Akt1s1;E130308A19Rik;Flrt3;Oaf;Sh3kbp1;Dusp3;Ebf3;Atp7a;Htatip2;2900026A02Rik;Gas1;Crtc3;Prlr;Peg10;Chst1;Trim39;Gfpt2;Samd4b;Zbtb7b;Jade1;Hrh1
miR-142-3p,1313,233,53,0.000535093912470536,1.69713669601749,Fmnl2;Plxnd1;Dirc2;Bach1;Marcks;Arntl;Gfi1;Tiparp;Trps1;Zcchc24;Zeb1;Tceb3;Aff1;Lrrc1;Foxo4;Pcgf3;Trp53inp2;Mgat4a;Cttn;Kat2b;Fam114a1;Inpp5a;Brwd3;Klf13;Anks1;Rreb1;Nr3c1;Akirin2;Arap2;Stam;Ppp1r10;3110043O21Rik;Gab1;Mmgt1;Lima1;Rab40c;Mob4;Zeb2;Strn3;Mark3;Smg1;Tirap;Crk;Kif5b;Nkiras1;Cisd2;Akt1s1;Sox11;Smug1;Acbd5;Stx12;Prlr;Bod1
miR-204/204b/211,1313,376,77,0.0013454011236174,1.48839877939294,Slc43a1;Smoc1;Zdhhc14;Itpr1;Trp53inp1;Angpt1;Myo10;Klf3;Nfatc3;Ypel2;Tcf12;Edem1;Rps6ka5;Znrf1;Map1lc3b;Myo1c;Ephb6;Zfp629;Zcchc24;Slc38a9;Zeb1;Nbr1;Crat;Chp1;Hs2st1;Tcf4;Ezr;Nfia;Vdac1;Fam107b;Ppm1k;Slc43a2;Pcgf3;Nedd4l;Brpf3;Ikzf5;Glis3;Sla2;Khdrbs1;Plag1;Angptl2;Camk1d;Tox3;Strbp;Frs2;Abcb10;Baz2a;Bcl11b;Rreb1;Nr3c1;Lgr4;Lamp1;Mecp2;Arap2;3110043O21Rik;Cnnm4;Mmgt1;Fbxw7;Ndrg3;Snx13;Shc1;Sgip1;Kdm1b;Mafg;Samd5;Khdrbs3;Hecw2;Pdzd2;Sox11;Mon2;1810013L24Rik;Fubp3;Ddx19b;Zscan12;Rab22a;Pik3cb;Satb2
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac,1313,548,106,0.00176643030559525,1.39097011182648,Dgke;Bcl6;Cxcr4;Pou6f1;Trp53inp1;Cdca7;Tapt1;Cers6;Agfg2;Kremen1;Dirc2;E2f2;Nfatc3;Ypel2;Ostm1;Pan3;Clic4;Runx1;Mxi1;Ano6;Atxn1;Zbtb18;Mef2a;Tiparp;Txnip;Zbtb44;Rnf216;Rragd;Trps1;Zcchc24;Pip4k2a;Arhgap24;Zbtb6;Tceb3;Fam117a;Crebrf;Hs2st1;Mbnl2;Wdr45;Epas1;Nfia;Ccdc88a;Ulk1;Coro2b;Tmcc1;Zfp422;Tbcel;Trp53inp2;Spop;Dctn4;Kat2b;Psd3;Lrp8;Nfya;Ip6k1;Oxr1;Cdk19;Plag1;Mkrn1;Cecr2;Tox3;Klf13;Rb1cc1;Zfp385a;Gtdc1;Slc25a27;Yod1;Suv420h1;Bcl11b;Phactr4;Zfx;Tmub2;Fbxl3;Qser1;Cyp26b1;Aktip;Trpv6;Bambi;Ssx2ip;Lefty1;Akt1;Rab11fip5;Pgbd5;Scimp;Scn5a;Mpc1;Map3k1;Pank3;Crk;Rapgefl1;Cpeb1;Mtmr3;Mier3;Lats2;Zfp148;Kcna1;Rnf150;Zdhhc9;Smarcc2;1810013L24Rik;Celf2;Ube2q2;Acbd5;Tns1;Rab22a;Pbx3
miR-590-3p,1313,653,122,0.00315217951168263,1.33334155767255,Fmnl2;Tspan2;Ssbp2;Trp53inp1;Mier1;Cers6;Tns3;Npas2;Chmp1b;Epb41;Csgalnact1;Zbtb18;Mef2a;Zbtb44;Lypd6b;Lca5;Gltscr1l;Tob1;Zcchc24;Tm6sf1;Slamf1;Mbtd1;Aff1;D1Ertd622e;Hs2st1;Med13;Lin7c;Ppp1r21;Fam222a;Paip2;Ppm1k;Tbcel;Usp7;Tead1;Dcaf8;Pcgf3;Lysmd3;Ptpn14;Kat2b;Mkrn2;Insr;Sft2d3;Klf6;Impad1;Psd3;Setd7;Pigm;Clasp1;Hipk1;Wipi2;Arhgap31;Plag1;Inpp5a;Sepn1;Zfp143;Lmbrd1;Strbp;Abcb10;Asah2;Klf13;Tmem151b;Pten;Rbm24;Pde5a;Suv420h1;Rpgrip1l;Spcs2;Trp53bp2;Nr3c1;Pknox1;Creb3l1;Kdm4c;Dnajc3;Mecp2;Engase;Gsk3b;Stam;Ncoa1;Hdac8;Snip1;Cdkn2aip;Snx13;Stambp;Avl9;Epc2;Tsg101;Strn3;Sertad4;Thsd1;2410004B18Rik;C530008M17Rik;Pard3b;1190002N15Rik;Tmem185b;Paip1;Wtap;Dlat;Usp45;Rab6b;Foxo6;Hcn1;Elf1;Nadk2;Tmem106b;Spata13;Fam228a;Rab12;Bcl7b;Ppp1r2;Sox11;Mon2;Ebf3;Atp7a;Laptm4b;Ormdl2;Sema3d;Wac;Tgds;Zfand5;Nxpe2;Jade1;Atxn2
miR-320abcd/4429,1313,464,89,0.00483728848105473,1.37042770303768,Ets2;Ctsl;Fmnl2;Cacna1e;Mtss1;Mier1;Nrp1;Myo10;Btg2;Csnk1e;Npas2;Hs6st1;Jup;Pan3;Cux1;Runx1;Mxi1;Smarcd2;Pik3ca;Ppp1r3b;Tsc22d3;Crebrf;Itgb1;Tsc22d4;Igf1r;Med13;Edc3;Xkrx;Dhx40;Tfdp2;Fam160b1;Nfia;Ulk1;Tmcc1;Kdm5a;Pcgf3;Wls;Pik3r1;Abhd13;Clasp1;Strbp;Klf13;Tmem151b;Pten;Pcmtd1;Yod1;Fbxo28;Suv420h1;Mtmr12;Rreb1;B230219D22Rik;Tlk2;Spcs2;Fbxl3;Dnajc3;Qser1;Mecp2;Npc1;Zfp664;Zfp512;Smarce1;Bambi;Arf2;Epc1;Pard3b;Shisa7;Klhdc10;Rit1;Crk;Wtap;Cpeb1;Zbtb33;Pfkm;Mier3;Banp;Cmtr2;Flrt3;Ccdc64b;Msantd4;Mmp19;Evx1;Bean1;Pbx3;Wac;Chst11;Satb2;Samd4b;Tmem2;Tfap2b
miR-382,1313,112,26,0.00714226270660455,1.7280796449356,Bach1;Chdh;Tax1bp3;Ick;Atg12;Ddx3x;Paip2;Tead1;Tmem131;Arid1b;Abcb10;Pde5a;Vezf1;Fbxo28;Nkap;Spcs2;Hmgn3;Snx13;Epc2;Slain1;Spag17;Ppp6r3;Rab6b;Samd5;Ddx19b;Zmym2
miR-340-5p,1313,943,166,0.00857701857988841,1.24158791369039,Slc43a1;Fmnl2;Dgke;Serinc5;Ssbp2;Plxnd1;Desi1;Pip5k1b;Plcl1;Nck2;Tapt1;Angpt1;Abcc5;Nrp1;Ptpre;Nfatc3;Ypel2;Ostm1;Slc17a5;Nsg2;Pan3;Runx1;Edem1;Cep85;Ccng2;Lrig1;Cep97;Magi3;Zbtb44;Myo1c;Gltscr1l;Zfp704;Eif2ak3;Nr1d2;Sav1;Pik3ca;Zfp770;Chfr;Lamc1;Arid2;Nbr1;Cdc42se2;Hs2st1;Igf1r;Bbs9;Med13;Lin7c;Tcf4;Mbtps1;Epas1;Stx7;Dhx40;Prkra;Ube2d1;Lbr;Als2;Nfia;Foxo4;Ccdc88a;C2cd2l;Anp32e;Usp7;Tead1;Emp1;Fbxo3;Tom1l1;Pcgf3;Mgat4a;Zfp395;Sft2d3;Abhd13;Psd3;Kdm4a;Gk;Neto2;Lrp8;Hipk1;Adck3;Scarb2;Inpp5a;Sbf2;Arid1b;Dpy19l3;Gmcl1;Frs2;Pten;Rbm24;Rb1cc1;Baz2a;Lrp12;Vezf1;Scmh1;Cdk5r1;Pde10a;Yod1;Fbxo28;Stat5b;Nr3c1;Galnt7;Pknox1;Coq10a;Ankrd13d;Eid1;Fbxl3;Qser1;Mecp2;Zfp664;Cyp26b1;Abhd17c;Brd1;Eaf1;Arhgap23;Ric1;Samd4;Il4;Camk2a;Adgrl2;Cog3;Abi1;Senp6;Fbxo30;Nod2;Ndfip2;Kcnma1;Epc2;Strn3;2410004B18Rik;Ubxn7;1190002N15Rik;Map3k1;Paip1;Lrrfip2;Mafg;Rps6kb1;Kif5b;Foxo6;Map4k3;Tmem106b;Banp;Zfp148;Secisbp2l;Fam91a1;Kcna1;Hecw2;Rnf150;Smarcc2;Irf2bp1;Ttpa;E130308A19Rik;Sh3kbp1;Atp7a;Tns1;Cd247;Gas1;Ogt;Aplf;Crtc3;Mib2;Chst11;Slc30a10;Gfpt2;Yy1;Sbno2;Jade1;Tfap2b;Atxn2
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666,1313,606,111,0.00865065804398606,1.29616104911879,Myb;Dgke;Dennd4c;Smoc1;Pgm2l1;Adam12;Itpr1;Trp53inp1;Ccnd3;Mier1;Nrp1;Lonrf1;Myo10;Stx6;E2f2;Gse1;Atxn1;Lrig1;Zbtb18;Ldlrad4;Txnip;Eif4e3;Zbtb44;Rnf216;Smarcd2;Hbp1;Lypd6b;Znrf1;Cnot2;Trps1;Mafb;Zfp704;Usp33;Ankrd28;Rmnd5a;Psap;Zeb1;Ralgps2;Cep170;Pcnx;Impdh1;D1Ertd622e;Tcf4;Tbc1d8;Ston2;Dip2a;Ube2d1;Nfia;Ccdc88a;Cep120;Fam222a;Tmcc1;Tbcel;Ptpn14;Rnf145;Ikzf5;Psd3;Setd7;Lrp8;Med15;Trove2;Cdk19;Tmem63b;Rab5a;Klf13;Tmem151b;Pten;Baz2a;Lrp12;Fbxo28;Suv420h1;Mtmr12;B230219D22Rik;Jakmip1;Akirin2;Fam43a;Dnajc3;Qser1;Mecp2;Sh3d19;Arap2;Stam;Mmgt1;Arhgap12;Gga3;Snip1;Epc2;Slain1;Zeb2;Rab5b;Ulk2;Epc1;Mark3;Ubxn7;Trmt12;Cpeb1;Mier3;Atp6v1b2;Zfp148;Hbs1l;Hecw2;Mat2b;Hoxb1;Mon2;Acbd5;D230025D16Rik;Myt1;Zfand5;Chst1;Zbtb7b;Jade1
miR-155,1313,246,50,0.00866613825288216,1.46368137945861,Myb;Trp53inp1;Sla;Dirc2;Bach1;Myo10;E2f2;Cux1;Inadl;Mxi1;Zbtb18;Mef2a;Rps6ka5;Smarca4;Hbp1;Trps1;Socs1;Mafb;Zfp704;Mbtd1;Arid2;Tcf4;Eefsec;Carhsp1;Dhx40;Tfdp2;Nfia;Plag1;Rreb1;Mecp2;Atp6v1g1;Ppil2;Zfp703;Gsk3b;Actr10;Brd1;Dnajb1;Strn3;Mon1a;Pard3b;Zfp644;Usp45;Fam91a1;Kcna1;Sox11;Smug1;Zmym2;Fam212b;Pitpnm3;Jade1
