Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
miR-181abcd/4262,1408,780,161,0.00017248643869527,1.40346142190966,Bach2;Samhd1;Bcl2;Fam102a;S1pr1;Btla;Smad7;Carm1;Tnf;Sept11;Ipo5;Mboat1;Rbbp7;Crim1;Stk10;Cblb;Nucks1;Zfp36l1;Zfp36l2;Ankrd44;Agfg1;Tnik;Gng2;Hsp90b1;Slc2a3;Fam3c;Ap1s3;Cluh;Syt11;Ran;Plcl2;Cd69;Dek;Bcl2l11;Foxk1;B4galt1;Tcerg1;Sos1;Slc9a6;Baz1a;Usp12;Arf3;Mycbp2;Fam178a;Erf;Entpd6;Cep41;Nab1;Dennd4a;Peak1;Mbnl1;Zdhhc3;Wdr76;Kpnb1;Dcp2;Otud4;Phactr2;Tmed5;Dpysl2;Dock4;Actr2;Atp2a2;Ppm1b;Lclat1;Sipa1l1;Naa50;Baiap2;Notch2;Cdon;Larp4;Tmem9b;Atp8b2;Prkaa1;Card11;Wnk1;Dnajb5;Heca;Hyou1;Ankrd52;Ago2;Rasa2;Hmgb2;Ptbp3;Elmsan1;Gpd2;Foxp1;Hipk3;Afg3l2;Egr1;Atp2b1;Kif1b;Jade2;Luzp1;Prkce;Tgfbr3;Mtx3;Nlk;Tmed8;Ttc39b;Mink1;Gfpt1;Lpp;Naa15;Mybl1;Ilf3;Tnfaip1;Gid4;Rap1b;Kpna1;Metap1;Bcl9;E2f5;Lmbrd2;Cpd;Ywhag;Cops2;Bhlhe40;Prkag2;Lrrc32;Cbx5;Dopey1;Fam122b;Map4k4;L1cam;Phip;Zfp951;Nol8;Usp42;Kcnq5;Ncoa2;Tox;Magohb;Ppip5k2;Pom121;Zbtb4;Slc37a3;Scamp2;Camsap2;Zfp930;Ythdc2;Phtf2;Txndc12;Kctd10;Acap2;Nus1;Lcorl;Zzz3;Dip2b;Cdk8;Lrba;Zfp800;Pdap1;Ddit4;G3bp2;Tmem165;Atp1b1;Plekhj1;Igf2bp3;Akap6;Sfmbt1;Pik3r3
miR-124/124ab/506,1408,1296,243,0.00231555187198794,1.2469128904956,Ccnd2;Itgae;Bach2;Vim;Adgrg5;Cotl1;Irf1;St3gal1;Inpp4b;Pmepa1;Lcp1;Pde7a;Rps6ka1;Hectd2;Sept11;Nr4a1;Ikzf2;Stk39;Mcur1;Tfrc;Parp9;Slc7a1;E2f3;Tpst2;Ipcef1;Adam19;Tle4;Rarg;Smurf2;Zfp831;Ttc7;Pml;Fchsd2;Ugcg;Zfp36l2;Ankrd44;Gng2;Slc35g1;G3bp1;Eif3b;Prdx6;Vps37b;Suclg2;Gm17296;Arpc1b;Pea15a;Ttc3;Irf2bpl;Tmem109;Gria3;Chsy1;Flnb;Tmem104;Gltp;Nsun2;Sgms1;Ptpn12;Map3k3;Usp14;E2f6;Bcl2l11;Abca2;Arhgap39;B4galt1;Traf3;Egr2;Sos1;Sdad1;Slc12a2;Pgm2;Slc9a6;Ar;Larp1;Kpna3;Sfxn1;Nkrf;Fam178a;Erf;Rbl1;Ssr1;Peak1;Sugt1;Mlec;Galnt10;Zdhhc3;Raver2;Ski;Slc25a13;Myh9;Myo5a;Kpnb1;Ak2;Rnf19a;Slc5a3;Nfatc2;Mat2a;Otud4;Qsox1;Phactr2;Rock2;Adgrl1;Itpr3;Lpin1;Capn2;Lclat1;Abcc4;Paxbp1;Tshz1;Mllt3;Inf2;Marveld1;Tsen54;Syncrip;Padi2;Tacc2;Tfap4;Snx5;Diaph2;Hivep3;Dock5;Arhgef4;Mtr;Wnk1;Rffl;N4bp1;Znrf3;Elovl5;Nfatc1;Rab27a;Rbms1;Ago2;Pqlc3;Ptbp3;Elmsan1;Frmd8;Gpd2;Stt3a;Sgpl1;Endod1;Enpp4;Hipk3;Rnf144a;Zfp287;Pik3c2a;Egr1;Slc25a39;Prps1;Iqgap2;Kif1b;Ptpn1;Macf1;Sbk1;Mtx3;Tmem134;Kif2a;Fubp1;Limd2;Lpp;Iffo2;Naa15;Rxra;Sumf1;Nudcd2;Gsn;Tor3a;Cand2;Plec;P4ha1;Ermp1;Polr3g;Thumpd1;Magt1;Nacc1;Fpgs;E2f5;Atl3;Styx;Tbc1d1;Rnf114;Cpd;Hmgxb4;Ascc2;Zbtb11;Arhgef1;Ncoa7;Prkag2;Trmt6;Ldlrap1;Pdxk;Iqgap1;Mtdh;Fam122b;Stk35;Rassf5;Galnt12;Ahr;Phip;Plxna3;Rab11fip1;Aida;Kcnq5;Rcc2;Ncoa2;Tox;Usp1;Cc2d1b;Arrb1;Neurl1b;Ccdc86;Etf1;Scamp2;Slc50a1;Sdf2l1;Orc2;Galc;Snx30;Clock;Akap5;Cpt1a;Tet1;Rassf3;Tet3;Rnf135;Reep3;Mapre1;Susd6;Capn1;Dip2b;Reep2;Actn4;Twsg1;Myo19;Plekhh1;G3bp2;Cbx2;Dennd1b;Itsn2;Tacc1;Fosl2;Akap6;Usp38;Evi5;Plscr3
miR-1ab/206/613,1408,546,109,0.00540048180586694,1.32697050022793,Ccnd2;Bach2;Fam102a;Tmem243;Pmepa1;Pde7a;Pola1;Stk39;Zfp827;Tagln2;Tspan9;Gnpnat1;Crim1;Tpm4;Bri3bp;Nampt;Eml4;Utrn;Tmsb4x;Nucks1;Arhgef3;Zfp36l1;Zfp36l2;Hsp90b1;Coro1c;Pea15a;Pgam1;Fam69a;Lasp1;Adpgk;Adar;Helz2;Hacd3;Hspd1;Hspe1;Arf3;Dnmt3a;Nr4a2;Mapk3;Ppib;Peak1;Plekho2;Xpo6;Papd7;Slc39a10;Nfatc2;Dcp2;Elovl6;Slc25a22;Tpm3;Sptbn1;Smarcb1;Baiap2;Syncrip;Larp4;Nol4l;Tomm70a;Ncl;Rap1a;Lrrc8a;Fam126a;Fam101b;Eml3;Frmd8;Gpd2;Wdr1;Il6st;Foxp1;Ss18;Hipk3;Pik3c2a;Arhgef18;Ptpn1;Luzp1;Prkce;Tgfbr3;Tcf20;Cdc42se1;Kif2a;Fubp1;Sec61a1;Rngtt;Cap1;Dlg4;Lrch1;Matr3;Bpnt1;Rap1b;E2f5;Mmd;Hs3st3b1;Smyd4;Hnrnpu;Sri;Smarcc1;Zbtb4;Tfe3;Slc37a3;Zc3h7b;Ankrd29;Rnf138;Kctd10;Acap2;Zzz3;Zfp800;Azin1;G3bp2;Khsrp;Pi4ka
miR-128/128ab,1408,784,148,0.0122649996233921,1.23958012671367,Tmsb10;Fam102a;Fam65b;Mdn1;Ncapg2;Pde3b;Bcl3;Sh2d3c;Foxo1;Ikzf2;Stk39;Zfp827;Gpr174;Gnpnat1;Set;Glipr2;Sik1;Mapkapk3;E2f3;Adam19;Ugcg;Zfp36l1;Zfp36l2;Adamts10;Coro1c;Adcy7;Limk1;Vsir;Gria3;Hsp90aa1;Gltp;Sgms1;E2f6;Ostf1;Traf3;Sos1;Elovl1;Man1a;Nab1;Peak1;Zadh2;Ehd3;Sfmbt2;Papd7;Ak2;Slc5a3;Dcaf7;Dcp2;1700025G04Rik;Elovl6;Cdc6;Tmed5;Dock11;Car12;Smarca2;Naa50;Ttc28;Tmem64;Larp4;Tmem9b;Eif2s2;Ppp2r1b;Rpn1;Slc39a11;Pak2;Wnk1;Stx1a;Rffl;N4bp1;Vav3;Nfatc1;Rab27a;Hyou1;Ago2;Med14;Rasa2;Fam126a;Gpd2;Sv2a;Lrrfip1;Ss18;Hipk3;Rnf144a;Pik3c2a;Gatad2a;Atp2b1;Bmi1;Efr3a;Tgfbr3;Ppig;Gfod1;Adcy3;Fubp1;Prcp;Sec61a1;Gfpt1;Iffo2;Rngtt;Naa15;Rxra;Rasgef1b;Mknk2;Gspt1;Tnrc18;Plagl1;Rap1b;Elmo1;Zfp652;Fam49b;Mmd;Atl3;Cpd;Ncoa7;Nfx1;Cbx5;Mtdh;Zc3h12d;Stk35;Tmem248;Lbh;Clpp;Ece2;Irf4;Rab11fip1;Usp42;Nln;Neurl1b;Tmbim6;Pom121;Ikzf1;Suz12;Tet1;Chka;Nus1;Lcorl;Zzz3;Gmps;Fbxl17;Plekhh1;Trim12c;Dennd1b;Ube2w;Rara;Armc8;Tacc1;Stk40;Evi5;Snx12
miR-382,1408,112,26,0.0174485881512002,1.58853020448975,Runx3;Ptgfrn;Ccnyl1;Gm2a;Baz1a;Mbnl1;Ybx1;Syncrip;Nol4l;Znrf3;Hnrnpd;Cep68;Nlk;Mtmr1;Limd2;Cct8;Smurf1;Arhgef12;Eef1a1;Hs3st3b1;Ncoa2;Neurl1b;Sbno1;Srsf12;Foxn2;Tet3
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac,1408,548,105,0.0201253579625276,1.25600858533012,Ccnd2;Fam102a;St3gal1;Rps6ka1;Irf9;Itgb3;Ikzf2;Zfp827;Tgfbr2;Asf1b;Mllt6;Crim1;Parp8;Sik1;Atad2;Rora;Tle4;Asap1;Gpr146;Kpna2;Polq;Zfp367;Bcl2l11;P2rx4;Wee1;Chn2;BC037034;Dusp2;Tet2;Dsn1;Rbl1;Ssr1;Arhgap29;Peak1;Mbnl1;Ak2;Dcaf7;Dcp2;Elovl6;Hn1;Rock2;Tiam1;Lclat1;Rgmb;Tmem64;Larp4;Snrk;Tfap4;Nol4l;Snx5;Ect2;Pak2;Znrf3;Ankrd52;Tmem123;Wdr1;Il6st;Ankrd13b;Hipk3;Adam9;Arhgef18;Atg7;Tcf20;Mink1;Iqsec1;Cnot6l;Tnfaip1;Mknk2;Tnrc18;Mfn2;Elf4;Nelfe;Slc25a40;Metap1;E2f5;Zbtb11;Aebp2;6030458C11Rik;Ncoa7;Ube2j1;Rab11fip1;Usp42;Tox;Rassf2;Sbno1;Zbtb4;Irf2bp2;Srsf12;Snx30;Clock;Pfkp;Tet1;Tet3;Reep3;Lcorl;Zfp800;Rabep1;Ube2r2;Ube2w;Zfp512b;Irf2;Armc8;Eif4b;Akap6;Pik3r3
miR-148ab-3p/152,1408,463,89,0.0272678791367129,1.25818119302281,Bach2;Tnfrsf1b;Tmsb10;S1pr1;Arhgap20;Tfrc;Gnpnat1;Ccna2;Mllt6;Sik1;Dnmt1;E2f3;Cblb;B4galt5;Tmsb4x;Smurf2;Slc16a6;Ugcg;Agfg1;Ccnf;Pea15a;Cluh;Taf4b;Cyth3;Sgms1;Bcl2l11;Egr2;Sos1;Canx;Fam178a;Itpk1;Ssr1;Pdia3;Mlec;Dcp2;Otud4;Phactr2;Zcchc2;4930523C07Rik;Denr;Atp2a2;Syncrip;Npepl1;Tmem9b;Nol4l;Tomm70a;Prkaa1;Hivep3;Ankrd52;Ago2;Gpd2;Stt3a;Il6st;Hipk3;Gpcpd1;Ptpn1;Foxk2;Nlk;Fubp1;Limd2;Naa15;Lrch1;Kpna1;Elmo1;Cs;Arhgef12;Slc2a1;Mmd;Styx;Chchd4;Cpd;Prkag2;Eml2;Invs;Phip;Kcnq5;Rcc2;Sbno1;Clock;Ythdc2;Sun2;Gpi1;Cdk8;Plekhh1;Ube2w;Itsn2;Tanc1;Cyb5r4;Pik3r3
miR-103a/107/107ab,1408,418,81,0.0278204371706104,1.26984652166771,Bach2;Btla;Pde3b;Carm1;Gnpnat1;Ccnyl1;Pacsin1;Tle4;Kif23;Ankrd44;Agfg1;Slc35g1;Trim26;Ran;Usp14;Traf3;Htt;Vopp1;Kpna3;Cdk6;Mbnl1;Ak2;Rnf19a;Tspan5;Arpc5l;Otud4;Elovl6;Cdc6;Phactr2;Zcchc2;Actr2;A830080D01Rik;Cdon;Snrk;Nol4l;N4bp1;Znrf3;Kcna2;Micall1;Nktr;Znrf2;Gpcpd1;Prkce;Tgfbr3;Ppig;Fubp1;Fam60a;Naa15;Fam117b;Dlg4;Kpna1;Map4;Styx;Cpd;Cops2;Tmem206;Lrrc32;Glud1;Tmem248;Rassf5;Usp42;Cc2d1b;Hacd2;Ppip5k2;Sbno1;Zc3h7b;Suz12;Sun2;Susd6;Snx11;Sh3bp5;Cdk8;Yaf2;Fbxl17;Ube2r2;G3bp2;Dennd1b;Armc8;Eif4b;Fam49a;Snx12
miR-320abcd/4429,1408,464,89,0.028667008093393,1.25464659539012,Ccnd2;Vim;S1pr1;Zdhhc15;Xpo1;Ikzf2;Smc2;Tgfbr2;Chek1;Smurf2;Zfp36l1;Agfg1;Tnik;Arid5b;Vps37b;Taf4b;E2f1;Pole4;Exo1;Herc3;Plk3;Arhgap29;Cdk6;Cyth1;Hspa4;Cenpf;Mat2a;Elovl6;Zcchc2;Adgrl1;Pdzd8;Atp5g1;Cbarp;Mllt3;Tmem64;Nsl1;Tomm70a;Zfp281;Serbp1;Rap1a;Pigk;Wnk1;N4bp1;Rab27a;Tmem123;Wdr1;Usp37;Lrrfip1;Hipk3;Prps1;Bmi1;Foxk2;Lrrc4;Ywhaq;Ckap5;Fam117b;Gspt1;Supt16;Gid4;Zdhhc21;Zmiz1;Fam49b;Myl12a;Atl3;Arpc5;Cpd;Cops2;Mtdh;Kctd9;Akt3;Rassf2;Plxnc1;Smarcc1;Armcx2;Zc3h7b;Tcea1;Tet1;Phtf2;Acap2;Susd6;Ppp1r3f;Ank;Atrx;Fbxl17;Cnbp;Vkorc1l1;Igf2bp3;Sfmbt1;Lrrc40
miR-15abc/16/16abc/195/322/424/497/1907,1408,884,159,0.0484011910709937,1.16293916605963,Ccnd2;Bach2;Bcl2;Arhgap20;Plekha1;Btla;Smad7;Carm1;Sept11;Gpr174;Chek1;Slc7a1;Ccne1;Mov10;Mllt6;Crim1;Ccnyl1;Smyd5;Sik1;Ahcyl2;E2f3;Nucks1;Tle4;Smurf2;Kif23;Fchsd2;Slc35g1;Slc2a3;Cdca7l;Cluh;Vsir;Irf2bpl;Zfp367;Map3k3;Usp14;B4galt1;Traf3;Shcbp1;Cxcl10;Wee1;Slc12a2;Slc9a6;Usp12;Arf3;Higd1a;Kpna3;Mapk3;Psme3;Ski;Nup210;Dcaf7;Tspan5;Slc39a10;Nfatc2;Dcp2;1700025G04Rik;Otud4;Slc25a22;Rftn1;Zcchc2;Rock2;Cdc25a;Adgrl1;Pdzd8;Actr2;Eif3a;Atp5g1;Zyx;Eif2s1;Cdon;Tspyl2;Sidt1;Snrk;Ppp2r1b;Nol4l;Serbp1;Stx1a;N4bp1;Fam126a;Prr11;Znrf2;Ankrd13b;Hipk3;Pik3c2a;Hdgf;Gatad2a;Prkar2a;Kif1b;Luzp1;Tgfbr3;Ppig;Tmed8;Fam60a;Limd2;Srprb;Mink1;Lpp;Acsl4;Naa15;Ywhaq;Map2k1;Rasgef1b;Tnfaip1;Thada;Supt16;Kcnn4;Plagl1;Mfn2;Smurf1;Kpna1;Rnf43;Map4;Gpn1;Bcl9;Bace1;Mmd;Styx;Adap1;Cpd;Cops2;Hs3st3b1;Cul2;Tmem206;Lrrc32;Glud1;Cbx5;Sil1;Nfe2l1;Rassf5;Akt3;Ube2j1;Phip;Usp42;Kcnq5;Zfp592;Pdia6;Siah1a;Tuba1a;Cc2d1b;Neurl1b;Rassf2;Ocrl;Clock;Rnf138;Suz12;Lypla2;Tet3;Mapre1;Cops7a;Lcorl;Snx11;Cdk8;Pdap1;Plekhh1;Dennd1b;Eif4b;Tacc1;Fosl2;Evi5
