Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
miR-290-5p/292-5p/371-5p/293,2269,185,61,0.0121690824751812,1.41759525335889,Arap2;Smad7;Smc6;Impad1;Tanc1;Tgfbr3;Lpp;Trps1;Ypel2;Mgat4a;Fam178a;Mbnl3;Mllt11;Diaph2;Map3k1;Trim37;Cdc42se2;Sptbn1;Nav1;Marcks;Phlpp2;Zkscan8;Prex1;Surf4;Tkt;Pcmtd1;Xpo1;Pknox2;Dlx1;Camk2g;Tpbg;Cyld;Gramd4;Zc3h12d;Naa40;Mycbp2;Sike1;Snx13;Tmem163;Tgs1;Orc5;Epn1;Bard1;Neurod1;Mkl2;Rexo1;Pcdh17;Plekhf2;Prpf4b;Kif3b;Calu;Suv420h1;Adhfe1;Tmem33;Orc4;Hook3;Mfsd4a;Syne1;Prune;Xiap;Krit1
miR-18ab/4735-3p,2269,167,54,0.0246674612275964,1.37510744876478,Kit;Zfp367;Atm;Runx1;Tnfaip3;Tex2;Crim1;Add3;Enc1;Psd3;Bbx;Elovl1;Lpp;Bmp2k;Zfp385c;Ptgfrn;Atxn1;Satb1;Phc3;Mbnl1;2700060E02Rik;Kdm5b;Fgf1;Map3k1;Orai3;Dusp16;Xylt2;Nav1;Pappa;Naa50;Zfp704;Sypl;Prkacb;Lin28a;Pde4d;Notch2;Pou6f1;Elmsan1;4930563E22Rik;Lsm14b;Ccdc88a;Med13;Mylk;Sar1a;Hsf2;Fam136a;Coro2a;Sim2;Wnt9a;Amigo1;Slc12a6;Pdzd2;Fam166b;Igf2bp2
miR-202-3p,2269,597,173,0.035590270405311,1.18020206809392,Rorc;Trib1;Gramd3;Ostf1;Syt11;Cap2;Slc9a9;Nlrc5;Ccnd2;Chn2;Rcn1;Plxnd1;Cyth3;Skil;Tnfrsf1b;Gng2;Taf4b;Tspan2;Rrm2;Dusp1;Mvb12b;Dusp7;Nek7;Etnk1;Ikzf4;Tgfbr3;Bcap29;Pik3ip1;Rasgrp1;Lpp;Map3k3;Tmx4;Cbx5;Styx;Ddx19a;Ypel2;St6gal1;Hmgcs1;Cntrl;Slc38a9;Igf2bp3;Dusp4;4930523C07Rik;Atxn1;Dzip1;Kif1b;Taf9b;Stx17;Zbtb10;Slc35d2;AW549877;Ppara;Ccdc71l;Map3k1;Ip6k2;Spcs3;E2f6;Lrig1;Dusp16;Tgfbr1;Ddx19b;Ccnj;Tmem194;Hdlbp;Pappa;Usp12;Surf4;Epha4;Zswim4;Zbtb16;Rnf13;Iars;Crem;Nhsl2;Adamts8;Limd1;Igf1r;Klhl6;Frs2;AF366264;Slc25a4;Poglut1;Snap23;Begain;Mex3a;Ikzf2;Mapk6;Slc30a7;Smim10l1;Ncbp3;Trim71;Rdx;Adrb3;9930012K11Rik;Arl5a;Lin28a;Nynrin;Dusp22;Fam118a;Angptl2;Nrp2;Naa40;Golt1b;Col4a2;Srgap3;Arid3a;Tmem229b;Xkr8;Leprotl1;Rab8b;Galnt1;Map4k3;Rbms2;Nipal1;Nap1l1;Ston2;Has2;Fzd3;Btbd3;Lsm11;Ipo11;Fgd4;Gdpd1;Stard3nl;Myrip;Srgap1;Zswim5;Il13;Lbr;Snap29;Osmr;Fndc3b;Baiap2;Usp47;Stxbp5;Bach1;Fgd6;Mxd1;Slco5a1;Gtpbp2;Slc16a9;Ercc4;Tspan5;Foxp2;Msi2;Simc1;Taf5;Prkaa2;Tsc22d2;Calu;Slc37a4;Dcbld1;Tat;Arid3b;Fam43a;Edem3;Epha7;Plxna4;Wnt9a;Sec14l1;Sh3rf3;Hdgfrp3;Mfsd4a;Mtmr12;Cnot2;Sox11;Ankfy1;Mycl;Speg;Dnajb11;Rb1;Tbkbp1;Adipor2
miR-299/299-3p/3563-3p,2269,61,21,0.0509421133509569,1.50556100160007,Btbd11;Rgs2;Atn1;Chst2;Abhd15;Paxip1;Plekha3;Tcf4;Cux1;Parva;Abce1;Ncoa3;Ebf3;Pmf1;Mapkbp1;Arid1b;Rnf43;Add1;Epha7;Gphn;Cnot2
miR-145,2269,445,128,0.0727512175677896,1.16359470594901,Cd28;Adam19;Tagln2;Abca1;Raph1;St3gal2;Ccnd2;Foxo1;Plxnd1;Ddc;Rcbtb1;Coro2b;Lox;Rnf216;Colq;Crim1;Cited2;Tmod1;Add3;Etnk1;Psd3;Sbf2;Fkbp3;Eif4b;Myl12b;Map3k3;Fam126a;Tmem9b;Slc7a11;Fam178a;Ldlrad3;Ept1;Flnb;Abcc1;Tgfbr2;Snx15;Zbtb10;Ugcg;Sfxn1;Dock9;Tcf4;Rgs3;Ggt7;Zfp423;Serinc5;Phf21a;Map3k11;Ccdc43;Hdlbp;Nav1;Naa50;Zswim6;Igf1r;Zfp704;Ets2;Vasn;Arl5b;Slc35d1;Mpzl2;Abce1;Camsap2;Orc2;Ikzf2;Nudt4;Camk1d;Pxn;Pdcd4;Pogk;Pmp22;Ebf3;Abr;Dusp6;Naa40;Qser1;Podxl;Fscn1;Srgap3;Ctnnbip1;Nrip3;Mdfic;Kpnb1;Adpgk;Slc4a4;Rassf2;Bivm;Zdhhc8;Abracl;Fzd9;Ets1;Larp4;Zcchc2;Grb10;Usp31;Med13;Rev3l;Srgap1;Csmd3;Ptp4a2;Maf;Fndc3b;Larp4b;Mkl2;Fzd7;Itpripl2;Msi2;E2f3;Pvrl1;Trim44;Arhgap24;Dcbld1;Usp46;Plagl2;Gorasp1;Gopc;Trio;Sult1a1;Sh3rf3;Gabarapl2;Camk2d;Fgf10;Gabarapl1;Hoxa5;Sox11;Mxd3;Scarb1;Tpm4;Dnajb11;Fbxl3
miR-326/330/330-5p,2269,236,69,0.105522255852758,1.18687359521412,Rarg;Treml2;Btbd11;Itpk1;Coro2b;Ahcyl2;Runx3;Tspan14;Entpd5;Eif4b;Lpp;Nrgn;Magt1;Tnk2;Ntn1;Sos1;Abcc1;Tcf4;Atp8b2;Myo1c;Ggt7;Parva;Phf21a;Gins3;Stk36;Cecr5;Glod5;Tnfrsf11a;Chrm1;1110017D15Rik;Whrn;Spry2;Lax1;Psmb11;Arhgap36;Palm;Vldlr;Larp1;Gprc5b;Pvrl4;Bhlhe40;Btbd3;Dynll1;Ybx2;Zswim5;Bcl2l1;Ebf1;Zmat3;Hrk;Tle3;Klf3;Dlg3;Gpi1;Tor2a;Ciita;F2r;H6pd;Plppr1;Pip4k2c;Ajuba;Ppp1r3f;Rasl10b;Klhl14;Sec14l1;Slc6a20a;Ankfy1;Pdzd2;Pax8;Fam126b
miR-31,2269,240,70,0.108327737431093,1.18280475890429,Cd28;Tspan31;Raph1;Tacc2;E2f2;Slbp;Rab19;Trp53inp2;Dusp7;Ppp3ca;Sh2d1a;Zfp36l1;Lpp;Cbx5;Sephs1;Ehd1;Cdk1;Ikzf1;Cops2;Slc7a11;Phc3;Tns1;Arrdc3;Sfxn1;D430041D05Rik;Selt;Map3k1;Ppp2r5c;Ccnj;Clasp2;B3gnt2;Naa50;Slc43a2;Zswim6;Coro7;Zfp704;Il34;Wipf1;Sgms1;Rdx;Ebf3;Fam120c;Slc2a4;Frat2;Mboat2;Satb2;Iqsec2;Fzd3;Map4k5;Grb10;Grik3;Tmem168;Zdhhc18;Klf3;Atl2;Osbp2;Eny2;Supt16;Lman2;AI593442;Zfp113;Thtpa;Calcr;Plxna4;Clock;Ret;Camk2d;Hook3;Ahsg;Fxr1
miR-181abcd/4262,2269,780,216,0.109736650142442,1.10489080081044,Cd4;S1pr1;Samhd1;Bcl2l11;Smad7;Syt11;B4galt1;Agfg1;Tmem71;Tox;Runx1;Stk10;Wdr76;Dek;Mapre2;Cd69;Gid4;Egr1;Ipo5;Gng2;Crim1;Sgpp1;Hmgb2;Etnk1;Tgfbr3;Cpd;Jarid2;Chd1;Zfp36l1;Ap1s3;Lpp;Dcp2;Cbx5;Tmem9b;Heca;Etohi1;Dusp10;Lrrc32;Igf2bp3;Prkaa1;Adrbk1;Rbbp7;Hsp90b1;Cops2;Fam178a;Txndc5;Ept1;Atp1b1;Foxk1;Atxn1;Lclat1;Spice1;Sos1;Plekha3;Phc3;Kif1b;Taf9b;Tns1;Ttc39b;Mbnl1;Grm5;Arrdc3;D430041D05Rik;Ppara;Atp8b2;C2cd5;Klf6;Zfp820;Srpk2;Tgfbr1;Ccnj;Crebrf;Cep41;Marcks;Tmem151b;Usp12;Mospd1;Naa50;Sept11;Epha4;Cblb;Slc2a3;Shoc2;Phlda1;Zfand6;Pknox2;Bclaf1;Cd163;Zfp704;Ddit4;Sypl;Camk2g;Eed;Ptbp3;Camsap2;Il7;Gabra1;Tead1;Slc9a6;Mex3a;Zfp607;Elp4;Mboat1;Zdhhc3;Rnf34;Pacs2;Zfp664;Trim71;St8sia4;Mybl1;Rnmt;Arl5a;Lin28a;Acer3;Nfatc2ip;Gpd1l;Cep97;Sacm1l;Tmem165;Afg3l2;Nrp2;2610305D13Rik;Fkbp1a;Ran;Notch2;Elmsan1;Qser1;Osbpl8;Zdhhc7;Podxl;Megf9;Mycbp2;Zbtb41;Cdon;Mboat2;Kpnb1;Fam179b;Ipo8;Unc80;1810011O10Rik;Jade2;Iqsec2;Gm996;Tcerg1;Adarb1;Ets1;Larp4;Nol8;Slc4a10;Bhlhe40;Klhl42;Btbd3;Acsl1;Grb10;Ap1ar;Fos;Fmr1;Gdpd1;Zzz3;Grik3;Srgap1;Tnpo1;Adgrl4;Lbr;Fmnl2;Ilf3;Fam3c;Cdc42bpa;Adamts1;Baiap2;Atp2b1;Cxadr;Rimklb;Zeb2;Aftph;Foxp1;Lrba;Fam102a;Abtb2;Abi3bp;Plekhj1;Gata6;Cdx2;Fam122b;Txndc12;Kif3b;Tsc22d2;Ing5;Adhfe1;Mapt;Lhx9;Drd1;Bcl2;Rasl10b;Lmx1a;Dlg2;Akap6;Atf2;Tardbp;Wnt9a;Dlgap2;Ankrd44;Adgrb3;Syne1;Mtmr12;Cnot2;Cst6;Xiap;Ankfy1;Zfp941;Slc7a6os;Thrb;Fam126b;Fbxl3;Igf2bp2;Dock7
miR-204/204b/211,2269,376,107,0.113691957563418,1.14396398239953,Lfng;Arap2;Abca1;Cap2;Zdhhc15;Ephb6;Chn2;Dtx1;Hecw2;Arhgap11a;Atf6;Mapre2;Zadh2;Cpd;Jarid2;Zfp36l1;Ap1s3;Glis3;Fam126a;Mfsd11;Ypel2;Fam160a2;Elovl6;Smoc1;Slc38a9;Igf2bp3;Fam178a;Rab8a;Sos1;Tgfbr2;Sla2;Mbnl1;Akip1;Vdac1;Il6ra;Tcf4;Gucd1;Ncoa7;Znrf3;Myo1c;Srpk2;Slc22a3;Hapln1;Zfp423;C330018D20Rik;Ddx19b;Gga2;Trp53inp1;Phlpp2;Gins3;Sept11;Fbxl19;Slc43a2;Fam117b;Camk1;Nhsl2;Frs2;Slc22a6;Ociad2;Cpox;Lhfpl4;Znrf1;Mtmr6;Gpm6a;Camk1d;Igf2r;Arl5a;Khdrbs1;Angptl2;Naa40;Elmsan1;Ctnnbip1;Satb2;Ipo8;Shc1;Mrpl35;Snx13;Slc16a6;Ntrk2;Dynll1;Srp72;Myo10;Larp4b;Atp2b1;Klf3;Fubp3;St7;Sec61a2;Cdx2;Fam122b;Trim44;Mapt;Bcl2;Arid3b;Atf2;Epha7;Eva1c;Ret;Kcnj1;Hook3;Sox11;Ankfy1;Ssr3;Rps6ka5;Six1;Cntnap2;Pdzd2
miR-376abd/376b-3p,2269,130,39,0.121562178035788,1.22921286747981,Bcl2l11;Gramd3;Polq;Eif4b;Kif14;Krcc1;Ept1;Satb1;Grm5;Rbms1;Serinc5;Ccnj;Igsf3;Naa50;Igf1r;Tead1;Sgms1;Pfpl;Prkd1;Gpc6;Prkacb;Lmbr1;2210408I21Rik;Hes5;Slc10a7;Atp13a3;Larp4;Cdk5r1;Crispld2;Grik3;Lamc1;Pank2;Pcdh17;Nfkbiz;Ppp1r3f;Gorasp1;Pdia6;Fam126b;Fam131b
