Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
miR-290-5p/292-5p/371-5p/293,1236,185,40,0.00183316515461194,1.70094525930943,Smad7;Smc6;Impad1;Tanc1;Tgfbr3;Lpp;Mgat4a;Fam178a;Mbnl3;Diaph2;Trim37;Cdc42se2;Sptbn1;Phlpp2;Zkscan8;Prex1;Surf4;Tkt;Pcmtd1;Xpo1;Camk2g;Cyld;Gramd4;Zc3h12d;Naa40;Mycbp2;Sike1;Snx13;Tgs1;Orc5;Bard1;Prpf4b;Kif3b;Calu;Tmem33;Orc4;Hook3;Prune;Xiap;Krit1
miR-124/124ab/506,1236,1296,204,0.0324298007952266,1.16360829512269,Itgae;Adgrg5;Adam19;Abca1;Pmepa1;Rarg;Smurf2;Ccnd2;Gria3;Cotl1;B4galt1;Pqlc3;Elovl5;Vim;Tpst2;Parp9;Ttc7;Pgm2;Padi2;Tor3a;Gng2;Sumf1;Ubr7;Pml;Irf1;Sugt1;Usp1;Ahr;Sgpp1;Ldlrap1;Ipcef1;Pde7a;Cpd;Pik3ip1;Entpd5;Atl3;Lpp;Map3k3;Rbl1;Hadh;Styx;Kpna3;Prps1;Vps37b;Ulk2;Magt1;Tfeb;Slc35g1;Mgat4a;Cmpk1;Fam78a;Fam178a;Mtr;Ept1;Slc16a1;Flnb;Slc50a1;Ar;Tmem184b;Bmf;Lclat1;Sos1;Slc25a13;Kif1b;Aida;Ugcg;Armc1;Mfsd14b;Rbms1;Stard7;Inpp4b;Sfxn1;Ankrd10;Itpr3;Gucd1;Npat;Ncoa7;Nxt2;Diaph2;Znrf3;Klf6;Abca2;E2f6;Lrig1;Ppif;Lpin1;Tgfbr1;Crebrf;Cd164;Pea15a;Gga2;Tfap4;Zkscan8;Ogfod3;Surf4;Stag2;Pus3;Pde4b;Sdf2l1;Tmem109;Zfp706;Fundc2;Suclg2;Slc25a39;Ptbp3;Pik3c2a;St3gal1;Poglut1;Wipf1;Sft2d2;Cpox;Orc2;Sgms1;Slc9a6;Zbtb11;Capn2;Zdhhc3;Slc30a7;Mtmr6;Nudcd2;Lmbr1;Zfp831;Rnf135;Rnf114;Grsf1;Frmd8;Abr;Slc10a7;Arhgap39;Neurl1b;Elmsan1;Irf2bpl;Gtf2e1;Fam76a;Usp48;Abcc4;Yme1l1;Kpnb1;Qsox1;Ipo8;Cldnd1;Larp1;Xrcc6;Arpc1b;Nckipsd;Ak2;Ssr1;Desi2;Acsl1;Ust;Stt3a;Fmr1;Iqgap1;P4ha1;Marveld1;Tmem168;Mlec;Rpia;Prdx6;Slc35a4;Tle4;Snap29;Stk38;Gltp;Pcyox1;Tet1;Mtmr10;Gas2;Larp4b;Pdcd6;Rps6ka1;Enpp4;Ptpn4;Arrdc1;G3bp1;Sec61a2;Eny2;Cstf2;Ermp1;St8sia1;Ankle2;Pus10;E2f3;Fam122b;Inf2;Zfp113;Calu;Pip4k2c;Rxra;Ap1m2;Ube4a;Clock;Cdc14b;Snx18;Ddx3y;Rab27a;Ankrd44;Top3a;Ankfy1;Vamp7;Mtm1;Tmem134;Fxr1;Adipor2
miR-505/505-3p,1236,135,26,0.0362529782723783,1.46088393044937,Kit;Nsg2;Gid4;Crim1;Bbx;Cyth1;Cbx5;Pim2;Mgat4a;Hsdl2;Znrf3;Klf6;Crebrf;Adgre5;Fam117b;Pcmtd1;Eif2s2;Slc30a7;Sass6;Tmtc4;Nipal1;Fmr1;March5;Fam122b;Ublcp1;Fam126b
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666,1236,606,95,0.115263070256046,1.14204015701567,S1pr1;Kit;Abca1;Zfp367;Pmepa1;Smurf2;Rapgef4;Agfg1;Adcy7;Lypd6b;E2f2;Itpk1;Zadh2;B4galt5;Tnfrsf1b;Taf4b;Hprt;Irf1;Slc12a7;Ahr;Piga;Ipcef1;Runx3;Ikzf4;Rpa2;Bbx;Dcp2;Casd1;Vps37b;Ulk2;Tmem9b;Scml4;Cmpk1;Prkaa1;Fbxo48;Fam178a;Mbnl3;Ept1;Ar;Lclat1;Tgfbr2;Mbnl1;Spg20;Ugcg;Arrdc3;Ankrd10;Npat;Znrf3;Trim37;Snx2;Lrig1;Tgfbr1;Pea15a;Slc39a10;Zkscan8;Naa50;Sh3bp5;Cblb;Cyld;Txnip;Whsc1l1;Mybl1;Hadhb;Tmem50b;Enpp5;Ldlrad4;Rbbp8;Daam1;Tmem55b;Usp48;Abcc4;Fam179b;Slain1;Slc25a32;Larp4;Acsl1;Arhgef12;Lsm11;Fmr1;Memo1;Tnpo1;Mlec;Impdh1;Usp47;Stxbp5;Ddhd2;Rab5b;Zbtb18;Zfp113;Gnpnat1;Mapre3;Mat2b;Tardbp;Clock;Cenpo
miR-320abcd/4429,1236,464,73,0.137011845807325,1.14439024972017,S1pr1;Chek1;Smurf2;Ccnd2;Zdhhc15;E2f1;Agfg1;Vim;Gid4;Smc2;Exo1;Taf4b;Herc3;Bbx;Cpd;Atl3;Tmem123;Cyth1;Prps1;Vps37b;Usp37;C1ql3;Elovl6;Cops2;Mbnl3;Tsc22d3;Spice1;Tgfbr2;Armc1;Tbc1d15;Nxt2;Tgfbr1;Adam10;Crebrf;Clasp2;Fam117b;Stag2;Pcmtd1;Xpo1;Plcxd2;Tcea1;Pole4;Cdk6;Rnf34;Ncbp3;Akt3;2210408I21Rik;Fam120c;Rad9a;Atp13a3;Rassf2;Nsl1;Zcchc2;Desi2;Pdzd8;Dhx40;Eif2b1;Cnbp;Pigk;Tet1;Eny2;Supt16;Mrps25;Zfp113;Ing5;Ppp1r3f;Usp46;Ube4a;Npc1;Rab27a;Ankfy1;Fam126b;Fbxl3
miR-335/335-5p,1236,143,24,0.148348451042885,1.23150576771079,Fam65b;Crim1;Glipr2;Sephs1;Ehd1;Fam78a;Ept1;Mbnl1;Stard7;Adcy3;Naa50;Pigb;Fam120c;Daam1;Zdhhc8;Zfp322a;Fmr1;Cables2;Arpc5l;Prpf4b;Zfp113;Calu;Klhl28;Clock
miR-181abcd/4262,1236,780,119,0.155724740797189,1.10549723365277,S1pr1;Samhd1;Smad7;Syt11;B4galt1;Agfg1;Tmem71;Stk10;Wdr76;Dek;Gid4;Ipo5;Gng2;Crim1;Sgpp1;Hmgb2;Tgfbr3;Cpd;Ap1s3;Lpp;Dcp2;Cbx5;Tmem9b;Heca;Etohi1;Prkaa1;Adrbk1;Rbbp7;Hsp90b1;Cops2;Fam178a;Txndc5;Ept1;Atp1b1;Foxk1;Lclat1;Spice1;Sos1;Plekha3;Phc3;Kif1b;Taf9b;Ttc39b;Mbnl1;Arrdc3;Atp8b2;Klf6;Srpk2;Tgfbr1;Crebrf;Cep41;Usp12;Mospd1;Naa50;Cblb;Slc2a3;Shoc2;Zfand6;Bclaf1;Ddit4;Camk2g;Eed;Ptbp3;Camsap2;Slc9a6;Zfp607;Elp4;Mboat1;Zdhhc3;Rnf34;Pacs2;Mybl1;Rnmt;Arl5a;Acer3;Nfatc2ip;Gpd1l;Cep97;Sacm1l;Tmem165;Afg3l2;Ran;Notch2;Elmsan1;Zdhhc7;Mycbp2;Zbtb41;Cdon;Kpnb1;Fam179b;Ipo8;Jade2;Tcerg1;Larp4;Nol8;Bhlhe40;Klhl42;Acsl1;Ap1ar;Fmr1;Zzz3;Tnpo1;Lbr;Fam3c;Foxp1;Lrba;Fam102a;Plekhj1;Fam122b;Txndc12;Kif3b;Ing5;Bcl2;Tardbp;Ankrd44;Xiap;Ankfy1;Fam126b;Fbxl3
miR-299/299-3p/3563-3p,1236,61,10,0.23583468966867,1.19450213506422,Btbd11;Atn1;Abhd15;Paxip1;Plekha3;Abce1;Pmf1;Rnf43;Add1;Gphn
miR-21/590-5p,1236,199,31,0.23760293565507,1.12577281857065,Gramd3;Smad7;Zfp367;Chd7;Gid4;Zadh2;Plekha1;Peli1;Rpa2;Tanc1;Ehd1;Fam46a;Tgfbr2;Mbnl1;Spg20;Abcd2;Cd44;Klf6;Crebrf;Stag2;Slc30a7;Skp2;Pdcd4;Notch2;Klhl42;Arhgef12;Tet1;Prpf4b;Bcl2;Dnajc16;Fam126b
miR-210,1236,18,3,0.242750051615296,1.2173169141863,Zadh2;B4galt5;Gpd1l
