Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
miR-124/124ab/506,1536,1296,264,0.00188228810043911,1.24444576796523,Ccnd2;Itgae;Vim;Adgrg5;Cotl1;Bach2;Pmepa1;Irf1;Pde7a;St3gal1;Rps6ka1;Lcp1;Rarg;Parp9;Adam19;Inpp4b;Slc7a1;Tpst2;Sept11;Tfrc;Ttc7;Smurf2;Pea15a;Gria3;Tle4;Gng2;G3bp1;E2f6;Ikzf2;Tmem109;Mcur1;Stk39;Slc35g1;Zfp831;Prdx6;Vps37b;Flnb;Pml;Hectd2;Map3k3;Zfp36l2;Eif3b;Slc25a39;Ar;Arpc1b;Slc25a13;Nr4a1;Abca2;Ipcef1;Gltp;Nsun2;Pgm2;Irf2bpl;Gm17296;Arhgap39;Suclg2;B4galt1;Sfxn1;Padi2;Chsy1;Sugt1;Zdhhc3;Slc12a2;Usp14;Sgms1;Tmem104;Cpd;Traf3;Ankrd44;Ssr1;Ptpn12;Ugcg;Slc9a6;Kpna3;Tfap4;Ak2;Qsox1;Sbk1;Prps1;Ahr;Sdad1;Tor3a;Elovl5;Pqlc3;Frmd8;Galnt10;Rnf114;Sumf1;Capn2;E2f3;Rnf19a;Fchsd2;Ccdc86;Nkrf;Egr2;Thumpd1;Itpr3;Marveld1;Sgpl1;Emc10;Lpin1;Tsen54;Phactr2;Erf;Gsn;Nudcd2;Mlec;Tmem134;Nfatc2;Peak1;Stt3a;Ski;Mtr;Poglut1;Ptbp1;Ldlrap1;Capn1;Zfp706;Gga2;Tor1aip2;Rbl1;E2f5;Nacc1;Itm2c;Ppif;Abcc4;Rab11fip1;Slc35a4;Dcakd;Nfatc1;Twsg1;Akt2;Inf2;Larp1;Egr1;Myo5a;Lclat1;Snx18;Aldh9a1;Ttc3;Kif1b;Elmsan1;Kpnb1;Dock5;Fpgs;Arrb1;Ipo8;Myh9;Galnt12;Snx30;Rnf135;Ermp1;Frmd4a;Sdf2l1;Scamp2;Enpp4;Rassf5;Mat2a;Rnf144a;Rxra;Raver2;Slc4a8;N4bp1;Endod1;Evi5;Rbms1;Cpt1a;Gucd1;Gstk1;Rap2a;Prkag2;Prr3;Tmem168;Tshz1;P4ha1;Orc2;Armc1;Ampd3;Zfp287;Socs5;Inpp4a;Surf4;Zfp239;Slc50a1;Rffl;Bcl2l11;Rab27a;Ago2;Fam122b;Slc5a3;Tbc1d1;Kcnq5;Pam;Ptpn1;Rpia;Plec;Arrdc1;Rhog;Ogfod3;Ncoa7;Tfeb;Gpd2;Actn4;Sept10;Diaph2;Adgrl1;Hipk3;Limd2;Aida;Ptpn9;Bcat1;Farsa;Znrf3;Bahd1;Fosl2;Trmt6;Fam178a;Lix1;Syncrip;Arhgef4;Ankrd10;Ust;Sos1;Atl3;Iqgap1;Snx5;Spire1;Rcc2;Pdcd6;Iffo2;Fam210a;Tmem110;Fam222b;Rassf3;Calu;Prrc1;Stard7;Neurl1b;Rock2;Magt1;Pecr;Serp1;Gng10;Etf1;Slc25a1;Lmf2;Shkbp1;Ptbp3;Pip4k2c;Dennd1b;Plxna3;Smox;Lmbr1;Smco4;Cpox;Tacc2;Vat1;Fam174b;Zfp275;Usp38;Dip2b;Susd6;Ankib1;Zfand3
miR-503,1536,263,60,0.0107773586905758,1.40508048925828,Ccnd2;Il7r;Bcl2;Arhgap20;Smad7;Mov10;Chek1;Slc2a3;Smurf2;Tle4;Gpr174;Sik1;Zfp367;Cxcl10;Ccnyl1;Slc12a2;Usp12;Kpna3;Wee1;Kif23;E2f3;Fchsd2;Rasgef1b;Dcaf7;Phactr2;Ski;Prkar2a;Snrk;Pdzd8;Larp1;Mfn2;Chpf;Cbx5;N4bp1;Znrf2;1700025G04Rik;Emc6;Dnaja2;Socs6;Kcnq5;Pam;Pisd;Plagl1;Nfe2l1;Kif1c;Adgrl1;Hipk3;Limd2;Fosl2;Ptpn3;Actr2;Usp31;Acsl4;Tspyl2;Iffo2;Neurl1b;Ankrd13b;Dennd1b;Bcl9;Trim36
miR-383,1536,104,24,0.05642782010756,1.41660213054631,Irf1;Shmt2;Vsir;Agfg1;Dpysl2;Rapgef6;Cnih1;Tbc1d5;Brip1;Prdx3;Arhgef12;Gadd45g;Zfp706;Dnmt3a;Fos;Rbms1;Prkag1;Map7d1;Zfp719;Gfer;Nup153;Fam210a;Il1rap;Slc35a3
miR-361-5p,1536,138,30,0.0808943631680537,1.31174484309697,Lad1;Snd1;Slc16a10;Brca1;Foxm1;Gid4;Hsp90aa1;Thumpd1;Arhgef12;Mtrr;Dnmt3a;Kpnb1;Gnptg;Polr2m;Pgm3;Chl1;Rragb;Diaph2;Ero1l;Trmt6;Zfp516;Syncrip;Atl3;Nup153;Tanc2;Aebp2;Piga;Cpox;Ipo9;Tceal8
miR-487b,1536,12,3,0.144378994101455,1.56785391784468,Nsmf;Prkca;Efhd2
miR-181abcd/4262,1536,780,147,0.146458906250312,1.10128899446472,Samhd1;S1pr1;Bach2;Fam102a;Bcl2;Smad7;Btla;Ipo5;Crim1;Tnf;Mboat1;Rbbp7;Ran;Syt11;Slc2a3;Stk10;Sept11;Carm1;Cluh;Gng2;Agfg1;Tmem9b;Cblb;Zfp36l2;Fam3c;Cd69;B4galt1;Plcl2;Dpysl2;Zdhhc3;Ddit4;Ap1s3;Cpd;Ankrd44;Usp12;Zfp36l1;Notch2;Slc9a6;Hsp90b1;Foxk1;Kctd10;Nucks1;Gid4;Arf3;Entpd6;Dennd4a;Naa50;Heca;Atp8b2;Phactr2;Ttc39b;Txndc5;Erf;Cep41;Afg3l2;Peak1;Dnajb5;Dcp2;Tnik;Txndc12;Tmed5;E2f5;Ywhag;Tnfaip1;Dek;Prkaa1;Atp2a2;Cdon;Egr1;Lclat1;Kif1b;Elmsan1;Plekhj1;Kpnb1;Tcerg1;Hmbs;Ipo8;Fos;Scamp2;Hyou1;Nab1;Ankrd52;Cbx5;Baz1a;Prkce;Wdr76;Baiap2;Prkag2;Bhlhe40;Tgfbr3;Mycbp2;Maea;Atp2b1;Metap1;Jade2;Bcl2l11;Ago2;Grm1;Sipa1l1;Eif4a2;Fam122b;Gskip;Tm9sf4;Tmed8;Kcnq5;Pam;Kpna1;Mapre2;Gpd2;Dock4;Mbnl1;Gfpt1;Hipk3;Ptpn9;Arrdc3;Zdhhc7;Nfatc2ip;Fam178a;Bend4;Phtf2;Tgif2;Ing5;Actr2;Sema4c;Card11;Sos1;Luzp1;Nus1;Spire1;Elp4;Nlk;Rnmt;Tanc2;Tmem165;Tspan13;Derl1;Ptbp3;Rap1b;Bcl9;Zfp568;Atp1b1;Hmgb2;Dip2b;Ilf3;Pacs2;Magohb;Zbtb4
miR-339b/339-5p/3586-5p,1536,112,23,0.166992835909115,1.21794596971354,Bach2;Smurf2;Pea15a;Ier5;Abi2;Cyth1;Rnf114;Cers4;Nacc1;Kif1b;Ankrd52;Znrf2;Tmem183a;Bcl2l11;Tuba1a;Tubg1;Arrdc3;Fosl2;Eri3;Sos1;Tsr2;Rap1b;Zfp275
miR-1ab/206/613,1536,546,103,0.184256555946084,1.09958217478539,Ccnd2;Bach2;Fam102a;Pmepa1;Tmem243;Tagln2;Pde7a;Tspan9;Pola1;Crim1;Bri3bp;Tpm4;Zfp827;Fam101b;Gnpnat1;Arhgef3;Tmsb4x;Nampt;Pgam1;Pea15a;Stk39;Ppib;Hspd1;Zfp36l2;Coro1c;Eml4;Fam69a;Adpgk;Slc39a10;Hspe1;Lasp1;Nr4a2;Adar;Hacd3;Zfp36l1;Hsp90b1;Plekho2;Elovl6;Utrn;Kctd10;Frmd8;Lrrc8a;Nucks1;Mapk3;Arf3;Smarcb1;Helz2;Sec61a1;Mmd;Nfatc2;Peak1;Sri;Dcp2;Fam126a;Ptbp1;Bpnt1;E2f5;Hmgn1;Cdc42se1;Dnmt3a;Tfe3;Eml3;Papd7;Slc25a22;Sptbn1;Ipo8;Tomm70a;Prkce;Srsf9;Mrpl35;Baiap2;Wdr1;Tgfbr3;Tpm3;Xpo6;Ptpn1;Ss18;Gpd2;Hipk3;Tgif2;Smyd4;Zfp516;G6pdx;Syncrip;Ust;Luzp1;Sh3bgrl3;Arhgef18;Cap1;Prrc1;Pi4ka;Phlpp2;Stard7;Serp1;Mfsd14a;Rap1b;Lmbr1;Letm1;Pdrg1;Zc3h7b;Zbtb4;Ankib1;Lrch1
miR-210,1536,18,4,0.196068974242177,1.34385052299819,B4galt5;Zadh2;Iscu;2310061I04Rik
miR-192/215,1536,95,19,0.217450454482921,1.17726565198483,Rrm1;Sik1;Enc1;Pkp4;Cdc6;Higd1a;Ankrd44;Nipal1;Msn;Dnmt3a;Cdon;Myo5a;Nab1;Sh2d2a;1700025G04Rik;Slc5a3;Arhgap19;Emc7;Zbtb4
