Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
miR-300/381/539-3p,1219,622,118,0.000112650350618723,1.49548273006745,Mitf;Itm2c;Insig1;Nktr;Fnbp4;Kif11;Hivep2;Atrx;Adgrg2;Taok1;Syt11;Map4;Med14;Lrrc4;Kmt2a;Tns1;Qser1;Usp34;Apc;Asxl1;Hnrnpd;R3hdm1;Adgrl2;Aff4;Tnrc6a;Id2;Kansl1;Rev3l;Trpm7;Bcl2l11;Khdrbs1;Nucks1;Satb1;Utrn;Kmt2c;Ireb2;Grm1;Usp7;Nufip2;Eif4g2;Cnbp;Scai;Klf6;Ddx6;Arid4b;Ppp1r2;Iqsec2;Atp13a3;Irf4;Fam63b;Klf4;Slmap;Nfat5;Rif1;Wdr26;Slk;Smek2;Hectd1;Pan3;Dmtf1;Ptms;Fnip1;Gpc6;Etnk1;Rimklb;Mier1;Chd2;Rc3h1;Dek;Syf2;Lats1;Kat6b;Gls;Mphosph9;Ier5;Pias1;Sbno1;Creb1;Ikzf2;Rictor;Mga;Kdm7a;Tmtc2;Nr5a2;Rnf13;Pds5b;Flrt3;Kdm6a;Rsf1;Birc6;Efnb2;Med12;Zfp292;Usf3;Asxl2;Mycbp2;Sub1;Sp2;Sik3;Chd1;Cd44;Fbxo34;Ppp2r5e;Prrc2a;Mfsd14b;Mbnl1;Lurap1l;Cldn12;Sgtb;Zmynd11;Rock2;Tial1;Hmgxb4;Elovl2;Hacd2;Tle1;AI846148;Scaf8
miR-433,1219,201,45,0.000351743834992653,1.81342111238677,Tdrd5;Pbrm1;Bptf;Ago3;E2f3;Med14;Tnrc6b;Chd9;Tia1;Kmt2a;Zdhhc7;Phf20l1;Sft2d2;Fam208a;Adgrl2;Slc16a1;Nucks1;Cenpj;Cdc27;Ube2h;Ccar1;Prdm8;Prr14l;Rfx7;Rraga;Ptchd4;Pccb;Chl1;Mier1;Chd2;Epc2;Tlk2;Top1;Creb1;Gata3;Poglut1;Cox8a;Ankrd12;Cdk17;U2surp;Mbnl1;Scoc;Elovl2;Edn3;Ubn2
miR-324-5p,1219,79,21,0.00085408232873394,2.26008723183474,Mef2d;Ran;Fubp1;Luc7l3;Vdac1;Fbxo11;Saraf;Amer1;Chic1;Atxn7;Rap1a;Klf6;Gga2;Nfat5;Sbno1;Lmx1a;Sp6;Ube2v1;Rock2;Otub1;Scamp5
miR-224,1219,206,44,0.00115530738489185,1.70462637746689,Fam101b;Tmem9b;Ect2;Nr4a1;Acin1;Id3;Zfp207;Enc1;Trabd2b;Fosb;Pten;Hnrnpu;Ttc3;Nufip2;Kif23;Kat6a;Rasa2;Ppp1r2;Zfp174;Gga3;Sf1;Sar1a;Klhl23;Inpp4b;Epc2;Fndc5;Marf1;Zbtb34;Kdm7a;Cast;Rprd1a;Rtp1;Asxl2;Rnf38;Casc3;Gsk3b;U2surp;Dnajb1;Mbnl1;Baz2a;Tial1;Prpf4b;Dpysl2;Ubn2
miR-25/32/92abc/363/363-3p/367,1219,656,114,0.00403622933223625,1.33142016665437,Mitf;Insig1;4932438A13Rik;Ddit4;Fryl;Fnbp4;Cd2ap;Otud4;Arhgef17;Rbbp6;Paxbp1;Atrx;Fubp1;Ago3;E2f3;Osbpl8;Lrrc4;Tnrc6b;Chd9;Dclk2;Tob1;Qser1;Tet2;Aff4;Naa15;Chga;Rev3l;Bcl2l11;Nucks1;Eomes;Pten;Hnrnpu;Fam196b;Pik3r3;Nufip2;Eif4g2;Rap1a;Phf3;Prc1;Ikzf1;Baz2b;Avl9;Pnisr;Klf4;Nfat5;Isca1;Rfx7;Cbfa2t3;Dnajc30;Rab11fip2;Fnip1;Gpc6;Pde4d;Nol4l;Zfc3h1;Rbm27;Arhgap29;Akap10;Epc2;Zfp654;Armc1;Eif5b;Gpm6a;Suv420h1;Lats1;Top1;Sbno1;Creb1;Rad21;Zbtb34;B230219D22Rik;Cep350;Ikzf2;Klf2;Ddx3y;Pgam1;Stk39;Kcna1;Strn3;Pmepa1;Jade1;Setd5;Pds5b;Gata6;Gria3;Cdca7l;Tor1aip2;Ccnl2;Asxl2;Sbk1;Zfp512b;Mycbp2;Ppcs;Has2;Rnf38;Gucy1a3;Adam19;Gid4;Mia3;Stx17;Slc45a3;Mtdh;Baz2a;Nsmf;Akt1;Fmr1;Gramd1b;Iqgap2;Fstl1;Ttc14;Prrc2b;Phlpp2;Spryd4;Cxxc5
miR-18ab/4735-3p,1219,167,35,0.00432622070147878,1.65819757145292,Nktr;Zfp62;Fryl;Fubp1;Tnrc6b;Zfp207;Orai3;Zfp651;Enc1;Slc22a8;Satb1;Pten;Runx1;Nufip2;Fchsd2;Ptgfrn;Hmbox1;Mylk;4930563E22Rik;Pnisr;Nfat5;Sar1a;Rab11fip2;Pde4d;Usp24;Ptp4a3;Cdk19;Phc3;Kcna1;Zfp385c;Triobp;Tmem248;Asxl2;Fbxo34;Mbnl1
miR-27abc/27a-3p,1219,888,149,0.00476370857875431,1.28093129623078,Mitf;Rit1;Tmem9b;4932438A13Rik;Fryl;Cd2ap;Cd28;Hivep2;Rbbp6;Vsir;Atrx;Fubp1;Maml2;Srrm2;Dynll2;Med14;Tnrc6b;Tia1;Kmt2a;Il10;Dnajc13;Nabp1;Cpd;Apc;Arhgef6;Sos1;Ece2;Nf1;Adgrl2;Aff4;Naa15;1110004F10Rik;Enc1;Suz12;Shb;Pdpk1;Fosb;Fam193b;Ypel2;Cdc27;Kmt2c;Runx1;Bdp1;Pik3r3;Itsn2;Cdk8;Scai;Insr;Galnt3;Kif21b;Flrt2;Rasa2;Rpn1;Ikzf1;Baz2b;C1galt1;Atp13a3;Ccnyl1;Atad2b;Arid2;Prr14l;Pnisr;Nxf1;Irf4;Ptgdr;Fndc3a;Zfp36;Nfat5;Sepn1;Limk1;Msi2;Cbfa2t3;Rab11fip2;Ppig;Mob1b;Serp1;Magi3;Mesdc1;Rreb1;E2f6;Rc3h1;Larp4;Oaf;Tlk2;Suv420h1;Lats1;A230046K03Rik;Mapk8ip3;Creb1;Elmo1;Zbtb34;Fam84b;Gata3;Ikzf2;Rictor;Sp6;Stk39;Poglut1;Atp6v1a;Nr2c2;Tmtc2;Nr5a2;Samd4;Nav2;Pds5b;Flrt3;Ppp4c;Mapkapk3;Gria3;Efnb2;Mbtd1;Usf3;Tmem248;Rps6kb1;Gcc2;Ube2v1;Efna2;Sub1;Ppara;Tppp;Rnf38;Casc3;Plxnd1;Wnk1;Rbm12b2;Ppif;Adam19;Ugcg;Ctcf;Usp45;Arf6;Hmgcs1;Glipr2;Rock2;Fam133b;Trim71;Snx12;Slc7a11;Rbbp5;Jmjd1c;Rsbn1l;Adamts10;Sfswap;Snx18;Pdzk1ip1;Rad54l2;AI846148;Paqr9;Phlpp2
miR-495/1192,1219,565,99,0.00538121569687388,1.34120660854321,Tsc22d3;Insig1;Zfp280c;Ddit4;Pbrm1;Btbd11;Hivep2;Ran;Arhgef17;Tmed9;Fubp1;Luc7l3;Ppp1r15b;E2f3;Srrm1;Nsg2;Kmt2a;Arid4a;Sept7;Apc;Adgrl2;Runx3;Tnrc6a;Kansl1;Sec63;Dirc2;Rev3l;Nucks1;Satb1;Atxn7;Pten;Hnrnpu;Ccdc126;Ireb2;Usp7;Nufip2;Cnbp;Kmt2d;Arid4b;Baz2b;Ccar1;Srsf6;Mylk;Cbl;Nfat5;Bclaf1;Pde4d;Inpp4b;Etnk1;Rbm33;Fam178a;Rimklb;Rgma;Rbm27;Srsf10;Epc2;Cdc6;Scg2;Kat6b;Mphosph9;A230046K03Rik;Sbno1;Brd4;Gskip;Cep350;Myo6;Ddx3y;Rictor;Phc3;Tmem132c;Senp6;Samd4;Dag1;Snrpb;Rprd1a;Gria3;Tmx4;Dbi;Med12;Mbtd1;Sp2;Mink1;Wnk1;Hnrnph1;Cntn2;Ppp2r5e;Prrc2a;U2surp;Mbnl1;Zfp706;Rock2;Zfp36l1;Jmjd1c;Rbm28;Nod1;Set;D430041D05Rik;Paqr9;Ubn2
miR-505/505-3p,1219,135,29,0.00555297882325418,1.70828181973238,Mef2d;Adgre5;Eif3a;Nsg2;Kctd10;Nucks1;Usp7;Tmtc4;Klf6;Lrrfip1;Arid4b;Gpc6;Senp7;Mier1;Rbm27;Chd2;Myo6;Sass6;Nipal1;Samd4;Flrt3;Csnk1a1;Zfp292;Gid4;Nck2;Fmr1;Msantd4;Vmp1;AI846148
miR-142-3p,1219,233,45,0.0080030526598671,1.49827191796997,Mbd6;Taok1;Kmt2a;Bach2;Apc;Crtam;Dirc2;Nucks1;Atxn7;Amotl1;Fam208b;Utrn;Vamp3;Picalm;Ccnt2;Rarg;Il6st;Anln;Fndc3a;Hectd1;Msi2;Rab11fip2;Dmtf1;Bclaf1;Akt1s1;Smg1;Nol4l;Rbm27;Rreb1;Zfp654;Ash1l;Foxm1;Lima1;Rictor;Strn3;3110043O21Rik;Tnfrsf13c;Pik3r6;Plxnd1;Rab40c;Bod1;Rock2;Jmjd1c;Snx18;Six5
miR-204/204b/211,1219,376,68,0.00851030865030778,1.38657174139022,Prmt6;Taok1;Vdac1;Tnik;Tnrc6b;Cdc25b;Ktn1;Dnajc13;Znrf1;Lhfpl4;Cpd;Sos1;Yif1a;Map1lc3b;Khdrbs1;Ypel2;Grm1;Ccnt2;Atf2;Lamp1;Ube2h;Tmem64;Hnrnpa2b1;Gga2;Slc16a6;Kmt2d;Arhgap11a;Nfat5;Ppic;Dmtf1;Fnip1;Sec24d;Pum2;Fam178a;Arhgap29;Rreb1;Rc3h1;Gpm6a;Lats1;Tcf20;Creb1;Brd4;Zbtb34;Eef1e1;Rictor;Bcl7a;Tcf12;Tmtc2;Mllt3;3110043O21Rik;Birc6;Lfng;Gucd1;Gabpb2;Wnk1;Akip1;Mbnl1;Baz2a;Atf6;Trim44;Zfp36l1;Ttyh1;Bcl2;Ap1s1;Cluh;Chp1;Phlpp2;Ubn2
