Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
miR-505/505-3p,541,135,13,0.0388929242633587,1.63315059150916,Adgre5;Nsg2;Kctd10;Tmtc4;Klf6;Myo6;Nipal1;Samd4;Flrt3;Gid4;Nck2;Msantd4;Vmp1
miR-324-5p,541,79,8,0.0537990668250724,1.72149896218311,Ran;Vdac1;Saraf;Klf6;Gga2;Sp6;Ube2v1;Otub1
miR-149,541,241,18,0.162881976275476,1.23341616677593,Dbp;Them6;Enc1;Rce1;D17H6S53E;Tmem50b;Poldip2;Ufm1;Ppm1f;Gria3;Phldb1;Rrp8;Pno1;Arpc4;Dnm3;Prps2;Cluh;Phlpp2
miR-487b,541,12,1,0.167125638991603,1.38107426339951,Nsmf
miR-451,541,13,1,0.189847425336829,1.26585562638748,Psmb8
miR-127/127-3p,541,13,1,0.189847425336829,1.26585562638748,Wnt7a
miR-124/124ab/506,541,1296,85,0.246668354828224,1.07809972261476,Mitf;Itm2c;Rpia;Rap2a;Slc25a39;Itgae;Emc10;Hadh;Cpd;Sft2d2;Slc35a4;Lrig1;Gstk1;Ptbp1;Surf4;Slc16a1;Vamp3;Ahr;Rarg;Klf6;Gga2;Pcyox1;Dmrta1;Slc25a13;Dhrs1;Ccdc86;Cmtr2;Serp1;Akt1s1;Pde4d;Padi2;Anxa5;E2f6;Slc15a4;Oaf;Armc1;Aldh9a1;Adgrg5;Mpc1;Rnf114;Arf2;Gnai1;Poglut1;Kcna1;Pmepa1;Jade1;Tor3a;Calu;Samd4;Flrt3;Ppm1f;3110043O21Rik;Gria3;Dusp3;Lemd2;Tor1aip2;Gucd1;Sbk1;Bcat1;Phldb1;Clic6;Emc3;Ppif;Adam19;Ctdsp1;Shkbp1;Mfsd14b;Ovol2;Acadsb;Adipor2;Zfp706;Thumpd1;Eya2;Xrcc6;Prps1;Ar;Sumf1;Snx18;Pik3ip1;Fstl1;Ache;Paqr9;Tfeb;Chp1;Pttg1ip
miR-384/384-3p,541,155,11,0.249783764506122,1.16325073222155,Gpr83;Dynll2;Cpd;Chmp5;Gskip;Hadhb;Dusp3;Rrp8;Slc7a11;Snx18;Rasgef1b
miR-210,541,18,1,0.306654179084194,0.89303698020101,Iscu
miR-7/7ab,541,300,20,0.306887158986871,1.08783907020175,Ddit4;Tmed9;Vdac1;Adgrl2;Vimp;Tmem64;Galnt3;Gga2;Ppp1r2;Klf4;Serp1;Pde4d;Cnppd1;Kcna1;Jade1;Calu;Abhd8;Crls1;Bloc1s4;1110008F13Rik
miR-383,541,104,7,0.313091365872771,1.0970376381157,Vsir;Cnih1;Prdx3;Fos;Prkag1;Zfp706;Dpysl2
miR-490-3p,541,107,7,0.341223681299718,1.06378407466912,Ppp1r15b;Cpd;Cd63;Myo6;Adipor2;Slc7a11;Ap1s1
miR-216b/216b-5p,541,156,10,0.369860184441152,1.04081977073163,Tsc22d3;Lrig1;Ptbp1;Enc1;St3gal4;Raly;Rce1;Lima1;Triobp;Jun
miR-22/22-3p,541,301,19,0.4007924388202,1.02393432131172,Ddit4;Yars;2410015M20Rik;Ppp1r15b;Lgals1;Nhp2;Mthfd2;Klf6;Galnt3;Cdc6;Tmem50b;Il13ra1;Cenpv;Tmem164;Dnm3;Zfp706;Slc2a1;Snx18;Fstl1
miR-328a/328b-3p,541,116,7,0.427045705875748,0.974850549397129,Gm2a;Rwdd2b;Usb1;Pef1;Shkbp1;Tomm40l;Tle1
miR-346,541,87,5,0.451942119854426,0.925220279385844,Surf4;Fiz1;Klf4;Tmtc2;Phf5a
miR-136,541,138,8,0.483355218329333,0.933473696196573,Rpusd4;Cpd;Hoxc10;Tmem185b;Acsf2;Tmem9;E2f1;Glipr2
miR-504/4725-5p,541,122,7,0.483910602709151,0.923308717142385,Gpr55;Lamtor1;Ehd4;Crtam;Rnf114;Slc7a11;Phlpp2
miR-378/422a/378bcdefhi,541,92,5,0.506625057372726,0.871513311427768,Sbds;4921517D22Rik;Sar1a;Aqp3;Arf2
miR-191,541,44,2,0.51692687266904,0.722071952621676,Chmp5;Tor1aip2
miR-197,541,143,8,0.526936850821336,0.898346497838436,Cnbp;Gga2;Sar1a;Mtch1;Armc1;Atp6v1a;Tor1aip2;Otub1
miR-192/215,541,95,5,0.538475537355002,0.842152864679069,Enc1;Klhl23;Cdc6;Nipal1;Emc7
miR-150/5127,541,162,9,0.548425830107292,0.891426971653412,Cpd;Pdia6;Rarg;Dusp3;Adam19;Ppp2cb;Gid4;Adipor2;Prps1
miR-122/122a/1352,541,113,6,0.553197232887907,0.849829870166161,Slc35a4;Aldoa;Tbc1d10a;Pmepa1;Aldh18a1;Slc2a3
miR-185/882/3473/4306/4644,541,147,8,0.560867972102988,0.872063737277869,Emc10;Dynll2;Enc1;Sar1a;Phldb1;Dnm3;Sumf1;Phlpp2
