Geneset,All_Total_DE,All_Total_In_Set,All_Total_DE_In_Set,All_Pvalue,All_Odds,All_DEGenesInSet
miR-433,2720,201,84,0.000445033691935755,1.61202370764925,Tdrd5;Mier1;Chl1;Ssbp2;Cep97;Slc16a1;Dennd4c;Crebrf;Slc17a5;Med14;Gata3;Hecw2;Tlk2;Prkcb;Phf20l1;Cep170;Ypel5;Hs3st3b1;Usp14;Zc3h6;Mxi1;Adpgk;Ttc13;Fam208a;Chd9;Rsbn1;Stk40;Sft2d2;Epc2;Fbxw7;Stam;Wac;Ubn2;Med13;Tnrc6b;Ddx19a;Scoc;Chd2;Arl13b;Tnrc6c;Mn1;Nucks1;Tmx3;Mmd;Sorbs1;Nr3c1;Ppfia1;Strbp;Ccar1;Ric1;Cep135;Zswim6;Styx;Bptf;E2f3;Ints2;Cdc27;Cox8a;Pbrm1;Lamc1;Tia1;Ube2h;Top1;Zcchc6;Fam76a;Kmt2a;Snx11;Mark3;Myh9;Prr14l;Gabpa;Nsd1;Ywhag;Gclc;Pcbp2;Eny2;Tmed5;Cdk17;Tmem50a;Crlf3;Magt1;Ubr1;Rptor;Adgrl2
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac,2720,548,205,0.000458281129057058,1.3528787189334,Ccnd2;Dgke;E2f2;Bcl2l11;Fam102a;Cdca7;Chn2;Dirc2;Nfatc3;Tapt1;Ikzf2;Pan3;Agfg2;Zbtb18;Pou6f1;Kremen1;Dusp2;Abca1;Rps6ka1;St3gal1;Zbtb44;Txnip;Cers6;Tox;Ostm1;Mef2a;Trp53inp1;Tiparp;Zfp827;Slc25a27;Itgb3;Ypel2;Crebrf;Tgfbr2;Tle4;Cdk19;Gpr146;Mllt6;Cxcr4;Phc3;Tmem64;Sik1;Mbnl2;Rragd;Ano6;Kat2b;Zcchc24;Irf9;Asap1;Rb1cc1;Crim1;Arl4c;Peak1;Klf13;Tbcel;Fbxl3;Zbtb6;Pfkp;Atxn1;Spop;Ankrd13b;Sass6;Kpna2;Mxi1;Acbd5;Ect2;Pip4k2a;Wdr45;Hn1;Rsbn1;Snx5;Rictor;Nr2c2;Cdk2;P2rx4;Wdr37;Mapk9;Arid4a;Bcl6;Arhgap24;Dctn4;Ssx2ip;Clic4;Wdr1;Tor1b;Celf2;Nfia;Iqsec1;Cfl2;Arid4b;Tnfaip1;Dock2;Runx1;Exph5;Dcaf7;Golga1;Ubn2;Tmcc1;Zfp518a;Rora;Tnrc6b;Rsbn1l;Snrk;Qser1;Zfp148;Uevld;Fam117a;Nufip2;Ssr1;Ube3a;Tnrc6c;Osbpl5;Tusc2;Nfya;Suv420h1;Tceb3;Fndc3a;Map3k2;Kmt2c;Rbm33;Kdm2a;Zfyve26;Ash1l;Parp8;Ak2;Mfn2;Hs2st1;Nelfe;Polk;Atg7;Asxl3;Crot;Ccdc88a;Tmub2;Trip11;Rhoc;Yod1;Pank3;BC037034;Rnf38;Akap6;Zbtb41;Fyco1;Ip6k1;Mknk2;Dpp8;Sipa1l3;Arhgap29;Phf6;Fbxo11;Rgmb;Zfx;Ccnj;Snx30;Crk;Asf1b;Asxl2;Cecr2;Mbnl3;Papola;Tmem260;Kmt2a;Tox3;Scn5a;Il6st;E2f5;Rab11fip1;Suco;Ube2b;Zmynd11;Rsf1;Zdhhc8;Tbc1d8b;Bend4;Adam9;Plekha3;Dsn1;Bcl11a;Trim36;Wnt9b;Trps1;Tfap4;Arhgef10;Zfp46;Acer3;Wfs1;Dnaja2;Ubfd1;Trpv6;Tnrc18;Fgd4;Zfp367;Zbtb4;Zdhhc9;Hivep2;Plxna1;Usp42;Rab22a;Metap1;Fam219b;Map3k11;Plagl2;Elf4;Epas1;Atp2c1
miR-200bc/429/548a,2720,756,274,0.000633539450283647,1.29079329105195,Aim1;Atl2;Bach2;Bcl2;Fmnl2;Mprip;Desi1;Ikzf2;Pan3;Lfng;Pou6f1;Arhgap20;Aff3;Myzap;Dusp1;Cers6;Plcl1;Soat1;Fosb;Lrig1;Osbpl11;Arid2;Txlng;Fyn;Ypel2;Marcks;Lca5;Baz2b;Pcmtd1;Klhl24;St3gal2;Ankrd28;Spats2l;Myb;Gpr146;Sesn1;Ulk2;Aff1;Coro1c;Zeb1;Sik1;Mxd4;Rps6kb1;Tmem120b;Basp1;Ier5;Snx13;Zcchc24;Ptpn12;Nbr1;Hecw2;Prkcb;Asap1;Hipk1;Tubb5;Chst2;Rnf169;Ppp1r9b;Wapl;Rprd1a;Peak1;Gem;Pik3ca;Cblb;Hspa9;Mdm4;Phf21a;Fam3c;Ddx3x;Ppp1r18;Klf13;Kctd10;Zfp395;Nedd4l;Nck2;Atxn1;Srf;Ddx26b;Dnajb5;Dnmt3a;Pten;Serinc1;Cish;Akt2;Rab37;Tmem164;Git2;Slc5a3;Slc30a4;Setd7;Nr2c2;Ptbp1;Taok1;Pcnx;Tpcn1;Fam76b;Dgka;Fbxw7;Crtap;Ppp2r5e;Mknk1;Supt20;Mecp2;Fam63b;Npc1;Clic4;Usp25;Mob4;Slc38a2;Celf2;Nfia;Kdm3b;Secisbp2l;Slc39a14;Iqsec1;Xkr8;Cfl2;Ick;Arid4b;Nanos1;Bmi1;Dcaf7;Golga1;Ubn2;Tmcc1;Ppp6r3;Med13;Xpr1;Ubxn7;Apaf1;Chd1;Acaca;Avl9;Slc14a1;Hmgb3;Chd2;Nufip2;Thoc2;Cep350;Spag9;Sec23a;Nfya;Mmd;Errfi1;Cask;Ube2d1;Suv420h1;Xiap;Cnot4;Kmt2c;Ctdspl2;Fam60a;Zfp131;Ranbp9;Ptpn14;Zfand6;Ddit4;Ppp4r2;Pim2;Syne1;Slc6a15;Tmx4;Nr3c1;Prkca;Msn;Adrb2;Rab8b;Fam107b;Tardbp;Ric1;Stx12;Hs2st1;Polk;Prkar1a;Mtss1l;Asxl3;Cdk16;Styx;Ddx3y;Egln1;Clasp1;Dock4;Suz12;Nudt4;E2f3;Appl1;Sfxn1;Rap1b;BC037034;Rnf38;Sec61a2;Stx1a;Pard6b;Gpr158;Ip6k1;Jmy;Fnbp4;Mgat2;Depdc1b;Srpk2;Phf6;Lamc1;Col4a3bp;Kcnb2;Dek;Ccnj;Snx30;Ppp2r2c;Atp2a2;Crk;Inpp4a;Cecr2;Scn5a;Jun;Pin1;Mmgt1;Fam179b;Pi4kb;Eif2s1;Wdfy3;Sgcb;Zfp704;Arl2bp;Tbl1xr1;Grem2;Senp5;Gabpa;Fam126b;Cops2;Pum2;Arl5a;Tbp;Hcn1;Adipor2;Tcf4;Evi5;Ap3s1;Synj1;Nrip3;Neo1;Klf12;Mgat3;Pde5a;Trps1;Arcn1;Serf2;Ywhag;Tbc1d2b;Ap4e1;Rab21;Adamts9;Cops8;Ago2;Vat1l;Slc35a2;Slc35e2;Zfp292;Eif2b5;Tbk1;Adcy2;Pds5b;Mboat2;Etf1;Cdk17;Ranbp10;Cnn3;Atp11a;Mblac2;Tceb1;Kif21b;Rlf;Edc3;Cdk12;Trip4
miR-194,2720,246,98,0.00123527154084564,1.48689901245293,Runx3;Cerk;Myzap;Nrp1;Mgat4a;Tfrc;Slc7a5;Arid2;Adam12;Stat1;Sdad1;Mospd1;Ptpn12;Prkcb;Asap1;Pmepa1;Rnf169;Set;Mia3;Tmem109;Phf21a;Sltm;Zfp395;Kdm5a;Dnmt3a;Arhgap12;Akt2;Chd9;Taok1;Epc2;Zfp516;Smc3;Fbxw7;Psme3;Arid4a;Mecp2;Stx16;Fam63b;Bckdha;Tor1b;Foxo1;Slk;Ubn2;Camk2g;Rsbn1l;Chd1;Pafah1b1;Fam160b1;Cep350;Nucks1;Krit1;Cask;Lats1;Kmt2c;Rev3l;Ctdspl2;Scai;Got2;Ppfibp1;Ergic2;Hook3;Fam107b;Ubr5;Rbbp4;Paip2;Rai1;Clasp1;E2f3;Exoc5;Nfat5;Ube2v2;Hmg20a;Fam78b;Depdc1b;Pitpnm2;Ppp2r2c;Crk;Rap2b;Acbd3;Hbegf;Actb;Nudc;Rsf1;Socs2;Nsd1;Klf12;Sdc4;Jmjd1c;Trps1;Ralgapb;Rffl;Cul4b;Tmed5;Rheb;Adgrl2;Prrc2b;Pgm3;Zic1
miR-204/204b/211,2720,376,143,0.0013746903219774,1.38200783660088,Slc43a1;Bcl2;Itpr1;Klf3;Sept11;Chn2;Nfatc3;Cap2;Zdhhc14;Slc38a9;Lfng;Zfp36l1;Abca1;Edem1;Tcf12;Mapre2;Smoc1;Angpt1;Myo10;Trp53inp1;Cluh;Ypel2;Znrf1;Nr4a2;Tgfbr2;Sla2;Slc43a2;Arap2;Tmem64;Ppm1k;Coro1c;Zeb1;Atf6;Rreb1;Snx13;Zcchc24;Nbr1;Hecw2;Zfp629;Igf2bp3;Atp2b1;Baz2a;Gabpb2;Zdhhc15;Nedd4l;Ktn1;Ap2a2;Rps6ka5;P4hb;Dynll1;Mfsd11;Vdac1;Rictor;Taok1;Jarid2;Ndrg3;Fbxw7;Tmtc2;Mecp2;Nfia;Eef1e1;Ubn2;Crat;Khdrbs1;Tnrc6b;Ccnt2;Map1lc3b;Rab14;Sec24d;Mtmr6;Dnajc13;Sf3b1;Lats1;Kdm2a;Tnik;Tpm3;Nr3c1;Dyrk1a;Strbp;Hook3;Fam107b;Zbtb34;Hs2st1;Zfp423;Fam175b;Ppic;Appl1;Nfat5;Sirt1;Sec61a2;Birc6;Mon2;Srpk2;Adcy6;Arhgap29;Cmtm6;Brpf3;Kmt2d;Arhgap11a;Ube2h;Inpp4a;Pcgf3;Slc16a6;Tox3;Prmt6;Socs6;Mmgt1;Slc31a2;Ski;Ikzf5;Ctnnbip1;Rc3h1;Dlg1;Ezr;Tanc2;Zdhhc17;Pum2;Arl5a;Brd4;Tcf4;Fnip1;Bcl11a;Klf12;Mgat3;Ap1s1;Arcn1;Rab1a;Zscan12;Larp4b;Rnf170;Srp72;Dcun1d3;St7;Camk1d;Atf2;Grm1;Elf2;Chp1;Myo1c;Szrd1;Rab22a;Metap1;Ddx19b
miR-290-5p/292-5p/371-5p/293,2720,185,76,0.00139328580402485,1.56292310508389,Ssbp2;Cerk;Kremen1;Gse1;Slc7a1;Mgat4a;Zfp36l2;Xpo1;Ypel2;Marcks;Pcmtd1;Impad1;Tkt;Arap2;Rpl5;Snx13;Phf20l1;Cdc42se2;Kidins220;Usp33;Pptc7;Prpf4b;Mios;Pten;Gramd4;Xxylt1;Cdc25a;Prune;Slc30a4;Prex1;Cd2ap;Celf2;Orc4;Rnf146;Uty;Camk2g;Fam222b;Mllt11;1700066M21Rik;Krit1;Suv420h1;Lats1;Rc3h2;Xiap;Plekhf2;Syne1;Smad7;Hook3;Fam107b;Zbtb34;Smc6;Rprd2;Eps15;Ltn1;Lpp;Ube2v2;Kif3a;Sike1;Kmt2d;Mbnl3;Tpbg;Zkscan8;Usp2;1110032F04Rik;Trps1;Pnp;Strip2;Nrf1;Tef;Ubfd1;Orc5;Met;Dlx1;Calcrl;Pik3c2b;Trip4
miR-221/222/222ab/1928,2720,264,104,0.00143227445019784,1.45996235603492,Dgke;E2f2;Bcl2l11;Cd4;Ets2;Nfatc3;Chsy1;Tcf12;Slc25a37;Mgat4a;Tox;Phf2;Trp53inp1;Hectd2;Zfp36l2;Tiparp;Btg2;Txlng;Itgb3;Marcks;Plcl2;Bmf;Baz2b;Cdk19;Mllt6;Fos;Cdkn1b;Tlk1;Rreb1;Usp7;Kit;Hipk1;Zfp629;Cnot2;Mia3;Nnt;Atxn1;Fmr1;Dhx36;Prune;Brwd3;Nr2c2;Taok1;Wdr37;Zmym2;Bmp2k;Tle3;Cd2ap;Nanos1;Midn;Ubn2;Tmcc1;Fbxo28;Zfp593;Gpbp1;Rsbn1l;Fam222b;Pafah1b1;Tsc22d3;Trove2;Chd2;Nufip2;Fndc3a;Map3k2;Ddit4;Rab3gap2;Ankhd1;Gtf2a1;Styx;Nkiras1;Paip2;Mapk6;Nfat5;Zfp113;Sec62;Sun2;Atpaf1;Mon2;Dpp8;Pkdcc;Crk;Atad2b;Tpbg;Zfp704;AI314180;Kif26a;Cbfb;Mylip;Bend4;Tcf4;Zfp326;Trps1;Rfx3;Ywhag;Efcab14;Rab1a;Camk1d;St8sia1;Grm1;Fam214a;Arnt;Srsf2;Ralgapa1;Zbed5
miR-129-5p/129ab-5p,2720,317,122,0.00173972735121137,1.40657455122373,Bach2;Cacna1e;Zfp36l1;Tox;Mef2a;Trp53inp1;Tiparp;Rapgef6;Znrf1;Pik3r1;Nr4a2;G3bp1;Rragd;Rps6kb1;Smg1;Prkcb;Pmepa1;Baz2a;Cbfa2t3;Hs3st3b1;Phf21a;Ddx3x;Gabpb2;Zfp395;Adam10;Dnmt3a;Tmem201;Rps6ka5;Pank2;Fmr1;Gsk3b;Stk40;Zbtb10;Nr2c2;Zfp516;Sbk1;Fbxw7;Rbak;Vps26a;Fam63b;Bmp2k;Iffo2;Celf2;Nfia;Runx1;Ubn2;Tmcc1;Slc25a25;Sp3;Xpr1;Tnrc6b;Ybx1;Ahdc1;Phf7;Zfp280c;Fam160b1;Glul;Nufip2;Fkbp2;Mn1;Dnajc13;Map3k2;Yipf6;Ctdspl2;Kdm2a;Rufy2;Ash1l;Ptpn1;Hmgb2;Hook3;Sec61a1;Sgms1;Gtf2a1;Styx;Tmub2;Rpgrip1l;Bptf;Lpp;Npepps;Sun2;Hars;Zmat3;Taok3;Zfx;Sh3kbp1;Ncoa1;Man1a;Kmt2a;Gprin3;Cnbp;Wdfy3;Akap10;Kif26a;Rsf1;Bend4;Tshz1;Arl5a;Tcf4;Adgrl1;Fnip1;Lancl2;Slc17a6;Pak6;Foxp4;Ywhag;Fam196b;Chmp2b;Tgif2;Ube2o;Leng1;Bahcc1;Ing3;Pcbp2;Samd4b;Arnt;Camk4;Mgll;Ugcg;0610030E20Rik;Ubr1;Tmtc4;Zfp608
miR-503,2720,263,103,0.00188115594265929,1.44537608099255,Ccnd2;Il7r;Nebl;Bcl2;Ccnd3;Arhgap20;Gpr174;Slc25a37;Mgat4a;Crebrf;Pik3r1;Insr;Tle4;Myb;Slc2a3;Sik1;Tlk1;Rreb1;Zfp629;Cxcl10;Cbfa2t3;Hs3st3b1;Ddx3x;Fchsd2;Ankrd13b;Ythdc1;Chd9;Slc12a2;Rictor;Chpf;Emc6;Jarid2;Fbxw7;Zmym2;Mknk1;Usp25;Mob4;Iffo2;Cd2ap;Pisd;Rasgef1b;Limd2;Extl3;Dcaf7;Midn;Ubn2;Tmcc1;Tnrc6b;Snrk;Mov10;Nufip2;Cmpk1;Cep350;Phactr2;Nfe2l1;Ash1l;Smad7;Mfn2;Zfp423;Styx;Ddx3y;Bptf;E2f3;Lpp;Epb41l4b;Zbtb41;Fosl2;Cdc37l1;Crk;G2e3;Ap3d1;Usp12;Plcxd2;Cdca4;Kmt2a;Socs6;Hspg2;Ube4b;Ski;Kif5c;Pnpla6;Pappa;Usp2;Adgrl1;Atxn2;Trim36;Rfx3;Wipi2;Nisch;Ppp3cb;Apln;Dnaja2;Ubfd1;Sgk1;Tmem55b;Kif23;Tspyl2;Cdk17;Zfp367;Raf1;Pth;Dnajc16;Fam122a
miR-101/101ab,2720,549,200,0.00239977898050273,1.29327321466594,Bach2;Bcl2l11;Anxa2;Fmnl2;Ikzf2;Trib1;Zbtb18;Abca1;Dusp1;Gse1;Smoc1;Ndfip1;Mef2a;Trp53inp1;Zfp36l2;Zfp827;Arid2;Crebrf;Rbbp7;Baz2b;Phf3;Etv5;Smarca4;Ctcf;Zeb1;Arhgef3;Mbnl2;Myo1e;Lonrf1;Fos;Med14;Pnisr;Nr1d2;Baiap2;Tlk2;Fam78a;Phf20l1;Strn3;Kif5b;Emp1;Bbx;Baz2a;Bcas3;Cblb;Ddx3x;Ogt;Sltm;Pptc7;Cdc42ep3;Kdm5a;Atxn1;Spop;Prpf4b;Brd8;Begain;Ubr7;Srf;Rbm25;Dnmt3a;Rps6ka5;Prrc2c;Fmr1;Ppp1r13b;Nek7;Gsk3b;Klf6;Slc12a2;Fam76b;Fbxw7;Ppp2r5e;Ppp1r16b;Ssx2ip;Mob4;Iffo2;Rab5a;Iqsec1;Ick;Nanos1;Runx1;Dcaf7;Pcgf5;Ubn2;Tspan5;Hvcn1;Zfp207;Med13;Zfp518a;Xpr1;Pde4d;Ankzf1;Rbbp6;Tnrc6b;Stag2;Fam222b;Pafah1b1;Ezh2;Zfp148;Atrx;Nufip2;Cep350;Acp2;Ube2d1;Rc3h2;Rev3l;Scamp1;Fam60a;Ranbp9;Ash1l;Ddit4;Stk4;Dyrk1a;Ppfia1;Papolg;Zbtb34;Ric1;Slc39a10;Mtss1l;Zfp24;Mgrn1;Zswim6;Lrrfip2;Nkiras1;Adamts17;Ammecr1;Mapk6;Zfand3;Tgfbr1;Rap1b;Rnf38;Tmem161b;Slco3a1;Terf2;Fosl2;Jmy;Zmat3;Srpk2;Adcy6;Gcc2;Cmtm6;Kcnb2;Tia1;Tap1;Zfx;Ccnj;Top1;Rap2b;Hnrnpab;Mbnl3;Gpd1l;Atad2b;Kmt2a;Fam179b;Zfp704;Rc3h1;Tanc2;Pappa;Fam126b;Bend4;Socs2;Zfp746;Pum2;Antxr2;Tcf4;Ap3s1;Map3k4;Usp38;Nsd1;Pip5k1c;Klf12;Nacc1;Tfap4;Rfx3;Sumo3;Rab1a;Rabgap1l;Dcun1d3;Tgif2;Stat6;Sgk1;Ing3;Gclc;Adamts10;Grm1;Mlec;Pds5b;Mxd1;Socs5;Tnrc18;Cul4b;Kdm6b;Tmed5;Ept1;Met;Asic1;Mpzl2;Zbtb7c;Metap1;Nupl2;Gja1;Pik3c2b
