Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
miR-101/101ab,1560,549,130,0.000134756432450998,1.47031060268659,Anxa2;Fmnl2;Zbtb18;Abca1;Gse1;Smoc1;Mef2a;Trp53inp1;Arid2;Crebrf;Baz2b;Phf3;Smarca4;Ctcf;Zeb1;Mbnl2;Lonrf1;Pnisr;Nr1d2;Tlk2;Fam78a;Phf20l1;Strn3;Kif5b;Emp1;Bbx;Baz2a;Bcas3;Ddx3x;Ogt;Sltm;Pptc7;Cdc42ep3;Kdm5a;Atxn1;Spop;Prpf4b;Brd8;Ubr7;Rbm25;Rps6ka5;Prrc2c;Fmr1;Nek7;Gsk3b;Klf6;Fam76b;Fbxw7;Ppp2r5e;Ssx2ip;Mob4;Rab5a;Ick;Runx1;Pcgf5;Ubn2;Zfp207;Med13;Zfp518a;Xpr1;Ankzf1;Rbbp6;Tnrc6b;Stag2;Pafah1b1;Ezh2;Zfp148;Atrx;Nufip2;Cep350;Acp2;Ube2d1;Rc3h2;Rev3l;Ranbp9;Ash1l;Stk4;Dyrk1a;Ppfia1;Papolg;Zbtb34;Ric1;Mtss1l;Zfp24;Lrrfip2;Nkiras1;Adamts17;Ammecr1;Tgfbr1;Rnf38;Tmem161b;Slco3a1;Terf2;Jmy;Srpk2;Adcy6;Gcc2;Tia1;Zfx;Top1;Mbnl3;Gpd1l;Atad2b;Kmt2a;Fam179b;Zfp704;Rc3h1;Fam126b;Socs2;Zfp746;Pum2;Antxr2;Tcf4;Ap3s1;Nsd1;Pip5k1c;Rfx3;Rab1a;Rabgap1l;Dcun1d3;Sgk1;Ing3;Gclc;Pds5b;Mxd1;Cul4b;Ept1;Mpzl2;Zbtb7c;Nupl2
miR-495/1192,1560,565,133,0.000150803115931929,1.45923862707496,E2f2;Slc16a5;Nsg2;Bcl2l1;Dirc2;Cep97;Zbtb18;Kremen1;Cers6;Gse1;Ptpra;Cbl;Marcks;Cd164;Cep85;Baz2b;Gltscr1l;Phc3;Ppm1k;Mbtd1;Dhx40;Mbnl2;Kat2b;Usp7;Prkcb;Hipk1;Cnot2;Rprd1a;Luc7l3;Phf21a;Ddx3x;Klf13;A230046K03Rik;Olig3;Whsc1;Dcaf6;Bclaf1;Pten;Arhgap12;Mvb12b;Ptpre;Rictor;Epc2;Senp6;Fam76b;Csnk1e;Ppp2r5e;Stxbp5;Arid4a;Ubn1;Gzf1;Celf2;Ick;Arid4b;Ubn2;Cyb5b;Camk2g;Zfp518a;Fgfr1op;Stag2;Zfp148;Tsc22d3;Zfp280c;Nufip2;Cep350;Ireb2;Abhd13;Cask;Map3k2;Xiap;Rev3l;Ranbp9;Rbm33;Cd247;Pibf1;Tmx4;Rbm27;Dyrk1a;Strbp;Ccar1;Tardbp;Cep135;Ddx3y;Rpgrip1l;Sp2;Eps15;Nfat5;Clcn3;Ube2v2;Pbrm1;Gpr158;Dpp8;Wdtc1;Zfx;Atp7a;Kmt2d;Tnrc6a;Pdcd10;Kmt2a;Ddhd2;Hbegf;Ezr;Inpp5a;Fam126b;Brd4;Brdt;Zbtb37;Fkbp5;Tcf4;Bcl11a;Neo1;Dclre1b;Jmjd1c;Mphosph9;Lancl2;Insig1;Efcab14;Rnf170;Ap4e1;Ptprf;Bnc1;Sgk1;Camk1d;Cpsf6;Samd4b;Ube2q1;Smim15;Mblac2;Fam120a;Bivm;Large;Hnrnph1;Trip4
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac,1560,548,129,0.000187351598275271,1.45798271322089,Dgke;E2f2;Cdca7;Dirc2;Nfatc3;Tapt1;Pan3;Agfg2;Zbtb18;Pou6f1;Kremen1;Abca1;Zbtb44;Txnip;Cers6;Ostm1;Mef2a;Trp53inp1;Tiparp;Slc25a27;Ypel2;Crebrf;Cdk19;Cxcr4;Phc3;Mbnl2;Rragd;Ano6;Kat2b;Zcchc24;Rb1cc1;Arl4c;Klf13;Tbcel;Fbxl3;Zbtb6;Atxn1;Spop;Sass6;Mxi1;Acbd5;Ect2;Pip4k2a;Wdr45;Rsbn1;Rictor;Nr2c2;Cdk2;Wdr37;Mapk9;Arid4a;Bcl6;Arhgap24;Dctn4;Ssx2ip;Clic4;Celf2;Nfia;Cfl2;Arid4b;Dock2;Runx1;Golga1;Ubn2;Tmcc1;Zfp518a;Tnrc6b;Rsbn1l;Qser1;Zfp148;Uevld;Fam117a;Nufip2;Ube3a;Tnrc6c;Nfya;Suv420h1;Tceb3;Fndc3a;Map3k2;Kmt2c;Rbm33;Kdm2a;Zfyve26;Ash1l;Hs2st1;Polk;Crot;Ccdc88a;Tmub2;Trip11;Yod1;Pank3;Rnf38;Zbtb41;Fyco1;Ip6k1;Dpp8;Sipa1l3;Fbxo11;Zfx;Crk;Asxl2;Cecr2;Mbnl3;Papola;Tmem260;Kmt2a;Tox3;Scn5a;Suco;Ube2b;Zmynd11;Rsf1;Zdhhc8;Tbc1d8b;Plekha3;Dsn1;Bcl11a;Wnt9b;Trps1;Zfp46;Acer3;Zfp367;Zdhhc9;Rab22a;Elf4;Epas1;Atp2c1
miR-124/124ab/506,1560,1296,276,0.00021396875408399,1.30147916276006,Dgke;Xrcc6;Fmnl2;Rcbtb2;Lipa;Pan3;Cacna1e;Abca1;Edem1;Myzap;Slc25a37;Nrp1;Mgat4a;Entpd5;Pik3ip1;Myo10;C1galt1;Trp53inp1;Cyb5a;Slc16a1;Dennd4c;Lrig1;Osbpl11;Dapk1;Btg2;Ralgps2;Crebrf;Nav2;Cd164;Slc17a5;Eci2;Bmf;Baz2b;Klhl24;Ulk2;Hbp1;Scn4b;Rragd;Lonrf1;Rps6kb1;Rreb1;Cspp1;Lrrc1;Zcchc24;Rb1cc1;Fam78a;Hipk1;Strn3;Tmem87b;Ppp1r3b;Stk38;Cnot2;Lrrc57;Tfdp2;Ypel5;Casc4;Pik3ca;Rtn3;Tbx19;Ddx3x;Klf13;Dennd6a;Gabpb2;Acss1;Kdm5a;Zbtb6;Dhcr24;Usp45;Ddx6;Sestd1;Ubr7;Tmem184b;Upf3b;Pip4k2a;Sgpp1;Ccdc93;Lman2l;Poc1b;Fmr1;Trim39;Ptpn4;Nkap;Slc4a7;Gsk3b;Git2;Klf6;Agpat5;Ptpre;Hadh;Rock1;Brwd3;Nr2c2;Rsrc2;Sft2d2;Fam76b;Usp1;Ctdsp2;Bcl6;Mecp2;Glt8d1;2310035C23Rik;Pi4k2b;Fxr1;Ubn1;Dctn4;Bckdha;Cdc14b;Nfia;Srek1;Yme1l1;Ube4a;Prpf38b;Spata13;Wdr81;Scn2b;Npat;Ubn2;Crat;Fbxo28;Sp3;Fgfr1op;Tnrc6b;Stag2;Eml5;Chd1;Pafah1b1;Plekhf1;Ezh2;Avl9;Qser1;Zfp148;Trove2;Nxt2;Rab14;Gmfb;Fam117a;Nufip2;Ak3;Cmpk1;Vamp7;Cep350;Acp2;Mtmr6;1700066M21Rik;Emc3;Cask;Map3k2;Ppfibp2;Yipf6;Cdr2l;Zfp131;Ccdc28a;Rbm33;Rufy2;Plekhf2;Pnn;Ptpn14;Lysmd3;Usf3;Gmcl1;Ston2;Syne1;Stk4;Nr3c1;Ice2;Epc1;Zkscan3;Edrf1;Gtf2a1;Styx;Lrrfip2;Usp48;Ddx3y;Ammecr1;Chuk;Sp2;Tgfbr1;Yod1;Nfat5;Aes;Specc1l;Pank3;Zfp113;Lpp;Ube2v2;Sec61a2;Fam78b;Kif3a;Nsmaf;Adcy6;Lamc1;Tia1;Zmpste24;Pus10;Atp7a;Sh3kbp1;Itgb1;Crtc3;Spopl;Sos2;Atad2b;Gna13;Fam76a;Tmem260;Kmt2a;Fundc2;Ctns;Pter;Mtmr10;Slc31a2;Suco;Chic1;Rgs9;Zkscan8;Ube2b;Zfp219;Calcoco1;Kif26a;Mylip;Dmxl1;Prr14l;Zdhhc17;Usp2;Brd4;Antxr2;Adipor2;Tcf4;Sertad3;Slc48a1;Bcl11a;Alg2;Sdc4;Mphosph9;Pde5a;Trps1;Rfx3;Slc2a13;Fbxo38;Zfp740;Ralgapb;Wipi2;Larp4b;Atl3;Chmp2b;Diaph1;Ankle2;Apln;Adamts9;Ctxn1;Dnm2;Sgk1;Zfp292;St8sia1;Snx6;Samd4b;Eny2;Dpy19l3;Ccdc6;Pgf;Ranbp10;Ept1;Htatip2;Cnn3;Pqlc3;Esyt2;Chp1;Myo1c;Zbtb7c;Tsc22d4;Fbxo27;Sc5d;Magt1;Rad17;Osbpl8;Kif21b;Akap17b
miR-194,1560,246,65,0.000241094072245064,1.68496289938659,Cerk;Myzap;Nrp1;Mgat4a;Arid2;Adam12;Mospd1;Prkcb;Rnf169;Mia3;Phf21a;Sltm;Zfp395;Kdm5a;Arhgap12;Chd9;Taok1;Epc2;Smc3;Fbxw7;Arid4a;Mecp2;Stx16;Fam63b;Bckdha;Slk;Ubn2;Camk2g;Rsbn1l;Chd1;Pafah1b1;Fam160b1;Cep350;Krit1;Cask;Lats1;Kmt2c;Rev3l;Ctdspl2;Scai;Ergic2;Hook3;Fam107b;Ubr5;Paip2;Rai1;Clasp1;Exoc5;Nfat5;Ube2v2;Hmg20a;Fam78b;Depdc1b;Crk;Acbd3;Hbegf;Rsf1;Socs2;Nsd1;Sdc4;Jmjd1c;Trps1;Ralgapb;Cul4b;Prrc2b
miR-9/9ab,1560,945,207,0.000285548501581805,1.33874697172336,Arpp21;Slc7a11;Atl2;Nhsl1;Ldlrad3;Nfatc3;Serinc5;Cacna1e;Abca1;Zbtb44;Prps2;Slc25a37;Nrp1;Entpd5;Soat1;Cmah;Btg2;Snap23;Ralgps2;Ypel2;Crebrf;Marcks;Ift80;Kctd2;Rmnd5a;Gltscr1l;Cxcr4;Ulk2;Aff1;Dhx40;Scn4b;Tlk1;Smarcd2;Lrrc1;Mbtps1;Auh;Vamp1;Hipk1;Zfp629;Phf20l1;Csgalnact1;Tmem87b;Rnf169;Arl4c;Dyrk1b;Tfdp2;Cbfa2t3;Phf21a;Ddx3x;Klf13;Eif4e3;Fbxl3;Chmp1b;Pptc7;Zfp395;Kdm5a;Trpm7;Abi1;Atxn1;Bcat2;Adam10;Bclaf1;Upf3b;Rfesd;Fmr1;Gsk3b;Git2;Atg14;Prune;Pcnx;Rab5b;Atg13;Sacm1l;Ctdsp2;Bcl6;Tbc1d8;2310035C23Rik;Btbd7;Fxr1;Ubn1;Ssx2ip;Stam;Lin7c;Gzf1;Cdc14b;Nfia;Atf7;Inpp5e;D1Ertd622e;Scn2b;Runx1;Zfp319;Yipf4;Gpalpp1;Reep4;Tmcc1;Fbxo28;Ppp6r3;Xpr1;Ubxn7;Tnrc6b;Ahdc1;Eml5;Elmod2;Fam117a;Shank2;Vamp7;Ube3a;Cep350;Spag9;B230219D22Rik;Cul4a;Tcf7;Map3k2;Zfp131;Kdm2a;Ptpn14;Emb;Dyrk1a;Smek1;Fam107b;Zbtb34;Ubr5;Pnrc2;Ccdc88a;Tgfbr1;Dbt;Specc1l;Pank3;Dnajc8;Lpp;Sirt1;Rnf38;Son;Hormad1;Hmg20a;Cep104;Zbtb41;Pbrm1;C1ql3;Fyco1;Fnbp4;Slc25a36;Alg6;Wdtc1;Brpf3;Atp7a;4930579G24Rik;Tnks;Ube2h;Asxl2;Cecr2;Ddhd2;Zfp646;Ube4b;Pter;Mtmr10;Slc31a2;Ikzf5;Slc35b3;Rc3h1;Tbc1d4;D230025D16Rik;Fam149b;Fam126b;Brd4;Synj1;Gls;Fnip1;Dio2;Fbxw2;Bcl11a;Trps1;Ap3b1;Pak6;Rfx3;Arcn1;Insig1;Ralgapb;Dnajc3;Wipi2;Fam196b;Chmp2b;Diaph1;Ap4e1;Lin7a;Zbtb14;Adamts9;Hltf;Cog3;Atf2;Cpsf6;Ralb;Narf;Rnf111;Ccdc6;Trim66;Ube2q1;Scyl3;Tspan18;Esyt2;Myo1c;Zbtb7c;Magt1;Ubr1;Epas1;Ncbp3
miR-223,1560,189,52,0.000302588003822054,1.77660330554912,Ctsl;Zbtb18;Cers6;Smoc1;Ralgps2;Ulk2;Mospd1;Rps6kb1;Phf20l1;Cnot2;Atxn1;Prpf39;Fbxw7;Galnt7;Cd2ap;Celf2;Rabgap1;Nfia;Srek1;Orc4;Spata13;Sp3;Scaf8;Tnrc6b;Rnpc3;Abhd13;Kmt2c;Rnf34;Styx;Nfat5;Fbxo8;Mon2;Jmy;Srpk2;Brpf3;Zfx;Atp7a;Mafb;Itgb1;Gna13;Lmo2;Rc3h1;Cops2;Trps1;Fbxo25;Pds5b;Kat6a;Cdk17;Ept1;Rab22a;Rad17;Kif21b
miR-199ab-5p,1560,324,81,0.000365489934578084,1.56695615434942,Ets2;Desi1;Pan3;Zbtb18;Plxnd1;Abca1;Slc25a37;Brox;Cbl;Arid2;Crebrf;Znrf1;Smarca4;Npas2;Zfp874b;Csgalnact1;Etohi1;Rtn3;Ddx3x;Dennd6a;Ddx6;Arhgap12;Gsk3b;Mvb12b;Tmem63b;Agpat5;Atg14;Rock1;Taok1;Zmym2;Tbc1d8;Vps26a;Atg12;Lin7c;Celf2;Ccnl1;Ubn2;Zfp579;Zfp148;Wdr76;Nufip2;B230219D22Rik;Ncor1;Usf3;Ston2;Stk4;Aftph;Fam107b;Ddx3y;Adamts17;Clcn3;Sirt1;Rnf38;Pbrm1;Jmy;Lamc1;Zmpste24;Wdtc1;Stradb;Sos2;Cecr2;Tox3;Suco;Pnpla6;Rsf1;Akap13;Mgat3;Rfx3;Ncstn;Zfp740;Zscan12;Cpsf6;Kank2;Ube2q1;Ranbp10;Tspan18;Myo1c;Zfp617;Magt1;Ralgapa1;Large
miR-203,1560,517,121,0.000370314276526228,1.44383551035001,Ets2;Rcbtb2;Prps2;Cbl;Arid2;Txlng;Crebrf;Hsd17b11;Gltscr1l;Hbp1;Smg1;Prkcb;Tfdp2;Klf13;Tbcel;Gabpb2;Olig3;Nedd4l;Arntl;Ddx6;Sestd1;Rbm25;Pten;Zak;Pank2;Chd9;Atg14;Socs3;Nr2c2;Epc2;Pnpla8;Ndrg3;Galnt7;Mapk9;Mecp2;Stx16;Fam63b;Slc25a23;Cdc14b;Yme1l1;Atf7;Ick;Ubn2;Fbxo28;Khdrbs1;Tnrc6b;Eml5;Elmod2;Avl9;Qser1;Zfp148;Chd2;Nufip2;Thoc2;Spag9;Cask;Map3k2;Ctdspl2;Akirin1;Dyrk1a;Strbp;Anp32e;Hook3;Riok3;Ddx3y;Rpgrip1l;Sp2;Bptf;Appl1;Lpp;Rnf38;Fam78b;Pbrm1;B3gnt5;Fyco1;Fbxo11;Zmpste24;Mpp7;Tnrc6a;Mafb;Tnks;Crk;Mbnl3;Lrrcc1;Tox3;Acbd3;Naa30;Zfp704;Hbegf;Upf2;Psme4;Senp5;Zmynd11;Skp2;Fam126b;Zcchc8;Antxr2;Fkbp5;Tcf4;Synj1;Gls;Dio2;Mgat3;Trps1;1110037F02Rik;Insig1;Fam196b;Dcun1d3;Lin7a;Zfp292;Atf2;Tbk1;Pcbp2;Ralb;Dpy19l3;Kat6a;Camk4;Mblac2;Ubr1;Akirin2;Osbpl8
miR-23abc/23b-3p,1560,724,162,0.000461357373963991,1.36782291431676,Ssbp2;Klf3;Fmnl2;Dnajc6;Serinc5;Zbtb18;Abca1;Zbtb44;Inadl;Entpd5;Mtss1;Ankrd50;Lrig1;Marcks;Fas;Lbr;Aff1;Ctcf;Zeb1;Sh3bgrl;Tlk1;Tmem120b;Auh;Asah2;Tmem87b;Akap12;Ppp1r3b;Cnot2;Bbx;Cbfa2t3;Adrbk1;Zfp395;Atxn1;Prpf4b;Whsc1;Adam10;Rbm25;Pten;Zak;Cramp1l;Fmr1;4933427D14Rik;Nkap;Slc4a7;Nek7;Rsbn1;Gsk3b;Taok1;Setd2;Wdr37;Ppp2r5e;Zmym2;Car2;Stam;Bmp2k;Wac;Celf2;Nfia;Atp6v1e1;Smek2;Cfl2;Kdm6a;Ubn2;Zfp518a;Tnrc6b;Ccnl2;Atp11b;Gpbp1;Rsbn1l;Zfp579;Qser1;Wbp2;Nufip2;Cep350;Tnrc6c;Sec23a;Hexim1;Ube2d1;Rc3h2;Xiap;Rufy2;Plekhf2;Ptpn14;Golph3l;Wasl;Stx17;Syne1;Stk4;Strbp;Hmgb2;Ankhd1;Zbtb34;Ctr9;Stx12;Katnal1;Rprd2;Chuk;Exoc5;Eps15;Clcn3;Lpp;Pbrm1;C1ql3;Srpk2;Fbxo11;Tia1;Kmt2d;Tnrc6a;Ncoa1;G2e3;Top1;Zfp655;Slc7a6os;Ddx5;Foxo4;Tox3;Cep63;Suco;Inpp5a;Pde10a;Tfpi2;Bet1;Dmxl1;Prr14l;Fam126b;Synj1;Madd;Ggnbp2;Gls;Fbxo32;Fnip1;Bcl11a;Arel1;Mgat3;Sec22b;Jmjd1c;Mphosph9;Bnip2;Tmem2;Pak6;Dnajc3;Naa16;Sgk1;Zfp292;Dtl;Arhgap31;Chst10;Elf2;Ccdc6;Atp6v1d;Cdk17;Diras2;Arhgef5;Crlf3;Fip1l1;Rad17;Calcrl;Osbpl8;Elf4;Epas1;Prrc2b;Zyg11b
