Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
miR-1ab/206/613,1160,546,92,0.00529456172279661,1.35507519964832,Ccnd2;Bach2;Fam102a;Tmem243;Zfp36l1;Stk39;Tpm4;Fosb;Zfp36l2;Pde7a;Zfp827;Gnpnat1;Nr4a2;Tmsb4x;Pgam1;Ppib;Bri3bp;Hacd3;Coro1c;Lasp1;Arhgef3;Pea15a;Baiap2;Hecw2;Arf3;Pmepa1;Crim1;Peak1;Hs3st3b1;Kctd10;Utrn;Plekho2;Adpgk;Dnmt3a;Spred1;Eml4;Smarcb1;Ptbp1;Tspan9;Zfp516;Jarid2;Hspd1;Wdr1;Rap1a;Xkr8;Slc25a25;Ncoa3;Tagln2;Nucks1;Mmd;Ptpn1;Tpm3;Sec61a1;Hmgn1;Hspe1;Cdc42se1;Slc39a10;Asxl3;Rap1b;Srsf9;Epb41l4b;Mfsd14a;G6pdx;Nfatc2;Phf6;Slc16a3;Xpo6;Hmgcr;Csf1;Il6st;E2f5;Tcp11l1;Papd7;Frmd8;Chst11;Mapk3;Adar;A1cf;Actb;Smad9;Fam69a;Nampt;Ap1s1;Tgif2;Helz2;Sh3bgrl3;Zbtb4;Met;Hivep2;Gja1;Sri;Pogk
miR-503,1160,263,46,0.018459368769743,1.40407573688038,Ccnd2;Il7r;Bcl2;Arhgap20;Gpr174;Tle4;Slc2a3;Sik1;Cxcl10;Hs3st3b1;Fchsd2;Ankrd13b;Slc12a2;Chpf;Emc6;Jarid2;Iffo2;Pisd;Rasgef1b;Limd2;Extl3;Dcaf7;Midn;Snrk;Mov10;Phactr2;Nfe2l1;Smad7;Mfn2;Zfp423;E2f3;Epb41l4b;Fosl2;Usp12;Cdca4;Socs6;Ski;Kif5c;Pappa;Adgrl1;Trim36;Dnaja2;Ubfd1;Kif23;Tspyl2;Fam122a
miR-491-5p,1160,94,19,0.0201358972436794,1.66974564489785,Bach2;Nfkbid;Chd3;Lasp1;Ier5;Erf;Dnmt3a;B4galt5;Fam222b;Trpm4;Mn1;Pmf1;Abce1;Tmem35;Adgrl1;Hoxc5;Elovl1;Zbtb4;Szrd1
miR-124/124ab/506,1160,1296,193,0.0276853253536773,1.17489599316247,Ccnd2;Nr4a1;Bach2;Bcl2l11;Sept11;Vim;Lcp1;Chsy1;Ikzf2;Egr2;Tacc2;Stk39;Cotl1;Rps6ka1;Egr1;St3gal1;Irf1;Slc7a1;Hivep3;Nfatc1;Tfrc;Tox;Hectd2;Zfp36l2;Pde7a;Spry1;Inpp4b;Mcur1;Raph1;Gsn;Sdad1;Traf3;Tle4;G3bp1;Raver2;Lmo4;Tmem104;Myo1e;Emc10;Prdx6;Ptpn12;Eif3b;Pea15a;Rnf19a;Pmepa1;Tmod1;Tsen54;Nsun2;Peak1;Tmem109;Erf;Zfp831;E2f6;Slc29a1;Arpc1b;Sgpl1;Gm17296;Tor1aip2;Fchsd2;Gltp;Usp14;Itgae;Itm2c;Nkrf;Slc25a39;Endod1;Irf2bpl;Akt2;Sh3rf1;Thumpd1;Cand2;Snx5;Arhgap39;Slc12a2;Slc5a3;Ptbp1;Dock5;Smco4;Sbk1;Flnb;Iffo2;Slc35g1;Abca2;Ankrd44;Xkr8;Galnt10;Ttc3;Limd2;Extl3;Parp9;Suclg2;Vps37b;Cpt1a;Slc25a13;Pde4d;Ar;Rhog;Fam222b;Twsg1;Ccdc86;Shkbp1;Ssr1;Zdhhc3;Phactr2;Prr3;Rnf144a;Smox;Rcc2;Cbx2;Galnt12;Vat1;Mat2a;Ptpn1;Ak2;Sgms1;Qsox1;Gng2;Mitf;Fpgs;E2f3;Nme4;Plxna3;Zfand3;Sfxn1;Map3k3;Akap6;St8sia4;Fosl2;Rap2a;Zmat3;Sept10;Nfatc2;Ttc7;Phf6;Slc9a6;Prkag2;Snx30;Gng10;Inpp4a;Rap2b;E2f5;Slc4a8;Pecr;Frmd8;Ski;Wdfy3;Rab11fip1;Marveld1;Sypl;Myh9;Tmem134;Tshz1;Rnf114;Evi5;Tpst2;Adgrl1;Gria4;Usp38;Htr2c;Zfp287;Nacc1;Tfap4;Scamp2;Pml;Capn1;Dcakd;Capn2;Ube2o;Fam174b;Ago2;Vat1l;Rffl;Abhd4;Mlec;Socs5;Aldh9a1;Mboat2;Etf1;Myo5a;Hivep2;Sept9;Rela;Ugcg;Sgcz;Slc35b2;Lrrc75a;Fam219b;Ipcef1;Plagl2;Thsd7b;Pogk;Cnksr3;Zfp608
miR-296-3p,1160,29,7,0.0307000250077928,2.08991311311398,Itm2a;Chl1;Cd40lg;Fam46c;Nlgn2;Socs6;Serf2
miR-192/215,1160,95,17,0.0722358886302971,1.43347066442131,Sik1;Sh2d2a;Dnmt3a;Slc5a3;Ankrd44;Pkp4;Msn;Higd1a;Il21;Ctnnbip1;Alcam;Cxcr5;Adgrg6;Nipal1;Enc1;Myo5a;Zbtb4
miR-411,1160,46,9,0.0751262964591569,1.59734938933194,Cd200;Camkk2;P2rx7;Set;Foxo1;Lrrc59;Zdhhc3;Sf3b3;Sgcz
miR-27abc/27a-3p,1160,888,129,0.108756685958973,1.12709622190646,Tmsb10;Nfkbid;Fam102a;Sept11;Mdn1;Ikzf2;Gpr174;Stk39;Icos;Nfatc1;Tox;Fosb;Zfp36l2;Zfp827;Xpo1;Gnpnat1;Cd28;Spry1;Maml2;Plcl2;Traf3;Fasn;Sik1;Med14;Gata3;Fam65b;Glipr2;Nln;Lox;Chst2;Bcl3;Atp2b1;Peak1;Limk1;E2f6;Cblb;Irf4;Snx12;Rpn2;Gltp;Hyou1;Sh3rf1;Srrd;Pde3b;Stk40;Zbtb10;Mapkapk3;Slc5a3;Tmem9b;Zfp516;Rpn1;Tmtc2;Foxo1;Gfod1;Bmi1;Ikzf1;Dcaf7;Suclg2;Slc25a25;Tmem248;Fam222b;Sv2a;Prr3;Mmd;Rnf144a;Clpp;Ehd3;Gatad2a;1810011O10Rik;Sgms1;Mitf;Zfand3;Rap1b;Fam49b;Ppm1e;Tmbim6;Stx1a;Pard6b;Zmat3;Mknk2;Pitpnm2;Ccnj;Snx30;Rap2b;Man1a;Csf1;Papd7;Socs6;Cacna2d3;Rab11fip1;Cbfb;Pappa;Hmgcs1;Smad9;Bend4;Arhgef6;Adgrg6;Evi5;Fam69a;Camk2d;Vav3;Il10;Gria4;Lbh;Foxp4;Hmgxb3;Ago2;Ubfd1;Enc1;Rffl;Adamts10;Adamts6;Tnrc18;Cemip;Tmed5;Met;Hivep2;Asic1;Szrd1;Usp42;Ugcg;Slc27a4;Pank1;Plagl2;Hsp90aa1;Pom121;Pogk;Adgrl2;Zfp608
miR-28-5p/708/1407/1653/3139,1160,107,18,0.110010492039326,1.32943302792589,Chl1;Erf;Dnmt3a;Prkcq;Iffo2;Exph5;Rab8b;Rap1b;Map3k3;Ssrp1;Srprb;Csf1;Lbh;Txnl1;Hspa4l;Etf1;Kif3c;Pom121
miR-592/599,1160,145,23,0.145068751993052,1.23921492561973,Baiap2;Set;Hs3st3b1;Ankrd13b;Foxo1;Lrrc59;B3glct;Pde4d;Fam222b;Tmem206;Prkca;Zswim6;Fam49b;Nfatc2;Ctnnbip1;Tanc2;Skil;Tshz1;Evi5;Enc1;Tnrc18;Kdm6b;Zbtb4
miR-145,1160,445,65,0.173182531923464,1.12717514159981,Ccnd2;Bach2;Ikzf2;Rgs3;Abcc1;Slc7a1;Tpm4;Tfrc;Dusp6;Add3;Cd28;Nr4a2;Plcl2;Raph1;Tgfbr2;Map3k5;St3gal2;Lox;Tmod1;Crim1;Erf;Dpysl2;Adpgk;Zbtb10;Tmem9b;Zfp516;Flnb;Ggt7;Foxo1;Slc25a25;Zhx2;Tagln2;Phactr2;Nucks1;Scamp1;Fam60a;Nfe2l1;Zfp423;Zswim6;Nudt4;E2f3;Sfxn1;Map3k3;Ppp2r1b;Slc35e1;Abce1;Dnajb11;Ctnnbip1;Actb;Thumpd3;Nrip3;Camk2d;Klf12;Atp1b4;Ywhag;Txnl1;Ubtf;Lmnb2;Myl12a;Myo5a;Ugcg;Map3k11;Plagl2;Abracl;Pogk
miR-125a-5p/125b-5p/351/670/4319,1160,604,87,0.175516373614373,1.11021571957254,Il7r;Tnfrsf1b;Sept11;Lfng;St6gal1;Tacc2;Rps6ka1;Mapre2;Slc7a1;Dusp6;Pde7a;Zfp827;Itgb3;Dhx33;Atf6;Fam65b;Tsen54;Peak1;Irf4;Sgpl1;Ankrd13b;Srf;Tmem201;Slc7a6;Sbk1;Ppp1r16b;Tmtc2;Ggt7;Wdr1;Tle3;Ppat;Tspan14;Ankrd44;Hk2;Limd2;Esyt1;Vps37b;Qtrtd1;Sema4b;Ubtd1;Rnf144a;Bak1;Rbm38;Klf16;Ptpn1;Cpm;Rab8b;Cdc42se1;Sptb;Asxl3;Zswim6;Eif1ad;E2f3;Ncln;Chtf8;St8sia4;Wars;Mknk2;Ttc7;Ccnj;Tnfsf4;Lin28a;Usp12;Slc16a6;Fbxw4;Atp10d;Eif4ebp1;Ccdc157;Anpep;Lbh;Usp38;Elovl1;Zswim4;Txnrd1;Ago2;Tmem38b;Asic1;Plxna1;Szrd1;Rnf121;Map3k11;Slc27a4;Plagl2;Kcnh4;0610040J01Rik;Jup;Pik3c2b
miR-34ac/34bc-5p/449abc/449c-5p,1160,433,63,0.185228338093675,1.12160206236045,Chl1;Bcl2;Eng;Aldoa;Tfrc;Ergic1;Dmwd;Lef1;Ldha;Slc2a3;Coro1c;Pea15a;Hecw2;Tmem109;Snx12;Thumpd1;Tmem164;Arhgap39;Slc12a2;Cdc25a;Pitpnc1;Cntnap1;Ppp1r16b;Limd2;Cuedc1;Dcaf7;Pkp4;Sema4b;Zfp593;Shkbp1;Ahcyl2;Sfmbt2;Ppargc1b;Rtn4rl1;Vat1;Nfe2l1;Sec61a1;Smc6;Ppp1r11;Notch2;E2f3;Akap6;Snx30;Sipa1;E2f5;Tanc2;Grem2;Alcam;Myh9;Pdlim7;Tmem134;Nrip3;Htr2c;Nampt;Rap1gds1;Tgif2;Stat6;Tnrc18;Mpp2;Met;Metap1;Tmem231;Slc27a4
miR-544/544ab/544-3p,1160,269,40,0.185904958314716,1.14889235977899,Arhgap20;Tox;Timp2;Spry1;Raph1;Kdm2b;Lmo4;Slc16a10;Lox;Hspa9;Arpc2;Zdhhc15;Sh2d2a;Eml4;Slc5a3;Txnrd2;Jarid2;Wdr1;Foxo1;Extl3;Dis3;Ssr1;Polr1e;Gatad2a;Slc39a10;Sgms1;Ppp2r1b;Atp2a2;Socs6;Ctnnbip1;Gucy2c;Tanc2;Alcam;Bmpr2;Zfp287;Pnp;Tnrc18;Srsf2;Atp11a;Pogk
